curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	11	10.0	38.51	0.0	-0.0	2022-10-03 11:29:17.390256
822.08	11	373.6	41.46	0.0	-661.0	2022-10-03 11:29:18.388829
939.52	11	391.7	41.71	0.0	-756.0	2022-10-03 11:29:19.389760
939.52	11	391.7	41.53	0.0	-756.0	2022-10-03 11:29:20.391952
964.69	29	232.6	43.51	0.0	-543.0	2022-10-03 11:29:21.391326
947.91	29	232.6	43.47	0.0	-534.0	2022-10-03 11:29:22.391817
973.08	29	232.6	43.49	0.0	-548.0	2022-10-03 11:29:23.393978
939.52	24	245.9	43.32	0.0	-584.0	2022-10-03 11:29:24.394220
939.52	24	260.8	43.12	0.0	-584.0	2022-10-03 11:29:25.394424
939.52	24	260.8	43.13	0.0	-584.0	2022-10-03 11:29:26.396306
931.14	11	260.8	43.19	0.0	-749.0	2022-10-03 11:29:27.395796
905.97	11	391.7	41.67	0.0	-729.0	2022-10-03 11:29:28.402099
931.14	11	391.7	41.61	0.0	-749.0	2022-10-03 11:29:29.404542
939.52	11	391.7	41.71	0.0	-756.0	2022-10-03 11:29:30.403314
931.14	7	590.1	41.74	0.0	-811.0	2022-10-03 11:29:31.405628
931.14	7	590.1	41.65	0.0	-811.0	2022-10-03 11:29:32.406809
931.14	7	590.1	41.98	0.0	-811.0	2022-10-03 11:29:33.408335
830.47	1	2020.0	39.07	0.0	-814.0	2022-10-03 11:29:34.413142
578.81	1	2173.0	39.99	0.0	-567.0	2022-10-03 11:29:35.410070
595.59	1	2173.0	39.78	0.0	-584.0	2022-10-03 11:29:36.426802
