curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	20	10.0	38.55	0.0	-0.0	2022-10-19 13:44:25.917998
990.0	20	262.4	42.24	0.0	-666.0	2022-10-19 13:44:26.913404
935.0	20	277.5	42.64	0.0	-629.0	2022-10-19 13:44:27.915898
960.0	20	278.4	42.61	0.0	-646.0	2022-10-19 13:44:28.918482
1029.61	30	238.0	43.27	7.363679876290178e-05	-568.0	2022-10-19 13:44:29.921351
927.57	30	242.7	43.29	0.0	-512.0	2022-10-19 13:44:30.922018
965.15	30	242.7	43.27	0.0	-533.0	2022-10-19 13:44:31.923286
512.53	3	344.0	39.14	0.0	-483.0	2022-10-19 13:44:32.928531
150.0	3	435.0	39.33	0.0	-141.0	2022-10-19 13:44:33.930369
150.0	3	435.0	39.48	0.0	-141.0	2022-10-19 13:44:34.925153
150.0	3	435.0	39.28	0.0	-141.0	2022-10-19 13:44:35.927856
436.25	15	190.0	39.17	0.0	-324.0	2022-10-19 13:44:36.925474
768.75	15	362.7	40.82	0.0	-571.0	2022-10-19 13:44:37.923651
750.0	15	424.9	40.39	0.0	-557.0	2022-10-19 13:44:38.927120
786.97	23	298.7	40.56	0.0	-499.0	2022-10-19 13:44:39.925432
991.24	23	333.3	44.15	0.0	-629.0	2022-10-19 13:44:40.926749
1041.68	23	361.2	45.05	0.0	-661.0	2022-10-19 13:44:41.926880
960.24	23	368.6	44.81	0.0	-609.0	2022-10-19 13:44:42.927988
939.22	21	379.5	44.44	0.0	-620.0	2022-10-19 13:44:43.925481
954.9	21	380.0	43.9	0.0	-630.0	2022-10-19 13:44:44.931637
942.82	21	380.0	43.57	0.0	-622.0	2022-10-19 13:44:45.932941
932.3	21	380.3	42.99	0.0	-615.0	2022-10-19 13:44:46.945525
952.82	20	386.6	44.21	0.0	-641.0	2022-10-19 13:44:47.933047
937.8	20	386.6	43.88	0.0	-631.0	2022-10-19 13:44:48.934236
939.41	20	386.6	43.83	0.0	-632.0	2022-10-19 13:44:49.935863
922.82	19	387.2	44.11	0.0	-633.0	2022-10-19 13:44:50.936383
909.9	19	415.5	43.78	0.0	-625.0	2022-10-19 13:44:51.936932
932.87	19	419.9	43.71	0.0	-640.0	2022-10-19 13:44:52.939311
910.0	19	419.9	43.31	0.0	-625.0	2022-10-19 13:44:53.940094
918.05	20	406.8	43.71	0.0	-618.0	2022-10-19 13:44:54.940569
951.09	20	414.9	44.21	0.0	-640.0	2022-10-19 13:44:55.942481
953.34	20	419.1	43.98	0.0	-642.0	2022-10-19 13:44:56.942928
947.52	20	419.1	43.04	0.0	-638.0	2022-10-19 13:44:57.949738
1152.11	32	313.4	45.02	0.0	-611.0	2022-10-19 13:44:58.944361
1020.66	32	302.8	44.97	6.136098668466589e-05	-541.0	2022-10-19 13:44:59.949780
943.28	32	300.2	44.9	0.00012269637554906628	-499.0	2022-10-19 13:45:00.953055
886.52	19	306.6	44.31	0.00040923972353583123	-605.0	2022-10-19 13:45:01.953220
824.69	19	395.1	42.7	0.0	-566.0	2022-10-19 13:45:02.949086
897.3	19	411.5	41.89	0.0	-616.0	2022-10-19 13:45:03.951084
910.51	19	425.7	42.0	0.0	-625.0	2022-10-19 13:45:04.950452
972.43	21	404.8	42.66	0.0	-642.0	2022-10-19 13:45:05.952115
974.56	21	405.0	42.47	0.0	-643.0	2022-10-19 13:45:06.953368
971.88	21	405.0	42.64	0.0	-641.0	2022-10-19 13:45:07.953015
945.96	21	405.9	41.68	0.0	-624.0	2022-10-19 13:45:08.973671
947.44	21	405.9	42.43	0.0	-625.0	2022-10-19 13:45:09.956410
939.24	21	405.9	42.26	0.0	-620.0	2022-10-19 13:45:10.959112
937.66	21	405.9	41.86	0.0	-619.0	2022-10-19 13:45:11.959011
945.31	21	405.9	41.92	0.0	-624.0	2022-10-19 13:45:12.960538
947.36	21	405.9	41.73	0.0	-625.0	2022-10-19 13:45:13.964389
940.68	21	405.9	41.62	0.0	-621.0	2022-10-19 13:45:14.963858
946.64	21	405.9	41.79	0.0	-625.0	2022-10-19 13:45:15.964037
925.83	20	417.0	41.53	0.0	-623.0	2022-10-19 13:45:16.965970
937.44	20	418.6	41.6	0.0	-631.0	2022-10-19 13:45:17.965372
951.99	20	418.6	41.41	0.0	-641.0	2022-10-19 13:45:18.969997
889.9	20	418.6	41.73	0.0	-599.0	2022-10-19 13:45:19.969100
914.9	21	411.8	42.33	0.0	-604.0	2022-10-19 13:45:20.970124
879.9	21	413.2	42.3	0.0	-581.0	2022-10-19 13:45:21.970704
868.34	21	413.2	43.42	0.0	-573.0	2022-10-19 13:45:22.973468
824.9	21	413.2	42.99	0.0	-544.0	2022-10-19 13:45:23.987124
888.58	25	336.1	44.76	0.0003530475060724171	-538.0	2022-10-19 13:45:24.974800
862.63	25	324.8	44.24	0.00029154923711282953	-523.0	2022-10-19 13:45:25.973202
835.9	25	326.4	44.11	0.0	-510.0	2022-10-19 13:45:26.973637
819.26	20	327.1	43.79	0.0	-551.0	2022-10-19 13:45:27.977793
753.37	20	361.1	43.08	0.0	-507.0	2022-10-19 13:45:28.977142
745.12	20	361.1	42.89	0.0	-501.0	2022-10-19 13:45:29.980283
760.12	20	361.1	43.12	0.0	-512.0	2022-10-19 13:45:30.980713
745.12	21	351.4	43.8	0.0	-492.0	2022-10-19 13:45:31.981136
734.9	21	360.5	43.89	0.0	-485.0	2022-10-19 13:45:32.981017
736.99	21	365.1	44.44	0.0	-486.0	2022-10-19 13:45:33.984271
723.03	21	365.1	43.8	0.0	-477.0	2022-10-19 13:45:34.983229
717.6	19	346.9	43.43	0.00029091885601754464	-490.0	2022-10-19 13:45:35.987498
674.6	19	351.8	43.4	0.0	-463.0	2022-10-19 13:45:36.985977
