curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	41.2	0.0	-0.0	2022-10-19 13:45:18.945511
50.0	1	315.0	41.84	0.0	-49.0	2022-10-19 13:45:19.940802
50.0	1	336.0	42.99	0.0	-49.0	2022-10-19 13:45:20.937600
50.0	1	336.0	43.02	0.0	-49.0	2022-10-19 13:45:21.938610
108.27	3	225.7	42.46	0.0	-102.0	2022-10-19 13:45:22.942447
115.16	3	225.7	42.77	0.0	-109.0	2022-10-19 13:45:23.943485
106.57	3	225.7	42.53	0.0	-100.0	2022-10-19 13:45:24.941897
113.32	3	225.7	42.77	0.0	-107.0	2022-10-19 13:45:25.939374
106.43	3	225.7	42.49	0.0	-100.0	2022-10-19 13:45:26.942968
108.25	3	225.7	42.21	0.0	-102.0	2022-10-19 13:45:27.942819
143.4	5	235.2	42.27	0.0	-130.0	2022-10-19 13:45:28.951366
195.39	5	248.6	42.41	0.0	-177.0	2022-10-19 13:45:29.946552
190.18	5	248.6	42.39	0.0	-172.0	2022-10-19 13:45:30.947080
203.52	7	200.0	42.04	0.0	-177.0	2022-10-19 13:45:31.945901
214.79	7	207.9	42.57	0.0	-187.0	2022-10-19 13:45:32.954966
216.85	7	207.9	42.45	0.0	-189.0	2022-10-19 13:45:33.953955
216.29	7	207.9	42.63	0.0	-188.0	2022-10-19 13:45:34.953776
243.24	9	189.7	43.0	0.0	-204.0	2022-10-19 13:45:35.953749
246.78	9	189.7	42.78	0.0	-206.0	2022-10-19 13:45:36.953385
256.36	9	189.7	42.54	0.0	-215.0	2022-10-19 13:45:37.955878
275.97	10	185.5	42.56	0.0	-226.0	2022-10-19 13:45:38.953948
267.49	10	185.5	43.9	0.0	-219.0	2022-10-19 13:45:39.954789
254.13	10	185.5	44.28	0.0	-208.0	2022-10-19 13:45:40.954595
258.47	12	148.9	43.86	0.00042038395067494976	-203.0	2022-10-19 13:45:41.958149
257.03	12	156.8	43.69	0.0	-203.0	2022-10-19 13:45:42.960511
235.35	12	143.6	44.13	0.0006418485237483953	-184.0	2022-10-19 13:45:43.964402
188.79	9	143.6	43.86	0.0	-158.0	2022-10-19 13:45:44.963735
153.79	9	124.0	43.39	0.0	-129.0	2022-10-19 13:45:45.966279
158.0	9	124.0	43.21	0.0	-132.0	2022-10-19 13:45:46.964568
197.97	11	117.3	41.04	0.0	-159.0	2022-10-19 13:45:47.966187
315.89	11	141.1	41.75	0.0	-254.0	2022-10-19 13:45:48.966687
306.99	11	151.0	41.83	0.0	-247.0	2022-10-19 13:45:49.967914
305.83	11	157.6	42.64	0.0	-246.0	2022-10-19 13:45:50.967334
329.06	13	150.1	42.72	0.0	-254.0	2022-10-19 13:45:51.967019
341.46	13	156.9	42.83	0.0	-264.0	2022-10-19 13:45:52.966461
