curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	43.02	0.0	-0.0	2022-10-19 13:46:13.219360
12.84	1	55.0	44.46	0.0	-13.0	2022-10-19 13:46:14.212169
11.99	1	55.0	44.42	0.0	-12.0	2022-10-19 13:46:15.215590
11.99	1	60.0	44.2	0.0	-12.0	2022-10-19 13:46:16.212567
24.81	2	63.5	43.18	0.0	-24.0	2022-10-19 13:46:17.214829
30.23	2	65.0	42.69	0.0	-29.0	2022-10-19 13:46:18.212474
28.67	2	65.0	42.16	0.0	-28.0	2022-10-19 13:46:19.218725
52.08	5	60.2	43.47	0.0	-47.0	2022-10-19 13:46:20.215484
63.55	5	61.0	43.1	0.0	-58.0	2022-10-19 13:46:21.225786
59.55	5	61.0	43.03	0.0	-54.0	2022-10-19 13:46:22.216184
83.39	9	59.9	43.6	0.0	-70.0	2022-10-19 13:46:23.219279
146.25	9	82.8	42.86	0.0	-122.0	2022-10-19 13:46:24.218723
145.34	9	101.4	43.47	0.0	-122.0	2022-10-19 13:46:25.218484
180.98	18	80.5	43.22	0.0	-127.0	2022-10-19 13:46:26.218070
265.82	18	82.9	43.24	0.0	-186.0	2022-10-19 13:46:27.218995
280.0	18	83.9	43.29	0.0	-196.0	2022-10-19 13:46:28.221096
279.49	18	84.1	43.35	0.0	-196.0	2022-10-19 13:46:29.222904
498.9	26	120.1	42.35	0.0	-298.0	2022-10-19 13:46:30.224317
632.17	26	140.7	41.98	0.0	-378.0	2022-10-19 13:46:31.222539
699.4	26	148.7	42.06	0.0	-418.0	2022-10-19 13:46:32.222538
707.19	32	124.9	43.85	0.00036829828653606693	-373.0	2022-10-19 13:46:33.226563
517.48	32	125.1	43.55	0.0	-275.0	2022-10-19 13:46:34.223879
512.62	32	125.1	43.59	0.0	-272.0	2022-10-19 13:46:35.229827
516.29	31	126.3	43.6	0.0002307633137611856	-278.0	2022-10-19 13:46:36.229024
570.16	31	136.5	43.24	0.0	-309.0	2022-10-19 13:46:37.227521
611.41	31	136.6	43.02	0.0	-331.0	2022-10-19 13:46:38.229091
618.03	32	134.1	43.19	0.0	-328.0	2022-10-19 13:46:39.228608
598.58	32	134.1	43.22	0.0	-318.0	2022-10-19 13:46:40.227239
590.14	32	134.1	43.42	0.0	-313.0	2022-10-19 13:46:41.232165
582.68	32	134.1	43.51	0.0	-309.0	2022-10-19 13:46:42.231685
602.29	32	134.1	43.38	0.0	-320.0	2022-10-19 13:46:43.232922
596.66	32	134.1	43.12	0.0	-317.0	2022-10-19 13:46:44.235100
603.11	32	134.1	42.95	0.0	-320.0	2022-10-19 13:46:45.236090
608.6	32	134.1	43.28	0.0	-323.0	2022-10-19 13:46:46.237208
586.66	32	134.1	43.12	0.0	-311.0	2022-10-19 13:46:47.242103
582.12	32	134.1	43.22	0.0	-309.0	2022-10-19 13:46:48.239512
582.36	32	134.1	43.28	0.0	-309.0	2022-10-19 13:46:49.239860
555.58	32	134.1	43.18	0.0	-295.0	2022-10-19 13:46:50.240377
551.07	32	134.1	43.27	0.0	-292.0	2022-10-19 13:46:51.243266
539.24	32	134.1	44.25	0.0	-286.0	2022-10-19 13:46:52.241383
518.7	32	134.1	44.13	0.0	-275.0	2022-10-19 13:46:53.242968
507.7	32	134.1	44.09	0.0	-269.0	2022-10-19 13:46:54.246023
506.23	32	134.1	44.29	0.0	-269.0	2022-10-19 13:46:55.251403
523.11	32	134.1	43.9	0.0	-278.0	2022-10-19 13:46:56.252317
542.09	32	134.1	43.72	0.0	-288.0	2022-10-19 13:46:57.252324
541.58	31	134.1	43.4	0.0	-293.0	2022-10-19 13:46:58.249435
518.76	31	124.7	44.73	0.0004986820545700648	-278.0	2022-10-19 13:46:59.251683
483.47	31	103.0	43.91	0.001254115065057219	-256.0	2022-10-19 13:47:00.252764
432.01	31	94.8	43.92	0.0007386303682599979	-231.0	2022-10-19 13:47:01.253756
450.45	32	97.2	44.22	0.00036262853886600877	-237.0	2022-10-19 13:47:02.257135
472.63	32	97.5	43.43	0.0002195389681668496	-250.0	2022-10-19 13:47:03.253899
499.93	32	98.4	43.46	0.0	-265.0	2022-10-19 13:47:04.256481
479.58	29	101.4	43.54	0.0	-270.0	2022-10-19 13:47:05.256587
486.47	29	101.5	43.71	0.0	-274.0	2022-10-19 13:47:06.261850
485.73	29	103.3	43.21	0.0	-274.0	2022-10-19 13:47:07.262537
502.45	27	104.3	43.14	0.0	-294.0	2022-10-19 13:47:08.259050
488.95	27	127.2	42.84	0.0	-286.0	2022-10-19 13:47:09.260660
504.7	27	128.1	43.04	0.0	-296.0	2022-10-19 13:47:10.260269
471.49	24	128.2	43.48	0.0	-293.0	2022-10-19 13:47:11.265258
432.47	24	128.8	43.51	0.0	-269.0	2022-10-19 13:47:12.261286
413.22	24	129.4	43.62	0.0	-257.0	2022-10-19 13:47:13.264115
399.07	25	127.9	43.48	0.0	-243.0	2022-10-19 13:47:14.267237
462.06	25	129.8	43.4	0.0	-282.0	2022-10-19 13:47:15.265407
461.82	25	129.8	43.21	0.0	-281.0	2022-10-19 13:47:16.268283
474.63	25	130.0	43.15	0.0	-289.0	2022-10-19 13:47:17.268398
453.98	24	130.3	43.36	0.0	-282.0	2022-10-19 13:47:18.269249
432.54	24	130.6	43.45	0.0	-269.0	2022-10-19 13:47:19.270366
452.69	24	131.0	43.37	0.0	-281.0	2022-10-19 13:47:20.271089
435.17	22	132.6	43.14	0.0	-281.0	2022-10-19 13:47:21.273541
425.69	22	139.0	43.94	0.0	-275.0	2022-10-19 13:47:22.274993
380.46	22	136.0	43.83	0.00015753985758396873	-245.0	2022-10-19 13:47:23.273674
375.46	23	131.9	44.11	0.0	-238.0	2022-10-19 13:47:24.277588
353.2	23	131.9	44.18	0.0	-224.0	2022-10-19 13:47:25.295811
386.62	23	134.7	43.42	0.0	-245.0	2022-10-19 13:47:26.278909
419.47	20	136.2	43.05	0.0	-282.0	2022-10-19 13:47:27.283726
404.11	20	149.4	43.13	0.0	-272.0	2022-10-19 13:47:28.279473
409.22	20	149.4	42.78	0.0	-275.0	2022-10-19 13:47:29.284840
406.25	16	151.2	42.86	0.0	-296.0	2022-10-19 13:47:30.283164
316.03	16	138.6	43.05	0.0	-230.0	2022-10-19 13:47:31.284018
322.92	16	138.6	42.99	0.0	-235.0	2022-10-19 13:47:32.285965
312.08	16	138.6	43.28	0.0	-227.0	2022-10-19 13:47:33.284577
330.13	17	136.8	42.82	0.0	-236.0	2022-10-19 13:47:34.289655
339.43	17	136.8	42.74	0.0	-242.0	2022-10-19 13:47:35.287863
331.45	17	136.8	42.98	0.0	-237.0	2022-10-19 13:47:36.287925
313.84	15	143.8	43.05	0.0	-233.0	2022-10-19 13:47:37.291992
306.42	15	143.8	43.19	0.0	-228.0	2022-10-19 13:47:38.291296
297.68	15	143.8	43.06	0.0	-221.0	2022-10-19 13:47:39.295345
307.88	16	139.2	43.13	0.0	-224.0	2022-10-19 13:47:40.295758
312.09	16	139.2	43.2	0.0	-227.0	2022-10-19 13:47:41.294021
311.31	16	139.2	43.21	0.0	-227.0	2022-10-19 13:47:42.294790
312.73	15	139.2	43.41	0.0	-232.0	2022-10-19 13:47:43.297053
302.43	15	143.8	43.53	0.0	-225.0	2022-10-19 13:47:44.299347
295.29	15	143.8	43.58	0.0	-219.0	2022-10-19 13:47:45.297750
296.44	16	137.4	43.04	0.0	-216.0	2022-10-19 13:47:46.299238
313.35	16	138.6	43.32	0.0	-228.0	2022-10-19 13:47:47.302593
310.63	16	138.6	43.27	0.0	-226.0	2022-10-19 13:47:48.308225
308.73	16	138.6	43.53	0.0	-225.0	2022-10-19 13:47:49.304217
334.89	18	131.4	43.44	0.0	-234.0	2022-10-19 13:47:50.306063
331.59	18	131.6	43.38	0.0	-232.0	2022-10-19 13:47:51.306014
330.77	18	131.6	43.53	0.0	-232.0	2022-10-19 13:47:52.311343
322.3	21	117.2	43.6	0.0003408432461910767	-212.0	2022-10-19 13:47:53.305621
364.01	21	117.8	43.58	0.00012820101919810262	-240.0	2022-10-19 13:47:54.306747
362.98	21	118.0	43.44	0.0	-239.0	2022-10-19 13:47:55.307753
355.89	20	121.8	43.51	0.0	-240.0	2022-10-19 13:47:56.309316
356.2	20	121.2	43.37	0.00019865576267258218	-239.0	2022-10-19 13:47:57.311633
338.29	20	120.8	43.12	0.00019964728978804112	-227.0	2022-10-19 13:47:58.313423
345.49	18	123.5	42.65	0.00029298305581327216	-241.0	2022-10-19 13:47:59.313968
323.91	18	129.6	43.84	0.0	-227.0	2022-10-19 13:48:00.312260
280.47	18	123.0	43.72	0.0005490560459517676	-195.0	2022-10-19 13:48:01.314156
268.97	19	118.4	44.04	0.00017034324163188826	-184.0	2022-10-19 13:48:02.316469
283.21	19	109.5	44.13	0.00041762372102735435	-193.0	2022-10-19 13:48:03.315457
268.55	19	109.5	44.02	0.00016790496578936322	-184.0	2022-10-19 13:48:04.315737
285.38	19	109.6	43.88	4.18988561612268e-05	-196.0	2022-10-19 13:48:05.318157
236.61	16	116.6	43.8	0.0	-172.0	2022-10-19 13:48:06.323678
246.72	16	116.9	43.57	0.0	-180.0	2022-10-19 13:48:07.321858
244.58	16	116.9	43.58	0.0	-178.0	2022-10-19 13:48:08.323101
250.55	17	110.6	44.08	0.0004260355029585799	-178.0	2022-10-19 13:48:09.324167
239.79	17	110.6	43.52	0.0002837416059774898	-171.0	2022-10-19 13:48:10.326940
249.99	17	110.6	43.43	0.00028037383177570094	-178.0	2022-10-19 13:48:11.326592
248.42	16	110.5	43.46	0.00028041314202925644	-180.0	2022-10-19 13:48:12.328377
249.19	16	116.9	43.4	0.0	-182.0	2022-10-19 13:48:13.331156
242.32	16	117.0	43.6	0.0	-177.0	2022-10-19 13:48:14.332057
249.38	14	120.7	43.38	0.0	-189.0	2022-10-19 13:48:15.335836
225.69	14	121.6	43.74	0.0	-171.0	2022-10-19 13:48:16.338201
224.84	14	121.6	43.54	0.0	-170.0	2022-10-19 13:48:17.337914
228.08	15	115.4	43.48	0.0	-169.0	2022-10-19 13:48:18.331497
321.76	15	147.4	41.51	0.00014238929232521716	-239.0	2022-10-19 13:48:19.335446
428.8	15	153.1	41.69	0.0	-319.0	2022-10-19 13:48:20.337895
439.52	15	162.6	41.68	0.0	-327.0	2022-10-19 13:48:21.335123
596.54	32	94.5	45.07	0.0	-317.0	2022-10-19 13:48:22.336408
371.92	32	82.2	44.77	0.0015157378740970073	-192.0	2022-10-19 13:48:23.332153
353.61	32	80.8	44.55	0.0005583472920156337	-186.0	2022-10-19 13:48:24.333775
349.82	31	81.5	44.3	0.000447744487146002	-188.0	2022-10-19 13:48:25.343380
362.56	31	83.0	44.73	0.00012944564900812272	-196.0	2022-10-19 13:48:26.341363
349.85	31	83.0	44.85	0.00012832028743744385	-189.0	2022-10-19 13:48:27.343270
370.29	32	83.4	44.78	0.00012704462442432904	-196.0	2022-10-19 13:48:28.343051
362.06	32	80.2	44.7	0.00015785818021089854	-192.0	2022-10-19 13:48:29.346346
372.2	32	80.2	44.64	0.0001267627951196324	-197.0	2022-10-19 13:48:30.344014
373.62	32	80.3	44.52	6.307556452630251e-05	-198.0	2022-10-19 13:48:31.347611
360.22	32	80.4	44.53	0.00012610340479192938	-191.0	2022-10-19 13:48:32.342178
376.78	32	80.7	44.68	0.0	-200.0	2022-10-19 13:48:33.351253
365.01	31	80.7	44.74	6.278646323852578e-05	-197.0	2022-10-19 13:48:34.351319
351.22	31	79.9	44.74	0.0001653302471687195	-190.0	2022-10-19 13:48:35.352630
345.6	31	79.0	44.86	0.0002685284640171858	-186.0	2022-10-19 13:48:36.349022
353.03	31	79.3	44.72	0.0001335559265442404	-191.0	2022-10-19 13:48:37.355950
347.48	32	78.9	44.87	0.00013055682485801944	-184.0	2022-10-19 13:48:38.356471
359.02	32	78.4	44.94	0.0003284072249589491	-189.0	2022-10-19 13:48:39.353868
349.53	32	79.0	44.95	6.531252041016262e-05	-185.0	2022-10-19 13:48:40.355820
349.96	31	78.8	45.06	0.00022659465991918125	-189.0	2022-10-19 13:48:41.358135
337.04	31	78.4	44.68	0.00034537542308489327	-181.0	2022-10-19 13:48:42.356616
333.69	31	78.8	44.79	0.0001371412898138307	-180.0	2022-10-19 13:48:43.360350
350.5	32	78.9	44.7	0.00013491635186184566	-186.0	2022-10-19 13:48:44.359006
354.2	32	78.8	44.86	0.00020342430920494998	-187.0	2022-10-19 13:48:45.358215
327.91	32	78.9	44.97	0.0002026547775863816	-173.0	2022-10-19 13:48:46.364571
353.17	31	79.2	44.9	6.771626883358727e-05	-191.0	2022-10-19 13:48:47.359019
320.48	31	73.5	44.87	0.0006805171930667307	-171.0	2022-10-19 13:48:48.360308
319.65	31	73.7	44.99	0.00021326508850501172	-172.0	2022-10-19 13:48:49.364179
