curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.55	0.0	-0.0	2022-10-03 11:27:04.394151
92.27	1	498.0	38.66	0.0	-90.0	2022-10-03 11:27:05.390429
268.44	1	1530.0	38.83	0.0	-263.0	2022-10-03 11:27:06.391124
570.43	1	2217.0	39.65	0.0	-559.0	2022-10-03 11:27:07.393713
704.64	3	988.3	39.8	0.0	-664.0	2022-10-03 11:27:08.391277
905.97	3	1355.0	41.08	0.0	-854.0	2022-10-03 11:27:09.393309
939.52	3	1355.0	41.22	0.0	-885.0	2022-10-03 11:27:10.394684
939.52	3	1355.0	41.18	0.0	-885.0	2022-10-03 11:27:11.396880
947.91	3	1355.0	41.21	0.0	-893.0	2022-10-03 11:27:12.396642
947.91	3	1355.0	41.24	0.0	-893.0	2022-10-03 11:27:13.401407
939.52	5	900.6	40.97	0.0	-851.0	2022-10-03 11:27:14.400813
973.08	5	1088.6	41.95	0.0	-881.0	2022-10-03 11:27:15.401471
939.52	5	1108.2	42.0	0.0	-851.0	2022-10-03 11:27:16.398741
889.19	2	1612.0	39.67	0.0	-855.0	2022-10-03 11:27:17.403913
931.14	2	2024.5	41.51	0.0	-895.0	2022-10-03 11:27:18.400852
939.52	2	2024.5	41.49	0.0	-903.0	2022-10-03 11:27:19.403538
939.52	2	2024.5	41.54	0.0	-903.0	2022-10-03 11:27:20.406171
981.47	4	1439.8	41.25	0.0	-907.0	2022-10-03 11:27:21.406920
939.52	4	1469.0	41.64	0.0	-868.0	2022-10-03 11:27:22.407218
939.52	4	1469.0	41.98	0.0	-868.0	2022-10-03 11:27:23.406107
