curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.54	0.0	-0.0	2022-10-03 11:28:50.253618
343.93	1	2200.0	39.08	0.0	-337.0	2022-10-03 11:28:51.246257
587.2	1	2200.0	39.56	0.0	-576.0	2022-10-03 11:28:52.250938
595.59	1	2200.0	40.13	0.0	-584.0	2022-10-03 11:28:53.251853
771.75	2	1940.0	41.38	0.0	-742.0	2022-10-03 11:28:54.247889
956.3	2	2001.5	41.4	0.0	-919.0	2022-10-03 11:28:55.251347
939.52	2	2001.5	41.57	0.0	-903.0	2022-10-03 11:28:56.247894
956.3	4	1329.0	42.05	0.0	-883.0	2022-10-03 11:28:57.251897
947.91	4	1330.0	42.15	0.0	-876.0	2022-10-03 11:28:58.256028
939.52	4	1341.8	42.31	0.0	-868.0	2022-10-03 11:28:59.254142
973.08	6	1183.3	43.11	0.0	-864.0	2022-10-03 11:29:00.255897
947.91	6	1183.3	43.44	0.0	-842.0	2022-10-03 11:29:01.255734
947.91	6	1185.8	42.66	0.0	-842.0	2022-10-03 11:29:02.258467
922.75	5	1272.2	42.74	0.0	-836.0	2022-10-03 11:29:03.259866
931.14	5	1272.2	42.59	0.0	-843.0	2022-10-03 11:29:04.257532
956.3	5	1273.0	42.68	0.0	-866.0	2022-10-03 11:29:05.260423
939.52	5	1273.0	42.57	0.0	-851.0	2022-10-03 11:29:06.261281
964.69	6	1167.5	42.98	0.0	-857.0	2022-10-03 11:29:07.264417
931.14	6	1183.8	43.07	0.0	-827.0	2022-10-03 11:29:08.264092
956.3	6	1183.8	43.19	0.0	-849.0	2022-10-03 11:29:09.263946
