curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	8	10.0	39.89	0.0	-0.0	2022-10-19 13:56:55.409058
180.11	8	118.5	43.09	0.0	-154.0	2022-10-19 13:56:56.414325
153.41	8	118.5	43.23	0.0	-131.0	2022-10-19 13:56:57.411048
149.46	8	118.8	43.31	0.0	-128.0	2022-10-19 13:56:58.412681
171.55	10	109.3	44.16	0.00043965706748735987	-140.0	2022-10-19 13:56:59.413520
161.62	10	107.3	44.29	0.00036856848002358837	-132.0	2022-10-19 13:57:00.413772
158.28	10	106.6	43.58	0.0002875629043853343	-129.0	2022-10-19 13:57:01.413327
361.75	28	98.9	44.22	0.000668197953643767	-205.0	2022-10-19 13:57:02.411137
390.26	28	99.2	44.24	0.00023566841454074116	-223.0	2022-10-19 13:57:03.411614
397.61	28	97.4	44.8	0.00038969993105308914	-227.0	2022-10-19 13:57:04.413841
375.16	28	97.4	44.8	0.0002777777777777778	-214.0	2022-10-19 13:57:05.416791
381.94	32	94.5	44.91	0.0006060799387540272	-200.0	2022-10-19 13:57:06.416758
363.81	32	94.1	44.88	0.0003753049352598987	-192.0	2022-10-19 13:57:07.418746
401.02	32	94.3	44.54	0.0002366023896841358	-212.0	2022-10-19 13:57:08.422874
389.01	28	93.9	44.63	0.0003555660908471362	-222.0	2022-10-19 13:57:09.420840
340.67	28	92.5	44.69	0.001041395469929706	-192.0	2022-10-19 13:57:10.420045
349.98	28	92.4	44.87	0.00036487876073904534	-200.0	2022-10-19 13:57:11.421251
351.57	28	92.7	44.89	0.0003633720930232558	-201.0	2022-10-19 13:57:12.424730
331.55	25	92.0	44.21	0.0011585567692816948	-198.0	2022-10-19 13:57:13.423107
330.21	25	91.0	44.4	0.0006562110374696503	-199.0	2022-10-19 13:57:14.426341
338.64	25	90.8	43.85	0.0003438671297410681	-205.0	2022-10-19 13:57:15.422045
367.66	25	91.3	43.92	0.0002477393781741608	-223.0	2022-10-19 13:57:16.431317
433.36	29	92.1	44.07	0.00040544454097885896	-242.0	2022-10-19 13:57:17.424723
400.37	29	92.3	44.11	0.00028653295128939826	-224.0	2022-10-19 13:57:18.427246
415.48	29	92.9	43.71	0.00016528014985400254	-233.0	2022-10-19 13:57:19.427457
454.31	32	92.3	44.01	0.0002927790050837082	-240.0	2022-10-19 13:57:20.435566
443.49	32	92.0	43.93	0.00036515388628064686	-234.0	2022-10-19 13:57:21.429738
432.62	32	91.8	44.34	0.0002897710808461316	-228.0	2022-10-19 13:57:22.431928
