curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.62	0.0	-0.0	2022-10-19 13:55:05.085174
50.0	1	439.0	39.43	0.0	-49.0	2022-10-19 13:55:06.085546
50.0	1	439.0	39.41	0.0	-49.0	2022-10-19 13:55:07.086260
50.0	1	439.0	39.43	0.0	-49.0	2022-10-19 13:55:08.083188
130.0	3	440.3	39.58	0.0	-123.0	2022-10-19 13:55:09.083678
150.0	3	440.3	39.55	0.0	-141.0	2022-10-19 13:55:10.086238
150.0	3	440.3	39.54	0.0	-141.0	2022-10-19 13:55:11.086974
150.0	3	440.3	39.55	0.0	-141.0	2022-10-19 13:55:12.085443
150.0	3	440.3	39.72	0.0	-141.0	2022-10-19 13:55:13.091807
150.0	3	440.3	39.62	0.0	-141.0	2022-10-19 13:55:14.091169
190.0	5	408.8	39.44	0.0	-172.0	2022-10-19 13:55:15.092719
250.0	5	443.0	39.43	0.0	-226.0	2022-10-19 13:55:16.093879
250.0	5	443.0	39.54	0.0	-226.0	2022-10-19 13:55:17.096671
250.0	5	443.0	39.6	0.0	-226.0	2022-10-19 13:55:18.092086
250.0	5	443.0	39.58	0.0	-226.0	2022-10-19 13:55:19.093248
250.0	5	443.0	39.45	0.0	-226.0	2022-10-19 13:55:20.097505
250.0	5	443.0	39.44	0.0	-226.0	2022-10-19 13:55:21.095649
340.0	7	441.7	39.78	0.0	-296.0	2022-10-19 13:55:22.094634
350.0	7	441.7	39.79	0.0	-305.0	2022-10-19 13:55:23.098567
350.0	7	441.7	39.71	0.0	-305.0	2022-10-19 13:55:24.100372
510.0	11	437.6	39.41	0.0	-410.0	2022-10-19 13:55:25.097388
550.0	11	441.5	39.68	0.0	-442.0	2022-10-19 13:55:26.095069
550.0	11	441.5	39.9	0.0	-442.0	2022-10-19 13:55:27.096472
605.0	13	434.5	39.87	0.0	-468.0	2022-10-19 13:55:28.097682
650.0	13	441.3	39.88	0.0	-502.0	2022-10-19 13:55:29.098436
650.0	13	441.3	39.88	0.0	-502.0	2022-10-19 13:55:30.100561
680.0	15	428.6	40.11	0.0	-505.0	2022-10-19 13:55:31.102280
750.0	15	441.5	40.25	0.0	-557.0	2022-10-19 13:55:32.103697
755.0	15	441.5	40.24	0.0	-561.0	2022-10-19 13:55:33.102734
755.24	17	399.0	39.95	0.0	-539.0	2022-10-19 13:55:34.103841
854.76	17	435.5	40.3	0.0	-610.0	2022-10-19 13:55:35.105172
855.0	17	440.3	40.17	0.0	-611.0	2022-10-19 13:55:36.103784
855.0	17	441.6	40.26	0.0	-611.0	2022-10-19 13:55:37.108614
1150.0	24	404.9	44.18	0.0	-715.0	2022-10-19 13:55:38.107926
1025.0	24	391.0	43.87	0.0001228410682259293	-636.0	2022-10-19 13:55:39.108133
960.0	24	391.0	43.76	0.0	-597.0	2022-10-19 13:55:40.109623
978.67	26	371.2	43.94	0.0	-585.0	2022-10-19 13:55:41.108768
960.02	26	371.2	44.08	0.0	-574.0	2022-10-19 13:55:42.111342
925.02	26	371.2	43.76	0.0	-553.0	2022-10-19 13:55:43.113028
904.2	22	394.8	43.62	0.0	-585.0	2022-10-19 13:55:44.111561
915.0	22	398.9	43.11	0.0	-592.0	2022-10-19 13:55:45.114442
950.0	22	398.9	42.37	0.0	-614.0	2022-10-19 13:55:46.115536
943.36	24	382.6	42.81	0.0	-587.0	2022-10-19 13:55:47.116863
935.02	24	382.6	42.83	0.0	-581.0	2022-10-19 13:55:48.117685
951.62	24	382.6	42.87	0.0	-592.0	2022-10-19 13:55:49.118350
930.0	20	380.5	42.56	0.0	-626.0	2022-10-19 13:55:50.121446
900.0	20	401.8	42.55	0.0	-606.0	2022-10-19 13:55:51.119315
905.0	20	416.6	42.5	0.0	-609.0	2022-10-19 13:55:52.124659
925.0	20	416.6	42.69	0.0	-622.0	2022-10-19 13:55:53.123225
965.0	22	418.4	42.96	0.0	-624.0	2022-10-19 13:55:54.123989
980.0	22	418.4	42.93	0.0	-634.0	2022-10-19 13:55:55.124878
955.0	22	418.4	42.8	0.0	-618.0	2022-10-19 13:55:56.124799
945.0	21	417.4	43.3	0.0	-623.0	2022-10-19 13:55:57.126333
950.0	21	417.4	43.32	0.0	-627.0	2022-10-19 13:55:58.129167
940.0	21	417.4	43.44	0.0	-620.0	2022-10-19 13:55:59.128513
957.0	23	393.2	43.53	0.0	-607.0	2022-10-19 13:56:00.129976
940.04	23	393.2	43.48	0.0	-596.0	2022-10-19 13:56:01.131474
921.57	23	393.2	44.66	0.0	-584.0	2022-10-19 13:56:02.132671
876.39	20	403.3	44.14	0.0	-590.0	2022-10-19 13:56:03.134293
880.0	20	416.6	44.07	0.0	-592.0	2022-10-19 13:56:04.132623
880.0	20	416.6	44.58	0.0	-592.0	2022-10-19 13:56:05.134437
874.98	22	382.5	43.92	0.0	-566.0	2022-10-19 13:56:06.136482
893.18	22	399.3	44.62	0.0	-578.0	2022-10-19 13:56:07.138899
861.84	22	404.3	45.05	0.0	-557.0	2022-10-19 13:56:08.137594
858.52	22	382.6	44.86	0.00020502166395582467	-554.0	2022-10-19 13:56:09.141165
761.48	18	402.7	44.27	0.0	-533.0	2022-10-19 13:56:10.142330
795.0	18	406.9	45.31	0.0	-557.0	2022-10-19 13:56:11.143973
770.0	18	406.9	45.5	0.0	-539.0	2022-10-19 13:56:12.144739
816.74	20	380.2	45.38	0.0	-550.0	2022-10-19 13:56:13.145093
820.26	20	380.2	45.65	0.0	-552.0	2022-10-19 13:56:14.144133
661.53	20	380.2	45.66	0.0	-445.0	2022-10-19 13:56:15.145796
616.48	15	393.2	45.46	0.0	-458.0	2022-10-19 13:56:16.147746
610.0	15	412.4	45.16	0.0	-453.0	2022-10-19 13:56:17.150963
550.0	15	412.4	45.81	0.0	-409.0	2022-10-19 13:56:18.150076
519.23	17	324.6	45.66	0.00048317348343922885	-368.0	2022-10-19 13:56:19.151420
489.83	17	317.5	44.68	0.0002392115587025165	-349.0	2022-10-19 13:56:20.147724
434.83	17	296.8	44.95	0.0001306882040826995	-310.0	2022-10-19 13:56:21.151547
405.25	7	296.8	45.11	0.0	-353.0	2022-10-19 13:56:22.153153
220.0	7	266.5	44.08	0.0	-192.0	2022-10-19 13:56:23.158451
205.0	7	338.4	46.29	0.0	-178.0	2022-10-19 13:56:24.159320
180.0	7	338.4	45.83	0.0	-157.0	2022-10-19 13:56:25.163446
227.38	9	284.3	44.87	0.0	-190.0	2022-10-19 13:56:26.159117
219.73	9	246.6	44.97	0.0005282062117050497	-183.0	2022-10-19 13:56:27.162048
187.74	9	163.3	43.37	0.0010819258279737933	-155.0	2022-10-19 13:56:28.167271
175.09	8	129.5	42.61	0.0010636034886194426	-148.0	2022-10-19 13:56:29.164710
167.56	8	129.5	42.81	0.0	-143.0	2022-10-19 13:56:30.165251
162.42	8	129.5	42.78	0.0	-139.0	2022-10-19 13:56:31.167891
189.64	10	124.6	42.58	0.0	-156.0	2022-10-19 13:56:32.169448
212.63	10	124.6	42.53	0.0	-174.0	2022-10-19 13:56:33.165428
235.19	10	125.3	42.01	0.0	-193.0	2022-10-19 13:56:34.167205
