curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	41.1	0.0	-0.0	2022-10-19 13:56:01.153083
50.0	1	304.0	44.09	0.0	-49.0	2022-10-19 13:56:02.153928
50.0	1	304.0	43.1	0.0	-49.0	2022-10-19 13:56:03.154829
50.0	1	304.0	42.96	0.0	-49.0	2022-10-19 13:56:04.158026
73.52	2	221.5	42.62	0.0	-71.0	2022-10-19 13:56:05.155727
79.71	2	221.5	42.84	0.0	-77.0	2022-10-19 13:56:06.160314
66.77	2	221.5	42.84	0.0	-64.0	2022-10-19 13:56:07.159484
96.66	3	194.0	42.73	0.0	-91.0	2022-10-19 13:56:08.163758
91.64	3	194.0	42.45	0.0	-86.0	2022-10-19 13:56:09.160645
110.23	3	201.3	42.51	0.0	-104.0	2022-10-19 13:56:10.160105
153.97	5	228.2	43.63	0.0	-139.0	2022-10-19 13:56:11.162144
165.28	5	228.2	43.59	0.0	-150.0	2022-10-19 13:56:12.167106
161.9	5	228.2	44.0	0.0	-147.0	2022-10-19 13:56:13.164719
167.5	11	146.6	43.3	0.0	-135.0	2022-10-19 13:56:14.164807
313.17	11	210.6	44.48	0.0	-252.0	2022-10-19 13:56:15.168088
300.75	11	210.6	44.18	0.0	-242.0	2022-10-19 13:56:16.168211
310.76	11	210.6	43.44	0.0	-250.0	2022-10-19 13:56:17.166270
524.34	19	195.7	43.58	0.0	-360.0	2022-10-19 13:56:18.168762
465.16	19	195.7	43.63	0.0	-319.0	2022-10-19 13:56:19.167898
443.0	19	195.7	43.73	0.0	-304.0	2022-10-19 13:56:20.167584
560.38	24	188.0	43.78	0.0	-348.0	2022-10-19 13:56:21.172066
512.43	24	185.0	43.92	0.00013235391436701742	-318.0	2022-10-19 13:56:22.171248
566.21	24	185.8	43.24	0.0	-352.0	2022-10-19 13:56:23.168021
762.44	30	172.9	43.26	0.0	-421.0	2022-10-19 13:56:24.172009
762.66	30	172.9	43.49	0.0	-421.0	2022-10-19 13:56:25.170472
719.87	30	172.9	43.71	0.0	-397.0	2022-10-19 13:56:26.173194
735.96	32	168.1	43.61	0.0	-391.0	2022-10-19 13:56:27.175989
741.43	32	169.2	43.36	0.0	-393.0	2022-10-19 13:56:28.174848
768.85	32	159.5	42.87	0.0002429174384356117	-406.0	2022-10-19 13:56:29.175196
766.04	31	159.6	42.93	0.0	-415.0	2022-10-19 13:56:30.178792
786.9	31	161.6	42.74	0.0	-426.0	2022-10-19 13:56:31.179207
770.17	31	161.6	43.08	0.0	-417.0	2022-10-19 13:56:32.177362
725.06	31	161.6	43.02	0.0	-392.0	2022-10-19 13:56:33.180621
685.01	27	172.1	43.02	0.0	-401.0	2022-10-19 13:56:34.183219
678.36	27	173.0	43.12	0.0	-397.0	2022-10-19 13:56:35.181016
683.61	27	173.6	43.0	0.0	-401.0	2022-10-19 13:56:36.180180
719.2	28	171.0	43.2	0.0	-413.0	2022-10-19 13:56:37.187437
694.94	28	171.0	43.26	0.0	-399.0	2022-10-19 13:56:38.187091
685.38	28	171.4	43.37	0.0	-394.0	2022-10-19 13:56:39.186726
690.75	30	166.4	43.39	0.0	-381.0	2022-10-19 13:56:40.190062
690.36	30	166.4	43.22	0.0	-381.0	2022-10-19 13:56:41.193235
732.43	30	166.4	42.94	0.0	-404.0	2022-10-19 13:56:42.194947
732.09	29	168.8	43.03	0.0	-412.0	2022-10-19 13:56:43.192659
726.36	29	168.8	43.2	0.0	-409.0	2022-10-19 13:56:44.192408
693.59	29	168.8	43.26	0.0	-391.0	2022-10-19 13:56:45.193638
689.01	25	168.8	43.42	0.0	-420.0	2022-10-19 13:56:46.191480
669.37	25	181.0	43.04	0.0	-408.0	2022-10-19 13:56:47.193789
661.63	25	181.0	42.84	0.0	-403.0	2022-10-19 13:56:48.194152
675.02	25	181.0	42.91	0.0	-411.0	2022-10-19 13:56:49.192821
623.94	22	181.3	42.79	0.0	-404.0	2022-10-19 13:56:50.199238
642.94	22	187.6	42.92	0.0	-416.0	2022-10-19 13:56:51.202983
606.57	22	188.9	43.08	0.0	-392.0	2022-10-19 13:56:52.199734
620.04	23	186.9	43.04	0.0	-393.0	2022-10-19 13:56:53.202927
601.85	23	186.9	43.19	0.0	-382.0	2022-10-19 13:56:54.201868
607.69	23	186.9	43.16	0.0	-385.0	2022-10-19 13:56:55.203106
522.99	22	182.4	43.71	0.00031978680879413726	-337.0	2022-10-19 13:56:56.203391
506.77	22	182.4	43.98	0.0	-328.0	2022-10-19 13:56:57.205457
499.6	22	179.3	43.97	0.00016492707867021652	-322.0	2022-10-19 13:56:58.206390
496.79	26	159.7	44.3	0.0002126804830210081	-296.0	2022-10-19 13:56:59.206967
505.18	26	160.2	44.23	0.0001154334526145677	-301.0	2022-10-19 13:57:00.207883
508.33	26	160.3	44.12	0.0	-304.0	2022-10-19 13:57:01.206662
486.12	25	150.3	45.54	0.00021823472356935015	-295.0	2022-10-19 13:57:02.208264
355.41	25	155.8	45.43	0.00022171310324440175	-216.0	2022-10-19 13:57:03.212105
359.17	25	141.8	45.39	0.0005786664952099274	-217.0	2022-10-19 13:57:04.212336
362.95	25	141.6	45.07	0.000260035754916301	-220.0	2022-10-19 13:57:05.217462
431.51	32	109.9	44.69	0.0007245956756130079	-226.0	2022-10-19 13:57:06.215441
404.93	32	109.8	44.56	0.00020373119124537966	-214.0	2022-10-19 13:57:07.216390
414.53	32	108.2	44.42	0.00027846620812564394	-219.0	2022-10-19 13:57:08.220810
405.57	32	108.6	44.62	5.4955623334157665e-05	-215.0	2022-10-19 13:57:09.220591
450.74	32	109.2	44.16	0.0002132821456183849	-238.0	2022-10-19 13:57:10.218267
422.55	32	109.7	44.15	5.302929868752486e-05	-224.0	2022-10-19 13:57:11.220276
433.49	31	110.6	43.95	0.00019423761735189383	-234.0	2022-10-19 13:57:12.222385
429.06	31	110.7	43.93	0.00010802344108671582	-232.0	2022-10-19 13:57:13.220184
473.86	31	111.5	44.02	0.00010331645831180907	-256.0	2022-10-19 13:57:14.223226
432.79	25	112.0	43.67	5.0626502974307047e-05	-264.0	2022-10-19 13:57:15.223547
378.62	25	116.5	43.77	0.0	-231.0	2022-10-19 13:57:16.222560
387.85	25	116.0	44.18	0.00018767594619956208	-236.0	2022-10-19 13:57:17.224837
336.22	22	116.0	43.99	9.777401166769872e-05	-217.0	2022-10-19 13:57:18.224880
326.78	22	116.5	44.14	0.0	-211.0	2022-10-19 13:57:19.225379
328.53	22	116.7	44.29	0.0001416179854841565	-212.0	2022-10-19 13:57:20.234793
313.05	22	116.5	43.91	0.00021763575029924915	-202.0	2022-10-19 13:57:21.229996
340.38	23	116.8	44.38	0.00014180374361883155	-215.0	2022-10-19 13:57:22.230025
331.01	23	116.3	44.61	0.0002816504717645402	-209.0	2022-10-19 13:57:23.236024
303.89	23	116.3	44.65	0.0002194586686174104	-192.0	2022-10-19 13:57:24.236880
319.78	22	113.1	44.26	0.0005003411416875142	-205.0	2022-10-19 13:57:25.235525
305.46	22	113.1	44.58	0.00022519141270079568	-197.0	2022-10-19 13:57:26.231850
301.5	22	113.0	44.54	0.00022615054087671028	-194.0	2022-10-19 13:57:27.237896
329.58	23	112.6	44.17	0.0001494656602645542	-209.0	2022-10-19 13:57:28.235131
303.54	23	112.6	44.17	0.0001839384909686201	-192.0	2022-10-19 13:57:29.236902
304.85	23	112.1	44.55	0.0003006162633398467	-192.0	2022-10-19 13:57:30.246243
314.46	22	112.2	44.93	0.0002308047391906447	-203.0	2022-10-19 13:57:31.239357
289.13	22	112.5	44.31	0.0004591157430788302	-186.0	2022-10-19 13:57:32.242375
291.71	22	112.8	44.74	0.00023839796567069293	-188.0	2022-10-19 13:57:33.243150
289.55	23	110.6	44.42	0.00031863623690604216	-183.0	2022-10-19 13:57:34.244965
309.36	23	111.3	45.1	0.0002352203230359103	-195.0	2022-10-19 13:57:35.244220
282.11	23	110.9	45.09	0.0003936078091789341	-178.0	2022-10-19 13:57:36.243919
288.63	23	111.1	45.0	0.00023801967629324025	-182.0	2022-10-19 13:57:37.250058
304.33	22	113.0	44.82	0.0001823985408116735	-196.0	2022-10-19 13:57:38.246540
273.35	22	113.4	45.15	0.00016244314489928524	-176.0	2022-10-19 13:57:39.245527
273.46	22	112.6	44.65	0.0003365870077415012	-176.0	2022-10-19 13:57:40.247596
