curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	10	10.0	38.55	0.0	-0.0	2022-10-19 13:34:17.511633
485.0	10	305.3	41.54	0.0	-398.0	2022-10-19 13:34:18.511714
445.0	10	317.1	41.9	0.0	-365.0	2022-10-19 13:34:19.511141
420.0	10	317.1	41.65	0.0	-345.0	2022-10-19 13:34:20.512840
764.95	26	225.0	44.12	0.0	-457.0	2022-10-19 13:34:21.512751
680.23	26	225.0	44.16	0.0	-406.0	2022-10-19 13:34:22.511370
673.31	26	225.5	43.95	0.0	-402.0	2022-10-19 13:34:23.513879
679.9	24	223.8	43.31	0.00024271353734754556	-421.0	2022-10-19 13:34:24.513466
682.62	24	223.8	43.31	0.0	-424.0	2022-10-19 13:34:25.516669
591.65	24	212.8	43.52	0.00038583968361145945	-366.0	2022-10-19 13:34:26.519194
614.74	24	212.8	43.45	0.0	-382.0	2022-10-19 13:34:27.517563
671.46	29	196.3	43.8	0.0	-378.0	2022-10-19 13:34:28.522235
620.38	29	190.2	43.68	5.631159080244017e-05	-349.0	2022-10-19 13:34:29.525387
593.98	29	180.6	43.54	0.00023076923076923076	-333.0	2022-10-19 13:34:30.524511
610.41	26	174.7	43.51	5.8055152394775034e-05	-364.0	2022-10-19 13:34:31.522202
541.03	26	183.7	43.81	0.00021423215624665262	-322.0	2022-10-19 13:34:32.523730
515.58	26	183.7	43.84	0.0	-308.0	2022-10-19 13:34:33.525443
532.3	26	183.7	43.82	0.0	-318.0	2022-10-19 13:34:34.526172
493.46	24	173.5	44.2	4.9686972075921695e-05	-307.0	2022-10-19 13:34:35.527737
446.88	24	167.2	43.78	0.000280662363177098	-277.0	2022-10-19 13:34:36.527806
450.61	24	162.7	43.68	0.00028188504215462674	-279.0	2022-10-19 13:34:37.526435
426.36	1	162.7	44.34	0.0	-418.0	2022-10-19 13:34:38.537524
35.0	1	209.0	41.89	0.0	-34.0	2022-10-19 13:34:39.535593
50.0	1	303.0	42.43	0.0	-49.0	2022-10-19 13:34:40.536116
50.0	1	303.0	43.18	0.0	-49.0	2022-10-19 13:34:41.550283
292.3	18	79.1	42.85	0.0	-205.0	2022-10-19 13:34:42.539117
281.39	18	79.3	43.05	0.0	-197.0	2022-10-19 13:34:43.541383
283.27	18	79.3	42.85	0.0	-198.0	2022-10-19 13:34:44.533887
335.54	27	76.6	43.38	0.0	-197.0	2022-10-19 13:34:45.538452
380.42	27	77.2	43.65	0.0	-223.0	2022-10-19 13:34:46.538324
358.49	27	77.2	43.35	0.0	-210.0	2022-10-19 13:34:47.539177
358.07	27	77.2	43.54	0.0	-210.0	2022-10-19 13:34:48.544059
342.58	26	76.3	43.49	0.0	-205.0	2022-10-19 13:34:49.545319
348.23	26	76.3	43.55	0.0	-208.0	2022-10-19 13:34:50.544762
344.94	26	76.3	43.44	0.0	-206.0	2022-10-19 13:34:51.545644
353.3	24	76.4	43.61	0.0	-220.0	2022-10-19 13:34:52.540563
326.34	24	77.0	43.51	0.0	-203.0	2022-10-19 13:34:53.545294
334.89	24	77.0	43.44	0.0	-208.0	2022-10-19 13:34:54.545291
347.85	24	77.8	43.5	0.0	-216.0	2022-10-19 13:34:55.563267
222.84	10	109.2	42.17	0.0	-183.0	2022-10-19 13:34:56.551498
207.45	10	109.2	42.16	0.0	-170.0	2022-10-19 13:34:57.550403
214.63	10	111.3	42.11	0.0	-176.0	2022-10-19 13:34:58.550083
348.32	28	94.0	42.35	0.0	-200.0	2022-10-19 13:34:59.552401
492.28	28	94.6	42.54	0.0	-283.0	2022-10-19 13:35:00.555057
492.87	28	97.6	42.37	0.0	-283.0	2022-10-19 13:35:01.553501
530.55	28	97.6	42.16	0.0	-305.0	2022-10-19 13:35:02.556942
496.79	25	101.8	42.27	0.0	-303.0	2022-10-19 13:35:03.558399
483.27	25	101.8	42.47	0.0	-295.0	2022-10-19 13:35:04.556550
466.44	25	101.8	42.54	0.0	-284.0	2022-10-19 13:35:05.556660
