curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	41.29	0.0	-0.0	2022-10-19 13:35:10.851381
15.0	1	83.0	42.54	0.0	-15.0	2022-10-19 13:35:11.854261
14.16	1	83.0	43.04	0.0	-14.0	2022-10-19 13:35:12.860020
15.12	1	83.0	42.61	0.0	-15.0	2022-10-19 13:35:13.861578
44.75	3	80.3	42.51	0.0	-42.0	2022-10-19 13:35:14.856470
49.52	3	80.3	42.19	0.0	-47.0	2022-10-19 13:35:15.857015
48.51	3	80.3	42.8	0.0	-46.0	2022-10-19 13:35:16.859665
61.52	4	81.0	43.01	0.0	-57.0	2022-10-19 13:35:17.860640
57.4	4	81.0	43.01	0.0	-53.0	2022-10-19 13:35:18.864315
64.31	4	81.0	42.77	0.0	-59.0	2022-10-19 13:35:19.860914
77.5	6	81.7	42.81	0.0	-69.0	2022-10-19 13:35:20.873857
88.91	6	81.7	42.75	0.0	-79.0	2022-10-19 13:35:21.867963
92.5	6	81.7	43.04	0.0	-82.0	2022-10-19 13:35:22.865181
91.75	6	81.7	42.89	0.0	-81.0	2022-10-19 13:35:23.865767
88.87	6	81.7	43.01	0.0	-79.0	2022-10-19 13:35:24.868658
93.58	6	81.7	42.79	0.0	-83.0	2022-10-19 13:35:25.867010
94.96	6	81.7	42.7	0.0	-84.0	2022-10-19 13:35:26.868411
124.17	8	81.2	42.57	0.0	-106.0	2022-10-19 13:35:27.872078
118.93	8	81.2	43.09	0.0	-102.0	2022-10-19 13:35:28.869349
116.27	8	81.2	43.35	0.0	-99.0	2022-10-19 13:35:29.875254
129.44	9	80.8	42.95	0.0	-108.0	2022-10-19 13:35:30.870489
128.81	9	80.8	43.19	0.0	-108.0	2022-10-19 13:35:31.876317
126.56	9	80.8	42.88	0.0	-106.0	2022-10-19 13:35:32.874573
145.97	11	81.2	43.16	0.0	-117.0	2022-10-19 13:35:33.875719
154.72	11	81.2	42.72	0.0	-124.0	2022-10-19 13:35:34.879545
157.14	11	81.2	43.27	0.0	-126.0	2022-10-19 13:35:35.875010
169.11	13	78.5	43.27	0.0	-131.0	2022-10-19 13:35:36.876519
168.6	13	78.8	43.55	0.0	-130.0	2022-10-19 13:35:37.877276
175.58	13	78.8	43.26	0.0	-136.0	2022-10-19 13:35:38.874856
171.57	15	72.8	43.56	0.0	-127.0	2022-10-19 13:35:39.884521
191.98	15	78.2	43.73	0.0	-143.0	2022-10-19 13:35:40.884549
182.9	15	75.4	43.75	0.000253324889170361	-135.0	2022-10-19 13:35:41.882591
184.07	15	75.1	44.16	0.00025516713447307985	-136.0	2022-10-19 13:35:42.890479
228.8	18	76.3	43.29	0.0	-160.0	2022-10-19 13:35:43.887336
