curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.57	1	10.0	38.54	0.0	-8.0	2022-10-19 13:33:24.566831
49.14	1	446.0	39.15	0.0	-48.0	2022-10-19 13:33:25.569835
50.0	1	446.0	39.45	0.0	-49.0	2022-10-19 13:33:26.569961
50.0	1	446.0	39.31	0.0	-49.0	2022-10-19 13:33:27.568917
90.0	2	422.0	39.16	0.0	-87.0	2022-10-19 13:33:28.571498
100.0	2	445.0	39.37	0.0	-96.0	2022-10-19 13:33:29.570515
100.0	2	445.0	39.33	0.0	-96.0	2022-10-19 13:33:30.571971
160.0	4	390.2	39.12	0.0	-148.0	2022-10-19 13:33:31.571256
200.0	4	446.8	39.33	0.0	-185.0	2022-10-19 13:33:32.574637
200.0	4	446.8	39.47	0.0	-185.0	2022-10-19 13:33:33.576379
280.0	8	371.0	39.24	0.0	-239.0	2022-10-19 13:33:34.578087
400.0	8	442.8	40.12	0.0	-341.0	2022-10-19 13:33:35.573634
400.0	8	443.1	40.02	0.0	-341.0	2022-10-19 13:33:36.580300
429.11	14	302.4	40.49	0.0	-325.0	2022-10-19 13:33:37.576808
710.89	14	432.9	40.0	0.0	-539.0	2022-10-19 13:33:38.575732
700.0	14	442.4	40.17	0.0	-531.0	2022-10-19 13:33:39.574948
700.0	14	442.4	40.3	0.0	-531.0	2022-10-19 13:33:40.578649
1070.0	22	378.5	43.97	0.0	-692.0	2022-10-19 13:33:41.578372
1020.0	22	379.3	44.08	0.0	-660.0	2022-10-19 13:33:42.579058
955.0	22	379.3	43.86	0.0	-618.0	2022-10-19 13:33:43.580727
1097.6	32	273.5	44.54	0.0004175519176685866	-578.0	2022-10-19 13:33:44.582595
988.76	32	262.9	44.24	6.139941547756465e-05	-524.0	2022-10-19 13:33:45.586942
954.32	32	263.2	44.16	0.0	-506.0	2022-10-19 13:33:46.587380
960.32	31	268.6	44.1	0.0	-520.0	2022-10-19 13:33:47.588867
925.91	31	268.6	44.19	0.0	-501.0	2022-10-19 13:33:48.589410
917.68	31	268.6	44.31	0.0	-497.0	2022-10-19 13:33:49.590677
966.71	32	265.1	44.33	0.0	-513.0	2022-10-19 13:33:50.591363
965.17	32	237.9	43.9	0.0003565193872784048	-509.0	2022-10-19 13:33:51.592509
943.41	32	244.0	43.68	0.0002459026471419965	-498.0	2022-10-19 13:33:52.593142
925.44	32	244.0	43.59	0.0	-491.0	2022-10-19 13:33:53.595367
940.96	32	244.0	43.74	0.0	-499.0	2022-10-19 13:33:54.594079
938.96	32	244.0	43.74	0.0	-498.0	2022-10-19 13:33:55.595554
956.35	32	244.0	43.77	0.0	-507.0	2022-10-19 13:33:56.596748
943.07	32	244.0	43.74	0.0	-500.0	2022-10-19 13:33:57.594798
925.32	32	244.0	43.83	0.0	-491.0	2022-10-19 13:33:58.600087
951.76	32	244.0	43.65	0.0	-505.0	2022-10-19 13:33:59.601254
913.19	31	240.8	43.83	0.0	-494.0	2022-10-19 13:34:00.599595
950.28	31	240.8	43.7	0.0	-514.0	2022-10-19 13:34:01.603026
954.78	31	240.8	43.72	0.0	-517.0	2022-10-19 13:34:02.604342
914.74	29	240.7	43.61	0.0	-515.0	2022-10-19 13:34:03.604358
928.24	29	240.7	43.59	0.0	-523.0	2022-10-19 13:34:04.606523
933.23	29	261.2	43.18	0.0	-526.0	2022-10-19 13:34:05.607509
903.66	26	270.9	42.98	0.0	-540.0	2022-10-19 13:34:06.605576
929.75	26	275.9	43.2	0.0	-556.0	2022-10-19 13:34:07.602351
925.28	26	286.5	43.17	0.0	-553.0	2022-10-19 13:34:08.603631
921.65	22	285.1	42.6	0.0	-596.0	2022-10-19 13:34:09.603600
920.0	22	325.6	42.09	0.0	-595.0	2022-10-19 13:34:10.606170
915.0	22	334.7	42.2	0.0	-592.0	2022-10-19 13:34:11.607532
945.0	22	334.7	42.31	0.0	-611.0	2022-10-19 13:34:12.611347
815.0	17	423.2	41.53	0.0	-582.0	2022-10-19 13:34:13.611864
890.0	17	447.5	40.52	0.0	-636.0	2022-10-19 13:34:14.610535
855.0	17	462.8	40.7	0.0	-611.0	2022-10-19 13:34:15.613913
620.0	11	505.8	39.58	0.0	-499.0	2022-10-19 13:34:16.613133
550.0	11	510.9	39.76	0.0	-442.0	2022-10-19 13:34:17.614103
550.0	11	510.9	45.67	0.0	-442.0	2022-10-19 13:34:18.614999
575.0	12	492.6	45.69	0.0	-453.0	2022-10-19 13:34:19.618553
570.0	12	501.2	45.8	0.0	-449.0	2022-10-19 13:34:20.620197
385.0	12	404.3	47.43	0.0011616446071529146	-299.0	2022-10-19 13:34:21.621690
290.0	10	341.3	46.06	0.0008915906788247214	-235.0	2022-10-19 13:34:22.621825
240.0	10	336.5	46.08	0.0	-197.0	2022-10-19 13:34:23.619050
250.0	10	367.5	45.85	0.0	-205.0	2022-10-19 13:34:24.628045
287.34	13	304.2	45.33	0.0	-222.0	2022-10-19 13:34:25.623409
