curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	30	10.0	0.0	0.0	-0.0	2022-10-19 11:40:29.213161
1184.35	30	303.4	44.75	0.00010036561760699692	-653.0	2022-10-19 11:40:30.214241
884.72	30	303.4	44.76	0.0	-488.0	2022-10-19 11:40:31.214055
859.84	30	296.7	45.19	0.00021727617159385653	-473.0	2022-10-19 11:40:32.215331
835.8	29	301.1	45.09	0.0	-471.0	2022-10-19 11:40:33.215918
840.09	29	301.1	45.1	0.0	-473.0	2022-10-19 11:40:34.217218
810.61	29	290.5	45.17	0.00024830930575639394	-454.0	2022-10-19 11:40:35.217421
754.06	32	270.3	45.78	9.098905098419823e-05	-399.0	2022-10-19 11:40:36.219276
767.7	32	265.3	45.75	0.00020015704629786448	-406.0	2022-10-19 11:40:37.221326
720.15	32	265.3	45.68	0.0	-382.0	2022-10-19 11:40:38.220467
753.53	30	265.4	45.61	0.0	-416.0	2022-10-19 11:40:39.231055
721.83	30	264.9	45.77	0.0001337332594616281	-398.0	2022-10-19 11:40:40.224703
690.21	30	260.8	45.74	0.00035247318686114235	-379.0	2022-10-19 11:40:41.226240
669.34	30	260.8	45.99	0.0	-370.0	2022-10-19 11:40:42.226163
647.56	28	260.8	45.78	0.0	-372.0	2022-10-19 11:40:43.226814
575.59	28	242.4	45.87	0.0	-331.0	2022-10-19 11:40:44.229121
570.06	28	242.4	45.84	0.0	-327.0	2022-10-19 11:40:45.228737
573.5	30	226.9	45.56	0.0	-317.0	2022-10-19 11:40:46.244859
573.13	30	223.5	46.33	0.000418988561612268	-314.0	2022-10-19 11:40:47.230665
531.56	30	223.7	46.35	0.0	-293.0	2022-10-19 11:40:48.233359
519.81	30	221.8	46.22	0.00011438244915700135	-286.0	2022-10-19 11:40:49.234221
461.35	23	209.1	46.46	0.000754386391842893	-289.0	2022-10-19 11:40:50.233794
375.35	23	221.5	45.84	0.0	-238.0	2022-10-19 11:40:51.237578
386.43	23	223.0	46.23	0.0	-245.0	2022-10-19 11:40:52.235158
373.35	30	159.9	46.96	0.0004958472790380563	-204.0	2022-10-19 11:40:53.239056
449.36	30	148.4	45.92	0.0017443024220068057	-240.0	2022-10-19 11:40:54.242389
403.63	30	154.2	45.54	0.00046288260140021984	-221.0	2022-10-19 11:40:55.240936
393.75	30	153.1	45.59	0.00011582452584334733	-217.0	2022-10-19 11:40:56.241917
313.12	1	152.4	45.78	0.00010298130889243603	-307.0	2022-10-19 11:40:57.248553
25.0	1	150.3	45.38	0.0	-25.0	2022-10-19 11:40:58.248348
20.0	1	162.3	45.16	0.0	-20.0	2022-10-19 11:40:59.253146
45.0	1	318.0	41.39	0.0	-44.0	2022-10-19 11:41:00.255716
520.02	30	103.3	43.16	0.0	-287.0	2022-10-19 11:41:01.244066
450.79	30	103.7	43.13	0.0	-249.0	2022-10-19 11:41:02.248048
464.74	30	103.7	43.13	0.0	-257.0	2022-10-19 11:41:03.246290
479.27	30	103.7	43.11	0.0	-265.0	2022-10-19 11:41:04.248316
486.36	30	103.7	42.79	0.0	-269.0	2022-10-19 11:41:05.250298
502.04	30	103.7	42.99	0.0	-277.0	2022-10-19 11:41:06.250981
488.23	30	103.7	43.09	0.0	-270.0	2022-10-19 11:41:07.255412
466.54	30	103.8	43.1	0.0	-258.0	2022-10-19 11:41:08.252031
454.63	30	103.8	43.18	0.0	-251.0	2022-10-19 11:41:09.251871
458.73	30	103.8	43.36	0.0	-253.0	2022-10-19 11:41:10.256320
448.66	31	103.6	43.12	0.0	-243.0	2022-10-19 11:41:11.255477
470.17	31	103.6	43.08	0.0	-254.0	2022-10-19 11:41:12.253924
467.34	31	103.6	43.22	0.0	-253.0	2022-10-19 11:41:13.257131
455.43	31	103.6	43.41	0.0	-246.0	2022-10-19 11:41:14.258736
436.91	28	103.3	43.13	0.0	-251.0	2022-10-19 11:41:15.255727
444.74	28	103.3	42.85	0.0	-255.0	2022-10-19 11:41:16.260179
450.94	28	103.3	42.85	0.0	-259.0	2022-10-19 11:41:17.260114
453.61	32	91.6	42.46	0.0	-241.0	2022-10-19 11:41:18.261276
512.85	32	99.5	42.89	0.0	-272.0	2022-10-19 11:41:19.262948
511.44	32	99.5	43.06	0.0	-271.0	2022-10-19 11:41:20.263846
513.14	32	99.5	42.89	0.0	-272.0	2022-10-19 11:41:21.268129
497.13	29	100.4	43.04	0.0	-280.0	2022-10-19 11:41:22.265841
485.31	29	102.2	43.16	0.0	-273.0	2022-10-19 11:41:23.269202
465.34	29	102.2	43.0	0.0	-262.0	2022-10-19 11:41:24.272095
479.36	29	102.2	43.14	0.0	-270.0	2022-10-19 11:41:25.287666
477.59	29	102.2	43.04	0.0	-269.0	2022-10-19 11:41:26.272609
455.87	29	102.2	43.06	0.0	-257.0	2022-10-19 11:41:27.271889
466.52	29	102.2	43.17	0.0	-263.0	2022-10-19 11:41:28.271342
481.07	32	99.8	43.07	0.0	-255.0	2022-10-19 11:41:29.276553
493.88	32	101.2	43.26	0.0	-262.0	2022-10-19 11:41:30.278999
480.85	32	101.2	43.13	0.0	-255.0	2022-10-19 11:41:31.275471
474.46	32	101.2	43.35	0.0	-252.0	2022-10-19 11:41:32.279737
444.76	29	102.2	43.42	0.0	-250.0	2022-10-19 11:41:33.275743
440.66	29	102.2	43.21	0.0	-248.0	2022-10-19 11:41:34.278570
405.61	29	102.2	43.39	0.0	-228.0	2022-10-19 11:41:35.278210
415.87	29	102.2	43.52	0.0	-234.0	2022-10-19 11:41:36.282237
421.08	30	101.8	43.56	0.0	-232.0	2022-10-19 11:41:37.280310
394.22	30	101.8	43.68	0.0	-218.0	2022-10-19 11:41:38.286529
385.68	30	101.8	43.87	0.0	-213.0	2022-10-19 11:41:39.285649
410.56	32	101.2	43.93	0.0	-218.0	2022-10-19 11:41:40.283411
401.98	32	101.3	43.8	0.0	-213.0	2022-10-19 11:41:41.283581
396.83	32	101.3	44.08	0.0	-211.0	2022-10-19 11:41:42.285821
