curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	42.67	0.0	-0.0	2022-10-19 11:40:31.637245
45.0	1	336.0	44.42	0.0	-44.0	2022-10-19 11:40:32.641178
40.0	1	336.0	44.18	0.0	-39.0	2022-10-19 11:40:33.636794
35.0	1	336.0	44.16	0.0	-34.0	2022-10-19 11:40:34.642240
81.6	3	200.7	43.08	0.0	-77.0	2022-10-19 11:40:35.644358
73.4	3	200.7	42.93	0.0	-69.0	2022-10-19 11:40:36.640469
78.35	3	200.7	43.4	0.0	-74.0	2022-10-19 11:40:37.644379
66.65	2	234.0	44.04	0.0	-64.0	2022-10-19 11:40:38.642512
55.0	2	234.0	44.48	0.0	-53.0	2022-10-19 11:40:39.642851
50.0	2	234.0	43.91	0.0	-48.0	2022-10-19 11:40:40.641365
73.26	4	180.2	43.49	0.0	-68.0	2022-10-19 11:40:41.643844
95.12	4	180.2	43.46	0.0	-88.0	2022-10-19 11:40:42.642494
95.12	4	180.2	43.12	0.0	-88.0	2022-10-19 11:40:43.642745
102.98	4	180.2	43.25	0.0	-95.0	2022-10-19 11:40:44.642133
103.56	4	186.2	42.76	0.0	-96.0	2022-10-19 11:40:45.644061
101.43	4	186.2	42.74	0.0	-94.0	2022-10-19 11:40:46.651290
99.9	4	186.2	42.73	0.0	-92.0	2022-10-19 11:40:47.650830
152.03	6	191.3	44.0	0.0	-135.0	2022-10-19 11:40:48.649622
147.39	6	191.3	43.6	0.0	-131.0	2022-10-19 11:40:49.649702
128.09	6	193.7	44.15	0.0	-114.0	2022-10-19 11:40:50.649589
157.06	7	186.9	43.68	0.0	-137.0	2022-10-19 11:40:51.655515
160.87	7	186.9	43.86	0.0	-140.0	2022-10-19 11:40:52.652302
141.97	7	186.9	44.92	0.0	-124.0	2022-10-19 11:40:53.652531
129.04	9	153.4	45.2	0.0007238508867173362	-107.0	2022-10-19 11:40:54.656090
137.61	9	154.6	45.05	0.00017155601303825698	-115.0	2022-10-19 11:40:55.655595
135.53	9	153.0	45.24	0.0005197055002165439	-113.0	2022-10-19 11:40:56.657447
146.73	6	157.9	43.19	0.0	-130.0	2022-10-19 11:40:57.663142
213.06	6	215.3	42.23	0.0	-189.0	2022-10-19 11:40:58.657765
207.96	6	231.7	41.67	0.0	-185.0	2022-10-19 11:40:59.657600
218.03	8	142.2	45.59	0.00042176296921130323	-185.0	2022-10-19 11:41:00.658641
137.36	8	156.2	45.35	0.0006164594677899928	-116.0	2022-10-19 11:41:01.659714
116.67	8	156.2	45.25	0.0	-100.0	2022-10-19 11:41:02.662421
117.22	8	156.2	45.31	0.0	-100.0	2022-10-19 11:41:03.666155
50.77	2	256.3	48.06	0.0	-49.0	2022-10-19 11:41:04.673089
35.0	2	218.5	45.77	0.0	-34.0	2022-10-19 11:41:05.666709
35.0	2	179.0	45.18	0.0020161290322580645	-33.0	2022-10-19 11:41:06.671150
66.47	4	152.5	44.9	0.0	-61.0	2022-10-19 11:41:07.669271
54.5	4	152.5	44.93	0.0	-50.0	2022-10-19 11:41:08.670011
56.31	4	152.5	44.81	0.0	-52.0	2022-10-19 11:41:09.672742
61.23	3	152.5	44.67	0.0	-58.0	2022-10-19 11:41:10.671579
45.12	3	170.7	45.57	0.0	-43.0	2022-10-19 11:41:11.675546
