curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.57	0.0	-8.0	2022-10-19 11:40:27.168668
49.17	1	1296.0	39.58	0.0	-48.0	2022-10-19 11:40:28.164417
50.0	1	1296.0	39.79	0.0	-49.0	2022-10-19 11:40:29.166152
50.0	1	1296.0	48.84	0.0	-49.0	2022-10-19 11:40:30.160833
80.0	2	763.5	48.08	0.0	-77.0	2022-10-19 11:40:31.166112
70.0	2	763.5	48.37	0.0	-67.0	2022-10-19 11:40:32.164872
75.0	2	763.5	45.31	0.0	-72.0	2022-10-19 11:40:33.165115
94.09	3	565.7	46.26	0.0	-89.0	2022-10-19 11:40:34.164496
100.02	3	565.7	46.16	0.0	-94.0	2022-10-19 11:40:35.167152
100.23	3	565.7	47.23	0.0	-94.0	2022-10-19 11:40:36.174241
120.91	5	388.8	45.5	0.0	-110.0	2022-10-19 11:40:37.178147
140.16	5	388.8	44.59	0.0	-127.0	2022-10-19 11:40:38.179323
135.93	5	388.8	45.6	0.0	-123.0	2022-10-19 11:40:39.174817
145.7	8	267.0	43.1	0.0	-124.0	2022-10-19 11:40:40.173048
220.8	8	297.4	43.81	0.0	-188.0	2022-10-19 11:40:41.175432
184.56	8	297.4	44.3	0.0	-158.0	2022-10-19 11:40:42.175569
190.61	8	297.4	43.74	0.0	-163.0	2022-10-19 11:40:43.172764
281.13	16	185.4	44.87	0.0002304997234003319	-204.0	2022-10-19 11:40:44.173217
270.74	16	185.6	44.84	0.0	-197.0	2022-10-19 11:40:45.174296
258.54	16	185.6	44.29	0.0	-188.0	2022-10-19 11:40:46.181082
327.3	21	148.7	45.08	0.0009353776078734393	-213.0	2022-10-19 11:40:47.179821
297.33	21	137.6	44.69	0.000657971126678794	-194.0	2022-10-19 11:40:48.177368
304.43	21	141.4	44.65	0.00011568718186024989	-201.0	2022-10-19 11:40:49.178002
379.08	27	124.7	44.73	0.0007725804185981177	-219.0	2022-10-19 11:40:50.177797
364.29	27	124.7	44.49	0.0	-213.0	2022-10-19 11:40:51.179813
394.25	27	124.7	44.1	0.0	-231.0	2022-10-19 11:40:52.178074
434.39	32	119.2	44.45	0.00011263798152737103	-230.0	2022-10-19 11:40:53.184185
419.59	32	110.1	44.69	0.0005316767405417507	-220.0	2022-10-19 11:40:54.183075
407.94	32	110.5	44.34	0.0	-216.0	2022-10-19 11:40:55.189858
414.78	32	110.5	44.52	2.8472993365792545e-05	-220.0	2022-10-19 11:40:56.184172
405.77	32	110.5	44.16	5.677140991796531e-05	-215.0	2022-10-19 11:40:57.185548
450.73	32	114.1	43.76	5.095411581870525e-05	-239.0	2022-10-19 11:40:58.186124
612.09	32	125.5	42.9	0.0	-325.0	2022-10-19 11:40:59.189781
633.6	26	134.3	42.17	0.0	-379.0	2022-10-19 11:41:00.187195
485.64	26	130.2	44.13	0.0002313565203979332	-289.0	2022-10-19 11:41:01.190456
371.89	26	126.7	43.99	0.00018281535648994517	-222.0	2022-10-19 11:41:02.192319
358.68	24	125.8	44.1	0.0	-223.0	2022-10-19 11:41:03.191652
