curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	24	10.0	0.0	0.0	-0.0	2022-10-17 14:53:19.107578
785.32	24	280.2	45.4	0.0	-488.0	2022-10-17 14:53:20.108378
571.57	24	280.2	45.07	0.0	-355.0	2022-10-17 14:53:21.108486
596.24	24	280.2	44.75	0.0	-371.0	2022-10-17 14:53:22.109165
565.41	21	289.5	44.56	0.0	-373.0	2022-10-17 14:53:23.110517
591.12	21	287.3	44.19	0.0	-390.0	2022-10-17 14:53:24.113107
620.84	21	287.3	43.82	0.0	-410.0	2022-10-17 14:53:25.113457
495.62	9	328.6	43.35	0.0	-415.0	2022-10-17 14:53:26.117668
417.36	9	373.1	40.75	0.0	-349.0	2022-10-17 14:53:27.118868
450.0	9	440.6	40.59	0.0	-377.0	2022-10-17 14:53:28.116065
440.0	9	467.7	40.33	0.0	-368.0	2022-10-17 14:53:29.153643
860.5	24	306.5	46.23	0.0	-535.0	2022-10-17 14:53:30.117370
626.73	24	295.6	46.67	0.00044006336912515403	-387.0	2022-10-17 14:53:31.118474
511.68	24	268.1	45.75	0.00024162548050521692	-317.0	2022-10-17 14:53:32.122381
539.56	24	262.1	45.52	2.1875136719604496e-05	-335.0	2022-10-17 14:53:33.120879
555.94	24	262.1	45.41	0.0	-346.0	2022-10-17 14:53:34.123387
532.6	24	254.9	45.38	0.00025508035031034776	-330.0	2022-10-17 14:53:35.122576
529.57	24	254.9	45.09	0.0	-329.0	2022-10-17 14:53:36.124792
484.27	21	236.7	44.94	0.006979695431472081	-286.0	2022-10-17 14:53:37.126014
467.71	21	233.1	44.91	0.0001250750450270162	-308.0	2022-10-17 14:53:38.127913
448.37	21	233.1	44.99	0.0	-296.0	2022-10-17 14:53:39.127813
490.3	24	215.3	45.35	0.00022751403003185196	-304.0	2022-10-17 14:53:40.127151
476.85	24	209.2	45.13	0.000272236796515369	-295.0	2022-10-17 14:53:41.129137
446.05	24	209.2	45.12	0.0	-277.0	2022-10-17 14:53:42.132226
469.3	24	205.9	45.39	0.00014865835831619632	-291.0	2022-10-17 14:53:43.157848
220.3	9	256.5	45.36	0.0	-184.0	2022-10-17 14:53:44.133708
220.0	9	261.0	44.73	0.0	-184.0	2022-10-17 14:53:45.134529
215.0	9	261.0	45.56	0.0	-180.0	2022-10-17 14:53:46.137072
395.29	30	147.6	45.53	0.0004626903339782956	-216.0	2022-10-17 14:53:47.137435
422.98	30	146.4	45.13	8.158159519212466e-05	-233.0	2022-10-17 14:53:48.135776
414.61	30	145.4	45.5	5.411987552428629e-05	-229.0	2022-10-17 14:53:49.140540
442.38	30	145.4	45.07	0.0	-244.0	2022-10-17 14:53:50.137683
379.09	24	154.5	45.13	0.0	-236.0	2022-10-17 14:53:51.137523
366.02	24	154.5	44.83	0.0	-228.0	2022-10-17 14:53:52.138947
362.16	24	154.5	45.17	0.0	-225.0	2022-10-17 14:53:53.139775
343.82	22	148.7	45.15	0.0003272786777941417	-221.0	2022-10-17 14:53:54.139815
342.68	22	154.2	44.97	0.0	-222.0	2022-10-17 14:53:55.140756
340.85	22	154.2	44.79	0.0	-220.0	2022-10-17 14:53:56.142095
346.18	22	154.2	44.99	0.0	-224.0	2022-10-17 14:53:57.158783
386.27	24	154.7	44.73	0.0	-240.0	2022-10-17 14:53:58.145611
382.78	24	154.7	44.62	0.0	-238.0	2022-10-17 14:53:59.147243
389.85	24	154.7	44.74	0.0	-242.0	2022-10-17 14:54:00.151932
373.63	21	154.7	44.78	0.0	-247.0	2022-10-17 14:54:01.146851
333.51	21	156.4	44.88	0.0	-220.0	2022-10-17 14:54:02.148737
332.97	21	156.4	44.87	0.0	-220.0	2022-10-17 14:54:03.150577
336.42	21	156.4	44.67	0.0	-222.0	2022-10-17 14:54:04.156739
370.77	24	150.5	45.19	3.294350189425136e-05	-230.0	2022-10-17 14:54:05.155211
369.77	24	150.5	44.81	0.0	-230.0	2022-10-17 14:54:06.154088
361.36	24	150.5	44.75	0.0	-225.0	2022-10-17 14:54:07.157971
376.38	24	150.5	45.17	0.0	-234.0	2022-10-17 14:54:08.157082
369.51	24	150.5	45.01	0.0	-230.0	2022-10-17 14:54:09.159684
361.58	24	150.5	45.23	0.0	-225.0	2022-10-17 14:54:10.159466
367.71	24	150.5	44.72	0.0	-229.0	2022-10-17 14:54:11.158010
328.46	21	156.4	45.01	0.0	-217.0	2022-10-17 14:54:12.160244
318.18	21	156.4	45.31	0.0	-210.0	2022-10-17 14:54:13.165890
324.7	21	156.4	45.02	0.0	-214.0	2022-10-17 14:54:14.165393
308.67	1	156.4	45.27	0.0	-303.0	2022-10-17 14:54:15.170976
43.28	1	209.2	44.85	0.0	-42.0	2022-10-17 14:54:16.171777
20.0	1	139.5	44.18	0.0	-20.0	2022-10-17 14:54:17.173496
25.0	1	310.0	46.82	0.0	-25.0	2022-10-17 14:54:18.171880
283.99	24	93.1	43.18	0.00023972192256981902	-176.0	2022-10-17 14:54:19.166409
387.42	24	86.6	42.9	0.0005318520269471694	-239.0	2022-10-17 14:54:20.168654
394.23	24	86.5	43.03	0.00011809512562368988	-245.0	2022-10-17 14:54:21.172596
382.21	24	86.7	42.7	6.0302719652656335e-05	-237.0	2022-10-17 14:54:22.174907
386.39	24	87.1	42.74	0.0	-240.0	2022-10-17 14:54:23.170708
379.51	24	87.5	42.78	0.0	-236.0	2022-10-17 14:54:24.173075
393.28	24	87.8	42.53	0.0	-245.0	2022-10-17 14:54:25.172546
427.66	24	89.2	42.36	0.0	-266.0	2022-10-17 14:54:26.174328
400.43	24	89.2	42.26	0.0	-249.0	2022-10-17 14:54:27.175530
401.9	24	89.5	42.51	0.0	-250.0	2022-10-17 14:54:28.176460
438.9	24	89.1	42.31	5.443213673352747e-05	-273.0	2022-10-17 14:54:29.178245
422.78	24	89.2	42.28	0.0	-263.0	2022-10-17 14:54:30.177753
422.6	24	89.4	42.49	0.0	-263.0	2022-10-17 14:54:31.180388
401.81	24	91.0	42.74	0.0	-250.0	2022-10-17 14:54:32.180548
375.47	24	91.0	42.69	0.0	-233.0	2022-10-17 14:54:33.196784
393.46	24	91.0	42.64	0.0	-245.0	2022-10-17 14:54:34.183601
374.11	24	91.0	42.61	0.0	-233.0	2022-10-17 14:54:35.190702
399.42	24	91.0	42.56	0.0	-248.0	2022-10-17 14:54:36.186411
402.98	24	90.7	42.7	5.8050097233912865e-05	-250.0	2022-10-17 14:54:37.186666
384.91	24	90.2	42.66	8.963518479787266e-05	-239.0	2022-10-17 14:54:38.188227
392.17	24	90.6	42.78	0.0	-244.0	2022-10-17 14:54:39.190047
383.67	24	90.5	42.6	6.008351608736143e-05	-238.0	2022-10-17 14:54:40.190422
384.08	24	91.3	42.93	0.0	-239.0	2022-10-17 14:54:41.191275
371.65	24	91.4	42.61	0.0	-231.0	2022-10-17 14:54:42.192157
380.45	24	91.0	42.91	6.0905049028564466e-05	-236.0	2022-10-17 14:54:43.193539
378.45	24	91.0	42.85	6.200204606752023e-05	-235.0	2022-10-17 14:54:44.191497
348.87	21	92.6	42.74	0.0	-230.0	2022-10-17 14:54:45.195032
331.14	21	92.8	42.91	0.0	-218.0	2022-10-17 14:54:46.197111
336.78	21	92.8	43.14	0.0	-222.0	2022-10-17 14:54:47.198111
311.76	21	92.9	42.92	0.0	-206.0	2022-10-17 14:54:48.210238
347.48	24	92.2	43.22	0.0	-216.0	2022-10-17 14:54:49.198957
333.97	24	91.8	43.12	6.84931506849315e-05	-207.0	2022-10-17 14:54:50.200417
321.08	24	91.8	43.31	7.249791568492405e-05	-199.0	2022-10-17 14:54:51.198595
323.89	24	92.1	43.4	0.0	-201.0	2022-10-17 14:54:52.200553
321.84	24	92.2	43.37	0.0	-200.0	2022-10-17 14:54:53.201017
317.86	24	91.9	43.31	7.276166915269036e-05	-197.0	2022-10-17 14:54:54.202652
314.83	24	91.7	43.39	7.380618495829951e-05	-196.0	2022-10-17 14:54:55.201058
301.83	21	92.1	43.72	0.0	-199.0	2022-10-17 14:54:56.206716
290.5	21	92.5	42.99	0.0001869508319312021	-191.0	2022-10-17 14:54:57.208627
278.94	21	92.3	42.96	7.619918466872404e-05	-184.0	2022-10-17 14:54:58.208004
302.19	21	92.3	43.12	7.564868749527195e-05	-199.0	2022-10-17 14:54:59.223093
324.8	24	90.4	43.13	0.0	-202.0	2022-10-17 14:55:00.209465
376.85	24	89.2	43.1	6.318716036901302e-05	-234.0	2022-10-17 14:55:01.210736
362.84	24	87.9	43.24	0.0002528604842278273	-225.0	2022-10-17 14:55:02.218827
358.1	24	87.8	43.18	0.00012756729174639623	-222.0	2022-10-17 14:55:03.222557
445.58	32	82.7	44.0	0.00022948280313244025	-235.0	2022-10-17 14:55:04.217104
418.85	32	82.2	43.55	0.00032591868328851953	-221.0	2022-10-17 14:55:05.219662
424.55	32	82.9	43.8	5.4238759017193686e-05	-225.0	2022-10-17 14:55:06.216085
422.95	32	82.8	43.58	0.00021639166892074656	-224.0	2022-10-17 14:55:07.215606
448.5	32	82.9	43.58	0.00015904150983406669	-237.0	2022-10-17 14:55:08.221880
