curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	41.25	0.0	-0.0	2022-10-17 14:54:11.723671
10.0	1	62.0	45.87	0.0	-10.0	2022-10-17 14:54:12.721290
6.91	1	62.0	45.66	0.0	-7.0	2022-10-17 14:54:13.724768
6.26	1	62.0	45.74	0.0	-6.0	2022-10-17 14:54:14.726854
35.47	3	68.3	43.54	0.0	-33.0	2022-10-17 14:54:15.726920
65.72	3	121.0	42.36	0.0	-62.0	2022-10-17 14:54:16.722270
72.03	3	128.0	42.28	0.0	-68.0	2022-10-17 14:54:17.730255
146.72	8	110.9	42.13	0.0	-125.0	2022-10-17 14:54:18.725044
149.19	8	111.5	42.61	0.0	-127.0	2022-10-17 14:54:19.720671
157.46	8	111.5	42.5	0.0	-134.0	2022-10-17 14:54:20.723732
169.6	10	109.1	43.13	0.00029996250468691414	-139.0	2022-10-17 14:54:21.724380
157.65	10	109.1	43.06	0.0	-129.0	2022-10-17 14:54:22.726930
166.3	10	109.1	42.96	0.0	-136.0	2022-10-17 14:54:23.725606
166.52	10	109.1	43.07	0.0	-137.0	2022-10-17 14:54:24.725957
166.51	10	109.1	42.76	0.0	-137.0	2022-10-17 14:54:25.727701
164.63	10	109.1	42.75	0.0	-135.0	2022-10-17 14:54:26.729115
175.58	10	109.1	42.63	0.0	-144.0	2022-10-17 14:54:27.728637
205.48	12	103.1	42.62	0.0	-162.0	2022-10-17 14:54:28.730948
205.14	12	103.1	42.64	0.0	-162.0	2022-10-17 14:54:29.735652
217.04	12	103.1	42.55	0.0	-171.0	2022-10-17 14:54:30.731033
258.11	16	106.2	42.86	0.0	-188.0	2022-10-17 14:54:31.731952
270.49	16	106.2	42.98	0.0	-197.0	2022-10-17 14:54:32.731756
257.74	16	106.2	43.05	0.0	-188.0	2022-10-17 14:54:33.732379
289.47	18	108.7	43.09	0.0	-203.0	2022-10-17 14:54:34.732313
291.9	18	108.7	43.14	0.0	-204.0	2022-10-17 14:54:35.734151
285.9	18	108.7	43.21	0.0	-200.0	2022-10-17 14:54:36.739664
296.75	20	105.6	43.37	0.0	-200.0	2022-10-17 14:54:37.738028
