curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.57	1	10.0	38.5	0.0	-8.0	2022-10-17 14:52:25.857357
49.14	1	1288.0	39.98	0.0	-48.0	2022-10-17 14:52:26.855837
50.0	1	1288.0	40.03	0.0	-49.0	2022-10-17 14:52:27.857846
50.0	1	1288.0	40.01	0.0	-49.0	2022-10-17 14:52:28.858230
90.0	2	1297.0	39.81	0.0	-87.0	2022-10-17 14:52:29.858465
100.0	2	1297.0	40.04	0.0	-96.0	2022-10-17 14:52:30.858927
100.0	2	1297.0	40.0	0.0	-96.0	2022-10-17 14:52:31.856583
160.0	4	1295.2	39.89	0.0	-148.0	2022-10-17 14:52:32.859798
200.0	4	1295.2	39.76	0.0	-185.0	2022-10-17 14:52:33.859865
200.0	4	1295.2	39.81	0.0	-185.0	2022-10-17 14:52:34.860897
280.0	8	1294.8	39.83	0.0	-239.0	2022-10-17 14:52:35.863066
400.0	8	1294.8	40.22	0.0	-341.0	2022-10-17 14:52:36.863440
400.0	8	1294.8	40.11	0.0	-341.0	2022-10-17 14:52:37.862421
440.53	14	808.0	39.78	0.0	-334.0	2022-10-17 14:52:38.872890
719.47	14	1134.3	40.64	0.0	-545.0	2022-10-17 14:52:39.861896
700.0	14	1134.3	40.63	0.0	-531.0	2022-10-17 14:52:40.862122
700.0	14	1134.3	40.51	0.0	-531.0	2022-10-17 14:52:41.863166
1044.76	22	890.8	45.89	0.0	-676.0	2022-10-17 14:52:42.864041
1014.9	22	890.8	46.01	0.0	-656.0	2022-10-17 14:52:43.864733
965.12	22	802.3	45.25	0.001389298711517655	-611.0	2022-10-17 14:52:44.866329
1095.41	32	540.1	47.56	0.000747567342336822	-573.0	2022-10-17 14:52:45.866125
973.65	32	575.8	47.07	0.0	-517.0	2022-10-17 14:52:46.871562
962.99	32	542.1	46.83	0.0009959057209250857	-501.0	2022-10-17 14:52:47.869866
943.66	31	542.1	46.98	0.0	-511.0	2022-10-17 14:52:48.873880
949.55	31	554.1	46.94	0.0001556036774335767	-512.0	2022-10-17 14:52:49.874803
948.26	31	554.2	46.91	0.0	-513.0	2022-10-17 14:52:50.875923
944.61	32	527.2	46.38	0.00020870163032802986	-499.0	2022-10-17 14:52:51.876912
952.53	32	527.4	46.6	0.0	-505.0	2022-10-17 14:52:52.877948
943.94	32	527.4	46.7	0.0	-501.0	2022-10-17 14:52:53.878782
936.56	31	527.4	46.91	0.0	-507.0	2022-10-17 14:52:54.880096
942.6	31	541.7	46.54	0.0	-510.0	2022-10-17 14:52:55.880902
945.56	31	541.7	46.36	0.0	-512.0	2022-10-17 14:52:56.881991
940.01	31	541.7	46.46	0.0	-509.0	2022-10-17 14:52:57.883116
913.29	29	562.3	46.52	0.0	-514.0	2022-10-17 14:52:58.884202
947.9	29	562.3	46.87	0.0	-534.0	2022-10-17 14:52:59.885320
925.35	29	555.8	46.55	0.0001598544095224042	-520.0	2022-10-17 14:53:00.885797
931.25	26	585.3	46.66	0.0	-556.0	2022-10-17 14:53:01.886828
909.12	26	599.0	45.73	0.0	-543.0	2022-10-17 14:53:02.883404
936.38	26	589.0	45.01	0.00034328028835544223	-556.0	2022-10-17 14:53:03.884773
890.22	22	620.8	44.7	0.0	-576.0	2022-10-17 14:53:04.886406
939.71	22	653.3	44.76	0.0	-608.0	2022-10-17 14:53:05.886794
950.23	22	653.3	44.9	0.0	-615.0	2022-10-17 14:53:06.888092
880.1	17	657.8	45.58	0.0	-629.0	2022-10-17 14:53:07.890969
839.84	17	726.5	43.59	0.0	-600.0	2022-10-17 14:53:08.891271
860.16	17	757.9	44.16	0.0	-614.0	2022-10-17 14:53:09.892222
795.0	11	790.6	40.55	0.0	-639.0	2022-10-17 14:53:10.894685
550.0	11	792.3	40.06	0.0	-442.0	2022-10-17 14:53:11.894585
550.0	11	793.4	40.24	0.0	-442.0	2022-10-17 14:53:12.898975
550.0	11	728.8	40.09	0.0	-442.0	2022-10-17 14:53:13.898506
600.0	12	780.9	40.08	0.0	-473.0	2022-10-17 14:53:14.897882
600.0	12	781.2	40.06	0.0	-473.0	2022-10-17 14:53:15.899479
600.0	12	781.6	40.31	0.0	-473.0	2022-10-17 14:53:16.899022
560.0	11	796.0	40.11	0.0	-450.0	2022-10-17 14:53:17.903323
550.0	11	796.1	40.29	0.0	-442.0	2022-10-17 14:53:18.903250
550.0	11	796.1	50.54	0.0	-442.0	2022-10-17 14:53:19.906604
455.0	12	748.7	50.96	0.0	-359.0	2022-10-17 14:53:20.905372
370.0	12	648.2	50.07	0.002129641953946493	-284.0	2022-10-17 14:53:21.906227
350.0	12	571.9	49.61	0.001480818238170673	-271.0	2022-10-17 14:53:22.908496
345.0	8	577.8	48.35	0.0004211344714762383	-293.0	2022-10-17 14:53:23.912224
260.0	8	632.4	47.63	0.0	-222.0	2022-10-17 14:53:24.915254
290.0	8	671.4	47.0	0.0	-248.0	2022-10-17 14:53:25.914570
387.11	9	582.1	43.63	2.6251542278108837e-05	-324.0	2022-10-17 14:53:26.909815
452.89	9	603.6	41.63	0.0	-379.0	2022-10-17 14:53:27.909186
435.0	9	625.6	41.42	0.0	-364.0	2022-10-17 14:53:28.916271
