curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.61	0.0	-8.0	2022-10-17 15:47:45.069916
49.17	1	446.0	39.0	0.0	-48.0	2022-10-17 15:47:46.065305
50.0	1	446.0	38.94	0.0	-49.0	2022-10-17 15:47:47.065755
50.0	1	446.0	39.25	0.0	-49.0	2022-10-17 15:47:48.066040
90.0	2	421.5	39.25	0.0	-87.0	2022-10-17 15:47:49.065396
100.0	2	443.0	39.36	0.0	-96.0	2022-10-17 15:47:50.068022
100.0	2	443.0	38.95	0.0	-96.0	2022-10-17 15:47:51.069130
160.0	4	407.2	39.29	0.0	-148.0	2022-10-17 15:47:52.072058
200.0	4	442.0	39.57	0.0	-185.0	2022-10-17 15:47:53.071859
200.0	4	442.0	39.25	0.0	-185.0	2022-10-17 15:47:54.073551
280.0	8	376.8	39.46	0.0	-239.0	2022-10-17 15:47:55.071187
400.0	8	441.4	39.48	0.0	-341.0	2022-10-17 15:47:56.074975
400.0	8	441.4	39.26	0.0	-341.0	2022-10-17 15:47:57.074746
429.75	14	314.7	39.45	0.0	-326.0	2022-10-17 15:47:58.072489
725.25	14	438.6	39.49	0.0	-550.0	2022-10-17 15:47:59.071716
700.0	14	443.1	39.59	0.0	-531.0	2022-10-17 15:48:00.072226
700.0	14	443.1	39.64	0.0	-531.0	2022-10-17 15:48:01.074746
1065.0	22	376.8	42.3	0.00010224556829364928	-688.0	2022-10-17 15:48:02.074237
950.0	22	382.1	42.23	0.0	-614.0	2022-10-17 15:48:03.074624
955.0	22	382.1	42.45	0.0	-618.0	2022-10-17 15:48:04.076060
1175.0	32	268.0	43.52	0.0005529546208574483	-617.0	2022-10-17 15:48:05.076340
992.13	32	269.9	43.53	0.0	-526.0	2022-10-17 15:48:06.083548
962.57	32	265.1	43.65	0.00014752707736565815	-509.0	2022-10-17 15:48:07.084324
915.61	31	265.8	43.43	0.0	-496.0	2022-10-17 15:48:08.086097
939.66	31	265.8	43.34	0.0	-509.0	2022-10-17 15:48:09.086912
945.61	31	265.8	43.66	0.0	-512.0	2022-10-17 15:48:10.087630
952.01	32	261.5	43.6	0.0	-505.0	2022-10-17 15:48:11.088352
939.13	32	261.5	43.52	0.0	-498.0	2022-10-17 15:48:12.089266
936.4	32	261.5	43.7	0.0	-497.0	2022-10-17 15:48:13.091265
956.87	31	261.5	43.74	0.0	-518.0	2022-10-17 15:48:14.091767
950.09	31	265.8	43.46	0.0	-514.0	2022-10-17 15:48:15.092432
915.18	31	265.8	43.85	0.0	-495.0	2022-10-17 15:48:16.094007
959.56	31	265.8	44.05	0.0	-519.0	2022-10-17 15:48:17.094595
921.11	29	271.4	43.77	0.0	-519.0	2022-10-17 15:48:18.095296
931.83	29	271.4	43.76	0.0	-525.0	2022-10-17 15:48:19.096508
966.61	29	271.4	43.81	0.0	-544.0	2022-10-17 15:48:20.097502
889.81	26	283.8	43.52	0.0	-532.0	2022-10-17 15:48:21.095140
919.35	26	286.8	43.66	0.0	-549.0	2022-10-17 15:48:22.094011
920.16	26	286.8	43.7	0.0	-550.0	2022-10-17 15:48:23.094834
895.3	22	304.7	43.97	0.0	-579.0	2022-10-17 15:48:24.096045
905.0	22	304.7	43.98	0.0	-585.0	2022-10-17 15:48:25.097498
905.0	22	304.7	44.08	0.0	-585.0	2022-10-17 15:48:26.098075
865.0	17	409.3	43.53	0.0	-618.0	2022-10-17 15:48:27.099680
845.0	17	528.9	42.53	0.0	-603.0	2022-10-17 15:48:28.100109
845.0	17	599.1	42.82	0.0	-603.0	2022-10-17 15:48:29.101111
795.0	11	578.4	39.93	0.0	-639.0	2022-10-17 15:48:30.102971
550.0	11	610.3	40.01	0.0	-442.0	2022-10-17 15:48:31.104439
550.0	11	611.4	40.02	0.0	-442.0	2022-10-17 15:48:32.106159
550.0	11	561.9	40.01	0.0	-442.0	2022-10-17 15:48:33.108075
600.0	12	591.4	39.78	0.0	-473.0	2022-10-17 15:48:34.108548
600.0	12	598.7	39.85	0.0	-473.0	2022-10-17 15:48:35.109814
600.0	12	598.8	40.01	0.0	-473.0	2022-10-17 15:48:36.109740
560.0	11	612.8	40.24	0.0	-450.0	2022-10-17 15:48:37.109640
550.0	11	612.9	40.19	0.0	-442.0	2022-10-17 15:48:38.112284
550.0	11	612.9	40.34	0.0	-442.0	2022-10-17 15:48:39.111273
575.0	12	588.3	40.35	0.0	-453.0	2022-10-17 15:48:40.112078
600.0	12	599.2	40.66	0.0	-473.0	2022-10-17 15:48:41.114047
600.0	12	599.2	40.68	0.0	-473.0	2022-10-17 15:48:42.115811
635.0	14	549.8	40.72	0.0	-481.0	2022-10-17 15:48:43.115810
700.0	14	573.5	40.92	0.0	-531.0	2022-10-17 15:48:44.118446
700.0	14	573.6	40.91	0.0	-531.0	2022-10-17 15:48:45.118342
714.47	17	487.5	40.71	0.0	-510.0	2022-10-17 15:48:46.119518
860.53	17	533.8	42.34	0.0	-615.0	2022-10-17 15:48:47.121646
840.0	17	539.4	42.92	0.0	-600.0	2022-10-17 15:48:48.123280
805.0	17	499.1	42.16	0.0003764056398111698	-572.0	2022-10-17 15:48:49.121165
863.57	21	405.6	44.22	0.000408614192532954	-566.0	2022-10-17 15:48:50.122336
779.71	21	407.6	44.05	0.0	-514.0	2022-10-17 15:48:51.123472
790.97	21	408.3	43.72	3.0293391496645008e-05	-522.0	2022-10-17 15:48:52.125986
740.75	20	421.3	44.05	0.0	-499.0	2022-10-17 15:48:53.127346
765.0	20	428.6	43.7	0.0	-515.0	2022-10-17 15:48:54.127523
710.0	20	428.6	44.24	0.0	-478.0	2022-10-17 15:48:55.128294
720.0	22	364.1	44.29	0.0006786057135290807	-461.0	2022-10-17 15:48:56.128330
725.0	22	364.1	44.16	0.0	-469.0	2022-10-17 15:48:57.130586
706.31	22	364.1	44.35	0.0	-457.0	2022-10-17 15:48:58.132864
701.8	21	358.6	43.93	0.00018841617364434563	-462.0	2022-10-17 15:48:59.132437
710.02	21	358.6	43.9	0.0	-468.0	2022-10-17 15:49:00.133730
681.87	21	342.5	44.28	0.00011908407335578919	-449.0	2022-10-17 15:49:01.137401
666.45	22	324.9	44.51	0.00016143787332508207	-430.0	2022-10-17 15:49:02.137410
636.71	22	320.5	44.67	0.00021331058020477816	-410.0	2022-10-17 15:49:03.136225
664.75	22	320.5	45.07	0.0	-430.0	2022-10-17 15:49:04.137669
645.51	22	314.9	44.97	0.00016527407951519603	-416.0	2022-10-17 15:49:05.138455
604.72	20	333.8	44.75	0.0	-407.0	2022-10-17 15:49:06.141677
620.0	20	300.8	44.51	0.00038056818830513957	-415.0	2022-10-17 15:49:07.144245
580.0	20	300.8	44.44	0.0	-390.0	2022-10-17 15:49:08.142733
598.17	21	292.2	44.52	0.0	-395.0	2022-10-17 15:49:09.144121
585.02	21	292.2	44.89	0.0	-386.0	2022-10-17 15:49:10.143595
556.81	21	272.5	44.76	0.0006989844167591793	-363.0	2022-10-17 15:49:11.145377
552.81	19	279.8	44.55	9.996251405722854e-05	-379.0	2022-10-17 15:49:12.146963
515.0	19	282.9	44.9	0.0	-354.0	2022-10-17 15:49:13.146845
515.0	19	276.0	44.96	0.0002475526049285473	-352.0	2022-10-17 15:49:14.149340
517.23	20	257.8	44.16	0.0001591668750994793	-347.0	2022-10-17 15:49:15.147908
511.68	20	258.4	44.11	0.0	-344.0	2022-10-17 15:49:16.150412
506.09	20	258.7	45.08	0.0	-341.0	2022-10-17 15:49:17.150906
479.14	19	258.7	44.88	0.0	-329.0	2022-10-17 15:49:18.150228
465.0	19	268.3	44.92	0.0	-319.0	2022-10-17 15:49:19.150477
470.0	19	268.3	45.12	0.0	-323.0	2022-10-17 15:49:20.153609
440.0	19	256.7	44.85	0.0004160490937930676	-300.0	2022-10-17 15:49:21.154543
471.55	21	200.0	43.74	0.0006362942224484602	-308.0	2022-10-17 15:49:22.155706
458.27	21	200.5	44.0	0.0	-302.0	2022-10-17 15:49:23.157567
464.31	21	203.3	43.86	0.0	-306.0	2022-10-17 15:49:24.159223
485.76	20	209.2	43.69	0.0	-327.0	2022-10-17 15:49:25.159047
420.38	20	209.2	43.96	0.0	-283.0	2022-10-17 15:49:26.159587
460.02	20	207.2	44.21	0.00010200438618860611	-309.0	2022-10-17 15:49:27.162700
407.67	18	202.2	43.95	0.0	-285.0	2022-10-17 15:49:28.165332
390.0	18	199.7	43.22	0.00014090857851425996	-273.0	2022-10-17 15:49:29.162017
395.0	18	193.7	43.92	0.00024294694646056667	-276.0	2022-10-17 15:49:30.167232
