curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.51	0.0	-8.0	2022-10-17 15:48:38.142445
49.17	1	421.0	38.89	0.0	-48.0	2022-10-17 15:48:39.140013
50.0	1	444.0	38.88	0.0	-49.0	2022-10-17 15:48:40.142101
50.0	1	444.0	38.91	0.0	-49.0	2022-10-17 15:48:41.145820
130.0	3	392.7	39.41	0.0	-123.0	2022-10-17 15:48:42.143744
150.0	3	441.3	40.06	0.0	-141.0	2022-10-17 15:48:43.143585
150.0	3	441.3	40.03	0.0	-141.0	2022-10-17 15:48:44.145180
150.0	3	441.3	40.03	0.0	-141.0	2022-10-17 15:48:45.147272
150.0	3	441.3	40.13	0.0	-141.0	2022-10-17 15:48:46.147698
150.0	3	441.3	43.97	0.0	-141.0	2022-10-17 15:48:47.150091
175.0	5	362.0	45.09	0.0	-159.0	2022-10-17 15:48:48.150992
205.0	5	389.2	45.45	0.0	-186.0	2022-10-17 15:48:49.154147
190.0	5	389.2	45.68	0.0	-172.0	2022-10-17 15:48:50.155077
175.0	5	389.2	45.84	0.0	-159.0	2022-10-17 15:48:51.156000
185.0	5	389.2	46.83	0.0	-168.0	2022-10-17 15:48:52.163032
180.0	5	362.6	44.75	0.0005682894487592347	-162.0	2022-10-17 15:48:53.160083
185.0	5	362.6	44.65	0.0	-168.0	2022-10-17 15:48:54.158971
233.19	7	306.7	44.08	0.0	-203.0	2022-10-17 15:48:55.158390
240.01	7	270.1	43.65	0.0004790878167968189	-208.0	2022-10-17 15:48:56.161844
234.81	7	291.6	43.11	0.0	-204.0	2022-10-17 15:48:57.159814
245.33	8	270.5	43.16	0.0	-209.0	2022-10-17 15:48:58.160477
253.04	8	270.5	43.2	0.0	-216.0	2022-10-17 15:48:59.163800
244.83	8	270.5	43.16	0.0	-209.0	2022-10-17 15:49:00.164370
270.03	10	244.3	42.99	0.0	-222.0	2022-10-17 15:49:01.168325
302.17	10	251.3	43.47	0.0	-248.0	2022-10-17 15:49:02.168005
295.8	10	251.3	43.68	0.0	-243.0	2022-10-17 15:49:03.165820
308.94	12	226.5	43.42	0.0	-244.0	2022-10-17 15:49:04.166203
330.81	12	227.2	43.67	0.0	-261.0	2022-10-17 15:49:05.168831
336.34	12	227.2	43.36	0.0	-265.0	2022-10-17 15:49:06.170450
336.8	14	200.2	43.21	0.0	-255.0	2022-10-17 15:49:07.171780
366.14	14	210.1	43.41	0.0	-277.0	2022-10-17 15:49:08.171742
