curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	32	10.0	0.0	0.0	-0.0	2022-10-17 15:49:31.774313
497.31	32	93.8	44.71	0.0006486556611422826	-261.0	2022-10-17 15:49:32.776819
387.26	32	93.6	44.82	0.000302929326588107	-204.0	2022-10-17 15:49:33.774328
379.08	32	83.3	43.57	0.0018318318318318318	-194.0	2022-10-17 15:49:34.783231
337.92	23	87.4	42.31	0.0	-214.0	2022-10-17 15:49:35.777403
367.61	23	91.9	43.36	0.0	-233.0	2022-10-17 15:49:36.779164
445.36	23	101.6	43.13	0.0	-282.0	2022-10-17 15:49:37.779200
381.55	17	108.9	42.69	0.0	-272.0	2022-10-17 15:49:38.781577
361.12	17	112.5	42.66	0.0	-258.0	2022-10-17 15:49:39.783627
374.85	17	116.5	43.13	0.0	-268.0	2022-10-17 15:49:40.782772
360.37	17	117.6	43.45	0.0	-257.0	2022-10-17 15:49:41.785314
328.96	17	117.6	43.63	0.0	-235.0	2022-10-17 15:49:42.784871
345.86	17	117.6	43.54	0.0	-247.0	2022-10-17 15:49:43.785641
343.41	17	117.6	43.44	0.0	-245.0	2022-10-17 15:49:44.785194
344.22	17	118.8	43.62	0.0	-246.0	2022-10-17 15:49:45.789325
330.12	17	118.8	43.7	0.0	-236.0	2022-10-17 15:49:46.787314
317.08	17	118.8	43.97	0.0	-226.0	2022-10-17 15:49:47.794057
304.49	19	110.9	43.66	0.0	-209.0	2022-10-17 15:49:48.791695
303.17	19	113.6	43.58	0.0	-208.0	2022-10-17 15:49:49.793306
341.34	19	113.6	43.48	0.0	-234.0	2022-10-17 15:49:50.794530
326.22	19	113.6	43.58	0.0	-224.0	2022-10-17 15:49:51.794476
301.37	17	100.6	43.47	0.000519716754368869	-214.0	2022-10-17 15:49:52.797473
276.16	17	100.6	43.56	0.0	-197.0	2022-10-17 15:49:53.797814
276.82	17	100.6	43.85	0.0	-198.0	2022-10-17 15:49:54.795876
287.28	17	100.9	43.6	0.0	-205.0	2022-10-17 15:49:55.802068
280.94	17	100.9	43.48	0.0	-201.0	2022-10-17 15:49:56.798820
288.84	17	100.9	43.77	0.0	-206.0	2022-10-17 15:49:57.802562
271.42	17	100.9	43.54	0.0	-194.0	2022-10-17 15:49:58.801249
144.2	1	125.6	43.46	0.0	-141.0	2022-10-17 15:49:59.810988
18.17	1	73.0	41.95	0.0	-18.0	2022-10-17 15:50:00.805276
18.84	1	73.0	41.32	0.0	-18.0	2022-10-17 15:50:01.810819
20.33	26	12.5	41.13	0.0	-12.0	2022-10-17 15:50:02.827182
412.05	26	66.5	43.29	0.0008332754669814597	-243.0	2022-10-17 15:50:03.804990
379.47	26	64.7	43.55	0.0003937007874015748	-225.0	2022-10-17 15:50:04.806197
384.74	26	64.8	43.84	0.00030696503668232187	-229.0	2022-10-17 15:50:05.808189
366.78	24	64.9	43.72	0.00027076161373921787	-227.0	2022-10-17 15:50:06.808322
349.99	24	65.8	43.43	0.000182882223847842	-217.0	2022-10-17 15:50:07.807158
358.21	24	67.5	42.98	0.0003244225279003374	-222.0	2022-10-17 15:50:08.810668
363.52	24	73.7	43.47	0.00012743723716069835	-226.0	2022-10-17 15:50:09.823506
437.35	32	67.2	43.96	0.0009159343961988723	-228.0	2022-10-17 15:50:10.813429
425.18	32	67.4	44.07	0.00037419147912546105	-224.0	2022-10-17 15:50:11.817121
436.1	32	67.1	43.95	0.00048043559493941173	-229.0	2022-10-17 15:50:12.820366
424.79	23	67.5	44.4	0.00037584901608096863	-268.0	2022-10-17 15:50:13.816013
360.43	23	78.7	42.97	0.0	-229.0	2022-10-17 15:50:14.816875
397.93	23	84.7	43.23	5.816997266011285e-05	-252.0	2022-10-17 15:50:15.816536
417.36	23	83.8	43.18	0.0002242026792220167	-264.0	2022-10-17 15:50:16.817083
417.08	23	85.4	43.31	0.00016833599865331202	-264.0	2022-10-17 15:50:17.821302
408.53	23	88.1	43.35	0.0001692524682651622	-258.0	2022-10-17 15:50:18.819959
370.11	23	87.5	43.69	0.0002884615384615385	-234.0	2022-10-17 15:50:19.820128
352.96	23	87.8	43.36	0.00019595035924232528	-223.0	2022-10-17 15:50:20.832504
365.82	23	90.7	43.28	0.00018939991792670224	-231.0	2022-10-17 15:50:21.822697
379.73	23	91.4	43.32	6.125011484396534e-05	-241.0	2022-10-17 15:50:22.822379
373.34	23	91.3	43.65	0.00018999366687777073	-236.0	2022-10-17 15:50:23.824747
349.67	23	90.4	43.63	0.00032713949227950796	-221.0	2022-10-17 15:50:24.829000
338.29	23	90.3	43.72	0.00024013722126929674	-214.0	2022-10-17 15:50:25.828049
322.16	23	90.4	44.02	0.00017934646149431473	-204.0	2022-10-17 15:50:26.828961
328.72	23	91.0	43.78	0.00014232342999466287	-208.0	2022-10-17 15:50:27.828415
350.65	27	83.1	43.95	0.00019891261105954116	-205.0	2022-10-17 15:50:28.831030
381.31	27	84.3	44.14	0.000314001318805539	-222.0	2022-10-17 15:50:29.829090
372.78	27	84.1	44.07	0.00031433690629616823	-217.0	2022-10-17 15:50:30.836482
351.7	27	84.3	44.0	0.00025519969376036747	-205.0	2022-10-17 15:50:31.844839
314.33	21	85.8	43.27	0.0	-207.0	2022-10-17 15:50:32.834639
331.71	21	88.1	43.55	0.00014163302882232138	-218.0	2022-10-17 15:50:33.834826
334.18	21	88.0	43.65	0.00021099272075113408	-220.0	2022-10-17 15:50:34.834461
388.95	32	72.2	44.15	0.000317017499365965	-205.0	2022-10-17 15:50:35.838948
420.96	32	73.6	44.61	0.00024779735682819385	-222.0	2022-10-17 15:50:36.837527
415.29	32	73.0	44.36	0.0004512762656889014	-218.0	2022-10-17 15:50:37.838466
402.49	32	72.9	44.07	0.00031694807814210797	-212.0	2022-10-17 15:50:38.840748
346.84	21	81.6	43.07	0.0	-229.0	2022-10-17 15:50:39.843162
342.48	21	88.8	43.05	0.0	-226.0	2022-10-17 15:50:40.842167
340.75	21	89.0	43.35	6.803415314487873e-05	-225.0	2022-10-17 15:50:41.844162
327.34	21	88.7	43.4	0.00013936796627295216	-216.0	2022-10-17 15:50:42.866831
319.32	21	88.7	43.83	0.00014681592952835382	-210.0	2022-10-17 15:50:43.845045
310.42	21	88.6	43.8	0.000150472106233307	-204.0	2022-10-17 15:50:44.847062
300.27	21	88.3	43.37	0.0002257166503649086	-197.0	2022-10-17 15:50:45.848964
312.41	21	89.5	43.38	0.00014771048744460856	-206.0	2022-10-17 15:50:46.853496
388.83	27	82.3	43.49	0.00018721917124313528	-227.0	2022-10-17 15:50:47.845684
387.0	27	82.8	43.41	0.00011855364552459988	-226.0	2022-10-17 15:50:48.852817
401.52	27	82.8	43.76	0.000147815290013599	-235.0	2022-10-17 15:50:49.851362
381.76	26	81.9	43.66	0.0002432720085145203	-227.0	2022-10-17 15:50:50.850485
373.31	26	82.8	43.63	0.00015202189115232594	-223.0	2022-10-17 15:50:51.850960
354.78	26	82.3	43.71	0.0002550939064443098	-211.0	2022-10-17 15:50:52.854319
365.58	26	82.3	43.55	0.0002841806125670982	-217.0	2022-10-17 15:50:53.859343
353.96	21	84.2	43.3	0.012135922330097087	-191.0	2022-10-17 15:50:54.857332
318.51	21	89.0	43.22	0.0	-210.0	2022-10-17 15:50:55.857772
314.21	21	88.9	43.22	7.2894266865911e-05	-207.0	2022-10-17 15:50:56.860201
320.72	21	89.0	43.2	7.317162404419567e-05	-211.0	2022-10-17 15:50:57.859849
409.05	32	73.1	43.77	0.0005410442153355977	-215.0	2022-10-17 15:50:58.864157
418.7	32	74.4	43.52	0.0003358616250104957	-221.0	2022-10-17 15:50:59.860199
412.68	32	74.2	43.84	0.0003980099502487562	-217.0	2022-10-17 15:51:00.865767
403.28	27	74.2	43.73	0.00040266912103083296	-235.0	2022-10-17 15:51:01.862590
331.87	27	76.9	43.97	0.0015372790161414297	-189.0	2022-10-17 15:51:02.865448
337.13	27	76.8	43.5	0.0004513732162077706	-196.0	2022-10-17 15:51:03.863877
338.2	27	76.9	44.17	0.00040873326748186244	-197.0	2022-10-17 15:51:04.866087
314.24	20	84.4	43.4	0.0	-211.0	2022-10-17 15:51:05.867747
282.4	20	88.6	43.59	0.0	-190.0	2022-10-17 15:51:06.871994
305.4	20	93.8	42.88	7.59762953958365e-05	-205.0	2022-10-17 15:51:07.870227
358.71	20	98.8	42.18	0.0	-241.0	2022-10-17 15:51:08.872210
323.17	12	122.4	41.45	0.0	-255.0	2022-10-17 15:51:09.872442
309.04	12	125.7	41.52	0.0	-244.0	2022-10-17 15:51:10.876438
309.07	12	126.9	41.89	0.0	-244.0	2022-10-17 15:51:11.872813
269.54	13	119.5	42.03	0.0	-208.0	2022-10-17 15:51:12.878880
298.73	13	123.4	42.06	0.0	-231.0	2022-10-17 15:51:13.880987
294.36	13	123.7	42.23	0.0	-228.0	2022-10-17 15:51:14.879435
300.12	13	128.5	42.33	0.0	-232.0	2022-10-17 15:51:15.880760
265.71	10	133.6	42.27	0.0	-218.0	2022-10-17 15:51:16.882140
237.04	10	133.6	42.2	0.0	-194.0	2022-10-17 15:51:17.887087
241.49	10	133.6	42.28	0.0	-198.0	2022-10-17 15:51:18.888722
247.47	10	133.6	42.18	0.0	-203.0	2022-10-17 15:51:19.894790
285.78	13	122.2	42.11	0.0	-221.0	2022-10-17 15:51:20.888621
306.6	13	123.4	41.96	0.0	-237.0	2022-10-17 15:51:21.887681
296.85	13	123.4	42.09	0.0	-229.0	2022-10-17 15:51:22.891535
297.3	13	123.4	42.07	0.0	-230.0	2022-10-17 15:51:23.890535
287.03	13	123.4	42.18	0.0	-222.0	2022-10-17 15:51:24.891177
311.43	13	123.4	41.89	0.0	-241.0	2022-10-17 15:51:25.892123
315.71	13	125.2	41.83	0.0	-244.0	2022-10-17 15:51:26.889125
379.5	24	95.5	42.37	0.0	-236.0	2022-10-17 15:51:27.887565
449.83	24	99.2	42.52	0.0	-280.0	2022-10-17 15:51:28.887765
430.87	24	99.2	42.73	0.0	-268.0	2022-10-17 15:51:29.891319
433.55	24	99.2	42.61	0.0	-270.0	2022-10-17 15:51:30.893624
459.49	24	103.1	42.09	0.0	-286.0	2022-10-17 15:51:31.892502
507.68	24	109.5	42.16	0.0	-316.0	2022-10-17 15:51:32.892679
504.81	24	109.5	42.22	0.0	-314.0	2022-10-17 15:51:33.894047
501.75	24	109.5	42.45	0.0	-312.0	2022-10-17 15:51:34.891577
396.27	16	132.0	41.9	0.0	-289.0	2022-10-17 15:51:35.899207
400.49	16	132.0	41.96	0.0	-292.0	2022-10-17 15:51:36.901922
408.76	16	132.0	41.81	0.0	-298.0	2022-10-17 15:51:37.899871
323.54	1	139.5	41.75	0.0	-317.0	2022-10-17 15:51:38.905993
55.0	1	277.0	41.7	0.0	-54.0	2022-10-17 15:51:39.905726
50.0	1	505.0	41.72	0.0	-49.0	2022-10-17 15:51:40.903402
50.0	1	505.0	40.98	0.0	-49.0	2022-10-17 15:51:41.929074
224.76	17	115.2	42.35	0.0	-161.0	2022-10-17 15:51:42.902914
374.52	17	124.4	42.44	0.0	-267.0	2022-10-17 15:51:43.903690
340.51	17	124.4	42.78	0.0	-243.0	2022-10-17 15:51:44.905487
359.77	17	124.4	42.72	0.0	-257.0	2022-10-17 15:51:45.912919
337.96	16	127.6	42.82	0.0	-246.0	2022-10-17 15:51:46.910435
322.82	16	127.6	42.85	0.0	-235.0	2022-10-17 15:51:47.911469
311.71	16	127.6	42.74	0.0	-227.0	2022-10-17 15:51:48.910505
314.53	16	127.6	43.05	0.0	-229.0	2022-10-17 15:51:49.914424
409.67	24	114.4	43.15	0.0	-255.0	2022-10-17 15:51:50.910042
404.18	24	113.3	43.11	5.743825387708214e-05	-251.0	2022-10-17 15:51:51.910089
415.8	24	112.3	43.17	5.668291576918717e-05	-258.0	2022-10-17 15:51:52.912604
