curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
16.68	2	10.0	33.11	0.0	-16.0	2022-10-06 11:00:52.746844
798.33	2	2168.0	34.47	0.0	-767.0	2022-10-06 11:00:53.746539
1000.0	2	2223.5	35.47	0.0	-961.0	2022-10-06 11:00:54.749317
1000.0	2	2223.5	36.11	0.0	-961.0	2022-10-06 11:00:55.749272
4859.81	22	1263.9	37.23	5.708428370392616e-05	-3141.0	2022-10-06 11:00:56.750708
8491.49	22	1612.7	38.76	0.0	-5493.0	2022-10-06 11:00:57.750867
8466.76	22	1619.5	37.18	0.0	-5477.0	2022-10-06 11:00:58.752940
8232.45	21	1599.2	36.69	0.0	-5432.0	2022-10-06 11:00:59.753922
8110.59	21	1604.2	36.44	0.0	-5351.0	2022-10-06 11:01:00.754532
8102.96	21	1608.8	36.79	0.0	-5346.0	2022-10-06 11:01:01.755497
8136.8	21	1617.1	37.28	0.0	-5368.0	2022-10-06 11:01:02.756950
8264.48	21	1630.8	37.14	0.0	-5453.0	2022-10-06 11:01:03.758885
8292.01	21	1647.7	38.21	0.0	-5471.0	2022-10-06 11:01:04.758484
8395.52	21	1668.4	40.07	0.0	-5539.0	2022-10-06 11:01:05.759868
7622.09	18	1663.9	35.84	0.0	-5337.0	2022-10-06 11:01:06.761253
7365.01	18	1691.5	36.17	0.0	-5157.0	2022-10-06 11:01:07.762217
7543.83	18	1729.3	37.46	0.0	-5282.0	2022-10-06 11:01:08.762358
7809.3	20	1666.0	37.81	0.0	-5255.0	2022-10-06 11:01:09.764090
8217.27	20	1679.0	36.53	8.746425603891314e-05	-5523.0	2022-10-06 11:01:10.765308
8350.33	20	1786.8	37.41	0.0	-5620.0	2022-10-06 11:01:11.766011
8591.28	20	1838.6	37.08	0.0	-5782.0	2022-10-06 11:01:12.766741
8833.22	20	1886.7	38.28	0.0	-5945.0	2022-10-06 11:01:13.768429
8591.94	20	1698.0	35.82	9.044264249103336e-05	-5774.0	2022-10-06 11:01:14.768859
8733.55	20	1758.8	37.36	0.0	-5877.0	2022-10-06 11:01:15.769955
9156.52	32	1349.6	53.87	7.706683621370633e-06	-4858.0	2022-10-06 11:01:16.774005
9091.26	32	1137.3	46.96	0.00031144308827995903	-4796.0	2022-10-06 11:01:17.777528
