curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	34.45	0.0	-8.0	2022-10-06 11:11:38.557479
315.94	1	1101.0	35.13	0.0001515783091439615	-309.0	2022-10-06 11:11:39.558039
358.39	1	1114.0	34.69	0.0	-351.0	2022-10-06 11:11:40.558723
374.83	1	1128.0	34.72	0.0	-367.0	2022-10-06 11:11:41.559847
909.05	3	1351.3	34.29	0.0001422052150530684	-855.0	2022-10-06 11:11:42.560679
1166.45	3	1422.0	34.26	0.0	-1099.0	2022-10-06 11:11:43.561881
1183.55	3	1450.0	34.23	0.0	-1115.0	2022-10-06 11:11:44.563014
1208.06	3	1473.3	34.72	0.0	-1138.0	2022-10-06 11:11:45.564293
1233.22	3	1491.3	34.47	0.0	-1162.0	2022-10-06 11:11:46.564422
1241.94	3	1505.0	34.84	0.0	-1170.0	2022-10-06 11:11:47.565651
1450.33	5	1350.4	34.39	8.197258836645025e-05	-1312.0	2022-10-06 11:11:48.566689
2016.45	5	1370.0	34.61	0.0	-1826.0	2022-10-06 11:11:49.567801
2050.33	5	1392.2	34.49	0.0	-1857.0	2022-10-06 11:11:50.568949
2083.22	5	1417.8	34.78	0.0	-1887.0	2022-10-06 11:11:51.569283
2133.22	5	1448.2	34.55	0.0	-1932.0	2022-10-06 11:11:52.570440
2116.45	5	1377.0	34.37	0.00014742014742014743	-1914.0	2022-10-06 11:11:53.572369
2166.78	7	1036.6	34.36	0.0	-1886.0	2022-10-06 11:11:54.573168
2658.98	7	1440.1	34.37	0.0	-2315.0	2022-10-06 11:11:55.574484
2781.04	7	1491.6	34.3	0.0	-2421.0	2022-10-06 11:11:56.575791
2860.7	7	1533.9	34.45	0.0	-2490.0	2022-10-06 11:11:57.576888
3180.09	8	1520.8	34.76	2.5520806749159636e-05	-2713.0	2022-10-06 11:11:58.577114
3389.57	8	1501.1	34.45	0.0023664776204659513	-2813.0	2022-10-06 11:11:59.577593
3381.6	8	1456.5	34.44	0.0019955973419466333	-2819.0	2022-10-06 11:12:00.578755
3630.7	10	1506.1	34.29	9.635025243766138e-06	-2978.0	2022-10-06 11:12:01.580905
4184.09	10	1613.5	34.51	0.0	-3432.0	2022-10-06 11:12:02.581839
4190.25	10	1636.6	34.63	0.0	-3437.0	2022-10-06 11:12:03.582427
4409.66	12	1592.5	35.14	0.0	-3477.0	2022-10-06 11:12:04.582608
5266.15	12	1777.4	34.49	1.0954294302452448e-05	-4152.0	2022-10-06 11:12:05.584529
5284.07	12	1786.8	34.47	0.0	-4166.0	2022-10-06 11:12:06.584778
5378.43	14	1587.6	34.42	0.0	-4076.0	2022-10-06 11:12:07.585726
6263.39	14	1806.1	35.33	5.544323167508788e-06	-4747.0	2022-10-06 11:12:08.586717
6300.0	14	1612.5	34.56	7.721624409157847e-05	-4770.0	2022-10-06 11:12:09.588458
6283.22	17	1458.5	34.66	3.4832474132304735e-05	-4485.0	2022-10-06 11:12:10.588927
7291.61	17	1771.2	35.39	0.0	-5207.0	2022-10-06 11:12:11.590167
7533.55	17	1767.2	35.13	4.927010951821531e-05	-5376.0	2022-10-06 11:12:12.591541
7567.11	17	1800.6	36.05	0.0	-5404.0	2022-10-06 11:12:13.591911
7858.06	19	1758.4	41.86	1.4733225486122775e-06	-5394.0	2022-10-06 11:12:14.592707
8292.27	19	1820.8	41.65	0.0	-5692.0	2022-10-06 11:12:15.593815
8374.83	19	1836.9	40.8	0.0	-5749.0	2022-10-06 11:12:16.595135
8594.84	23	1575.5	40.4	6.790498191690331e-06	-5450.0	2022-10-06 11:12:17.596614
8852.31	23	1644.9	44.0	0.0	-5614.0	2022-10-06 11:12:18.597136
