curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.57	1	10.0	33.82	0.0	-8.0	2022-10-06 10:34:49.823574
399.14	1	2180.0	34.42	0.0	-391.0	2022-10-06 10:34:50.823716
500.0	1	2180.0	34.3	0.0	-490.0	2022-10-06 10:34:51.824604
500.0	1	2180.0	34.62	0.0	-490.0	2022-10-06 10:34:52.825520
741.94	2	1627.0	34.57	4.79011320634211e-05	-713.0	2022-10-06 10:34:53.826181
875.17	2	1634.5	34.5	0.0	-841.0	2022-10-06 10:34:54.828231
866.45	2	1641.0	34.35	0.0	-833.0	2022-10-06 10:34:55.829388
1208.72	4	1518.2	34.3	1.9132714071154565e-05	-1116.0	2022-10-06 10:34:56.830365
1741.61	4	1650.8	34.34	0.0	-1609.0	2022-10-06 10:34:57.831547
1733.22	4	1657.8	34.52	0.0	-1601.0	2022-10-06 10:34:58.833211
2134.22	8	1403.9	34.24	0.0	-1822.0	2022-10-06 10:34:59.833391
3582.89	8	1779.4	34.65	0.0	-3058.0	2022-10-06 10:35:00.834383
3583.55	8	1799.4	34.8	0.0	-3059.0	2022-10-06 10:35:01.835425
3829.97	14	1289.4	34.45	3.100832883712565e-06	-2903.0	2022-10-06 10:35:02.835957
6178.42	14	1817.9	35.64	0.0	-4682.0	2022-10-06 10:35:03.835697
6366.78	14	1841.4	35.53	5.445476261353818e-06	-4825.0	2022-10-06 10:35:04.837019
6439.42	22	1191.6	34.95	7.179575543493868e-06	-4165.0	2022-10-06 10:35:05.837871
8320.3	22	1761.0	49.23	9.385856774627368e-05	-5374.0	2022-10-06 10:35:06.839974
8992.27	22	1787.7	46.42	0.0	-5817.0	2022-10-06 10:35:07.840360
8989.29	22	1630.7	39.44	8.049993053635026e-05	-5807.0	2022-10-06 10:35:08.841307
9029.48	32	1198.1	45.16	2.575732989215406e-06	-4791.0	2022-10-06 10:35:09.843376
9088.48	32	1182.8	44.5	0.00014825242618318328	-4809.0	2022-10-06 10:35:10.847356
8931.04	32	1058.2	41.02	0.0003284046570908039	-4710.0	2022-10-06 10:35:11.847502
8861.4	31	1154.8	47.31	0.00010487791257540654	-4787.0	2022-10-06 10:35:12.847358
8943.06	31	1145.3	45.58	4.538970302165737e-05	-4836.0	2022-10-06 10:35:13.846886
8887.75	31	889.4	41.39	0.00017222752822182905	-4795.0	2022-10-06 10:35:14.853040
8793.44	29	990.2	34.81	0.0	-4952.0	2022-10-06 10:35:15.853379
8857.53	29	1061.3	36.09	0.0	-4988.0	2022-10-06 10:35:16.851962
8828.03	29	1011.2	34.65	8.55718039589466e-05	-4964.0	2022-10-06 10:35:17.852550
8597.47	26	1065.6	34.78	0.0	-5138.0	2022-10-06 10:35:18.855243
8268.1	26	1097.7	34.79	0.0	-4941.0	2022-10-06 10:35:19.856214
8490.62	26	1127.9	35.14	0.0	-5074.0	2022-10-06 10:35:20.857770
8550.0	22	1157.9	35.12	0.0	-5530.0	2022-10-06 10:35:21.856057
7724.5	22	1196.3	35.03	0.0	-4997.0	2022-10-06 10:35:22.856501
7775.5	22	1230.1	35.19	0.0	-5029.0	2022-10-06 10:35:23.856700
7983.22	22	1269.6	35.61	0.0	-5164.0	2022-10-06 10:35:24.858602
6840.95	17	1352.1	34.93	0.0	-4886.0	2022-10-06 10:35:25.859413
6633.22	17	1399.1	35.26	0.0	-4737.0	2022-10-06 10:35:26.860969
6708.39	17	1437.1	35.14	0.0	-4791.0	2022-10-06 10:35:27.861877
7050.33	18	1464.1	35.07	0.0	-4936.0	2022-10-06 10:35:28.863015
7583.55	18	1551.9	34.89	0.0	-5310.0	2022-10-06 10:35:29.863595
7740.95	18	1603.5	35.21	0.0	-5420.0	2022-10-06 10:35:30.864569
8251.66	22	1545.3	35.85	4.234793913754187e-06	-5337.0	2022-10-06 10:35:31.866253
9075.5	22	1768.8	46.32	0.0	-5870.0	2022-10-06 10:35:32.867660
8982.89	22	1491.6	36.32	0.00022372828134812643	-5790.0	2022-10-06 10:35:33.867750
8794.76	25	1438.0	40.7	0.0	-5361.0	2022-10-06 10:35:34.870214
8999.27	25	1368.7	39.33	0.00014887039731567255	-5472.0	2022-10-06 10:35:35.872437
8847.58	25	1389.8	37.52	8.24189841009855e-05	-5386.0	2022-10-06 10:35:36.874933
8825.83	24	1540.6	49.85	1.824848439819757e-05	-5486.0	2022-10-06 10:35:37.876621
8791.94	24	1427.0	39.22	0.00013334212722272722	-5454.0	2022-10-06 10:35:38.874185
8723.51	24	1303.5	38.75	7.987241712571119e-05	-5417.0	2022-10-06 10:35:39.874056
8850.33	24	1355.4	40.95	0.0	-5502.0	2022-10-06 10:35:40.875542
8842.61	22	1403.3	37.62	0.0	-5720.0	2022-10-06 10:35:41.875767
8899.34	22	1434.7	39.44	0.0	-5756.0	2022-10-06 10:35:42.877072
8866.78	22	1458.7	39.76	0.0	-5735.0	2022-10-06 10:35:43.878145
8423.84	19	1266.7	35.14	0.0	-5782.0	2022-10-06 10:35:44.878406
7817.11	19	1381.1	35.51	5.075717766206468e-05	-5362.0	2022-10-06 10:35:45.880171
7791.28	19	1406.6	36.28	0.0	-5348.0	2022-10-06 10:35:46.879916
7723.13	20	1231.8	35.49	8.435577046192316e-05	-5191.0	2022-10-06 10:35:47.882512
7486.25	20	1290.5	35.55	0.0	-5038.0	2022-10-06 10:35:48.883253
7723.85	20	1327.8	35.39	1.4969589279378942e-06	-5198.0	2022-10-06 10:35:49.883781
7800.33	18	1367.4	35.16	0.0	-5461.0	2022-10-06 10:35:50.884610
7575.17	18	1447.7	34.84	0.0	-5304.0	2022-10-06 10:35:51.886556
7642.61	18	1471.2	35.12	0.0	-5351.0	2022-10-06 10:35:52.887249
7715.78	16	1493.4	35.2	0.0	-5621.0	2022-10-06 10:35:53.888432
7258.06	16	1593.8	34.77	0.0	-5287.0	2022-10-06 10:35:54.888744
7283.22	16	1622.6	35.12	0.0	-5305.0	2022-10-06 10:35:55.891658
7316.78	16	1657.6	34.79	0.0	-5330.0	2022-10-06 10:35:56.891625
7500.33	17	1654.8	35.67	0.0	-5356.0	2022-10-06 10:35:57.891343
7833.89	17	1701.6	35.38	4.434937253029432e-06	-5594.0	2022-10-06 10:35:58.892447
7874.17	17	1723.5	35.64	0.0	-5623.0	2022-10-06 10:35:59.894360
8091.61	19	1645.5	36.78	0.0	-5554.0	2022-10-06 10:36:00.895090
8575.83	19	1826.0	41.91	0.0	-5887.0	2022-10-06 10:36:01.897425
8499.01	19	1856.1	41.0	0.0	-5834.0	2022-10-06 10:36:02.898458
8804.15	22	1657.9	39.67	0.0	-5695.0	2022-10-06 10:36:03.901423
8988.01	22	1710.0	44.06	3.8731867030918355e-06	-5813.0	2022-10-06 10:36:04.900179
8898.61	22	1615.0	41.89	2.0879196881691947e-05	-5754.0	2022-10-06 10:36:05.900601
8741.27	21	1601.0	40.15	6.791679776456711e-05	-5761.0	2022-10-06 10:36:06.901920
8777.05	21	1679.5	42.56	0.0	-5791.0	2022-10-06 10:36:07.903192
8932.47	21	1746.1	44.86	0.0	-5893.0	2022-10-06 10:36:08.904222
8932.77	19	1761.2	42.45	1.0360479949233648e-05	-6131.0	2022-10-06 10:36:09.906279
9015.59	19	1981.0	42.95	0.0	-6189.0	2022-10-06 10:36:10.906293
8975.17	19	2013.4	43.31	0.0	-6161.0	2022-10-06 10:36:11.909595
8983.22	19	2033.3	43.27	0.0	-6166.0	2022-10-06 10:36:12.908327
8249.34	16	1959.0	36.28	0.0	-6009.0	2022-10-06 10:36:13.910040
7874.83	16	2047.8	37.32	0.0	-5736.0	2022-10-06 10:36:14.909883
7766.78	16	1968.1	35.98	6.576292465661291e-05	-5653.0	2022-10-06 10:36:15.910190
7949.67	17	1967.7	37.59	0.0	-5677.0	2022-10-06 10:36:16.912071
8283.89	17	1759.6	35.28	8.701534557723455e-05	-5909.0	2022-10-06 10:36:17.912245
8324.83	17	1890.3	34.91	0.0	-5945.0	2022-10-06 10:36:18.914312
8516.78	19	1848.6	37.08	5.4552546376483484e-06	-5846.0	2022-10-06 10:36:19.916734
9041.61	19	1922.4	37.44	0.0	-6206.0	2022-10-06 10:36:20.919420
8941.94	19	1941.9	44.0	0.0	-6138.0	2022-10-06 10:36:21.920420
9084.1	22	1727.2	43.38	5.1259838685287655e-06	-5875.0	2022-10-06 10:36:22.918206
9073.11	22	1745.3	46.72	7.005700092347864e-05	-5862.0	2022-10-06 10:36:23.921469
8980.47	22	1621.0	44.43	7.64283354815309e-05	-5802.0	2022-10-06 10:36:24.924132
8897.72	21	1572.7	39.78	5.70558854687912e-05	-5865.0	2022-10-06 10:36:25.925042
8040.15	21	1620.0	40.79	0.0	-5305.0	2022-10-06 10:36:26.926098
8808.15	21	1631.3	40.92	2.626560833775471e-06	-5811.0	2022-10-06 10:36:27.927480
8769.0	21	1664.4	43.02	0.0	-5786.0	2022-10-06 10:36:28.928572
8809.63	22	1574.7	42.17	4.217185028993147e-05	-5695.0	2022-10-06 10:36:29.929796
8848.17	22	1569.2	40.51	5.500319542373414e-05	-5718.0	2022-10-06 10:36:30.930218
8919.7	22	1614.2	43.15	3.2475081869681393e-05	-5767.0	2022-10-06 10:36:31.931573
8950.69	24	1486.8	46.0	4.535276677793212e-05	-5561.0	2022-10-06 10:36:32.932869
8924.15	24	1474.1	45.74	2.7247708921808157e-05	-5546.0	2022-10-06 10:36:33.933777
8975.83	24	1477.9	45.66	7.660924868400892e-05	-5574.0	2022-10-06 10:36:34.934751
8865.45	23	1489.0	43.21	6.559881513962343e-05	-5616.0	2022-10-06 10:36:35.935528
8817.11	23	1405.5	35.73	8.677645202642737e-05	-5584.0	2022-10-06 10:36:36.936842
8825.17	23	1458.8	39.78	0.0	-5597.0	2022-10-06 10:36:37.938071
8800.33	21	1442.8	35.7	0.0	-5806.0	2022-10-06 10:36:38.938296
8700.66	21	1469.5	35.26	0.0	-5740.0	2022-10-06 10:36:39.937732
8840.28	21	1487.7	36.1	0.0	-5833.0	2022-10-06 10:36:40.937464
8558.39	18	1387.0	35.6	7.134843623910091e-05	-5986.0	2022-10-06 10:36:41.941898
7158.39	18	1368.2	36.64	0.0	-5012.0	2022-10-06 10:36:42.943600
7274.83	18	1386.0	37.44	0.0	-5094.0	2022-10-06 10:36:43.942623
7383.89	18	1399.3	37.05	0.0	-5170.0	2022-10-06 10:36:44.943420
7324.83	19	1331.1	35.67	9.211130221559444e-05	-5021.0	2022-10-06 10:36:45.943162
7550.33	19	1358.5	37.72	0.0	-5183.0	2022-10-06 10:36:46.945929
7625.83	19	1382.3	37.71	4.55884096027426e-06	-5234.0	2022-10-06 10:36:47.945305
8058.39	21	1429.0	38.12	0.0	-5317.0	2022-10-06 10:36:48.946246
8749.34	21	1500.9	37.29	0.0	-5773.0	2022-10-06 10:36:49.947000
8849.67	21	1492.1	38.11	1.3076852663101044e-06	-5839.0	2022-10-06 10:36:50.948003
8778.16	27	1224.5	42.5	0.0	-5143.0	2022-10-06 10:36:51.949756
8982.96	27	1267.7	40.1	3.1067961165048545e-05	-5260.0	2022-10-06 10:36:52.953620
9022.84	27	1409.6	47.99	0.0	-5286.0	2022-10-06 10:36:53.955703
8976.84	26	1299.8	44.47	0.0	-5364.0	2022-10-06 10:36:54.954793
8918.92	26	1367.9	35.99	0.0	-5330.0	2022-10-06 10:36:55.956490
7460.13	26	1472.5	34.48	0.0	-4458.0	2022-10-06 10:36:56.957688
6785.64	27	1559.7	34.92	0.0	-3975.0	2022-10-06 10:36:57.958980
6101.81	27	1542.0	34.8	0.0	-3575.0	2022-10-06 10:36:58.959789
5564.33	27	1595.4	35.58	0.0	-3260.0	2022-10-06 10:36:59.960206
5259.04	27	1644.9	35.44	0.0	-3081.0	2022-10-06 10:37:00.960995
4941.94	17	1812.5	34.41	0.0	-3529.0	2022-10-06 10:37:01.961625
5042.27	17	1901.6	34.35	0.0	-3601.0	2022-10-06 10:37:02.961203
4066.78	17	2023.4	34.39	0.0	-2904.0	2022-10-06 10:37:03.961432
3341.94	15	1533.3	34.59	0.0	-2483.0	2022-10-06 10:37:04.962408
1750.33	15	1338.8	33.82	0.0	-1301.0	2022-10-06 10:37:05.965088
1516.78	15	1338.8	33.87	0.0	-1127.0	2022-10-06 10:37:06.965048
1500.0	19	1338.8	33.79	0.0	-1030.0	2022-10-06 10:37:07.967240
1050.0	19	1116.8	33.73	0.0	-721.0	2022-10-06 10:37:08.966022
1000.0	19	1116.8	33.9	0.0	-686.0	2022-10-06 10:37:09.969473
1000.0	16	1116.8	33.52	0.0	-728.0	2022-10-06 10:37:10.967566
958.39	16	754.0	33.78	0.0	-698.0	2022-10-06 10:37:11.969249
500.0	16	754.0	33.63	0.0	-364.0	2022-10-06 10:37:12.969614
