curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	5	10.0	34.08	0.0	-0.0	2022-10-06 04:35:49.090019
1677.72	5	1318.2	34.61	0.00019391521749669306	-1516.0	2022-10-06 04:35:50.090391
2172.65	5	1329.2	34.41	0.0	-1968.0	2022-10-06 04:35:51.091388
2222.98	5	1341.4	34.4	0.0	-2013.0	2022-10-06 04:35:52.092208
3607.1	11	1383.1	34.17	9.574203266718155e-06	-2901.0	2022-10-06 04:35:53.092828
5066.72	11	1397.5	34.08	2.740282842860764e-05	-4074.0	2022-10-06 04:35:54.095014
5125.44	11	1409.9	34.11	0.0	-4122.0	2022-10-06 04:35:55.095541
3154.12	4	1457.8	34.41	0.0	-2914.0	2022-10-06 04:35:56.098211
1954.55	4	1505.0	34.54	0.0	-1806.0	2022-10-06 04:35:57.097494
2021.65	4	1566.8	34.65	0.0	-1868.0	2022-10-06 04:35:58.098643
2105.54	12	601.1	34.16	0.0	-1660.0	2022-10-06 04:35:59.099776
3271.56	12	990.2	34.26	4.713919479003115e-05	-2578.0	2022-10-06 04:36:00.102116
5290.48	12	1783.5	34.65	0.0	-4172.0	2022-10-06 04:36:01.102611
7046.43	12	1831.1	34.62	0.0	-5556.0	2022-10-06 04:36:02.103015
7348.42	16	1495.3	35.29	1.5758280582489084e-06	-5353.0	2022-10-06 04:36:03.104725
8078.23	16	1677.1	35.0	0.0	-5885.0	2022-10-06 04:36:04.104396
8489.27	16	1848.1	41.03	0.0	-6184.0	2022-10-06 04:36:05.107209
8623.68	21	1454.4	37.89	1.3472513378205784e-06	-5690.0	2022-10-06 04:36:06.107256
8967.42	21	1548.1	40.22	0.0	-5916.0	2022-10-06 04:36:07.107525
8866.76	21	1749.9	43.39	4.287011524266434e-05	-5846.0	2022-10-06 04:36:08.109794
8849.98	21	1414.6	35.77	0.00019951455861698093	-5821.0	2022-10-06 04:36:09.112644
8883.54	31	1111.0	42.19	1.3115287310041458e-05	-4807.0	2022-10-06 04:36:10.111724
8598.32	31	1201.5	45.18	7.678898118535243e-05	-4647.0	2022-10-06 04:36:11.111421
8673.82	31	1020.4	42.55	0.00034632546002222927	-4665.0	2022-10-06 04:36:12.116045
7966.45	18	1181.6	36.08	0.0	-5578.0	2022-10-06 04:36:13.114358
6850.76	18	1140.3	35.03	5.078831936372394e-05	-4793.0	2022-10-06 04:36:14.114196
6867.54	18	1192.9	35.12	0.0	-4808.0	2022-10-06 04:36:15.116320
7127.58	23	986.2	35.69	0.0	-4520.0	2022-10-06 04:36:16.116067
8704.64	23	1392.1	41.13	0.0	-5520.0	2022-10-06 04:36:17.118201
8914.36	23	1423.6	39.92	0.0	-5653.0	2022-10-06 04:36:18.120462
8690.6	23	1453.8	41.82	0.0	-5511.0	2022-10-06 04:36:19.123030
8486.54	21	1326.5	36.65	0.00012199176675174196	-5589.0	2022-10-06 04:36:20.122354
8698.99	21	1359.9	38.32	0.0	-5739.0	2022-10-06 04:36:21.124325
8584.47	21	1393.4	38.15	0.0	-5664.0	2022-10-06 04:36:22.123092
8629.15	27	1265.0	44.67	0.0	-5055.0	2022-10-06 04:36:23.124870
8419.43	27	1266.6	44.65	0.0002171191585670685	-4914.0	2022-10-06 04:36:24.129542
8589.93	27	1208.2	42.97	0.00010939988087568527	-5023.0	2022-10-06 04:36:25.129352
8766.1	27	1260.4	42.91	0.0	-5136.0	2022-10-06 04:36:26.128254
