curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.8	0.0	-0.0	2022-10-06 04:22:24.586030
536.87	1	2203.0	34.19	0.0	-526.0	2022-10-06 04:22:25.584414
713.03	1	2203.0	33.91	0.0	-699.0	2022-10-06 04:22:26.586098
729.81	1	2203.0	34.11	0.0	-715.0	2022-10-06 04:22:27.586810
1400.9	3	1973.7	34.52	2.4425790377866976e-05	-1320.0	2022-10-06 04:22:28.587097
1946.16	3	1978.7	34.45	0.0	-1834.0	2022-10-06 04:22:29.589036
1946.16	3	1984.0	34.66	0.0	-1834.0	2022-10-06 04:22:30.590045
1920.99	3	1989.0	34.72	0.0	-1810.0	2022-10-06 04:22:31.591357
1962.93	3	1994.0	34.65	0.0	-1850.0	2022-10-06 04:22:32.591804
1946.16	3	1999.3	34.49	0.0	-1834.0	2022-10-06 04:22:33.593561
2164.26	5	1902.0	34.84	0.0	-1960.0	2022-10-06 04:22:34.594089
3372.22	5	2106.2	34.66	0.0	-3054.0	2022-10-06 04:22:35.593699
3394.65	5	2121.6	34.44	0.0	-3075.0	2022-10-06 04:22:36.596462
3430.94	5	2141.2	35.05	0.0	-3108.0	2022-10-06 04:22:37.596900
3472.88	5	2165.4	35.16	0.0	-3145.0	2022-10-06 04:22:38.597892
3498.05	5	2194.0	34.43	0.0	-3168.0	2022-10-06 04:22:39.598725
3562.43	7	1575.0	34.81	0.0	-3101.0	2022-10-06 04:22:40.599333
4325.79	7	2022.0	34.58	0.00011242301031347283	-3761.0	2022-10-06 04:22:41.601014
4555.01	7	2044.4	35.21	2.2785040861173277e-05	-3964.0	2022-10-06 04:22:42.602262
4638.9	7	2063.4	35.07	0.0	-4038.0	2022-10-06 04:22:43.604277
4655.68	8	1825.5	34.75	0.0	-3974.0	2022-10-06 04:22:44.604128
4703.28	8	1838.4	34.61	0.0	-4014.0	2022-10-06 04:22:45.605437
4745.22	8	1849.4	34.7	0.0	-4050.0	2022-10-06 04:22:46.605327
5030.43	10	1724.8	34.6	0.0	-4127.0	2022-10-06 04:22:47.607122
5586.81	10	1738.0	35.08	0.0	-4583.0	2022-10-06 04:22:48.608293
5578.42	10	1751.0	34.62	0.0	-4576.0	2022-10-06 04:22:49.609830
5729.42	12	1628.2	34.75	0.0	-4518.0	2022-10-06 04:22:50.610336
6442.45	12	1681.3	35.12	0.0	-5080.0	2022-10-06 04:22:51.610786
6436.99	12	1698.0	34.7	0.0	-5076.0	2022-10-06 04:22:52.613265
6557.16	14	1511.0	36.95	0.0	-4970.0	2022-10-06 04:22:53.613748
7121.93	14	1604.2	36.51	4.8644047184725765e-06	-5397.0	2022-10-06 04:22:54.614142
7203.08	14	1614.8	36.27	0.0	-5459.0	2022-10-06 04:22:55.614970
7230.98	17	1341.4	35.12	0.0	-5164.0	2022-10-06 04:22:56.615024
8131.49	17	1575.8	36.23	1.285901659956165e-05	-5806.0	2022-10-06 04:22:57.616866
8536.87	17	1594.1	35.74	0.0	-6097.0	2022-10-06 04:22:58.619097
8620.76	17	1613.1	34.93	0.0	-6157.0	2022-10-06 04:22:59.619924
8766.1	19	1586.5	40.24	0.0	-6017.0	2022-10-06 04:23:00.620888
8757.71	19	1617.2	37.26	0.0	-6012.0	2022-10-06 04:23:01.621691
8595.59	19	1644.7	39.48	0.0	-5900.0	2022-10-06 04:23:02.622943
8321.5	16	1746.2	36.19	0.0	-6062.0	2022-10-06 04:23:03.623899
8517.36	16	1794.9	37.25	0.0	-6204.0	2022-10-06 04:23:04.624741
8587.2	16	1836.1	39.53	0.0	-6255.0	2022-10-06 04:23:05.625545
8539.6	18	1577.3	37.16	8.697672964778501e-05	-5972.0	2022-10-06 04:23:06.626855
8615.1	18	1636.2	38.55	2.6896795650250207e-06	-6032.0	2022-10-06 04:23:07.626674
8335.54	18	1695.1	39.52	0.0	-5836.0	2022-10-06 04:23:08.627420
8576.08	14	1904.9	34.85	0.0	-6500.0	2022-10-06 04:23:09.629587
8520.09	14	1960.9	35.89	0.0	-6457.0	2022-10-06 04:23:10.631123
8156.65	14	1926.7	36.74	7.957111170789445e-05	-6175.0	2022-10-06 04:23:11.631444
7437.96	16	1399.3	35.14	0.00017057502562537656	-5405.0	2022-10-06 04:23:12.631706
7491.03	16	1484.9	34.47	6.183919027764251e-06	-5456.0	2022-10-06 04:23:13.634002
7549.75	16	1464.5	34.88	6.749677472798033e-05	-5494.0	2022-10-06 04:23:14.634835
7793.02	16	1525.1	34.53	0.0	-5677.0	2022-10-06 04:23:15.635746
6562.82	11	1749.1	34.84	0.0	-5278.0	2022-10-06 04:23:16.637062
6190.79	11	1562.9	34.56	0.00011626228020334648	-4972.0	2022-10-06 04:23:17.638092
5768.63	11	1542.6	34.45	6.037116190338199e-05	-4636.0	2022-10-06 04:23:18.639261
5544.87	13	1210.5	34.38	1.2603294501182609e-05	-4286.0	2022-10-06 04:23:19.639467
5533.75	13	1377.5	34.74	0.0	-4278.0	2022-10-06 04:23:20.641749
6241.12	13	1555.0	35.67	3.504170885503983e-05	-4822.0	2022-10-06 04:23:21.642338
5282.09	7	1441.6	34.42	0.0	-4598.0	2022-10-06 04:23:22.643670
3369.49	7	1452.6	34.33	0.0	-2933.0	2022-10-06 04:23:23.644894
3363.83	7	1461.3	34.47	0.0	-2928.0	2022-10-06 04:23:24.644696
3436.6	9	1214.0	34.35	3.39853998722149e-06	-2875.0	2022-10-06 04:23:25.647176
3959.42	9	1431.7	34.65	0.0	-3313.0	2022-10-06 04:23:26.649014
4233.52	9	1349.3	34.31	9.084027252081756e-05	-3539.0	2022-10-06 04:23:27.648376
4099.3	2	1399.1	34.25	0.0	-3940.0	2022-10-06 04:23:28.650687
1375.73	2	2097.5	34.68	0.0	-1322.0	2022-10-06 04:23:29.650400
1392.51	2	2142.0	34.92	0.0	-1338.0	2022-10-06 04:23:30.651814
1417.67	2	2175.5	34.74	0.0	-1363.0	2022-10-06 04:23:31.652393
1560.28	4	1219.8	34.29	9.107329882667234e-05	-1440.0	2022-10-06 04:23:32.652430
1644.17	4	1262.0	34.25	0.0	-1519.0	2022-10-06 04:23:33.654144
1702.89	4	1298.0	34.19	0.0	-1573.0	2022-10-06 04:23:34.654081
1635.78	3	1574.7	34.29	0.0	-1541.0	2022-10-06 04:23:35.657262
1560.28	3	1603.3	34.35	0.0	-1470.0	2022-10-06 04:23:36.656905
1599.49	3	1626.3	34.33	0.0	-1507.0	2022-10-06 04:23:37.657815
1711.28	5	1138.4	33.94	4.105427374989737e-05	-1549.0	2022-10-06 04:23:38.659979
1895.83	5	1165.2	33.91	0.0	-1717.0	2022-10-06 04:23:39.661088
1951.81	5	1191.2	33.98	0.0	-1768.0	2022-10-06 04:23:40.662434
1912.6	5	1096.2	34.17	0.00010350895352447987	-1730.0	2022-10-06 04:23:41.662021
1853.88	5	1154.2	33.97	0.0	-1679.0	2022-10-06 04:23:42.663317
1971.32	5	1211.8	34.27	0.0	-1785.0	2022-10-06 04:23:43.665333
2055.21	7	912.3	34.11	0.0	-1789.0	2022-10-06 04:23:44.665075
2491.42	7	1111.7	34.27	1.8867123565509012e-05	-2168.0	2022-10-06 04:23:45.667291
2642.41	7	1170.9	34.36	0.0	-2300.0	2022-10-06 04:23:46.667889
2793.41	7	1235.4	34.33	0.0	-2432.0	2022-10-06 04:23:47.668398
3087.01	8	1259.4	34.42	0.0	-2635.0	2022-10-06 04:23:48.669497
3587.59	8	1421.9	34.23	0.0	-3062.0	2022-10-06 04:23:49.671167
3774.87	8	1449.0	34.5	0.0	-3222.0	2022-10-06 04:23:50.670890
4026.53	10	1356.3	34.84	0.0	-3303.0	2022-10-06 04:23:51.673558
4985.76	10	1668.6	34.3	0.0	-4090.0	2022-10-06 04:23:52.673922
5519.7	10	1720.5	34.37	0.0	-4528.0	2022-10-06 04:23:53.673478
5955.91	16	1305.4	35.83	2.7466921978246198e-05	-4337.0	2022-10-06 04:23:54.677087
7390.36	16	1600.2	35.26	0.0	-5383.0	2022-10-06 04:23:55.677290
8271.17	16	1657.9	36.07	0.0	-6025.0	2022-10-06 04:23:56.679709
8313.11	18	1542.1	37.55	0.0	-5821.0	2022-10-06 04:23:57.679757
8360.71	18	1592.4	40.6	5.560420923863936e-06	-5853.0	2022-10-06 04:23:58.681884
8204.06	18	1638.6	42.49	0.0	-5744.0	2022-10-06 04:23:59.683817
8251.66	21	1451.3	41.32	0.0	-5444.0	2022-10-06 04:24:00.684945
8612.37	21	1558.2	40.61	4.046022153319963e-06	-5682.0	2022-10-06 04:24:01.686149
7915.8	21	1705.3	46.59	0.0	-5223.0	2022-10-06 04:24:02.687410
8866.76	21	1540.3	39.35	9.310413106963534e-05	-5842.0	2022-10-06 04:24:03.688638
8774.68	23	1421.3	40.78	3.425988760121491e-05	-5562.0	2022-10-06 04:24:04.689866
8713.03	23	1466.7	42.17	2.0019111578520294e-05	-5524.0	2022-10-06 04:24:05.691493
8679.48	23	1163.6	35.49	0.00014654102678205317	-5491.0	2022-10-06 04:24:06.692225
8690.6	20	1347.4	34.57	0.0	-5849.0	2022-10-06 04:24:07.692403
8511.71	20	1426.3	37.6	0.0	-5728.0	2022-10-06 04:24:08.693416
8450.25	20	1494.4	40.18	0.0	-5687.0	2022-10-06 04:24:09.694234
8480.88	22	1187.7	34.43	0.0005207175128211149	-5442.0	2022-10-06 04:24:10.695219
8411.04	22	1084.4	34.57	0.0001724675554034775	-5426.0	2022-10-06 04:24:11.697140
8055.99	22	1182.0	34.74	0.0	-5211.0	2022-10-06 04:24:12.697548
8128.56	18	1180.0	34.52	0.0	-5691.0	2022-10-06 04:24:13.699037
6786.38	18	1084.0	34.71	8.843281140288043e-05	-4746.0	2022-10-06 04:24:14.698848
6540.38	18	1120.8	34.46	0.0	-4579.0	2022-10-06 04:24:15.701128
6682.99	20	1034.6	34.57	0.0	-4497.0	2022-10-06 04:24:16.701520
7026.92	20	1073.8	34.61	6.606798064868847e-06	-4728.0	2022-10-06 04:24:17.700475
7152.75	20	1087.6	34.7	0.0	-4814.0	2022-10-06 04:24:18.704640
7197.43	20	1098.6	34.44	0.0	-4844.0	2022-10-06 04:24:19.704079
6649.43	15	1321.7	34.81	0.0	-4941.0	2022-10-06 04:24:20.702973
6456.5	15	1291.0	34.58	1.8000633622303504e-06	-4797.0	2022-10-06 04:24:21.704347
6400.51	15	1309.6	34.55	0.0	-4756.0	2022-10-06 04:24:22.704494
6557.16	17	1200.2	34.68	5.29238672528279e-06	-4683.0	2022-10-06 04:24:23.706029
6901.09	17	1270.6	34.33	0.0	-4929.0	2022-10-06 04:24:24.710028
7384.9	17	1369.9	34.69	0.0	-5274.0	2022-10-06 04:24:25.711343
7398.75	16	1362.2	34.75	0.0	-5390.0	2022-10-06 04:24:26.710911
7278.58	16	1418.8	34.54	0.0	-5302.0	2022-10-06 04:24:27.711727
7616.86	16	1488.8	34.66	0.0	-5548.0	2022-10-06 04:24:28.711025
7935.62	18	1419.1	36.33	0.0	-5556.0	2022-10-06 04:24:29.715912
8724.15	18	1701.6	36.41	0.0	-6108.0	2022-10-06 04:24:30.716266
8894.85	18	1786.1	39.94	0.0	-6228.0	2022-10-06 04:24:31.717242
8802.57	18	1744.5	39.37	2.2369716141460822e-05	-6161.0	2022-10-06 04:24:32.715872
8562.04	18	1781.1	42.38	1.622505229199145e-05	-5993.0	2022-10-06 04:24:33.717807
8371.83	18	1780.4	39.68	1.6629596524414327e-05	-5860.0	2022-10-06 04:24:34.717415
8450.25	18	1772.1	42.33	0.00020602914971360584	-5899.0	2022-10-06 04:24:35.720277
8640.27	20	1642.1	43.14	8.618275052248293e-05	-5807.0	2022-10-06 04:24:36.721282
8246.19	20	1655.2	47.04	1.4008250859756397e-06	-5549.0	2022-10-06 04:24:37.722981
8598.32	20	1594.1	42.01	0.00015997527161903109	-5773.0	2022-10-06 04:24:38.721418
8282.48	17	1581.4	37.04	0.0	-5915.0	2022-10-06 04:24:39.724595
8427.82	17	1633.2	37.48	0.0	-6019.0	2022-10-06 04:24:40.723087
8411.04	17	1494.4	34.65	8.984440331567315e-05	-5999.0	2022-10-06 04:24:41.725763
8271.17	19	1452.3	36.3	0.0	-5678.0	2022-10-06 04:24:42.727415
8785.8	19	1554.8	36.48	0.0	-6031.0	2022-10-06 04:24:43.728040
8822.08	19	1585.3	38.61	0.0	-6056.0	2022-10-06 04:24:44.729400
8612.37	15	1544.2	34.86	0.0	-6399.0	2022-10-06 04:24:45.728760
7888.22	15	1655.4	35.77	0.0	-5861.0	2022-10-06 04:24:46.730081
7608.66	15	1514.6	35.1	9.010329808614487e-05	-5646.0	2022-10-06 04:24:47.730741
7549.75	17	1379.5	35.18	0.0	-5392.0	2022-10-06 04:24:48.732265
7910.65	17	1451.2	34.25	5.862137188665558e-06	-5649.0	2022-10-06 04:24:49.731357
8036.48	17	1554.0	38.33	0.0	-5739.0	2022-10-06 04:24:50.732561
8125.83	17	1615.0	37.84	0.0	-5803.0	2022-10-06 04:24:51.733797
7191.96	12	1754.2	35.06	0.0	-5671.0	2022-10-06 04:24:52.735473
6984.98	12	1787.4	34.35	0.0	-5508.0	2022-10-06 04:24:53.737286
7119.2	12	1823.8	34.71	0.0	-5613.0	2022-10-06 04:24:54.737828
7264.73	14	1629.9	35.08	3.1858294306922808e-06	-5506.0	2022-10-06 04:24:55.739362
7580.57	14	1729.4	36.06	0.0	-5745.0	2022-10-06 04:24:56.739829
7994.34	14	1860.2	35.99	0.0	-6059.0	2022-10-06 04:24:57.740988
8033.55	13	1884.2	35.02	0.0	-6210.0	2022-10-06 04:24:58.741799
7832.23	13	1919.0	35.16	0.0	-6055.0	2022-10-06 04:24:59.742604
7966.45	13	1933.8	34.63	0.0	-6158.0	2022-10-06 04:25:00.743864
8067.11	15	1732.7	36.0	0.0	-5994.0	2022-10-06 04:25:01.744547
8520.09	15	2006.0	40.37	0.0	-6331.0	2022-10-06 04:25:02.746044
8288.14	15	2017.8	41.29	0.0	-6158.0	2022-10-06 04:25:03.746926
8520.09	15	2029.9	39.97	0.0	-6331.0	2022-10-06 04:25:04.748209
8905.97	15	2045.5	39.67	0.0	-6617.0	2022-10-06 04:25:05.748298
8587.2	15	1757.8	36.41	0.00012088432999520537	-6370.0	2022-10-06 04:25:06.749592
7027.11	15	1672.9	35.31	0.0	-5221.0	2022-10-06 04:25:07.752167
5673.62	17	1828.6	34.62	0.0	-4052.0	2022-10-06 04:25:08.754724
5628.76	17	1917.2	34.56	0.0	-4020.0	2022-10-06 04:25:09.754602
5838.47	17	1988.1	34.19	0.0	-4170.0	2022-10-06 04:25:10.756485
4233.71	12	1552.0	33.79	0.0	-3338.0	2022-10-06 04:25:11.757063
2161.53	12	1447.5	33.71	0.0	-1704.0	2022-10-06 04:25:12.756220
1649.82	12	1272.0	33.8	0.0	-1301.0	2022-10-06 04:25:13.758113
836.13	14	1216.5	33.18	0.0	-634.0	2022-10-06 04:25:14.761403
822.08	14	1224.0	33.43	0.0	-623.0	2022-10-06 04:25:15.762465
676.75	14	277.0	33.13	0.0	-513.0	2022-10-06 04:25:16.763989
92.27	2	45.0	33.8	0.0	-89.0	2022-10-06 04:25:17.762430
469.76	2	775.5	34.37	0.00019671002483464064	-451.0	2022-10-06 04:25:18.762224
