curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.78	0.0	-0.0	2022-10-06 04:01:57.617893
511.71	1	2205.0	34.76	0.0	-502.0	2022-10-06 04:01:58.617248
704.64	1	2205.0	34.53	0.0	-691.0	2022-10-06 04:01:59.619089
721.42	1	2205.0	34.1	0.0	-707.0	2022-10-06 04:02:00.619430
989.86	2	1737.0	34.11	2.337158482716713e-05	-951.0	2022-10-06 04:02:01.621108
1149.24	2	1743.5	34.24	0.0	-1105.0	2022-10-06 04:02:02.622842
1149.24	2	1750.0	34.11	0.0	-1105.0	2022-10-06 04:02:03.622480
1560.28	4	1729.0	34.42	5.117931770658166e-05	-1441.0	2022-10-06 04:02:04.623509
2332.03	4	1750.0	33.97	0.0	-2154.0	2022-10-06 04:02:05.625192
2323.64	4	1757.0	34.53	0.0	-2147.0	2022-10-06 04:02:06.625535
2625.63	8	1466.6	34.12	0.0	-2241.0	2022-10-06 04:02:07.627760
4462.74	8	1749.0	34.45	0.0	-3809.0	2022-10-06 04:02:08.628512
4527.12	8	1762.9	34.54	0.0	-3864.0	2022-10-06 04:02:09.629916
4689.23	14	1185.3	34.27	0.0	-3554.0	2022-10-06 04:02:10.631066
7524.58	14	1798.4	34.63	1.2164506706444604e-05	-5702.0	2022-10-06 04:02:11.631745
8011.12	14	1819.1	35.9	0.0	-6071.0	2022-10-06 04:02:12.632288
8027.9	22	1123.5	34.82	4.6281230791481364e-05	-5189.0	2022-10-06 04:02:13.632281
8690.6	22	1370.9	39.82	0.00018501734872820684	-5605.0	2022-10-06 04:02:14.633593
8805.31	22	1400.7	39.32	1.1847888903662183e-05	-5695.0	2022-10-06 04:02:15.636557
8782.87	22	1373.2	38.38	0.00011193017663898699	-5671.0	2022-10-06 04:02:16.638393
8455.72	27	1236.4	46.41	5.639227013272815e-05	-4949.0	2022-10-06 04:02:17.638113
8397.0	27	1199.8	44.93	6.369259185925598e-05	-4914.0	2022-10-06 04:02:18.641454
8511.71	27	1339.3	46.28	1.3513623083430406e-05	-4986.0	2022-10-06 04:02:19.643158
8858.37	26	1233.3	40.0	0.00016514864071566263	-5279.0	2022-10-06 04:02:20.645585
8883.54	26	1278.7	43.74	0.0	-5309.0	2022-10-06 04:02:21.645394
8651.58	26	1318.7	42.93	0.0	-5170.0	2022-10-06 04:02:22.647316
7429.57	22	933.8	34.66	0.0	-4806.0	2022-10-06 04:02:23.646005
6976.59	22	1001.7	35.21	0.0	-4513.0	2022-10-06 04:02:24.644318
7387.63	22	1058.4	34.5	0.0	-4779.0	2022-10-06 04:02:25.645842
7759.46	23	1070.4	34.67	0.0	-4921.0	2022-10-06 04:02:26.647153
8134.22	23	1187.4	38.58	0.0	-5158.0	2022-10-06 04:02:27.647316
8520.09	23	1219.1	34.6	0.0	-5403.0	2022-10-06 04:02:28.651569
8629.34	29	991.3	38.05	0.0	-4859.0	2022-10-06 04:02:29.650255
8606.71	29	1135.0	43.79	5.809303532056548e-05	-4842.0	2022-10-06 04:02:30.652931
8564.77	29	1064.3	39.92	0.00014154320197942724	-4811.0	2022-10-06 04:02:31.654890
8648.65	29	1054.7	38.78	0.00012687626625852575	-4859.0	2022-10-06 04:02:32.656094
8707.38	28	1044.6	36.53	0.0001315962626661403	-4990.0	2022-10-06 04:02:33.655365
8799.65	28	1084.8	38.0	0.0	-5054.0	2022-10-06 04:02:34.655998
8757.71	28	1083.0	36.35	1.3245541881741153e-06	-5030.0	2022-10-06 04:02:35.658585
8232.15	24	1105.2	35.07	0.0	-5118.0	2022-10-06 04:02:36.660326
7944.2	24	898.2	34.76	0.00017790821112558555	-4925.0	2022-10-06 04:02:37.659672
7256.15	24	942.3	34.35	0.0	-4511.0	2022-10-06 04:02:38.664788
7169.53	25	907.2	34.59	0.00010460655062313317	-4363.0	2022-10-06 04:02:39.664066
7572.18	25	940.5	35.57	0.0	-4615.0	2022-10-06 04:02:40.665356
7748.34	25	967.2	34.86	0.0	-4723.0	2022-10-06 04:02:41.666103
7826.57	23	991.4	36.79	0.0	-4963.0	2022-10-06 04:02:42.665989
7541.36	23	1011.6	34.52	0.0	-4782.0	2022-10-06 04:02:43.666682
7566.52	23	1031.3	35.25	0.0	-4798.0	2022-10-06 04:02:44.667451
7851.93	21	1013.1	34.59	0.0	-5181.0	2022-10-06 04:02:45.667866
7096.76	21	1037.6	34.69	0.0	-4682.0	2022-10-06 04:02:46.668352
7096.76	21	1045.0	34.63	1.6241597003750185e-06	-4682.0	2022-10-06 04:02:47.671167
7312.13	21	1077.3	34.28	0.0	-4824.0	2022-10-06 04:02:48.669636
7723.18	22	1128.2	35.72	0.0	-4996.0	2022-10-06 04:02:49.671271
8229.22	22	1218.5	36.43	0.0	-5323.0	2022-10-06 04:02:50.671769
8520.09	22	1280.2	36.94	0.0	-5511.0	2022-10-06 04:02:51.672908
8494.93	28	1090.0	38.0	2.7157788106789853e-06	-4879.0	2022-10-06 04:02:52.675143
8556.57	28	1191.2	44.07	4.063460415800359e-06	-4914.0	2022-10-06 04:02:53.677877
8419.43	28	1138.9	42.66	0.00024409954848478998	-4815.0	2022-10-06 04:02:54.677180
8371.83	27	1085.0	41.78	0.00018534770246077158	-4889.0	2022-10-06 04:02:55.680880
8782.87	27	1144.5	39.39	2.374118938082978e-05	-5143.0	2022-10-06 04:02:56.682622
8791.45	27	1055.2	36.46	0.00016136093398882905	-5136.0	2022-10-06 04:02:57.681990
8486.54	23	1149.0	38.02	0.0	-5382.0	2022-10-06 04:02:58.681733
8363.44	23	1216.5	37.06	0.0	-5304.0	2022-10-06 04:02:59.684329
8576.08	23	1172.8	35.5	4.477204921669265e-05	-5435.0	2022-10-06 04:03:00.685157
8287.94	20	1149.0	34.95	4.60821127391906e-05	-5574.0	2022-10-06 04:03:01.686383
7941.47	20	1222.4	36.73	0.0	-5344.0	2022-10-06 04:03:02.687113
7580.57	20	1155.0	34.8	4.751249118719921e-05	-5098.0	2022-10-06 04:03:03.685624
7737.22	20	1187.8	34.44	0.0	-5207.0	2022-10-06 04:03:04.686323
7991.61	21	1163.0	34.49	0.0	-5273.0	2022-10-06 04:03:05.688675
7826.57	21	1142.1	35.2	4.446302010617769e-05	-5160.0	2022-10-06 04:03:06.689141
7580.57	21	1025.5	34.57	0.0001011412099860088	-4994.0	2022-10-06 04:03:07.689917
7214.2	20	1109.0	34.63	0.0	-4855.0	2022-10-06 04:03:08.693152
7421.19	20	1142.4	35.49	0.0	-4994.0	2022-10-06 04:03:09.691576
7675.58	20	1170.8	34.45	0.0	-5165.0	2022-10-06 04:03:10.692411
7868.51	21	1150.6	34.44	0.0	-5191.0	2022-10-06 04:03:11.696192
8120.17	21	1206.4	34.7	0.0	-5357.0	2022-10-06 04:03:12.698051
8536.87	21	1296.5	38.88	0.0	-5632.0	2022-10-06 04:03:13.698860
8352.32	25	1139.0	39.94	5.5469885399216765e-06	-5091.0	2022-10-06 04:03:14.697892
8592.86	25	1198.8	39.35	1.3522266440033481e-06	-5237.0	2022-10-06 04:03:15.701556
8679.48	25	1326.8	41.95	1.5910983351807753e-05	-5289.0	2022-10-06 04:03:16.703185
8822.08	24	1130.9	41.57	0.00023208595646417775	-5464.0	2022-10-06 04:03:17.703502
7944.01	24	949.8	34.3	0.0002469549571797744	-4919.0	2022-10-06 04:03:18.704931
