curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	29	10.0	33.22	0.0	-0.0	2022-11-14 19:31:05.048041
6744.44	29	1128.4	46.37	0.00010236340030743142	-3791.0	2022-11-14 19:31:06.047432
8237.61	29	1223.6	46.75	9.727365899802492e-05	-4631.0	2022-11-14 19:31:07.048168
8489.27	29	1012.4	38.93	0.00030912455649596273	-4754.0	2022-11-14 19:31:08.051123
8053.06	27	928.0	35.04	8.043043688807937e-05	-4712.0	2022-11-14 19:31:09.048604
8304.72	27	976.0	35.33	0.0	-4865.0	2022-11-14 19:31:10.049659
8338.28	27	983.0	34.09	0.00014753121816248475	-4873.0	2022-11-14 19:31:11.048264
3816.82	4	779.2	33.71	0.0	-3526.0	2022-11-14 19:31:12.064267
1073.74	4	800.0	33.72	0.0	-992.0	2022-11-14 19:31:13.064991
1098.91	4	822.5	33.75	0.0	-1015.0	2022-11-14 19:31:14.064412
1149.24	4	852.5	33.67	0.0	-1062.0	2022-11-14 19:31:15.058822
3632.27	22	720.4	33.75	0.00011370761548632747	-2345.0	2022-11-14 19:31:16.056640
7038.04	22	1238.5	38.01	3.2351152348046637e-06	-4552.0	2022-11-14 19:31:17.058333
7465.86	22	1166.2	39.98	6.0714847271023294e-05	-4825.0	2022-11-14 19:31:18.057326
6887.05	32	810.4	41.71	0.00016840572511422672	-3643.0	2022-11-14 19:31:19.067630
6719.28	32	787.8	41.69	0.000159408663167762	-3555.0	2022-11-14 19:31:20.067824
6736.05	32	749.8	46.58	0.00026856615130843695	-3556.0	2022-11-14 19:31:21.069152
6014.63	27	641.2	39.89	0.0005862798782882972	-3488.0	2022-11-14 19:31:22.060709
5536.48	27	673.1	37.67	0.0	-3244.0	2022-11-14 19:31:23.063662
5502.93	27	668.7	37.78	0.00011225579070437332	-3218.0	2022-11-14 19:31:24.062772
5058.33	27	640.1	39.29	0.00023724359442295058	-2951.0	2022-11-14 19:31:25.066636
4328.52	18	631.6	34.23	0.0	-3031.0	2022-11-14 19:31:26.067767
3732.93	18	655.0	35.69	0.0	-2614.0	2022-11-14 19:31:27.071882
3581.94	18	658.4	37.64	2.2826508750705177e-05	-2507.0	2022-11-14 19:31:28.068296
3321.89	32	364.2	39.1	0.00015035701048303065	-1758.0	2022-11-14 19:31:29.069732
4253.02	32	469.3	40.52	0.0006701673721804192	-2228.0	2022-11-14 19:31:30.071524
4118.81	32	454.3	40.06	0.0002715033448092479	-2174.0	2022-11-14 19:31:31.074538
4023.8	32	428.8	40.47	0.00028981055084291397	-2124.0	2022-11-14 19:31:32.077440
3649.04	25	460.5	36.92	0.0	-2224.0	2022-11-14 19:31:33.077164
3632.27	25	483.6	37.74	0.0	-2214.0	2022-11-14 19:31:34.076198
3699.38	25	469.4	34.33	8.819119851838787e-05	-2252.0	2022-11-14 19:31:35.078919
3808.43	28	466.0	36.78	3.0503242494677185e-06	-2187.0	2022-11-14 19:31:36.077680
4026.53	28	505.1	37.64	3.407512998242291e-05	-2311.0	2022-11-14 19:31:37.079031
4426.45	28	527.5	37.47	8.694919005512052e-05	-2539.0	2022-11-14 19:31:38.077198
4328.52	28	481.1	35.03	0.00019383914581549744	-2478.0	2022-11-14 19:31:39.081063
4185.92	29	496.2	39.59	0.0	-2357.0	2022-11-14 19:31:40.082448
4294.97	29	517.1	38.81	0.0	-2419.0	2022-11-14 19:31:41.085029
4278.19	29	495.4	38.83	0.00011466543628833443	-2404.0	2022-11-14 19:31:42.079645
4219.47	27	481.2	39.03	0.00012131306640087083	-2467.0	2022-11-14 19:31:43.085476
4051.7	27	458.4	35.25	5.729936626900907e-05	-2371.0	2022-11-14 19:31:44.085582
4102.03	27	484.7	37.2	4.218946444693831e-05	-2401.0	2022-11-14 19:31:45.089631
3909.09	12	470.4	37.93	0.0001464492045417186	-3077.0	2022-11-14 19:31:46.088330
1627.39	12	413.2	34.25	0.0	-1283.0	2022-11-14 19:31:47.088601
1702.89	12	438.9	33.95	1.3517714965462239e-05	-1342.0	2022-11-14 19:31:48.092079
1834.37	12	477.9	34.58	0.0	-1446.0	2022-11-14 19:31:49.093525
2524.97	22	528.2	37.28	9.354886992965126e-06	-1633.0	2022-11-14 19:31:50.090399
3774.87	22	589.6	38.22	0.0002096584725146992	-2434.0	2022-11-14 19:31:51.090321
3805.7	22	611.0	40.64	2.1187466705409462e-05	-2461.0	2022-11-14 19:31:52.091841
3707.76	22	603.4	42.56	0.00015288373036302086	-2393.0	2022-11-14 19:31:53.092438
620.76	1	329.0	33.85	0.0	-609.0	2022-11-14 19:31:54.103868
109.05	1	337.0	34.85	0.0	-107.0	2022-11-14 19:31:55.102994
117.44	1	339.0	34.14	0.0	-115.0	2022-11-14 19:31:56.110582
612.37	32	193.3	40.49	0.00015620118712902218	-324.0	2022-11-14 19:31:57.097515
2810.18	32	464.2	49.84	9.645188585357726e-05	-1488.0	2022-11-14 19:31:58.105242
3833.59	32	654.9	61.16	0.00040733441556496685	-2019.0	2022-11-14 19:31:59.100399
3850.37	24	493.9	46.07	0.0014208254145592102	-2339.0	2022-11-14 19:32:00.103075
3372.22	24	459.3	36.55	0.0	-2097.0	2022-11-14 19:32:01.105192
3447.72	24	402.2	34.05	0.00018752194859171015	-2137.0	2022-11-14 19:32:02.105871
3296.72	24	428.4	35.16	0.0	-2050.0	2022-11-14 19:32:03.104395
3598.71	32	422.6	41.13	3.260802222562795e-06	-1909.0	2022-11-14 19:32:04.106619
4001.37	32	515.6	43.85	0.0001306919996166368	-2118.0	2022-11-14 19:32:05.117351
4278.19	32	549.0	45.24	0.00012827440898248373	-2265.0	2022-11-14 19:32:06.108116
4479.52	25	595.1	46.49	3.816541399296739e-05	-2729.0	2022-11-14 19:32:07.105671
3925.87	25	519.7	38.27	0.0	-2393.0	2022-11-14 19:32:08.105549
3883.93	25	506.6	37.08	0.00017125654230036594	-2361.0	2022-11-14 19:32:09.108832
3875.54	25	538.1	40.01	8.941131589613981e-06	-2362.0	2022-11-14 19:32:10.111298
3707.76	26	512.7	42.4	0.0001749989062568359	-2209.0	2022-11-14 19:32:11.114809
3581.94	26	499.0	42.13	0.00013913156021484502	-2136.0	2022-11-14 19:32:12.116595
3430.94	26	455.5	40.94	0.00023857970095738626	-2042.0	2022-11-14 19:32:13.118720
3347.05	26	461.3	40.71	0.0001000441574212066	-1997.0	2022-11-14 19:32:14.114041
3498.05	27	501.3	44.04	0.0	-2049.0	2022-11-14 19:32:15.125415
3472.88	27	473.6	43.24	0.0002169907061211409	-2027.0	2022-11-14 19:32:16.124082
3439.33	27	469.6	44.23	0.00012863521422840874	-2011.0	2022-11-14 19:32:17.124805
3447.72	27	498.7	46.2	0.0	-2020.0	2022-11-14 19:32:18.116324
3405.77	27	461.8	41.91	0.00028778147567569396	-1986.0	2022-11-14 19:32:19.121818
3414.16	27	434.4	39.11	0.00021067081665522702	-1993.0	2022-11-14 19:32:20.122224
3447.72	27	457.3	42.06	0.0	-2020.0	2022-11-14 19:32:21.120192
3539.99	27	474.9	40.91	0.0	-2074.0	2022-11-14 19:32:22.128589
3573.55	27	472.3	42.67	6.510374281417439e-05	-2091.0	2022-11-14 19:32:23.124237
3439.33	27	482.1	42.8	3.0171879138157034e-05	-2014.0	2022-11-14 19:32:24.130745
