curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	11	10.0	33.28	0.0	-0.0	2022-11-14 19:24:10.745102
2122.32	11	866.3	33.72	0.00011436475822745517	-1704.0	2022-11-14 19:24:11.751473
4294.97	11	1272.9	34.06	0.0	-3454.0	2022-11-14 19:24:12.751320
4412.41	11	1221.7	33.9	8.339674961168388e-05	-3545.0	2022-11-14 19:24:13.750530
3649.04	8	1305.2	33.75	0.0	-3114.0	2022-11-14 19:24:14.754092
3489.66	8	1328.5	33.83	0.0	-2978.0	2022-11-14 19:24:15.753026
3548.38	8	1347.4	33.75	0.0	-3029.0	2022-11-14 19:24:16.754683
4924.11	26	786.5	34.31	4.3346337234503684e-05	-2940.0	2022-11-14 19:24:17.750203
8212.45	26	1195.9	36.38	0.0	-4908.0	2022-11-14 19:24:18.755362
9336.52	26	1214.7	37.15	0.0	-5579.0	2022-11-14 19:24:19.751866
9336.52	30	1074.3	37.25	0.0	-5154.0	2022-11-14 19:24:20.746498
9353.3	30	1131.8	39.98	3.826659721073538e-05	-5160.0	2022-11-14 19:24:21.756397
9344.91	30	1127.1	39.61	7.45236078369026e-05	-5152.0	2022-11-14 19:24:22.753281
9297.5	30	942.9	34.32	0.0001242788063208954	-5121.0	2022-11-14 19:24:23.752938
9196.84	32	893.9	34.43	4.530062628115834e-05	-4876.0	2022-11-14 19:24:24.761471
8430.55	32	774.4	34.69	0.00013558215240817422	-4462.0	2022-11-14 19:24:25.758468
8346.66	32	800.1	34.04	4.306051947655077e-05	-4425.0	2022-11-14 19:24:26.764204
8816.43	32	857.9	34.11	0.0	-4678.0	2022-11-14 19:24:27.762444
8959.03	32	818.1	33.97	8.53349331478376e-05	-4746.0	2022-11-14 19:24:28.764990
8925.48	32	864.5	34.6	0.0	-4736.0	2022-11-14 19:24:29.768238
9235.86	32	845.0	34.62	3.892174218740191e-05	-4897.0	2022-11-14 19:24:30.764923
2248.15	1	804.0	33.61	0.0	-2204.0	2022-11-14 19:24:31.774380
276.82	1	805.0	33.92	0.0	-271.0	2022-11-14 19:24:32.769712
268.44	1	809.0	33.76	0.0	-263.0	2022-11-14 19:24:33.776467
1124.07	29	355.2	33.42	0.00044699872286079183	-628.0	2022-11-14 19:24:34.765487
5620.37	29	835.1	34.18	5.8993221678829104e-05	-3162.0	2022-11-14 19:24:35.772869
9185.53	29	1183.1	39.73	0.0	-5172.0	2022-11-14 19:24:36.766932
8648.65	29	844.4	34.76	0.0002471378852872842	-4849.0	2022-11-14 19:24:37.763289
8380.22	30	875.6	34.66	5.541209978610929e-06	-4626.0	2022-11-14 19:24:38.768756
8740.93	30	913.9	34.09	0.0	-4826.0	2022-11-14 19:24:39.773022
8774.48	30	901.1	34.76	8.832454921522979e-05	-4836.0	2022-11-14 19:24:40.773398
9009.36	30	943.4	34.48	0.0	-4974.0	2022-11-14 19:24:41.775576
8352.32	30	752.1	33.68	0.0012924399928616044	-4503.0	2022-11-14 19:24:42.776985
7566.52	30	766.8	33.73	9.659124883285574e-05	-4170.0	2022-11-14 19:24:43.784943
7692.35	30	765.2	33.57	5.028602079098387e-05	-4243.0	2022-11-14 19:24:44.766355
8011.12	30	808.6	33.57	0.0	-4423.0	2022-11-14 19:24:45.772868
8371.83	30	843.7	33.58	0.0	-4622.0	2022-11-14 19:24:46.781914
8626.41	30	873.3	33.99	0.0	-4762.0	2022-11-14 19:24:47.780359
8830.47	30	900.2	33.96	0.0	-4875.0	2022-11-14 19:24:48.776820
9065.35	30	926.9	34.83	0.0	-5005.0	2022-11-14 19:24:49.781480
9291.85	30	956.4	34.85	0.0	-5130.0	2022-11-14 19:24:50.785016
9286.19	30	980.6	34.91	0.0	-5127.0	2022-11-14 19:24:51.789550
9302.97	30	994.0	35.52	0.0	-5136.0	2022-11-14 19:24:52.773901
9336.52	30	1011.0	36.23	0.0	-5154.0	2022-11-14 19:24:53.791302
9325.4	30	1033.8	36.82	0.0	-5148.0	2022-11-14 19:24:54.788803
9319.74	30	1014.5	36.26	2.749615053892455e-05	-5143.0	2022-11-14 19:24:55.779754
9319.74	30	986.8	35.93	3.937153192169986e-05	-5141.0	2022-11-14 19:24:56.795818
