curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.35	0.0	-0.0	2022-11-14 19:31:02.509493
243.27	1	844.0	33.59	0.00018716952880071125	-238.0	2022-11-14 19:31:03.521930
301.99	1	860.0	33.47	0.0	-296.0	2022-11-14 19:31:04.518678
285.21	1	875.0	37.01	0.0	-280.0	2022-11-14 19:31:05.516431
469.76	3	1101.0	54.88	0.0	-443.0	2022-11-14 19:31:06.515519
578.81	3	526.3	38.45	0.0008222123837834419	-541.0	2022-11-14 19:31:07.518635
486.54	3	558.0	41.3	0.00014051193180487576	-458.0	2022-11-14 19:31:08.524324
343.93	2	408.5	34.38	0.0	-331.0	2022-11-14 19:31:09.516262
276.82	2	432.0	36.07	0.0	-266.0	2022-11-14 19:31:10.517376
285.21	2	447.0	33.02	0.0	-274.0	2022-11-14 19:31:11.527161
377.49	4	405.8	33.09	0.00012390806021931726	-348.0	2022-11-14 19:31:12.520893
570.43	4	415.2	33.15	0.0	-527.0	2022-11-14 19:31:13.530012
587.2	4	427.8	33.09	0.0	-542.0	2022-11-14 19:31:14.524369
612.37	4	443.0	33.2	0.0	-566.0	2022-11-14 19:31:15.524094
620.76	4	458.5	33.83	0.0	-573.0	2022-11-14 19:31:16.526581
578.81	4	472.5	35.72	0.0	-535.0	2022-11-14 19:31:17.528906
562.04	4	487.0	36.92	0.0	-519.0	2022-11-14 19:31:18.526021
729.81	6	409.5	36.26	9.741683038106217e-05	-647.0	2022-11-14 19:31:19.531788
788.53	6	484.2	40.02	0.0	-700.0	2022-11-14 19:31:20.534897
830.47	6	525.8	43.38	0.00013783407534010558	-736.0	2022-11-14 19:31:21.535345
981.47	7	508.6	35.28	0.0001666230273023732	-853.0	2022-11-14 19:31:22.532618
1216.35	7	579.9	38.38	9.585246388758423e-05	-1058.0	2022-11-14 19:31:23.531680
1233.13	7	595.1	38.6	2.8314174075542216e-05	-1073.0	2022-11-14 19:31:24.532076
1283.46	9	522.8	38.98	0.00023854961832061068	-1071.0	2022-11-14 19:31:25.534627
1786.77	9	720.9	35.33	0.0	-1495.0	2022-11-14 19:31:26.536652
2063.6	9	770.4	37.24	0.0	-1727.0	2022-11-14 19:31:27.533288
2055.21	15	601.5	43.95	3.997989582381431e-05	-1526.0	2022-11-14 19:31:28.539378
2399.14	15	601.5	44.95	0.00042335560410898244	-1772.0	2022-11-14 19:31:29.542523
2021.65	15	484.6	45.15	0.00043352851750588155	-1493.0	2022-11-14 19:31:30.545026
1887.44	17	392.1	39.72	0.0004911316543676524	-1339.0	2022-11-14 19:31:31.533560
2071.99	17	410.8	38.9	0.00018747337025990627	-1476.0	2022-11-14 19:31:32.542651
2139.1	17	393.4	36.32	0.00012926925169261927	-1525.0	2022-11-14 19:31:33.541067
2122.32	17	379.5	35.62	0.00014808639469960402	-1513.0	2022-11-14 19:31:34.545993
1870.66	14	410.1	35.27	0.0	-1418.0	2022-11-14 19:31:35.541647
1803.55	14	422.6	39.18	0.0	-1367.0	2022-11-14 19:31:36.541666
1837.11	14	425.1	35.86	6.235463575539523e-06	-1392.0	2022-11-14 19:31:37.542747
2038.43	16	439.0	37.72	0.0	-1485.0	2022-11-14 19:31:38.540840
2214.59	16	484.7	36.14	0.00010389502446727827	-1611.0	2022-11-14 19:31:39.545420
2441.08	16	551.0	38.31	0.0	-1778.0	2022-11-14 19:31:40.544247
2189.43	16	468.1	38.99	5.791363497562362e-05	-1594.0	2022-11-14 19:31:41.546899
2315.26	16	500.4	38.54	0.0	-1687.0	2022-11-14 19:31:42.548046
2189.43	16	382.9	33.7	0.00031149301825993554	-1588.0	2022-11-14 19:31:43.549490
2181.04	18	408.9	35.57	0.0	-1527.0	2022-11-14 19:31:44.549896
2583.69	18	488.6	36.72	0.00012545196309920114	-1806.0	2022-11-14 19:31:45.549210
2877.29	18	498.7	33.27	8.020629057937015e-06	-2014.0	2022-11-14 19:31:46.555382
3095.4	18	504.0	33.29	0.00012447710187130578	-2163.0	2022-11-14 19:31:47.554777
3187.67	18	537.8	34.59	0.0	-2232.0	2022-11-14 19:31:48.560227
3313.5	18	541.1	33.46	3.4644272608852303e-06	-2320.0	2022-11-14 19:31:49.554852
3134.61	18	556.1	38.56	7.416747014759326e-06	-2194.0	2022-11-14 19:31:50.556610
2927.62	20	491.3	37.75	0.000180285572346597	-1965.0	2022-11-14 19:31:51.556701
2885.68	20	486.4	38.55	0.00014021649426714848	-1938.0	2022-11-14 19:31:52.560250
2927.62	20	476.6	33.47	9.44205333186457e-05	-1967.0	2022-11-14 19:31:53.560371
2944.4	16	513.0	33.43	0.0	-2145.0	2022-11-14 19:31:54.563683
2843.74	16	533.0	33.69	0.0	-2072.0	2022-11-14 19:31:55.563710
2952.79	16	561.8	33.63	0.0	-2151.0	2022-11-14 19:31:56.561214
2675.97	18	517.8	46.77	3.4648233806281726e-05	-1873.0	2022-11-14 19:31:57.574239
2088.76	18	532.5	56.62	0.000274373001696633	-1457.0	2022-11-14 19:31:58.568134
1988.1	18	525.5	53.02	0.000271846007912454	-1387.0	2022-11-14 19:31:59.578214
1870.66	10	474.6	35.24	0.0	-1535.0	2022-11-14 19:32:00.574850
1565.94	10	500.6	35.96	5.1972350709422586e-05	-1284.0	2022-11-14 19:32:01.574046
1652.56	10	500.5	33.69	8.530967411704488e-05	-1354.0	2022-11-14 19:32:02.569223
1719.66	12	453.0	34.96	0.0	-1356.0	2022-11-14 19:32:03.570225
1811.94	12	568.3	43.85	7.61266747868453e-05	-1427.0	2022-11-14 19:32:04.577808
1761.61	12	540.2	44.71	0.00015917863822674996	-1386.0	2022-11-14 19:32:05.582153
1778.38	12	564.6	46.73	0.0	-1402.0	2022-11-14 19:32:06.579377
1781.31	11	564.5	36.67	0.0	-1433.0	2022-11-14 19:32:07.577134
1909.87	11	584.9	38.23	0.0	-1536.0	2022-11-14 19:32:08.572677
1837.11	11	553.5	37.98	0.00027155893776248066	-1473.0	2022-11-14 19:32:09.575272
1943.43	13	586.6	42.79	0.00010107676483004239	-1500.0	2022-11-14 19:32:10.585934
2021.65	13	568.8	40.43	0.0002652856434330269	-1557.0	2022-11-14 19:32:11.585646
2077.64	13	561.6	42.53	7.874768678670064e-05	-1604.0	2022-11-14 19:32:12.585608
1943.43	13	498.6	38.91	0.0002452153110047847	-1498.0	2022-11-14 19:32:13.580642
1912.6	13	533.2	42.14	0.0	-1479.0	2022-11-14 19:32:14.582100
1778.38	13	493.9	44.35	0.00038718170437386263	-1368.0	2022-11-14 19:32:15.594107
