curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	32.85	0.0	-0.0	2022-11-14 19:11:59.358997
578.81	1	2272.0	32.94	0.0	-567.0	2022-11-14 19:12:00.359847
746.59	1	2272.0	32.99	0.0	-732.0	2022-11-14 19:12:01.362821
738.2	1	2272.0	33.12	0.0	-724.0	2022-11-14 19:12:02.363220
1560.28	3	2276.3	34.01	2.1547389892837646e-05	-1470.0	2022-11-14 19:12:03.360377
2206.2	3	2276.3	33.45	0.0	-2079.0	2022-11-14 19:12:04.363643
2181.04	3	2276.3	33.82	0.0	-2055.0	2022-11-14 19:12:05.368703
2189.43	3	2276.3	33.55	0.0	-2063.0	2022-11-14 19:12:06.368930
2197.82	3	2276.3	33.43	0.0	-2071.0	2022-11-14 19:12:07.367074
2189.43	3	2276.3	33.71	0.0	-2063.0	2022-11-14 19:12:08.367044
2432.7	5	2274.8	33.74	6.081672179156706e-05	-2202.0	2022-11-14 19:12:09.372205
3621.15	5	2274.8	33.55	0.0	-3280.0	2022-11-14 19:12:10.368694
3632.27	5	2274.8	33.66	0.0	-3290.0	2022-11-14 19:12:11.373687
3632.27	5	2274.8	33.78	0.0	-3290.0	2022-11-14 19:12:12.370998
3649.04	5	2274.8	33.51	0.0	-3305.0	2022-11-14 19:12:13.375383
3643.58	5	2274.8	33.68	0.0	-3300.0	2022-11-14 19:12:14.377213
3657.43	7	1627.7	33.49	0.0	-3184.0	2022-11-14 19:12:15.370911
4680.84	7	2274.1	34.05	2.4380372824661236e-06	-4075.0	2022-11-14 19:12:16.372333
5066.72	7	2274.1	33.96	0.0	-4411.0	2022-11-14 19:12:17.376058
5083.5	7	2274.1	33.97	0.0	-4425.0	2022-11-14 19:12:18.379380
5444.21	8	2273.9	34.5	0.0	-4647.0	2022-11-14 19:12:19.374863
5782.68	8	2273.9	34.52	0.0	-4935.0	2022-11-14 19:12:20.376281
5802.18	8	2273.9	33.68	0.0	-4952.0	2022-11-14 19:12:21.377100
6241.12	10	2274.9	34.06	0.0	-5120.0	2022-11-14 19:12:22.378491
7147.09	10	2207.6	34.9	5.502766758757087e-05	-5859.0	2022-11-14 19:12:23.379373
6710.89	10	2116.0	34.08	5.5774003736858254e-05	-5502.0	2022-11-14 19:12:24.381134
6590.71	12	1695.8	34.02	0.00029306832001656626	-5177.0	2022-11-14 19:12:25.379199
6833.98	12	1717.8	34.04	5.614106719064996e-05	-5385.0	2022-11-14 19:12:26.382375
6951.42	12	1790.4	33.71	0.0	-5481.0	2022-11-14 19:12:27.385466
7077.25	14	1500.4	33.58	5.626707664403296e-05	-5360.0	2022-11-14 19:12:28.385582
8145.34	14	1845.6	34.2	4.243845716403595e-06	-6173.0	2022-11-14 19:12:29.374314
8478.15	14	1877.1	34.16	0.0	-6425.0	2022-11-14 19:12:30.369757
8229.22	14	1788.8	34.07	9.157870414724729e-05	-6229.0	2022-11-14 19:12:31.375359
9135.19	21	1579.1	39.29	8.46342159713608e-05	-6019.0	2022-11-14 19:12:32.381968
9333.79	21	1489.4	37.71	5.489809541039446e-05	-6153.0	2022-11-14 19:12:33.379278
