curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.35	0.0	-0.0	2022-11-14 19:31:01.363714
385.88	1	2271.0	33.85	0.0	-378.0	2022-11-14 19:31:02.359954
738.2	1	2271.0	33.66	0.0	-724.0	2022-11-14 19:31:03.369473
721.42	1	2271.0	33.7	0.0	-707.0	2022-11-14 19:31:04.364115
973.08	2	1959.0	34.35	0.0	-935.0	2022-11-14 19:31:05.364778
822.08	2	1778.0	73.83	0.00019805061607888074	-789.0	2022-11-14 19:31:06.368137
452.98	2	712.5	51.95	0.001145411370303115	-430.0	2022-11-14 19:31:07.364714
469.76	3	682.3	36.34	2.5301723047339524e-05	-443.0	2022-11-14 19:31:08.362097
671.09	3	710.0	34.5	0.0	-632.0	2022-11-14 19:31:09.371772
713.03	3	729.0	35.0	0.0	-672.0	2022-11-14 19:31:10.364676
603.98	2	560.0	34.04	0.0	-581.0	2022-11-14 19:31:11.369675
394.26	2	584.0	33.44	0.0	-379.0	2022-11-14 19:31:12.373162
394.26	2	600.0	33.43	0.0	-379.0	2022-11-14 19:31:13.372601
436.21	3	513.0	33.35	0.0	-411.0	2022-11-14 19:31:14.375766
679.48	3	889.0	33.55	0.0	-640.0	2022-11-14 19:31:15.373420
1124.07	3	1146.0	34.37	0.0	-1059.0	2022-11-14 19:31:16.373724
1040.19	7	499.0	38.24	0.0	-906.0	2022-11-14 19:31:17.371091
1543.5	7	971.9	40.12	0.0	-1344.0	2022-11-14 19:31:18.374578
1988.1	7	873.1	35.38	0.0003288353357056454	-1724.0	2022-11-14 19:31:19.378876
1728.05	7	907.4	43.48	0.0	-1504.0	2022-11-14 19:31:20.379817
2139.1	16	609.4	44.38	0.0002477463527795452	-1553.0	2022-11-14 19:31:21.379023
2508.19	16	503.5	35.47	0.000934399519183363	-1804.0	2022-11-14 19:31:22.375366
2558.53	16	535.3	37.59	8.977144190889994e-06	-1864.0	2022-11-14 19:31:23.379928
2776.63	20	526.0	40.89	0.00012763513369780255	-1865.0	2022-11-14 19:31:24.378655
3070.23	20	507.8	38.13	0.0003638113789588173	-2055.0	2022-11-14 19:31:25.375719
3422.55	20	533.7	34.71	0.0	-2303.0	2022-11-14 19:31:26.383638
3607.1	25	511.0	39.0	5.247415647793462e-05	-2197.0	2022-11-14 19:31:27.381188
3808.43	25	526.4	39.46	0.00019361025650333828	-2314.0	2022-11-14 19:31:28.381155
3531.6	25	495.4	47.4	0.00022791006470664012	-2145.0	2022-11-14 19:31:29.383187
2986.34	31	362.8	41.41	0.0004234515148015552	-1604.0	2022-11-14 19:31:30.390512
3439.33	31	376.4	39.17	0.0006128432444478491	-1840.0	2022-11-14 19:31:31.383548
3321.89	31	381.2	40.59	0.00013564415321528814	-1793.0	2022-11-14 19:31:32.385416
3548.38	31	372.7	36.58	0.0002266307560927544	-1913.0	2022-11-14 19:31:33.386106
3523.22	29	401.2	37.48	0.0	-1984.0	2022-11-14 19:31:34.389055
3539.99	29	398.4	36.4	7.823603812702924e-05	-1991.0	2022-11-14 19:31:35.385864
3632.27	29	421.0	39.12	0.0	-2045.0	2022-11-14 19:31:36.393465
3179.28	23	441.0	37.19	0.0	-2016.0	2022-11-14 19:31:37.390487
2910.85	23	408.0	38.17	0.00015993794407769785	-1841.0	2022-11-14 19:31:38.392288
2675.97	23	363.1	39.92	0.00017401972513584414	-1692.0	2022-11-14 19:31:39.395896
2566.91	24	372.5	39.83	1.3465232768990466e-05	-1596.0	2022-11-14 19:31:40.396207
2726.3	24	381.2	38.11	0.00010289653753151207	-1692.0	2022-11-14 19:31:41.393756
2731.95	24	393.5	38.33	0.0	-1699.0	2022-11-14 19:31:42.399934
2701.13	21	366.3	33.89	0.0	-1782.0	2022-11-14 19:31:43.397080
2684.35	21	400.6	34.46	0.0	-1771.0	2022-11-14 19:31:44.400703
2667.58	21	411.6	36.78	0.00018701281037751086	-1755.0	2022-11-14 19:31:45.398358
2751.46	19	419.7	33.61	0.0	-1889.0	2022-11-14 19:31:46.400697
2751.46	19	431.7	33.49	0.00011680196227296618	-1885.0	2022-11-14 19:31:47.403208
2894.07	19	464.4	33.57	0.0	-1987.0	2022-11-14 19:31:48.403573
3087.01	19	498.5	33.59	0.0	-2119.0	2022-11-14 19:31:49.406273
2684.35	16	528.9	37.86	0.0	-1955.0	2022-11-14 19:31:50.403774
2558.53	16	528.2	38.45	4.076659313581164e-05	-1863.0	2022-11-14 19:31:51.400089
2625.63	16	568.7	38.39	0.0	-1913.0	2022-11-14 19:31:52.404510
2860.52	17	595.2	33.46	0.0	-2043.0	2022-11-14 19:31:53.409406
3663.09	17	681.8	33.93	0.0	-2616.0	2022-11-14 19:31:54.409821
4183.18	17	761.6	33.83	0.0	-2987.0	2022-11-14 19:31:55.409788
4773.12	27	611.6	33.75	7.334174318655206e-06	-2796.0	2022-11-14 19:31:56.414537
5223.37	27	705.5	47.67	5.7852214293502086e-05	-3057.0	2022-11-14 19:31:57.411010
4132.85	27	642.2	56.41	0.0005058053956364339	-2400.0	2022-11-14 19:31:58.413634
3372.22	30	567.3	57.81	0.00021877350105968416	-1854.0	2022-11-14 19:31:59.416091
3623.88	30	428.2	36.68	0.0012241420396491445	-1956.0	2022-11-14 19:32:00.421555
4211.08	30	451.2	36.83	6.54809164054251e-05	-2322.0	2022-11-14 19:32:01.417315
4244.64	27	435.9	34.12	2.5609579120794693e-05	-2486.0	2022-11-14 19:32:02.418891
4177.53	27	472.4	34.99	0.0	-2447.0	2022-11-14 19:32:03.436070
3850.37	27	489.7	41.51	0.0	-2256.0	2022-11-14 19:32:04.438158
3506.44	23	486.3	42.41	0.0001029818220474115	-2220.0	2022-11-14 19:32:05.432672
3036.68	23	506.1	44.29	0.0	-1926.0	2022-11-14 19:32:06.430920
3115.1	23	505.5	37.74	9.71650235812038e-05	-1972.0	2022-11-14 19:32:07.427524
3520.48	23	517.9	37.73	7.887886835116872e-05	-2230.0	2022-11-14 19:32:08.430370
3523.22	24	491.2	37.63	5.959968875718094e-05	-2188.0	2022-11-14 19:32:09.431313
3548.38	24	539.8	42.7	0.0	-2206.0	2022-11-14 19:32:10.434551
3590.32	24	532.2	41.9	9.278099845151713e-05	-2229.0	2022-11-14 19:32:11.435269
3825.21	28	524.6	41.72	8.74136789919954e-05	-2194.0	2022-11-14 19:32:12.433957
3923.14	28	500.4	39.82	0.0002704784528632496	-2243.0	2022-11-14 19:32:13.432612
4001.37	28	522.1	42.98	2.3163764922531682e-05	-2297.0	2022-11-14 19:32:14.436007
3981.86	31	497.5	43.41	0.00017737869187576513	-2148.0	2022-11-14 19:32:15.447108
4166.41	31	495.9	41.89	0.00029389126023371355	-2243.0	2022-11-14 19:32:16.442120
4051.7	31	494.0	42.69	0.00012238613108977734	-2188.0	2022-11-14 19:32:17.443241
4057.35	30	479.9	42.29	0.00011228611654147245	-2235.0	2022-11-14 19:32:18.442552
3992.98	30	463.7	40.51	0.00011199915378417141	-2200.0	2022-11-14 19:32:19.449695
4185.92	30	480.8	39.01	3.082052647062944e-05	-2310.0	2022-11-14 19:32:20.448843
4143.97	28	500.2	40.8	0.0	-2380.0	2022-11-14 19:32:21.443546
4034.92	28	520.2	40.18	0.0	-2318.0	2022-11-14 19:32:22.453517
4023.8	28	541.2	43.93	0.0	-2311.0	2022-11-14 19:32:23.448437
3973.47	28	460.1	37.22	0.00037844604232773426	-2267.0	2022-11-14 19:32:24.449151
3604.37	25	387.2	33.96	0.0	-2197.0	2022-11-14 19:32:25.451659
3196.06	25	375.2	33.92	0.000170884856329466	-1943.0	2022-11-14 19:32:26.451006
3101.05	25	375.2	33.58	0.00016818783217096854	-1885.0	2022-11-14 19:32:27.448273
3344.32	27	389.1	34.78	1.034985975940026e-05	-1959.0	2022-11-14 19:32:28.452245
3598.71	27	398.8	34.03	0.00010343300611870877	-2105.0	2022-11-14 19:32:29.452274
3867.15	27	456.9	35.09	0.0	-2266.0	2022-11-14 19:32:30.456908
3783.26	29	457.8	39.18	0.0	-2130.0	2022-11-14 19:32:31.459970
4009.75	29	492.4	38.82	2.8777061228953176e-06	-2258.0	2022-11-14 19:32:32.458345
3782.5	29	555.1	44.26	0.0	-2130.0	2022-11-14 19:32:33.455570
4068.47	32	494.3	43.29	7.44096595185695e-05	-2156.0	2022-11-14 19:32:34.455203
4227.86	32	521.9	44.05	8.239902000098879e-05	-2240.0	2022-11-14 19:32:35.457276
4236.25	32	558.2	50.59	7.852205251229953e-05	-2245.0	2022-11-14 19:32:36.465838
4051.7	32	501.3	45.78	0.0008020287287844648	-2117.0	2022-11-14 19:32:37.461106
3875.54	32	461.5	46.4	0.00019235393123346957	-2049.0	2022-11-14 19:32:38.463109
3942.65	32	407.6	37.09	0.00048141214228403315	-2073.0	2022-11-14 19:32:39.459030
4132.85	32	453.8	40.88	0.0	-2193.0	2022-11-14 19:32:40.468196
4236.25	32	496.6	43.65	3.259470118807686e-05	-2247.0	2022-11-14 19:32:41.473427
4362.08	32	500.4	42.41	5.608450064764245e-05	-2312.0	2022-11-14 19:32:42.464970
4577.45	32	410.2	34.03	0.0003251000258544115	-2414.0	2022-11-14 19:32:43.463765
4169.14	28	451.3	35.37	0.0	-2395.0	2022-11-14 19:32:44.468373
4152.36	28	480.9	36.16	0.0	-2385.0	2022-11-14 19:32:45.469466
4208.35	28	470.8	34.24	9.909138703168997e-05	-2413.0	2022-11-14 19:32:46.470029
4286.58	26	509.7	35.67	0.0	-2562.0	2022-11-14 19:32:47.470414
4250.29	26	520.2	36.17	8.236915659474925e-06	-2540.0	2022-11-14 19:32:48.473485
4032.19	26	508.3	37.18	7.74837858003788e-05	-2406.0	2022-11-14 19:32:49.471472
3394.65	23	452.5	44.9	0.0	-2153.0	2022-11-14 19:32:50.468717
2681.62	23	451.1	46.5	0.0	-1701.0	2022-11-14 19:32:51.481090
2592.08	23	468.9	46.86	4.885740300695108e-05	-1643.0	2022-11-14 19:32:52.473941
2868.9	26	433.4	38.38	2.0168528221821542e-05	-1714.0	2022-11-14 19:32:53.475806
3732.93	26	491.9	37.6	8.151134575231838e-05	-2228.0	2022-11-14 19:32:54.474859
3699.38	26	482.8	41.22	3.7725765125673955e-05	-2209.0	2022-11-14 19:32:55.472628
3506.44	26	514.9	44.59	0.00013297441053416794	-2091.0	2022-11-14 19:32:56.484964
3682.6	30	522.0	48.03	9.189487226612754e-05	-2030.0	2022-11-14 19:32:57.478538
3833.59	30	518.0	47.92	0.0003893678248331498	-2101.0	2022-11-14 19:32:58.480122
3746.98	30	437.0	41.38	0.000525537033155756	-2049.0	2022-11-14 19:32:59.480717
3657.43	29	464.3	43.83	0.0	-2060.0	2022-11-14 19:33:00.482261
3498.05	29	459.7	48.4	0.00011375879121246796	-1966.0	2022-11-14 19:33:01.480636
3252.05	29	433.1	45.46	0.00026686877528581647	-1823.0	2022-11-14 19:33:02.487967
3221.23	31	442.3	49.38	0.0	-1743.0	2022-11-14 19:33:03.495388
3347.05	31	463.3	51.28	9.736218035648466e-05	-1808.0	2022-11-14 19:33:04.489692
3565.16	31	459.4	49.39	0.00012030368551966315	-1925.0	2022-11-14 19:33:05.491847
3579.2	30	482.2	50.52	0.0	-1976.0	2022-11-14 19:33:06.495127
3595.98	30	511.2	48.79	1.3241963783229052e-05	-1985.0	2022-11-14 19:33:07.491035
3595.98	30	514.3	50.85	8.726031691654359e-05	-1982.0	2022-11-14 19:33:08.493894
3545.65	24	422.3	43.57	0.00020574151565128803	-2197.0	2022-11-14 19:33:09.493242
2969.57	24	454.0	41.31	0.0	-1846.0	2022-11-14 19:33:10.486726
3212.84	24	486.5	40.73	0.0	-1997.0	2022-11-14 19:33:11.496256
3310.77	24	469.6	39.51	6.95584430038118e-05	-2056.0	2022-11-14 19:33:12.495528
3405.77	25	486.6	40.76	1.7025217752535056e-05	-2075.0	2022-11-14 19:33:13.499873
3495.32	25	533.0	45.12	0.0	-2131.0	2022-11-14 19:33:14.494135
3486.93	25	530.3	44.15	6.268785736202898e-05	-2123.0	2022-11-14 19:33:15.497130
3632.27	29	500.3	46.18	0.00019334132477475736	-2038.0	2022-11-14 19:33:16.499585
3732.93	29	495.7	43.83	0.0002212809988187958	-2094.0	2022-11-14 19:33:17.500900
3746.98	29	501.7	45.6	9.365400464523863e-05	-2106.0	2022-11-14 19:33:18.495814
3716.15	28	523.0	45.24	3.005018380695762e-05	-2133.0	2022-11-14 19:33:19.508991
3696.64	28	514.5	46.4	6.560121955791026e-05	-2121.0	2022-11-14 19:33:20.513818
3657.43	28	515.1	44.77	0.00015258342816817236	-2095.0	2022-11-14 19:33:21.504649
3682.6	26	500.2	45.53	0.00014265244791600624	-2195.0	2022-11-14 19:33:22.499653
3562.43	26	507.0	42.89	0.0	-2129.0	2022-11-14 19:33:23.505023
3495.32	26	528.8	47.05	2.2942018963217388e-05	-2088.0	2022-11-14 19:33:24.506422
3472.88	23	507.3	45.8	0.00028415169020111253	-2192.0	2022-11-14 19:33:25.504677
3279.95	23	525.4	43.18	0.0	-2080.0	2022-11-14 19:33:26.504313
3176.55	23	527.3	44.92	0.00013399437223636607	-2010.0	2022-11-14 19:33:27.513335
3137.34	23	546.9	44.87	0.0001282201576741596	-1986.0	2022-11-14 19:33:28.518874
3145.73	24	513.5	45.41	0.00022628546839237158	-1949.0	2022-11-14 19:33:29.510766
3128.95	24	443.0	40.28	0.0006193891181540712	-1926.0	2022-11-14 19:33:30.514377
3061.84	24	452.3	42.58	1.5156509910462917e-05	-1903.0	2022-11-14 19:33:31.509084
3003.12	22	446.2	41.17	2.3122135745434533e-05	-1942.0	2022-11-14 19:33:32.512840
2916.5	22	459.1	39.3	0.0	-1887.0	2022-11-14 19:33:33.517082
2977.96	22	439.7	37.76	0.0002492660499639949	-1919.0	2022-11-14 19:33:34.515603
2882.95	23	437.7	39.03	3.9840478723192335e-06	-1828.0	2022-11-14 19:33:35.516422
2927.62	23	447.7	41.32	2.401854231466692e-05	-1856.0	2022-11-14 19:33:36.512132
2877.29	23	457.2	44.04	9.621976594541934e-05	-1822.0	2022-11-14 19:33:37.519844
2902.46	22	469.8	43.78	6.785397823883004e-05	-1875.0	2022-11-14 19:33:38.522714
2852.13	22	432.0	34.44	0.00013676148796498905	-1841.0	2022-11-14 19:33:39.521472
3288.33	22	460.2	34.06	0.0	-2127.0	2022-11-14 19:33:40.522287
3430.94	18	488.1	34.17	0.0	-2402.0	2022-11-14 19:33:41.523986
2986.34	18	502.0	33.84	0.0	-2091.0	2022-11-14 19:33:42.530548
2768.24	18	453.1	38.8	8.920114007552364e-05	-1936.0	2022-11-14 19:33:43.524442
2222.98	18	453.3	42.41	0.00017462225098353415	-1553.0	2022-11-14 19:33:44.534498
2206.2	19	432.6	41.45	0.00023665527215356298	-1509.0	2022-11-14 19:33:45.537901
2304.14	19	441.6	40.57	0.00024403884284915348	-1576.0	2022-11-14 19:33:46.528222
2522.24	19	434.1	35.93	7.761139517896274e-05	-1729.0	2022-11-14 19:33:47.533821
2373.98	16	440.4	36.04	0.0	-1729.0	2022-11-14 19:33:48.531858
2237.03	16	452.2	36.07	0.0	-1630.0	2022-11-14 19:33:49.540627
2337.69	16	464.3	35.57	0.0	-1703.0	2022-11-14 19:33:50.536167
2281.7	14	494.6	35.86	0.0	-1729.0	2022-11-14 19:33:51.535575
2189.43	14	516.6	37.93	0.0	-1659.0	2022-11-14 19:33:52.532676
2119.59	14	506.3	36.68	0.00013964005091491086	-1603.0	2022-11-14 19:33:53.556322
2086.03	15	517.1	40.86	0.0	-1550.0	2022-11-14 19:33:54.538149
2373.98	15	587.4	41.84	0.0	-1764.0	2022-11-14 19:33:55.538671
2516.58	15	583.3	38.68	0.0002382676111839151	-1864.0	2022-11-14 19:33:56.542359
2499.81	17	552.9	40.32	7.34925979174035e-05	-1783.0	2022-11-14 19:33:57.540741
2757.12	17	510.9	38.52	0.0005644483702091906	-1953.0	2022-11-14 19:33:58.540460
2499.81	17	472.3	37.61	0.00044305579272373163	-1774.0	2022-11-14 19:33:59.545134
2483.03	17	476.8	37.29	0.00011260732886032	-1770.0	2022-11-14 19:34:00.546466
2717.91	20	453.4	38.97	0.00038265028807479075	-1819.0	2022-11-14 19:34:01.545901
2592.08	20	417.0	37.27	0.0003570950319153685	-1735.0	2022-11-14 19:34:02.544375
2566.91	20	421.9	37.72	5.819392903026532e-05	-1726.0	2022-11-14 19:34:03.547464
2491.42	19	424.6	36.86	0.0	-1710.0	2022-11-14 19:34:04.545506
2508.19	19	425.0	37.66	6.428181146144699e-05	-1720.0	2022-11-14 19:34:05.555781
2508.19	19	433.5	37.44	0.0	-1722.0	2022-11-14 19:34:06.543051
2547.4	20	426.8	37.88	0.00012203058900097624	-1711.0	2022-11-14 19:34:07.551261
2625.63	20	420.8	37.83	0.0002087080086147561	-1761.0	2022-11-14 19:34:08.551362
2558.53	20	388.4	34.91	0.0003004055474891103	-1714.0	2022-11-14 19:34:09.557227
2592.08	22	395.6	36.64	8.91718609275657e-06	-1676.0	2022-11-14 19:34:10.554581
2776.63	22	417.0	37.74	0.00011800370287481434	-1793.0	2022-11-14 19:34:11.581145
2785.02	22	411.0	37.45	0.00011197629547960309	-1798.0	2022-11-14 19:34:12.550478
2478.45	25	338.8	35.31	0.0001303150682052252	-1507.0	2022-11-14 19:34:13.559463
2832.62	25	383.4	37.35	0.0	-1727.0	2022-11-14 19:34:14.565625
3084.28	25	413.6	37.69	0.0001427777026316185	-1876.0	2022-11-14 19:34:15.559635
3246.39	25	426.1	37.71	0.00013572688892540022	-1974.0	2022-11-14 19:34:16.559393
3380.61	29	391.4	38.04	0.000323930072901682	-1893.0	2022-11-14 19:34:17.567341
3414.16	29	408.1	39.2	0.00024692861395248146	-1914.0	2022-11-14 19:34:18.561904
3461.76	29	383.4	36.82	0.00018325771124693297	-1943.0	2022-11-14 19:34:19.562048
3514.83	32	369.8	37.78	0.00012050311679683175	-1861.0	2022-11-14 19:34:20.574345
