curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.29	0.0	-0.0	2022-11-14 19:19:52.443414
134.22	1	356.0	35.9	0.002745172283226051	-128.0	2022-11-14 19:19:53.446536
125.83	1	386.0	34.39	0.0	-123.0	2022-11-14 19:19:54.445102
117.44	1	404.0	39.93	0.0	-115.0	2022-11-14 19:19:55.443446
234.88	2	537.0	37.33	0.0	-226.0	2022-11-14 19:19:56.448286
318.77	2	524.5	34.14	0.0006734722812987381	-304.0	2022-11-14 19:19:57.451834
360.71	2	556.5	36.89	0.0	-347.0	2022-11-14 19:19:58.445454
545.26	5	500.6	38.33	8.878826219173826e-05	-493.0	2022-11-14 19:19:59.442919
822.08	5	676.0	41.12	0.00031730265154650554	-742.0	2022-11-14 19:20:00.446250
897.58	5	601.6	40.94	0.00019650998270712153	-811.0	2022-11-14 19:20:01.448838
1048.58	11	446.8	40.98	3.383369610574158e-05	-843.0	2022-11-14 19:20:02.450699
1610.61	11	612.9	41.92	7.860848685809024e-05	-1294.0	2022-11-14 19:20:03.448549
1895.83	11	644.5	43.19	8.069522036002482e-05	-1523.0	2022-11-14 19:20:04.449783
1879.05	17	502.8	45.73	0.00026490555808824436	-1337.0	2022-11-14 19:20:05.451812
2550.14	17	713.9	46.27	0.0002582375513643551	-1815.0	2022-11-14 19:20:06.453220
2952.79	17	645.3	41.1	0.00022378784911903515	-2102.0	2022-11-14 19:20:07.451574
3061.84	25	466.8	41.77	0.00013442516439077394	-1862.0	2022-11-14 19:20:08.455852
3951.03	25	563.4	35.67	0.00017216746759778054	-2401.0	2022-11-14 19:20:09.454878
4613.73	25	742.2	42.63	6.382905596826223e-05	-2809.0	2022-11-14 19:20:10.455963
4848.62	25	667.2	40.09	0.00023584160197231657	-2944.0	2022-11-14 19:20:11.455551
4823.45	32	596.0	42.78	0.0001814302509543231	-2551.0	2022-11-14 19:20:12.458128
5108.66	32	591.9	43.03	0.0003664866301096253	-2692.0	2022-11-14 19:20:13.457874
5008.0	32	547.2	39.74	0.00013392537585694923	-2651.0	2022-11-14 19:20:14.456838
5167.38	31	566.3	38.79	0.0	-2797.0	2022-11-14 19:20:15.462359
5276.43	31	592.1	38.9	0.0	-2856.0	2022-11-14 19:20:16.464902
5301.6	31	598.1	40.37	1.534720867161139e-05	-2869.0	2022-11-14 19:20:17.462555
5049.94	25	582.5	34.93	0.0	-3078.0	2022-11-14 19:20:18.460806
4647.29	25	609.1	36.48	0.0	-2833.0	2022-11-14 19:20:19.463459
4831.84	25	629.5	37.85	1.1978371851784419e-05	-2945.0	2022-11-14 19:20:20.465626
4672.45	22	657.6	39.39	0.0	-3022.0	2022-11-14 19:20:21.466197
4236.25	22	701.5	41.67	0.0	-2740.0	2022-11-14 19:20:22.465129
4143.97	22	542.8	34.49	0.00013534699586063772	-2675.0	2022-11-14 19:20:23.466600
3355.44	23	387.1	33.43	0.00035397609785161043	-2116.0	2022-11-14 19:20:24.466259
3128.95	23	390.2	33.46	0.00011059418569501072	-1981.0	2022-11-14 19:20:25.470198
3330.28	23	453.5	33.82	9.821735500662967e-05	-2109.0	2022-11-14 19:20:26.469375
3548.38	23	476.4	35.24	0.0	-2250.0	2022-11-14 19:20:27.472891
2399.14	17	364.3	33.54	0.0	-1713.0	2022-11-14 19:20:28.481302
2136.36	17	369.0	33.62	4.3506161560130955e-05	-1525.0	2022-11-14 19:20:29.474589
2122.32	17	372.0	34.08	7.699626568111447e-05	-1514.0	2022-11-14 19:20:30.479596
2197.82	18	376.3	33.57	5.7968570495051595e-05	-1538.0	2022-11-14 19:20:31.476421
2424.31	18	431.7	34.0	0.0	-1697.0	2022-11-14 19:20:32.476277
2866.17	18	506.0	34.16	0.0	-2007.0	2022-11-14 19:20:33.476136
3238.0	22	622.5	36.02	8.230599939165131e-05	-2092.0	2022-11-14 19:20:34.478701
4286.58	22	729.4	39.04	6.174662407044485e-05	-2770.0	2022-11-14 19:20:35.476089
4051.7	22	624.5	37.46	0.0001829151447933059	-2613.0	2022-11-14 19:20:36.479105
3615.49	31	410.4	36.31	0.0002970278056352243	-1946.0	2022-11-14 19:20:37.493895
4496.29	31	456.5	36.09	0.0005167538415533044	-2410.0	2022-11-14 19:20:38.497915
4208.35	31	459.4	39.39	0.00010701496837570486	-2273.0	2022-11-14 19:20:39.497805
4093.64	30	462.7	40.05	8.540925266903914e-05	-2256.0	2022-11-14 19:20:40.500198
4009.75	30	451.1	39.49	0.00014370018393623543	-2208.0	2022-11-14 19:20:41.492066
3841.98	30	441.0	40.35	0.00020829748503427853	-2113.0	2022-11-14 19:20:42.493632
3724.54	30	401.7	37.01	0.00013045098770033545	-2051.0	2022-11-14 19:20:43.500266
3783.26	32	395.7	38.2	0.00010834672189253862	-2003.0	2022-11-14 19:20:44.501822
3531.6	32	386.8	42.68	0.00031542320923401445	-1863.0	2022-11-14 19:20:45.496071
3293.99	32	345.3	38.49	0.000712904999201972	-1724.0	2022-11-14 19:20:46.506025
3103.78	30	333.3	39.81	6.707904306953702e-05	-1711.0	2022-11-14 19:20:47.502251
2910.85	30	337.3	38.32	3.316749585406302e-05	-1606.0	2022-11-14 19:20:48.509500
2986.34	30	330.5	37.47	0.00013610256689441163	-1645.0	2022-11-14 19:20:49.505674
3070.23	32	344.0	41.18	7.664391619754203e-05	-1627.0	2022-11-14 19:20:50.508399
3126.22	32	339.8	40.24	0.00011559529713584685	-1655.0	2022-11-14 19:20:51.503893
3444.99	32	356.5	36.32	4.945908250104688e-05	-1826.0	2022-11-14 19:20:52.508181
3598.71	32	374.0	37.43	2.589122449309837e-05	-1909.0	2022-11-14 19:20:53.509510
3523.22	32	391.4	40.02	3.6011851172840514e-05	-1868.0	2022-11-14 19:20:54.505000
3456.11	32	378.5	39.95	0.0001825286299536242	-1828.0	2022-11-14 19:20:55.510050
3397.39	28	383.8	41.88	0.00012596602321860212	-1947.0	2022-11-14 19:20:56.514173
3187.67	28	287.6	33.41	0.0	-1831.0	2022-11-14 19:20:57.510783
2944.4	28	324.3	33.56	0.0	-1691.0	2022-11-14 19:20:58.518043
3179.28	28	349.0	34.06	0.0	-1826.0	2022-11-14 19:20:59.517211
3355.44	29	377.1	35.97	0.0	-1889.0	2022-11-14 19:21:00.518060
3514.83	29	363.5	34.44	0.0001556440850280325	-1974.0	2022-11-14 19:21:01.517661
3481.27	29	384.0	36.55	0.0	-1960.0	2022-11-14 19:21:02.513420
3758.1	32	399.2	37.67	7.489304337243374e-05	-1991.0	2022-11-14 19:21:03.516134
3897.97	32	395.3	38.7	0.00030730123875217797	-2056.0	2022-11-14 19:21:04.514734
3766.48	32	389.6	38.1	0.00014435598800923878	-1993.0	2022-11-14 19:21:05.511849
3682.6	32	365.5	37.08	0.0002916814336926556	-1943.0	2022-11-14 19:21:06.514751
3405.77	32	314.8	33.93	0.0006014544261577998	-1787.0	2022-11-14 19:21:07.521655
3389.0	32	337.8	37.45	0.0	-1798.0	2022-11-14 19:21:08.518563
3506.44	32	355.5	36.43	0.0	-1861.0	2022-11-14 19:21:09.521878
3629.54	32	365.7	37.43	6.711559542719076e-05	-1924.0	2022-11-14 19:21:10.524133
3539.99	32	373.2	38.33	4.530069957223197e-05	-1877.0	2022-11-14 19:21:11.526507
3607.1	31	379.2	38.87	6.147454791941011e-05	-1950.0	2022-11-14 19:21:12.530567
3414.16	31	326.8	34.66	0.000491026810932951	-1831.0	2022-11-14 19:21:13.531971
3419.82	31	344.5	35.52	4.76771034116373e-05	-1849.0	2022-11-14 19:21:14.530327
3447.72	31	356.1	36.1	6.700526661395586e-06	-1866.0	2022-11-14 19:21:15.529752
3492.59	32	366.2	38.01	3.95229578981691e-05	-1852.0	2022-11-14 19:21:16.533178
3570.81	32	379.7	37.34	0.0	-1895.0	2022-11-14 19:21:17.524892
3637.92	32	391.4	40.44	1.269696161708503e-05	-1930.0	2022-11-14 19:21:18.524541
3562.43	32	409.1	42.69	3.2490001202130046e-05	-1889.0	2022-11-14 19:21:19.534306
3430.94	32	435.3	47.85	9.984058786138132e-06	-1820.0	2022-11-14 19:21:20.537807
3528.87	32	444.3	47.11	0.0001221081812481436	-1868.0	2022-11-14 19:21:21.538839
3514.83	32	432.4	43.22	0.00012790827336949749	-1861.0	2022-11-14 19:21:22.542068
3531.6	32	383.8	39.56	0.000526327985090684	-1855.0	2022-11-14 19:21:23.538218
3590.32	32	406.2	42.38	7.133014509199968e-05	-1903.0	2022-11-14 19:21:24.540561
3618.41	31	432.1	41.67	5.4185339359593036e-05	-1956.0	2022-11-14 19:21:25.533154
3520.48	31	430.2	43.7	0.0001996576084416936	-1898.0	2022-11-14 19:21:26.536388
3335.93	31	328.4	35.52	0.0050594826393692074	-1637.0	2022-11-14 19:21:27.544062
3439.33	32	346.1	33.45	0.0	-1825.0	2022-11-14 19:21:28.528368
4032.19	32	389.7	33.34	0.0	-2140.0	2022-11-14 19:21:29.536871
4622.12	32	446.2	33.56	0.0	-2453.0	2022-11-14 19:21:30.548368
4887.83	32	458.3	33.92	0.0	-2594.0	2022-11-14 19:21:31.546452
4974.44	32	469.3	34.06	0.0	-2640.0	2022-11-14 19:21:32.549710
4534.99	32	481.0	34.87	0.0	-2406.0	2022-11-14 19:21:33.544083
4991.22	32	492.7	35.77	0.0	-2649.0	2022-11-14 19:21:34.553666
4143.97	29	442.6	39.47	0.0	-2334.0	2022-11-14 19:21:35.552254
3906.36	29	455.3	38.16	0.0	-2200.0	2022-11-14 19:21:36.553481
3872.8	29	404.0	35.11	0.0001568603791798012	-2175.0	2022-11-14 19:21:37.552085
3909.09	31	422.5	37.58	3.278180431050925e-05	-2114.0	2022-11-14 19:21:38.548250
4208.35	31	478.9	33.91	2.4361722861040732e-05	-2277.0	2022-11-14 19:21:39.553759
5351.93	31	557.1	34.75	0.0	-2897.0	2022-11-14 19:21:40.560604
5693.13	32	594.3	37.56	0.0	-3021.0	2022-11-14 19:21:41.554664
5746.2	32	621.5	40.47	9.039702372821432e-05	-3044.0	2022-11-14 19:21:42.554660
5564.57	32	523.1	35.46	0.0002373166833628404	-2940.0	2022-11-14 19:21:43.557241
5343.54	32	565.5	38.89	4.341031429067547e-06	-2835.0	2022-11-14 19:21:44.557985
5419.04	32	593.2	40.4	6.593387895390584e-05	-2872.0	2022-11-14 19:21:45.561820
5309.99	32	591.6	39.83	3.9158782335908384e-05	-2816.0	2022-11-14 19:21:46.565803
4714.4	32	438.4	34.09	0.0006404947822192644	-2471.0	2022-11-14 19:21:47.557397
4747.95	32	468.8	33.97	0.0	-2519.0	2022-11-14 19:21:48.563149
4820.72	32	479.1	38.0	7.1678764449244265e-06	-2558.0	2022-11-14 19:21:49.567934
4675.38	32	486.6	37.84	2.2219917934436427e-05	-2480.0	2022-11-14 19:21:50.569083
4840.23	32	500.2	37.22	0.0	-2568.0	2022-11-14 19:21:51.564062
4871.05	32	494.4	37.45	4.7843685112002065e-05	-2582.0	2022-11-14 19:21:52.563551
4739.56	32	485.2	37.73	9.000746818722527e-05	-2511.0	2022-11-14 19:21:53.571649
4647.29	31	504.2	38.19	0.0	-2515.0	2022-11-14 19:21:54.573222
4689.23	31	511.2	38.23	3.711034141514102e-05	-2536.0	2022-11-14 19:21:55.570033
4762.0	31	520.6	38.79	4.85196650202327e-06	-2577.0	2022-11-14 19:21:56.573794
4795.55	32	509.2	37.79	9.976081735740895e-05	-2540.0	2022-11-14 19:21:57.573473
4789.9	32	494.2	38.15	0.00021259735992733037	-2531.0	2022-11-14 19:21:58.573662
4932.5	32	495.3	37.03	0.0001503872471614407	-2610.0	2022-11-14 19:21:59.577866
4940.89	32	511.8	38.39	9.800787329915504e-05	-2617.0	2022-11-14 19:22:00.578592
4938.16	32	497.0	37.43	0.0002214797675876141	-2609.0	2022-11-14 19:22:01.578091
5108.66	32	524.3	37.68	4.533410099077678e-06	-2711.0	2022-11-14 19:22:02.580423
5175.77	32	539.1	38.5	6.0109666747554984e-05	-2743.0	2022-11-14 19:22:03.581574
5100.27	30	569.6	38.62	0.0	-2816.0	2022-11-14 19:22:04.581618
5265.31	30	589.2	36.04	3.689059984115342e-05	-2905.0	2022-11-14 19:22:05.583891
5634.41	30	609.7	36.79	2.2784705248767555e-05	-3109.0	2022-11-14 19:22:06.584938
5136.75	26	559.0	33.41	0.0	-3070.0	2022-11-14 19:22:07.574247
5075.11	26	587.7	34.19	0.0	-3033.0	2022-11-14 19:22:08.581609
5044.48	26	596.5	36.53	5.035396548922311e-05	-3012.0	2022-11-14 19:22:09.581642
4462.74	23	557.3	34.07	0.0	-2830.0	2022-11-14 19:22:10.573077
4387.24	23	592.2	35.05	0.0	-2782.0	2022-11-14 19:22:11.585194
4317.4	23	605.7	36.17	5.127596182909452e-05	-2736.0	2022-11-14 19:22:12.581503
4077.06	24	526.4	35.8	0.00016248065197499507	-2528.0	2022-11-14 19:22:13.581335
4118.81	24	563.2	36.68	9.161831255726145e-05	-2557.0	2022-11-14 19:22:14.592639
4462.74	24	606.3	36.45	0.0	-2775.0	2022-11-14 19:22:15.592322
4529.85	22	596.3	36.0	0.00022079241097520112	-2920.0	2022-11-14 19:22:16.580557
4219.47	22	621.1	35.05	0.0	-2729.0	2022-11-14 19:22:17.579429
4258.68	22	644.3	37.64	6.192033813889e-05	-2752.0	2022-11-14 19:22:18.582880
4294.97	22	681.2	39.56	0.0	-2778.0	2022-11-14 19:22:19.589055
4043.31	20	659.3	38.0	0.0	-2721.0	2022-11-14 19:22:20.586033
4250.29	20	666.6	33.29	6.548859952629914e-05	-2858.0	2022-11-14 19:22:21.593708
4566.33	20	690.8	33.39	0.0	-3073.0	2022-11-14 19:22:22.597077
4082.52	17	633.8	33.25	0.0	-2916.0	2022-11-14 19:22:23.600628
3763.75	17	619.1	33.25	4.613227044582226e-05	-2686.0	2022-11-14 19:22:24.591992
3808.43	17	672.7	33.28	0.0	-2720.0	2022-11-14 19:22:25.589710
4174.79	18	732.0	33.22	0.0	-2923.0	2022-11-14 19:22:26.596235
4890.56	18	888.0	33.59	0.0	-3424.0	2022-11-14 19:22:27.592507
5662.31	18	969.2	33.37	0.0	-3965.0	2022-11-14 19:22:28.596407
6081.74	28	748.9	33.66	6.75549173224319e-05	-3489.0	2022-11-14 19:22:29.600274
8338.28	28	1039.3	34.9	1.6397407569863203e-05	-4788.0	2022-11-14 19:22:30.607613
9286.19	28	1148.0	37.98	3.7482289618155423e-06	-5333.0	2022-11-14 19:22:31.596042
