curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.54	0.0	-0.0	2022-11-14 19:01:04.282722
570.43	1	4355.0	33.84	0.0	-559.0	2022-11-14 19:01:05.284980
729.81	1	4355.0	33.9	0.0	-715.0	2022-11-14 19:01:06.284151
713.03	1	4355.0	33.85	0.0	-699.0	2022-11-14 19:01:07.286803
729.81	1	4355.0	34.55	0.0	-715.0	2022-11-14 19:01:08.287383
696.25	1	4355.0	34.13	0.0	-683.0	2022-11-14 19:01:09.282759
696.25	1	4355.0	33.86	0.0	-683.0	2022-11-14 19:01:10.286301
729.81	1	4355.0	33.67	0.0	-715.0	2022-11-14 19:01:11.288650
713.03	1	4355.0	34.55	0.0	-699.0	2022-11-14 19:01:12.287872
729.81	1	4355.0	33.7	0.0	-715.0	2022-11-14 19:01:13.291631
713.03	1	4355.0	34.4	0.0	-699.0	2022-11-14 19:01:14.291743
721.42	1	4355.0	34.09	0.0	-707.0	2022-11-14 19:01:15.294303
710.3	1	4355.0	33.84	0.0	-696.0	2022-11-14 19:01:16.291673
729.81	1	4355.0	34.51	0.0	-715.0	2022-11-14 19:01:17.295586
721.42	1	4355.0	33.67	0.0	-707.0	2022-11-14 19:01:18.288928
721.42	1	4355.0	34.24	0.0	-707.0	2022-11-14 19:01:19.297106
713.03	1	4355.0	33.86	0.0	-699.0	2022-11-14 19:01:20.293142
704.64	1	4355.0	34.2	0.0	-691.0	2022-11-14 19:01:21.298464
729.81	1	4355.0	34.35	0.0	-715.0	2022-11-14 19:01:22.298755
729.81	1	4355.0	34.25	0.0	-715.0	2022-11-14 19:01:23.301698
713.03	1	4355.0	33.98	0.0	-699.0	2022-11-14 19:01:24.302348
729.81	1	4355.0	34.24	0.0	-715.0	2022-11-14 19:01:25.302710
713.03	1	4355.0	34.01	0.0	-699.0	2022-11-14 19:01:26.305823
718.69	1	4355.0	34.33	0.0	-705.0	2022-11-14 19:01:27.306833
713.03	1	4355.0	35.24	0.0	-699.0	2022-11-14 19:01:28.305441
729.81	1	4355.0	34.65	0.0	-715.0	2022-11-14 19:01:29.301715
687.87	1	3049.0	34.38	0.0005998119508478423	-670.0	2022-11-14 19:01:30.309156
729.81	1	3049.0	33.71	0.0	-715.0	2022-11-14 19:01:31.309541
729.81	1	3049.0	33.82	0.0	-715.0	2022-11-14 19:01:32.310483
713.03	1	3049.0	34.27	0.0	-699.0	2022-11-14 19:01:33.307885
721.42	1	3049.0	34.26	0.0	-707.0	2022-11-14 19:01:34.310930
721.42	1	3049.0	33.92	0.0	-707.0	2022-11-14 19:01:35.313900
721.42	1	3049.0	33.95	0.0	-707.0	2022-11-14 19:01:36.312514
729.81	1	3049.0	33.92	0.0	-715.0	2022-11-14 19:01:37.309448
727.08	1	3049.0	33.69	0.0	-713.0	2022-11-14 19:01:38.310160
729.81	1	3049.0	33.81	0.0	-715.0	2022-11-14 19:01:39.313056
721.42	1	3049.0	33.69	0.0	-707.0	2022-11-14 19:01:40.316977
713.03	1	3049.0	33.9	0.0	-699.0	2022-11-14 19:01:41.318102
721.42	1	3049.0	33.68	0.0	-707.0	2022-11-14 19:01:42.320876
721.42	1	3049.0	33.88	0.0	-707.0	2022-11-14 19:01:43.320152
729.81	1	3049.0	34.16	0.0	-715.0	2022-11-14 19:01:44.321011
729.81	1	3049.0	33.88	0.0	-715.0	2022-11-14 19:01:45.322843
645.92	1	3049.0	34.05	0.0	-633.0	2022-11-14 19:01:46.320065
729.81	1	3049.0	34.17	0.0	-715.0	2022-11-14 19:01:47.327983
729.81	1	3049.0	33.96	0.0	-715.0	2022-11-14 19:01:48.325348
727.08	1	3049.0	34.16	0.0	-713.0	2022-11-14 19:01:49.328399
729.81	1	3049.0	33.84	0.0	-715.0	2022-11-14 19:01:50.327738
729.81	1	3049.0	33.83	0.0	-715.0	2022-11-14 19:01:51.329726
729.81	1	3049.0	33.99	0.0	-715.0	2022-11-14 19:01:52.329427
729.81	1	3049.0	34.12	0.0	-715.0	2022-11-14 19:01:53.328204
729.81	1	3049.0	33.83	0.0	-715.0	2022-11-14 19:01:54.331857
729.81	1	3049.0	34.03	0.0	-715.0	2022-11-14 19:01:55.327566
729.81	1	3049.0	34.49	0.0	-715.0	2022-11-14 19:01:56.333854
713.03	1	3049.0	34.72	0.0	-699.0	2022-11-14 19:01:57.333778
721.42	1	3049.0	33.85	0.0	-707.0	2022-11-14 19:01:58.337823
713.03	1	3049.0	35.59	0.0	-699.0	2022-11-14 19:01:59.334011
718.69	1	3049.0	36.3	0.0	-705.0	2022-11-14 19:02:00.338496
713.03	1	3049.0	33.76	0.0	-699.0	2022-11-14 19:02:01.337865
729.81	1	3049.0	34.39	0.0	-715.0	2022-11-14 19:02:02.335892
704.64	1	3049.0	34.43	0.0	-691.0	2022-11-14 19:02:03.335896
729.81	1	3049.0	33.96	0.0	-715.0	2022-11-14 19:02:04.339549
713.03	1	3049.0	33.94	0.0	-699.0	2022-11-14 19:02:05.340642
729.81	1	3049.0	33.73	0.0	-715.0	2022-11-14 19:02:06.344389
704.64	1	3049.0	33.82	0.0	-691.0	2022-11-14 19:02:07.346399
729.81	1	3049.0	34.52	0.0	-715.0	2022-11-14 19:02:08.344466
713.03	1	3049.0	33.8	0.0	-699.0	2022-11-14 19:02:09.345647
721.42	1	3049.0	33.9	0.0	-707.0	2022-11-14 19:02:10.347614
710.3	1	3049.0	33.95	0.0	-696.0	2022-11-14 19:02:11.344492
704.64	1	3049.0	36.32	0.0	-691.0	2022-11-14 19:02:12.347706
729.81	1	3049.0	33.88	0.0	-715.0	2022-11-14 19:02:13.352434
713.03	1	3049.0	34.14	0.0	-699.0	2022-11-14 19:02:14.352975
721.42	1	3049.0	33.84	0.0	-707.0	2022-11-14 19:02:15.349050
729.81	1	3049.0	34.12	0.0	-715.0	2022-11-14 19:02:16.356737
729.81	1	3049.0	34.03	0.0	-715.0	2022-11-14 19:02:17.350309
704.64	1	3049.0	34.64	0.0	-691.0	2022-11-14 19:02:18.355502
704.64	1	3049.0	34.4	0.0	-691.0	2022-11-14 19:02:19.357646
729.81	1	3049.0	34.14	0.0	-715.0	2022-11-14 19:02:20.356093
704.64	1	3049.0	34.38	0.0	-691.0	2022-11-14 19:02:21.357562
729.81	1	3049.0	33.71	0.0	-715.0	2022-11-14 19:02:22.364223
710.3	1	3049.0	34.52	0.0	-696.0	2022-11-14 19:02:23.357790
713.03	1	3049.0	34.97	0.0	-699.0	2022-11-14 19:02:24.363971
721.42	1	3049.0	34.2	0.0	-707.0	2022-11-14 19:02:25.359215
704.64	1	3049.0	34.71	0.0	-691.0	2022-11-14 19:02:26.368395
729.81	1	3049.0	34.53	0.0	-715.0	2022-11-14 19:02:27.368018
704.64	1	3049.0	34.24	0.0	-691.0	2022-11-14 19:02:28.360378
729.81	1	3049.0	33.88	0.0	-715.0	2022-11-14 19:02:29.367757
704.64	1	3049.0	34.13	0.0	-691.0	2022-11-14 19:02:30.368392
729.81	1	3049.0	33.98	0.0	-715.0	2022-11-14 19:02:31.361055
721.42	1	3049.0	34.33	0.0	-707.0	2022-11-14 19:02:32.366926
713.03	1	3049.0	34.51	0.0	-699.0	2022-11-14 19:02:33.368870
727.08	1	3049.0	33.84	0.0	-713.0	2022-11-14 19:02:34.371598
704.64	1	3049.0	34.1	0.0	-691.0	2022-11-14 19:02:35.369911
729.81	1	3049.0	34.65	0.0	-715.0	2022-11-14 19:02:36.370295
713.03	1	3049.0	33.92	0.0	-699.0	2022-11-14 19:02:37.370686
721.42	1	3049.0	34.81	0.0	-707.0	2022-11-14 19:02:38.373367
729.81	1	3049.0	33.7	0.0	-715.0	2022-11-14 19:02:39.376206
704.64	1	3049.0	33.91	0.0	-691.0	2022-11-14 19:02:40.370350
729.81	1	3049.0	33.77	0.0	-715.0	2022-11-14 19:02:41.380098
729.81	1	3049.0	33.77	0.0	-715.0	2022-11-14 19:02:42.376104
713.03	1	3049.0	33.86	0.0	-699.0	2022-11-14 19:02:43.375159
655.84	1	3049.0	34.38	0.0	-643.0	2022-11-14 19:02:44.379626
718.69	1	3049.0	33.73	0.0	-705.0	2022-11-14 19:02:45.379445
721.42	1	3049.0	33.7	0.0	-707.0	2022-11-14 19:02:46.383881
729.81	1	3049.0	33.88	0.0	-715.0	2022-11-14 19:02:47.383220
721.42	1	3049.0	33.75	0.0	-707.0	2022-11-14 19:02:48.384741
713.03	1	3049.0	33.78	0.0	-699.0	2022-11-14 19:02:49.382143
729.81	1	3049.0	34.18	0.0	-715.0	2022-11-14 19:02:50.383523
729.81	1	3049.0	33.84	0.0	-715.0	2022-11-14 19:02:51.388219
729.81	1	3049.0	33.96	0.0	-715.0	2022-11-14 19:02:52.385309
704.64	1	3049.0	34.35	0.0	-691.0	2022-11-14 19:02:53.386221
729.81	1	3049.0	33.7	0.0	-715.0	2022-11-14 19:02:54.384141
713.03	1	3049.0	34.19	0.0	-699.0	2022-11-14 19:02:55.388762
727.08	1	3049.0	34.2	0.0	-713.0	2022-11-14 19:02:56.390811
729.81	1	3049.0	34.12	0.0	-715.0	2022-11-14 19:02:57.389905
704.64	1	3049.0	34.11	0.0	-691.0	2022-11-14 19:02:58.386271
