curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	32	10.0	34.9	0.0	-0.0	2022-11-14 22:09:14.808822
3539.99	32	696.3	61.13	0.0003631380609797876	-1866.0	2022-11-14 22:09:15.813606
4294.97	32	538.5	44.39	0.001338188240296091	-2222.0	2022-11-14 22:09:16.813875
4320.13	32	508.2	41.74	0.0002454854947746659	-2282.0	2022-11-14 22:09:17.815970
4320.13	32	520.2	44.85	7.278667842036733e-05	-2289.0	2022-11-14 22:09:18.813952
4353.69	32	539.9	44.86	0.0	-2310.0	2022-11-14 22:09:19.811958
4412.41	32	537.2	43.89	2.352381524918255e-05	-2340.0	2022-11-14 22:09:20.813953
4454.35	32	509.4	43.86	0.00010255088759107965	-2359.0	2022-11-14 22:09:21.820988
4336.91	32	505.2	43.99	5.0845915467327486e-05	-2299.0	2022-11-14 22:09:22.818863
4294.97	32	518.1	44.19	0.0	-2279.0	2022-11-14 22:09:23.817677
4320.13	32	522.1	46.45	3.501230817295003e-05	-2291.0	2022-11-14 22:09:24.822026
4311.74	32	531.3	44.59	8.033225420338521e-06	-2288.0	2022-11-14 22:09:25.818869
4387.24	32	480.9	39.32	0.0002970853802162357	-2315.0	2022-11-14 22:09:26.824408
4412.41	32	507.4	41.99	3.690659468123247e-05	-2340.0	2022-11-14 22:09:27.825346
4353.69	32	491.3	41.83	0.00020254028153099133	-2301.0	2022-11-14 22:09:28.819960
4328.52	32	511.0	43.38	4.7898455274817386e-05	-2295.0	2022-11-14 22:09:29.829789
4311.74	32	535.0	44.84	5.089153941549728e-05	-2286.0	2022-11-14 22:09:30.826115
4529.85	32	509.8	41.09	0.00023985763288886597	-2393.0	2022-11-14 22:09:31.829130
4462.74	32	491.4	41.03	0.0003049284710162904	-2354.0	2022-11-14 22:09:32.833390
4555.01	32	478.7	38.6	0.0001460445000153731	-2410.0	2022-11-14 22:09:33.829887
4546.63	32	489.5	38.86	6.856916470059401e-05	-2409.0	2022-11-14 22:09:34.830081
4412.41	32	455.6	38.0	0.00018393945764137062	-2333.0	2022-11-14 22:09:35.833576
4395.63	32	480.2	40.59	0.0	-2332.0	2022-11-14 22:09:36.833483
4395.63	32	473.0	39.42	7.796440145429597e-05	-2329.0	2022-11-14 22:09:37.837860
4479.52	32	495.4	40.23	0.0	-2377.0	2022-11-14 22:09:38.837977
4504.68	32	517.8	41.68	0.0	-2390.0	2022-11-14 22:09:39.840342
4454.35	32	523.5	43.88	9.641367197984173e-05	-2359.0	2022-11-14 22:09:40.838170
4404.02	32	497.9	40.67	0.0001311441011383308	-2331.0	2022-11-14 22:09:41.839666
4412.41	32	500.9	43.98	7.131028690505431e-05	-2338.0	2022-11-14 22:09:42.841376
4303.36	32	444.2	37.52	0.00021485969661810838	-2274.0	2022-11-14 22:09:43.845734
4286.58	32	471.8	38.95	0.0	-2275.0	2022-11-14 22:09:44.845845
4278.19	32	498.3	43.86	0.0	-2270.0	2022-11-14 22:09:45.846341
4261.41	32	486.0	44.16	5.162762893321015e-05	-2259.0	2022-11-14 22:09:46.849444
4336.91	32	479.4	38.73	8.02081133180225e-05	-2298.0	2022-11-14 22:09:47.842047
4409.68	32	500.2	42.24	2.8890803269388356e-05	-2339.0	2022-11-14 22:09:48.847277
4404.02	32	508.5	42.7	0.00015685741399638705	-2330.0	2022-11-14 22:09:49.846419
4370.46	32	479.4	40.79	0.0003269848246878903	-2305.0	2022-11-14 22:09:50.845645
4345.3	32	491.4	41.48	0.00010359886519396895	-2301.0	2022-11-14 22:09:51.845868
4278.19	32	472.0	40.91	0.0001684146477281679	-2263.0	2022-11-14 22:09:52.853117
4236.25	32	480.9	41.17	1.6444798921221192e-05	-2247.0	2022-11-14 22:09:53.849647
4219.47	32	479.6	41.02	4.6419550822581744e-05	-2237.0	2022-11-14 22:09:54.850155
4211.08	32	483.5	41.99	2.7409650938095304e-05	-2233.0	2022-11-14 22:09:55.857130
4258.68	32	496.7	42.84	2.455547764496599e-05	-2259.0	2022-11-14 22:09:56.859009
4359.34	32	495.5	40.65	8.002112557715237e-05	-2310.0	2022-11-14 22:09:57.852252
4404.02	32	506.6	42.81	8.608658223225117e-05	-2333.0	2022-11-14 22:09:58.855685
4390.17	32	510.2	42.5	0.00016445405233352344	-2322.0	2022-11-14 22:09:59.858629
4350.96	32	478.8	40.34	0.00038890637938743277	-2292.0	2022-11-14 22:10:00.861296
4443.23	32	504.5	40.7	5.236849616008002e-06	-2357.0	2022-11-14 22:10:01.860479
4404.02	32	494.7	40.6	0.0002206461780929866	-2327.0	2022-11-14 22:10:02.862364
4443.23	32	516.2	43.01	3.637903839807503e-05	-2356.0	2022-11-14 22:10:03.861019
4535.5	32	469.6	38.3	0.00026363748054713734	-2395.0	2022-11-14 22:10:04.865461
4485.17	32	459.2	36.89	0.00014870276404523695	-2373.0	2022-11-14 22:10:05.850994
4557.94	32	483.5	38.55	0.0	-2419.0	2022-11-14 22:10:06.865438
4051.7	32	473.0	49.85	0.00013397837123076608	-2145.0	2022-11-14 22:10:07.860437
3484.2	32	420.3	45.07	0.0004503892886829756	-1833.0	2022-11-14 22:10:08.867970
3436.6	32	383.5	41.92	0.00045711112540759073	-1808.0	2022-11-14 22:10:09.866727
3344.32	32	401.4	44.76	4.8259054605120284e-05	-1773.0	2022-11-14 22:10:10.864965
3305.11	32	376.2	44.99	0.0006954863991809501	-1731.0	2022-11-14 22:10:11.869979
3170.89	32	374.4	45.11	0.0004298427431252482	-1669.0	2022-11-14 22:10:12.868334
3151.38	32	360.5	44.87	0.00017315443164820914	-1667.0	2022-11-14 22:10:13.865516
3170.89	32	375.4	46.08	1.4578162641271507e-05	-1682.0	2022-11-14 22:10:14.872966
3151.38	32	382.5	48.65	4.3845226350981034e-05	-1671.0	2022-11-14 22:10:15.873531
3137.34	32	388.1	47.99	8.473421088503042e-05	-1662.0	2022-11-14 22:10:16.877224
3095.4	32	406.0	53.42	0.0	-1643.0	2022-11-14 22:10:17.877628
3028.29	32	410.8	53.41	0.00017507669120277687	-1602.0	2022-11-14 22:10:18.877844
3070.23	32	434.3	58.04	0.0	-1629.0	2022-11-14 22:10:19.880328
3053.45	32	433.5	55.59	0.0002489861359992455	-1613.0	2022-11-14 22:10:20.872979
3070.23	32	455.9	60.91	0.0003964172852895529	-1617.0	2022-11-14 22:10:21.882497
3078.62	32	430.8	58.32	0.0005323740460047229	-1617.0	2022-11-14 22:10:22.881999
3154.12	32	354.6	39.9	0.0003621159517676485	-1662.0	2022-11-14 22:10:23.877679
3293.99	32	299.8	34.19	0.0003055594046565832	-1738.0	2022-11-14 22:10:24.886256
2824.23	32	255.6	35.42	0.00038076412067792215	-1488.0	2022-11-14 22:10:25.882421
2524.97	32	237.7	34.58	0.00024495530721092964	-1334.0	2022-11-14 22:10:26.889281
2566.91	32	245.1	34.63	4.533543689760538e-05	-1361.0	2022-11-14 22:10:27.885842
2550.14	32	231.8	34.74	0.00012838029912609695	-1350.0	2022-11-14 22:10:28.886046
2491.42	32	219.7	34.37	0.00015470369554312718	-1318.0	2022-11-14 22:10:29.889528
2348.81	32	223.2	34.53	0.00016014830703827543	-1243.0	2022-11-14 22:10:30.890156
2399.14	32	238.8	34.56	0.0	-1273.0	2022-11-14 22:10:31.893858
2539.02	32	251.3	35.27	0.0	-1347.0	2022-11-14 22:10:32.893710
2524.97	32	242.2	34.55	0.00019191665333912129	-1335.0	2022-11-14 22:10:33.893655
2606.13	32	256.4	34.52	2.2129671020310613e-05	-1382.0	2022-11-14 22:10:34.890449
2634.02	32	247.2	34.72	0.00021523215927179786	-1392.0	2022-11-14 22:10:35.894163
2701.13	32	268.4	34.11	0.0	-1433.0	2022-11-14 22:10:36.894204
2524.97	32	215.8	33.71	0.004561959707297292	-1225.0	2022-11-14 22:10:37.898677
2446.74	32	241.6	33.98	0.0	-1298.0	2022-11-14 22:10:38.898738
2731.95	32	261.8	34.28	0.0	-1450.0	2022-11-14 22:10:39.897037
2849.39	32	279.3	34.58	0.0	-1512.0	2022-11-14 22:10:40.902159
3003.12	32	296.0	35.16	0.0	-1594.0	2022-11-14 22:10:41.901729
2969.57	32	312.2	36.26	0.0	-1576.0	2022-11-14 22:10:42.900563
3087.01	32	302.2	34.6	0.0001315359262196199	-1634.0	2022-11-14 22:10:43.902737
3184.94	32	309.3	36.81	6.943251707491768e-05	-1688.0	2022-11-14 22:10:44.902835
3084.28	32	309.5	36.62	0.00012023611366821596	-1633.0	2022-11-14 22:10:45.904376
3117.83	32	322.1	38.12	4.0727466603477385e-05	-1653.0	2022-11-14 22:10:46.903631
3145.73	32	314.7	36.64	0.00016295873810678982	-1664.0	2022-11-14 22:10:47.903639
3128.95	32	324.4	37.37	0.0001282051282051282	-1656.0	2022-11-14 22:10:48.907593
3215.76	32	343.9	37.97	0.00010440217156516856	-1703.0	2022-11-14 22:10:49.905576
3352.71	32	346.0	38.62	0.00024680714975979754	-1771.0	2022-11-14 22:10:50.913838
3263.17	32	368.5	41.43	4.597912547703343e-05	-1730.0	2022-11-14 22:10:51.913937
3338.67	32	386.7	42.17	8.301367304373091e-05	-1769.0	2022-11-14 22:10:52.910737
3338.67	32	371.2	44.13	0.00023448013375562413	-1764.0	2022-11-14 22:10:53.914256
3422.55	32	403.2	44.77	0.0	-1816.0	2022-11-14 22:10:54.911605
3050.4	32	435.8	47.9	4.771203740623733e-05	-1617.0	2022-11-14 22:10:55.917710
3338.67	32	414.9	43.07	0.00011158029073639505	-1768.0	2022-11-14 22:10:56.914191
3338.67	32	429.9	48.33	0.00024107422675441768	-1764.0	2022-11-14 22:10:57.918470
3254.78	32	396.8	43.84	0.00023885236784690632	-1719.0	2022-11-14 22:10:58.921345
3196.06	32	402.1	47.17	0.00013153856272197131	-1692.0	2022-11-14 22:10:59.918625
3112.17	32	381.8	46.65	0.0004988366682177757	-1636.0	2022-11-14 22:11:00.918019
3073.16	32	343.9	44.89	0.0002480503617401109	-1623.0	2022-11-14 22:11:01.921282
3008.78	32	362.8	46.29	7.766688672284571e-05	-1594.0	2022-11-14 22:11:02.921868
3033.94	32	342.8	41.14	0.00019186124594693118	-1604.0	2022-11-14 22:11:03.917295
2992.0	32	355.0	43.42	6.943640782316862e-05	-1586.0	2022-11-14 22:11:04.922112
2992.0	32	319.5	38.17	0.00020890960790761554	-1581.0	2022-11-14 22:11:05.925664
3036.68	32	329.5	39.56	0.00011481363832938502	-1608.0	2022-11-14 22:11:06.925393
3050.72	32	324.7	39.1	0.00016335462008653997	-1614.0	2022-11-14 22:11:07.925686
3126.22	32	347.9	40.4	0.0	-1659.0	2022-11-14 22:11:08.926195
3087.01	32	358.7	42.28	6.273340516923258e-05	-1636.0	2022-11-14 22:11:09.933032
3162.51	32	364.7	42.61	0.0001394700139470014	-1674.0	2022-11-14 22:11:10.931495
3179.28	32	369.8	43.23	0.0001340662287169862	-1683.0	2022-11-14 22:11:11.930035
3238.0	32	390.8	43.84	1.7852615943814248e-05	-1718.0	2022-11-14 22:11:12.934775
3327.55	32	356.7	39.27	0.0003194585353352735	-1755.0	2022-11-14 22:11:13.933565
3313.5	32	381.0	43.02	2.444859682517507e-05	-1757.0	2022-11-14 22:11:14.938482
3321.89	32	365.5	42.3	0.0014478060703696245	-1715.0	2022-11-14 22:11:15.938284
3288.33	32	378.0	40.52	0.0	-1745.0	2022-11-14 22:11:16.937951
3254.78	32	391.4	44.64	2.4770080573533524e-05	-1726.0	2022-11-14 22:11:17.934517
3313.5	32	403.0	41.63	5.558489202634724e-05	-1756.0	2022-11-14 22:11:18.941819
3296.72	32	415.2	45.8	5.620345651257552e-05	-1747.0	2022-11-14 22:11:19.937920
3271.56	32	420.7	49.71	0.0001344109792547265	-1732.0	2022-11-14 22:11:20.941606
