curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	34.16	0.0	-0.0	2022-11-14 19:01:56.818539
553.65	1	4576.0	34.86	2.0083547557840616e-05	-543.0	2022-11-14 19:01:57.814063
704.64	1	4576.0	34.65	0.0	-691.0	2022-11-14 19:01:58.816594
713.03	1	4576.0	34.77	0.0	-699.0	2022-11-14 19:01:59.813386
704.64	1	4576.0	34.33	0.0	-691.0	2022-11-14 19:02:00.816298
721.42	1	4576.0	34.57	0.0	-707.0	2022-11-14 19:02:01.815289
713.03	1	4576.0	34.92	0.0	-699.0	2022-11-14 19:02:02.823465
696.25	1	4576.0	34.57	0.0	-683.0	2022-11-14 19:02:03.822334
713.03	1	4576.0	34.65	0.0	-699.0	2022-11-14 19:02:04.820688
713.03	1	4576.0	34.55	0.0	-699.0	2022-11-14 19:02:05.825753
696.25	1	4576.0	35.11	0.0	-683.0	2022-11-14 19:02:06.823430
713.03	1	4576.0	34.68	0.0	-699.0	2022-11-14 19:02:07.824917
701.91	1	4576.0	34.88	0.0	-688.0	2022-11-14 19:02:08.827627
713.03	1	4576.0	35.03	0.0	-699.0	2022-11-14 19:02:09.829119
704.64	1	4576.0	34.65	0.0	-691.0	2022-11-14 19:02:10.826031
704.64	1	4576.0	34.59	0.0	-691.0	2022-11-14 19:02:11.827848
704.64	1	4576.0	34.64	0.0	-691.0	2022-11-14 19:02:12.828907
704.64	1	4576.0	35.06	0.0	-691.0	2022-11-14 19:02:13.826416
704.64	1	4576.0	35.19	0.0	-691.0	2022-11-14 19:02:14.832434
704.64	1	4576.0	35.35	0.0	-691.0	2022-11-14 19:02:15.833594
704.64	1	4576.0	34.97	0.0	-691.0	2022-11-14 19:02:16.831867
704.64	1	4576.0	35.88	0.0	-691.0	2022-11-14 19:02:17.835921
704.64	1	4576.0	34.5	0.0	-691.0	2022-11-14 19:02:18.839368
710.3	1	4576.0	34.75	0.0	-696.0	2022-11-14 19:02:19.835783
713.03	1	4576.0	34.76	0.0	-699.0	2022-11-14 19:02:20.836244
713.03	1	4576.0	34.52	0.0	-699.0	2022-11-14 19:02:21.836463
704.64	1	4576.0	34.44	0.0	-691.0	2022-11-14 19:02:22.839729
704.64	1	4576.0	34.97	0.0	-691.0	2022-11-14 19:02:23.840415
687.87	1	4576.0	35.12	0.0	-674.0	2022-11-14 19:02:24.838782
696.25	1	4576.0	34.88	0.0	-683.0	2022-11-14 19:02:25.843834
671.09	1	3204.0	34.82	0.000580135478697084	-654.0	2022-11-14 19:02:26.846785
696.25	1	3204.0	36.29	0.0	-683.0	2022-11-14 19:02:27.844016
704.64	1	3204.0	34.54	0.0	-691.0	2022-11-14 19:02:28.844613
704.64	1	3204.0	34.6	0.0	-691.0	2022-11-14 19:02:29.844572
679.48	1	3204.0	35.61	0.0	-666.0	2022-11-14 19:02:30.847199
701.91	1	3204.0	34.62	0.0	-688.0	2022-11-14 19:02:31.851822
704.64	1	3204.0	35.14	0.0	-691.0	2022-11-14 19:02:32.846115
704.64	1	3204.0	34.86	0.0	-691.0	2022-11-14 19:02:33.848797
713.03	1	3204.0	34.39	0.0	-699.0	2022-11-14 19:02:34.848031
704.64	1	3204.0	34.42	0.0	-691.0	2022-11-14 19:02:35.851127
704.64	1	3204.0	34.6	0.0	-691.0	2022-11-14 19:02:36.853010
704.64	1	3204.0	34.49	0.0	-691.0	2022-11-14 19:02:37.854543
704.64	1	3204.0	34.31	0.0	-691.0	2022-11-14 19:02:38.854765
612.37	1	3204.0	34.71	0.0	-600.0	2022-11-14 19:02:39.852312
704.64	1	3204.0	35.11	0.0	-691.0	2022-11-14 19:02:40.854097
696.25	1	3204.0	34.44	0.0	-683.0	2022-11-14 19:02:41.859493
685.13	1	3204.0	35.64	0.0	-672.0	2022-11-14 19:02:42.857975
704.64	1	3204.0	37.45	0.0	-691.0	2022-11-14 19:02:43.860607
704.64	1	3204.0	36.17	0.0	-691.0	2022-11-14 19:02:44.862345
704.64	1	3204.0	34.44	0.0	-691.0	2022-11-14 19:02:45.864307
704.64	1	3204.0	34.41	0.0	-691.0	2022-11-14 19:02:46.865807
704.64	1	3204.0	34.42	0.0	-691.0	2022-11-14 19:02:47.862332
704.64	1	3204.0	34.56	0.0	-691.0	2022-11-14 19:02:48.868781
704.64	1	3204.0	34.52	0.0	-691.0	2022-11-14 19:02:49.866398
704.64	1	3204.0	35.03	0.0	-691.0	2022-11-14 19:02:50.862585
704.64	1	3204.0	34.54	0.0	-691.0	2022-11-14 19:02:51.865498
721.42	1	3204.0	34.69	0.0	-707.0	2022-11-14 19:02:52.867382
713.03	1	3204.0	34.6	0.0	-699.0	2022-11-14 19:02:53.868799
701.91	1	3204.0	34.42	0.0	-688.0	2022-11-14 19:02:54.866757
704.64	1	3204.0	34.29	0.0	-691.0	2022-11-14 19:02:55.867575
