curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	25	10.0	33.29	0.0	-0.0	2022-11-14 19:25:54.042555
2785.02	25	581.7	45.53	0.00015532498424560874	-1693.0	2022-11-14 19:25:55.049004
3607.1	25	533.7	42.59	0.0007904808115602998	-2170.0	2022-11-14 19:25:56.052073
3321.89	25	426.5	39.94	0.0007150825205228683	-2001.0	2022-11-14 19:25:57.045089
2785.02	22	410.7	38.57	0.0	-1801.0	2022-11-14 19:25:58.046119
2759.85	22	423.1	37.72	1.2435800181562683e-05	-1785.0	2022-11-14 19:25:59.052726
2759.85	22	422.7	43.47	8.490045421743007e-05	-1783.0	2022-11-14 19:26:00.052232
2650.8	29	361.1	42.32	0.0005514647717975491	-1478.0	2022-11-14 19:26:01.057666
2852.13	29	331.7	38.63	0.0006322375908076733	-1588.0	2022-11-14 19:26:02.049646
2902.46	29	333.8	38.1	0.000191616001532928	-1629.0	2022-11-14 19:26:03.055969
3053.45	25	341.0	33.53	0.0	-1861.0	2022-11-14 19:26:04.052989
2969.57	25	355.4	33.78	0.0	-1810.0	2022-11-14 19:26:05.048710
3045.06	25	369.4	33.74	0.0	-1856.0	2022-11-14 19:26:06.056669
3196.06	25	383.5	33.45	0.0	-1948.0	2022-11-14 19:26:07.055647
3305.11	25	383.7	33.56	6.690612014930629e-05	-2012.0	2022-11-14 19:26:08.054751
3347.05	25	402.5	33.5	0.0	-2040.0	2022-11-14 19:26:09.060979
3498.05	25	420.8	33.54	0.0	-2132.0	2022-11-14 19:26:10.065503
3229.61	25	437.7	44.81	0.0	-1969.0	2022-11-14 19:26:11.062845
2533.36	25	437.2	54.15	0.00022164860384467973	-1539.0	2022-11-14 19:26:12.053334
2323.64	25	359.8	43.57	0.0016233203830640173	-1379.0	2022-11-14 19:26:13.069356
2348.81	25	361.7	49.03	0.0003994890485749091	-1422.0	2022-11-14 19:26:14.064174
2407.53	24	376.7	46.32	0.00012518657614714237	-1494.0	2022-11-14 19:26:15.064659
2449.47	24	373.9	42.94	0.0	-1523.0	2022-11-14 19:26:16.068000
2483.03	24	396.0	46.6	0.0	-1544.0	2022-11-14 19:26:17.077884
2541.75	26	373.1	46.36	5.488725243562183e-05	-1518.0	2022-11-14 19:26:18.069439
2566.91	26	376.7	44.3	0.0001444206250705179	-1530.0	2022-11-14 19:26:19.069264
2717.91	26	408.0	46.59	8.579051671628218e-05	-1622.0	2022-11-14 19:26:20.071470
2801.8	26	410.6	47.82	0.00021955057184792464	-1668.0	2022-11-14 19:26:21.097979
2441.08	21	406.3	45.34	0.0	-1611.0	2022-11-14 19:26:22.070042
2306.87	21	420.5	48.11	4.9506175895442956e-05	-1521.0	2022-11-14 19:26:23.079665
2298.48	21	414.4	45.6	5.0338526591326674e-05	-1515.0	2022-11-14 19:26:24.086328
1828.72	9	276.0	33.7	0.0	-1530.0	2022-11-14 19:26:25.072121
897.58	9	297.1	33.46	0.0	-751.0	2022-11-14 19:26:26.084816
931.14	9	311.0	33.46	0.0	-779.0	2022-11-14 19:26:27.080547
973.08	9	321.9	33.39	0.0	-814.0	2022-11-14 19:26:28.073875
1375.73	25	218.6	34.77	9.203942634335727e-05	-837.0	2022-11-14 19:26:29.074831
2533.36	25	421.3	37.5	0.00019180328654931503	-1539.0	2022-11-14 19:26:30.074740
3607.1	25	828.2	57.4	0.0	-2199.0	2022-11-14 19:26:31.081733
3581.94	25	694.8	55.23	0.0008094847925448425	-2154.0	2022-11-14 19:26:32.087720
3271.56	25	577.7	48.77	0.0007146037719588043	-1971.0	2022-11-14 19:26:33.090424
2826.96	25	422.6	43.06	0.0005822788992038059	-1707.0	2022-11-14 19:26:34.096380
2650.8	25	446.2	46.86	0.0	-1616.0	2022-11-14 19:26:35.091935
2634.02	25	443.3	48.45	0.00012780960775672103	-1602.0	2022-11-14 19:26:36.088416
2709.52	25	398.6	40.75	0.00013884248753671732	-1648.0	2022-11-14 19:26:37.094246
2667.58	25	406.4	37.43	8.64633049733693e-05	-1624.0	2022-11-14 19:26:38.098104
2936.01	32	356.6	42.79	7.96378072526151e-06	-1558.0	2022-11-14 19:26:39.089384
3103.78	32	408.1	46.51	5.9075905153634275e-05	-1645.0	2022-11-14 19:26:40.102756
3405.77	32	416.2	41.5	0.00032887186672467603	-1796.0	2022-11-14 19:26:41.102723
3556.77	32	465.7	47.06	5.837446571148745e-05	-1885.0	2022-11-14 19:26:42.103581
2969.57	25	389.9	36.93	0.00027416455966125443	-1802.0	2022-11-14 19:26:43.108806
3078.62	25	392.2	36.12	0.00019187744403894344	-1871.0	2022-11-14 19:26:44.098730
3154.12	25	415.3	37.62	4.0206735724781236e-05	-1921.0	2022-11-14 19:26:45.099262
3112.17	22	455.7	37.39	0.0	-2013.0	2022-11-14 19:26:46.101180
2936.01	22	458.1	40.39	9.908603045508232e-05	-1896.0	2022-11-14 19:26:47.096395
2743.07	22	399.6	39.01	0.0005121953284399631	-1760.0	2022-11-14 19:26:48.106086
