curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	35.0	0.0	-0.0	2022-11-14 19:12:52.728379
427.82	1	2184.0	34.88	0.0	-419.0	2022-11-14 19:12:53.737370
654.31	1	2184.0	41.03	0.0	-641.0	2022-11-14 19:12:54.738361
419.43	1	825.0	34.05	0.0023837209302325583	-401.0	2022-11-14 19:12:55.728458
864.03	3	1673.7	35.05	0.0	-814.0	2022-11-14 19:12:56.725291
1694.5	3	1763.3	34.53	0.0	-1597.0	2022-11-14 19:12:57.736613
1719.66	3	1773.3	34.94	0.0	-1620.0	2022-11-14 19:12:58.735759
1702.89	3	1779.7	39.27	0.0	-1605.0	2022-11-14 19:12:59.739826
1627.39	3	1783.3	40.99	0.0	-1534.0	2022-11-14 19:13:00.742446
1367.34	3	1242.7	34.29	0.0003136489571172176	-1284.0	2022-11-14 19:13:01.729686
1342.18	5	971.4	34.74	0.0	-1216.0	2022-11-14 19:13:02.731759
1694.5	5	1270.4	37.4	8.06728112457899e-05	-1533.0	2022-11-14 19:13:03.738299
1946.16	5	1305.4	38.71	5.294989763019792e-05	-1762.0	2022-11-14 19:13:04.741303
1677.72	5	895.6	33.97	0.0003295817117211879	-1514.0	2022-11-14 19:13:05.746554
1551.89	5	954.2	34.31	0.0	-1406.0	2022-11-14 19:13:06.747922
1593.84	5	999.0	35.93	0.0	-1444.0	2022-11-14 19:13:07.742784
1619.0	7	707.7	34.26	3.6113859777105256e-05	-1409.0	2022-11-14 19:13:08.740879
1904.21	7	908.3	35.67	0.0	-1658.0	2022-11-14 19:13:09.737489
2298.48	7	1111.6	36.25	0.0	-2001.0	2022-11-14 19:13:10.747239
2373.98	7	1063.9	35.93	9.82052981758366e-06	-2066.0	2022-11-14 19:13:11.749267
2030.04	8	730.1	33.7	0.0016262319283535268	-1700.0	2022-11-14 19:13:12.750349
1954.55	8	715.0	33.67	0.00018052388030063244	-1665.0	2022-11-14 19:13:13.741972
1988.1	8	753.0	34.02	0.0	-1697.0	2022-11-14 19:13:14.745986
2164.26	10	720.3	35.73	0.0	-1775.0	2022-11-14 19:13:15.745469
