curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	33.24	0.0	-0.0	2022-11-14 19:18:59.116729
176.16	1	928.0	33.17	0.0	-173.0	2022-11-14 19:19:00.127780
419.43	1	1164.0	33.27	5.426230397742688e-05	-411.0	2022-11-14 19:19:01.131778
419.43	1	1375.0	33.96	0.0	-411.0	2022-11-14 19:19:02.130740
629.15	2	1261.0	42.51	0.0	-605.0	2022-11-14 19:19:03.128525
813.69	2	1501.5	39.74	0.000410166664387963	-779.0	2022-11-14 19:19:04.126673
964.69	2	1531.5	35.57	0.0	-927.0	2022-11-14 19:19:05.125071
1082.13	5	829.2	35.64	0.0	-980.0	2022-11-14 19:19:06.130066
1585.45	5	1193.2	34.05	5.0792729383593946e-05	-1435.0	2022-11-14 19:19:07.123794
2139.1	5	1537.8	41.61	3.191014104282341e-05	-1937.0	2022-11-14 19:19:08.131750
1979.71	9	704.6	34.86	0.00018796992481203009	-1653.0	2022-11-14 19:19:09.131325
2348.81	9	1016.9	39.33	3.903276800874334e-05	-1964.0	2022-11-14 19:19:10.136443
2533.36	9	837.9	33.65	0.00018170720911704275	-2115.0	2022-11-14 19:19:11.128401
2650.8	12	781.9	36.19	0.0	-2090.0	2022-11-14 19:19:12.134645
2852.13	12	692.8	33.64	0.00024293631774423334	-2242.0	2022-11-14 19:19:13.136664
3036.68	12	818.0	35.51	0.0	-2394.0	2022-11-14 19:19:14.138399
2835.35	16	551.6	36.91	0.00013965333114269286	-2061.0	2022-11-14 19:19:15.134485
2961.18	16	649.0	38.03	0.00015831051023477448	-2152.0	2022-11-14 19:19:16.130814
3221.23	16	705.4	38.11	8.312642082931255e-05	-2344.0	2022-11-14 19:19:17.130688
3447.72	16	727.8	38.21	0.0	-2511.0	2022-11-14 19:19:18.137083
3800.04	21	724.1	41.73	0.00036923227151083133	-2493.0	2022-11-14 19:19:19.137794
4043.31	21	672.0	40.18	7.476442018754367e-05	-2665.0	2022-11-14 19:19:20.144692
3816.82	21	627.9	38.78	0.0002975441868454795	-2507.0	2022-11-14 19:19:21.140953
3858.76	27	571.6	44.55	8.46407303285874e-05	-2257.0	2022-11-14 19:19:22.141627
4026.53	27	596.3	44.66	9.485238956163824e-05	-2355.0	2022-11-14 19:19:23.141530
4194.3	27	652.2	46.63	1.9359745557629813e-05	-2456.0	2022-11-14 19:19:24.140212
4250.29	26	578.7	42.06	0.0003351812796805989	-2526.0	2022-11-14 19:19:25.137982
4185.92	26	596.3	41.9	0.0	-2501.0	2022-11-14 19:19:26.145203
4051.7	26	605.6	44.67	1.1366058108972083e-05	-2421.0	2022-11-14 19:19:27.145333
3967.81	22	612.0	43.11	0.0	-2567.0	2022-11-14 19:19:28.145119
3657.43	22	631.9	41.28	9.038404179358092e-06	-2365.0	2022-11-14 19:19:29.149759
3632.27	22	634.8	44.63	8.574722353666012e-05	-2346.0	2022-11-14 19:19:30.141720
3573.55	22	532.7	40.75	0.00024573727736202673	-2303.0	2022-11-14 19:19:31.149543
3523.22	23	537.4	39.4	0.00015402866899566752	-2229.0	2022-11-14 19:19:32.154051
3347.05	23	420.8	33.38	0.0030322385922551573	-2021.0	2022-11-14 19:19:33.154811
3422.55	23	453.9	33.78	0.0	-2170.0	2022-11-14 19:19:34.152569
3238.0	20	470.1	33.43	0.0	-2179.0	2022-11-14 19:19:35.149965
3229.61	20	483.5	33.51	0.0	-2173.0	2022-11-14 19:19:36.154033
3092.66	20	432.1	33.45	0.0001823070963037236	-2076.0	2022-11-14 19:19:37.158807
2701.13	18	420.3	33.73	0.0	-1891.0	2022-11-14 19:19:38.160459
2631.29	18	425.7	33.66	1.3314574577151303e-05	-1842.0	2022-11-14 19:19:39.163830
2516.58	18	418.9	33.74	4.123390159758461e-05	-1761.0	2022-11-14 19:19:40.161871
2617.25	20	423.6	35.72	0.0	-1761.0	2022-11-14 19:19:41.159921
2776.63	20	474.4	36.0	0.0	-1869.0	2022-11-14 19:19:42.161214
2894.07	20	367.0	33.47	0.00024782140608178106	-1940.0	2022-11-14 19:19:43.161159
2575.3	22	377.0	33.45	5.4295694351437933e-05	-1664.0	2022-11-14 19:19:44.157198
2902.46	22	401.9	33.79	0.0	-1877.0	2022-11-14 19:19:45.165614
2994.73	22	402.9	34.44	5.4314301343503036e-05	-1935.0	2022-11-14 19:19:46.167145
3075.89	21	426.7	34.31	1.1325028312570781e-05	-2029.0	2022-11-14 19:19:47.167237
2992.0	21	445.3	35.52	3.5478134382303504e-05	-1973.0	2022-11-14 19:19:48.169514
3003.12	21	450.4	36.09	0.00012000340654831492	-1978.0	2022-11-14 19:19:49.167807
3008.78	21	454.5	35.75	0.00014209400478511162	-1981.0	2022-11-14 19:19:50.157337
2773.9	17	489.2	35.08	0.0	-1981.0	2022-11-14 19:19:51.164378
2673.23	17	500.2	33.96	4.311943220331675e-06	-1909.0	2022-11-14 19:19:52.166444
2919.24	17	536.1	34.16	0.0	-2085.0	2022-11-14 19:19:53.166538
2832.62	14	600.6	34.87	0.0	-2147.0	2022-11-14 19:19:54.170493
2690.01	14	599.8	35.78	0.00015911856913701828	-2034.0	2022-11-14 19:19:55.172138
2715.18	14	628.3	37.09	5.138592111404677e-05	-2056.0	2022-11-14 19:19:56.170010
2424.31	10	615.9	34.93	0.0	-1989.0	2022-11-14 19:19:57.177324
2038.43	10	631.2	36.06	7.361601884570082e-05	-1671.0	2022-11-14 19:19:58.178927
2122.32	10	691.5	37.62	0.0	-1741.0	2022-11-14 19:19:59.180609
2046.82	11	675.5	38.84	1.1231538159150896e-05	-1646.0	2022-11-14 19:20:00.176822
2080.37	11	645.8	39.28	0.00016386310085491336	-1670.0	2022-11-14 19:20:01.175464
2172.65	11	698.6	36.37	0.0	-1747.0	2022-11-14 19:20:02.178934
2147.48	11	748.9	43.18	5.382102356822622e-05	-1726.0	2022-11-14 19:20:03.179327
1895.83	10	749.7	47.43	1.5604519068722302e-05	-1555.0	2022-11-14 19:20:04.177610
1845.49	10	746.5	50.32	1.2603903428891927e-05	-1514.0	2022-11-14 19:20:05.180859
1652.56	10	639.6	53.55	0.0009799466000113618	-1339.0	2022-11-14 19:20:06.181596
1484.78	12	499.1	43.74	0.0008997674937095901	-1157.0	2022-11-14 19:20:07.180664
1577.06	12	497.8	46.69	0.00010807928696491747	-1242.0	2022-11-14 19:20:08.183290
1619.0	12	448.5	42.23	0.00026996067329651167	-1272.0	2022-11-14 19:20:09.182732
1426.06	10	454.4	41.33	0.0	-1170.0	2022-11-14 19:20:10.179936
1258.29	10	459.5	40.19	7.243293163236666e-05	-1031.0	2022-11-14 19:20:11.183496
1266.68	10	456.4	44.4	5.4552893576396784e-05	-1038.0	2022-11-14 19:20:12.189030
1205.23	11	400.4	42.68	0.0004161258681673619	-964.0	2022-11-14 19:20:13.189492
1224.74	11	419.4	42.63	0.0	-985.0	2022-11-14 19:20:14.189268
1275.07	11	432.0	41.58	0.0	-1025.0	2022-11-14 19:20:15.189310
1297.5	10	418.0	42.02	8.134784337828555e-05	-1063.0	2022-11-14 19:20:16.191160
1191.18	10	429.3	40.74	0.0	-977.0	2022-11-14 19:20:17.195431
1207.96	10	442.4	38.27	0.0	-991.0	2022-11-14 19:20:18.190839
1409.29	10	459.0	36.79	0.0	-1156.0	2022-11-14 19:20:19.190772
1241.51	8	508.1	37.92	0.0	-1060.0	2022-11-14 19:20:20.194838
1241.51	8	540.0	42.84	0.0	-1060.0	2022-11-14 19:20:21.195670
1207.96	8	578.6	44.16	0.0	-1031.0	2022-11-14 19:20:22.192159
872.42	5	574.8	49.83	0.0	-790.0	2022-11-14 19:20:23.195278
847.25	5	532.0	33.22	0.00026237657943796173	-765.0	2022-11-14 19:20:24.196208
847.25	5	471.2	33.68	0.00032527377209151036	-765.0	2022-11-14 19:20:25.194406
810.96	6	426.7	34.59	0.0004134293249697056	-717.0	2022-11-14 19:20:26.200620
869.68	6	440.2	33.46	0.0	-772.0	2022-11-14 19:20:27.202705
905.97	6	403.2	33.34	0.0001271197213535708	-803.0	2022-11-14 19:20:28.206369
847.25	5	482.8	33.35	0.0	-767.0	2022-11-14 19:20:29.208547
805.31	5	486.6	33.55	8.65064375207255e-05	-729.0	2022-11-14 19:20:30.205894
822.08	5	503.6	33.82	0.00011108642523883582	-744.0	2022-11-14 19:20:31.208784
855.64	6	430.2	33.52	0.0	-760.0	2022-11-14 19:20:32.207862
939.52	6	487.2	34.13	2.4322910965984408e-05	-834.0	2022-11-14 19:20:33.213070
1023.41	6	507.3	33.93	0.000183745420719593	-907.0	2022-11-14 19:20:34.209063
922.75	6	541.8	36.66	0.0	-819.0	2022-11-14 19:20:35.207690
1149.24	8	558.0	39.01	0.0005280323031526635	-975.0	2022-11-14 19:20:36.207383
1174.41	8	436.4	34.75	0.000529494822717289	-996.0	2022-11-14 19:20:37.216463
1023.41	8	358.5	35.17	0.000321406843670007	-870.0	2022-11-14 19:20:38.229190
1065.16	11	502.8	44.12	9.703744675070109e-05	-856.0	2022-11-14 19:20:39.228635
1526.73	11	510.4	39.45	0.0001826664738520554	-1225.0	2022-11-14 19:20:40.228944
1619.0	11	526.5	38.73	0.0	-1302.0	2022-11-14 19:20:41.222162
1803.55	15	485.9	40.04	1.9646494083130865e-05	-1340.0	2022-11-14 19:20:42.216912
2080.37	15	426.4	36.67	0.0004656445201590006	-1536.0	2022-11-14 19:20:43.221291
1971.32	15	427.3	37.88	0.00022053148086889404	-1460.0	2022-11-14 19:20:44.229606
1946.16	25	337.3	42.17	0.0	-1186.0	2022-11-14 19:20:45.225768
2455.13	25	342.1	37.53	0.0010234623925847253	-1471.0	2022-11-14 19:20:46.229881
2692.74	25	407.2	38.08	0.00025381599215796105	-1634.0	2022-11-14 19:20:47.226107
3011.51	24	407.5	41.78	0.0006286902412882848	-1853.0	2022-11-14 19:20:48.231529
2776.63	24	384.0	39.34	0.0002808594298553574	-1718.0	2022-11-14 19:20:49.233773
2717.91	24	391.8	40.54	8.137498019161666e-05	-1688.0	2022-11-14 19:20:50.231622
2625.63	24	390.3	40.24	0.00013750338213964133	-1629.0	2022-11-14 19:20:51.224978
2088.76	14	425.1	36.19	0.0	-1583.0	2022-11-14 19:20:52.236169
1920.99	14	456.6	38.25	0.0	-1456.0	2022-11-14 19:20:53.241523
1895.83	14	475.5	39.35	1.2272875105086493e-05	-1437.0	2022-11-14 19:20:54.241237
1918.26	15	461.1	39.85	6.118640438094655e-05	-1424.0	2022-11-14 19:20:55.233442
1895.83	15	475.1	40.17	0.00010352597283965654	-1407.0	2022-11-14 19:20:56.241638
1937.77	15	448.9	40.96	0.0002643071248791095	-1435.0	2022-11-14 19:20:57.243924
1702.89	14	347.3	33.53	0.003135330956113489	-1237.0	2022-11-14 19:20:58.240295
1711.28	14	375.6	33.71	0.0	-1297.0	2022-11-14 19:20:59.246171
1795.16	14	394.1	35.78	0.0	-1361.0	2022-11-14 19:21:00.249133
1702.89	16	381.8	35.67	8.834702712253733e-05	-1239.0	2022-11-14 19:21:01.248025
1879.05	16	399.0	37.51	0.0001614535789911635	-1366.0	2022-11-14 19:21:02.249972
1912.6	16	384.2	37.46	0.00013497263736533412	-1391.0	2022-11-14 19:21:03.243739
1845.49	18	341.7	38.18	0.00015669953178179904	-1289.0	2022-11-14 19:21:04.240755
2038.43	18	391.8	37.67	0.0003594782430072923	-1420.0	2022-11-14 19:21:05.245951
2088.76	18	369.1	38.61	0.0002066842813810979	-1458.0	2022-11-14 19:21:06.247982
1920.99	18	304.7	33.45	0.0006100802164878709	-1333.0	2022-11-14 19:21:07.245842
2298.48	21	403.9	36.73	0.0	-1516.0	2022-11-14 19:21:08.252977
2524.97	21	376.1	36.34	0.00031394130221005443	-1658.0	2022-11-14 19:21:09.249922
2407.53	21	399.2	39.35	2.3868285254650734e-05	-1588.0	2022-11-14 19:21:10.251972
2474.64	25	349.1	40.82	0.0004395016433539708	-1497.0	2022-11-14 19:21:11.253626
2541.75	25	387.7	42.68	5.4809536859413536e-05	-1548.0	2022-11-14 19:21:12.258874
2541.75	25	322.4	33.82	0.000605078036591055	-1534.0	2022-11-14 19:21:13.248320
2667.58	24	341.8	35.7	0.0	-1658.0	2022-11-14 19:21:14.249368
2566.91	24	343.5	36.47	7.630572562256495e-05	-1594.0	2022-11-14 19:21:15.256771
2550.14	24	362.0	40.7	0.0	-1585.0	2022-11-14 19:21:16.257105
2491.42	20	354.9	37.97	0.0	-1677.0	2022-11-14 19:21:17.252963
2197.82	20	384.0	37.82	0.0	-1479.0	2022-11-14 19:21:18.255387
2248.15	20	416.2	41.78	0.0	-1513.0	2022-11-14 19:21:19.259537
2290.09	21	435.2	46.2	0.0	-1511.0	2022-11-14 19:21:20.257980
2348.81	21	445.9	45.89	0.0002302290779325429	-1544.0	2022-11-14 19:21:21.257663
2290.09	21	413.5	47.82	0.00017954127204991249	-1507.0	2022-11-14 19:21:22.265935
2119.59	21	368.4	42.37	0.0005259294158896425	-1387.0	2022-11-14 19:21:23.269308
2021.65	19	381.3	44.57	0.0	-1388.0	2022-11-14 19:21:24.265415
1979.71	19	409.2	44.93	0.0	-1359.0	2022-11-14 19:21:25.263878
1929.38	19	412.4	48.02	0.00014290307598871066	-1322.0	2022-11-14 19:21:26.265915
2021.65	20	309.4	33.73	0.0048792955226654895	-1262.0	2022-11-14 19:21:27.267437
2060.87	20	342.4	37.98	0.0	-1387.0	2022-11-14 19:21:28.270000
2365.59	20	364.2	33.29	0.0	-1592.0	2022-11-14 19:21:29.263811
2592.08	22	357.5	33.42	0.0	-1677.0	2022-11-14 19:21:30.275632
2813.11	22	390.9	33.78	2.9032151033544577e-05	-1819.0	2022-11-14 19:21:31.268815
3112.17	22	469.7	34.17	0.0	-2013.0	2022-11-14 19:21:32.278279
3565.16	31	372.8	35.01	0.0	-1930.0	2022-11-14 19:21:33.277597
4085.25	31	467.3	36.42	0.0	-2211.0	2022-11-14 19:21:34.269553
