curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	5	10.0	38.51	0.0	-0.0	2022-10-03 12:46:38.786347
796.92	5	829.8	41.81	0.0	-722.0	2022-10-03 12:46:39.787862
947.91	5	868.4	42.47	0.0	-859.0	2022-10-03 12:46:40.788021
947.91	5	877.6	42.16	0.0	-859.0	2022-10-03 12:46:41.786871
1082.13	29	350.6	45.57	0.0	-609.0	2022-10-03 12:46:42.788423
956.3	29	350.6	45.49	0.0	-539.0	2022-10-03 12:46:43.788472
956.3	29	350.6	45.46	0.0	-539.0	2022-10-03 12:46:44.789752
931.14	27	350.6	45.39	0.0	-546.0	2022-10-03 12:46:45.791049
914.36	27	358.2	45.01	0.0	-536.0	2022-10-03 12:46:46.792113
956.3	27	358.2	45.14	0.0	-560.0	2022-10-03 12:46:47.792983
931.14	27	358.2	45.15	0.0	-546.0	2022-10-03 12:46:48.788989
486.54	1	1882.0	38.88	0.0	-477.0	2022-10-03 12:46:49.798061
587.2	1	2203.0	39.58	0.0	-576.0	2022-10-03 12:46:50.797317
587.2	1	2203.0	40.1	0.0	-576.0	2022-10-03 12:46:51.804117
595.59	5	504.0	39.4	0.0	-539.0	2022-10-03 12:46:52.800574
780.14	5	658.4	40.01	0.0	-707.0	2022-10-03 12:46:53.799942
964.69	5	990.0	41.17	0.0	-874.0	2022-10-03 12:46:54.798661
947.91	5	1119.2	42.12	0.0	-859.0	2022-10-03 12:46:55.802429
956.3	5	1119.2	41.81	0.0	-866.0	2022-10-03 12:46:56.802987
939.52	5	1119.2	41.77	0.0	-851.0	2022-10-03 12:46:57.805315
947.91	5	1119.2	41.96	0.0	-859.0	2022-10-03 12:46:58.803785
922.75	5	1119.2	42.07	0.0	-836.0	2022-10-03 12:46:59.809056
956.3	6	960.7	41.91	0.0	-849.0	2022-10-03 12:47:00.810736
956.3	6	1013.0	42.09	0.0	-849.0	2022-10-03 12:47:01.810499
947.91	6	1013.0	42.07	0.0	-842.0	2022-10-03 12:47:02.809667
947.91	7	883.4	41.75	0.0	-825.0	2022-10-03 12:47:03.812180
939.52	7	918.4	42.16	0.0	-818.0	2022-10-03 12:47:04.810787
947.91	7	983.3	42.96	0.0	-825.0	2022-10-03 12:47:05.815847
956.3	7	991.9	43.07	0.0	-833.0	2022-10-03 12:47:06.812315
922.75	13	591.8	42.87	0.0	-713.0	2022-10-03 12:47:07.813888
973.08	13	603.8	43.16	0.0	-752.0	2022-10-03 12:47:08.816717
931.14	13	608.1	43.18	0.0	-720.0	2022-10-03 12:47:09.814595
914.36	6	617.3	42.3	0.0	-812.0	2022-10-03 12:47:10.815758
