curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.56	0.0	-0.0	2022-10-03 13:31:20.602301
41.94	1	240.0	38.8	0.0	-41.0	2022-10-03 13:31:21.594587
142.61	1	808.0	38.69	0.0	-140.0	2022-10-03 13:31:22.597158
427.82	1	2204.0	39.8	0.0	-419.0	2022-10-03 13:31:23.599827
637.53	3	853.0	39.0	0.0	-601.0	2022-10-03 13:31:24.598492
796.92	3	1123.0	39.68	0.0	-751.0	2022-10-03 13:31:25.600619
947.91	3	1539.7	41.32	0.0	-893.0	2022-10-03 13:31:26.600545
947.91	4	1188.0	40.98	0.0	-876.0	2022-10-03 13:31:27.604813
947.91	4	1265.0	40.85	0.0	-876.0	2022-10-03 13:31:28.604340
956.3	4	1401.8	41.66	0.0	-883.0	2022-10-03 13:31:29.606202
939.52	6	969.5	40.99	0.0	-834.0	2022-10-03 13:31:30.606009
947.91	6	1051.5	40.74	0.0	-842.0	2022-10-03 13:31:31.605100
973.08	6	1132.3	41.74	0.0	-864.0	2022-10-03 13:31:32.608444
880.8	3	1539.7	40.84	0.0	-830.0	2022-10-03 13:31:33.611306
947.91	3	1539.7	40.88	0.0	-893.0	2022-10-03 13:31:34.612136
939.52	3	1539.7	41.9	0.0	-885.0	2022-10-03 13:31:35.610164
939.52	3	1560.7	41.45	0.0	-885.0	2022-10-03 13:31:36.612389
981.47	5	1221.6	41.44	0.0	-889.0	2022-10-03 13:31:37.613392
939.52	5	1221.6	40.98	0.0	-851.0	2022-10-03 13:31:38.614541
939.52	5	1221.6	41.69	0.0	-851.0	2022-10-03 13:31:39.613707
654.31	1	2204.0	40.06	0.0	-641.0	2022-10-03 13:31:40.614168
595.59	1	2204.0	40.0	0.0	-584.0	2022-10-03 13:31:41.617756
587.2	1	2204.0	39.73	0.0	-576.0	2022-10-03 13:31:42.619269
729.81	3	1312.0	40.34	0.0	-688.0	2022-10-03 13:31:43.620150
947.91	3	1520.3	40.79	0.0	-893.0	2022-10-03 13:31:44.621170
945.18	3	1544.7	40.84	0.0	-891.0	2022-10-03 13:31:45.621062
914.36	2	1862.0	40.83	0.0	-879.0	2022-10-03 13:31:46.625886
947.91	2	2038.0	41.48	0.0	-911.0	2022-10-03 13:31:47.622607
939.52	2	2038.0	41.67	0.0	-903.0	2022-10-03 13:31:48.624010
939.52	4	1038.8	40.54	0.0	-868.0	2022-10-03 13:31:49.624175
973.08	4	1354.8	41.6	0.0	-899.0	2022-10-03 13:31:50.629310
939.52	4	1363.8	41.96	0.0	-868.0	2022-10-03 13:31:51.626759
939.52	4	1363.8	41.86	0.0	-868.0	2022-10-03 13:31:52.628724
620.76	1	2204.0	39.91	0.0	-609.0	2022-10-03 13:31:53.631312
595.59	1	2204.0	39.61	0.0	-584.0	2022-10-03 13:31:54.635561
587.2	1	2204.0	39.29	0.0	-576.0	2022-10-03 13:31:55.631704
662.7	3	909.3	39.16	0.0	-624.0	2022-10-03 13:31:56.634903
864.03	3	1309.7	40.91	0.0	-814.0	2022-10-03 13:31:57.633090
939.52	3	1347.7	41.32	0.0	-885.0	2022-10-03 13:31:58.635665
914.36	2	1813.0	40.4	0.0	-879.0	2022-10-03 13:31:59.637069
931.14	2	2040.5	41.78	0.0	-895.0	2022-10-03 13:32:00.637040
956.3	2	2040.5	41.59	0.0	-919.0	2022-10-03 13:32:01.638074
970.35	4	1257.8	40.63	0.0	-896.0	2022-10-03 13:32:02.637685
947.91	4	1459.8	42.26	0.0	-876.0	2022-10-03 13:32:03.639850
939.52	4	1481.2	42.56	0.0	-868.0	2022-10-03 13:32:04.641762
905.97	1	1481.2	42.64	0.0	-888.0	2022-10-03 13:32:05.641450
578.81	1	2204.0	40.1	0.0	-567.0	2022-10-03 13:32:06.641553
595.59	1	2204.0	39.81	0.0	-584.0	2022-10-03 13:32:07.641710
587.2	1	2204.0	39.59	0.0	-576.0	2022-10-03 13:32:08.644550
822.08	3	1346.0	41.26	0.0	-775.0	2022-10-03 13:32:09.646949
947.91	3	1536.7	40.69	0.0	-893.0	2022-10-03 13:32:10.645072
939.52	3	1536.7	40.8	0.0	-885.0	2022-10-03 13:32:11.648501
922.75	2	2008.5	41.59	0.0	-887.0	2022-10-03 13:32:12.650082
939.52	2	2008.5	41.57	0.0	-903.0	2022-10-03 13:32:13.650707
956.3	2	2008.5	41.52	0.0	-919.0	2022-10-03 13:32:14.651214
956.3	4	1227.0	41.21	0.0	-883.0	2022-10-03 13:32:15.651713
939.52	4	1346.0	42.08	0.0	-868.0	2022-10-03 13:32:16.651990
939.52	4	1346.0	42.02	0.0	-868.0	2022-10-03 13:32:17.650552
872.42	1	1204.0	39.28	0.0	-855.0	2022-10-03 13:32:18.656589
587.2	1	2204.0	40.01	0.0	-576.0	2022-10-03 13:32:19.656985
592.86	1	2204.0	40.02	0.0	-581.0	2022-10-03 13:32:20.654957
587.2	3	741.3	39.41	0.0	-553.0	2022-10-03 13:32:21.655086
738.2	3	1009.7	39.43	0.0	-696.0	2022-10-03 13:32:22.656053
922.75	3	1523.0	41.45	0.0	-870.0	2022-10-03 13:32:23.657959
939.52	3	1526.7	41.47	0.0	-885.0	2022-10-03 13:32:24.660454
931.14	2	2030.0	41.55	0.0	-895.0	2022-10-03 13:32:25.660365
939.52	2	2030.0	41.68	0.0	-903.0	2022-10-03 13:32:26.663957
939.52	2	2030.0	41.6	0.0	-903.0	2022-10-03 13:32:27.662439
973.08	4	1429.2	41.75	0.0	-899.0	2022-10-03 13:32:28.666765
939.52	4	1475.5	42.19	0.0	-868.0	2022-10-03 13:32:29.664494
947.91	4	1475.5	41.91	0.0	-876.0	2022-10-03 13:32:30.667145
788.53	1	2204.0	39.85	0.0	-773.0	2022-10-03 13:32:31.666414
595.59	1	2204.0	39.92	0.0	-584.0	2022-10-03 13:32:32.668687
