curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.55	0.0	-0.0	2022-10-03 14:05:46.882548
293.6	1	1839.0	38.87	0.0	-288.0	2022-10-03 14:05:47.883504
578.81	1	2205.0	39.83	0.0	-567.0	2022-10-03 14:05:48.885875
595.59	1	2205.0	39.58	0.0	-584.0	2022-10-03 14:05:49.878696
771.75	2	1833.5	40.0	0.0	-742.0	2022-10-03 14:05:50.878612
939.52	2	1996.5	41.53	0.0	-903.0	2022-10-03 14:05:51.885558
947.91	2	1996.5	41.66	0.0	-911.0	2022-10-03 14:05:52.880280
973.08	4	1444.8	41.6	0.0	-899.0	2022-10-03 14:05:53.881265
947.91	4	1444.8	41.63	0.0	-876.0	2022-10-03 14:05:54.883959
939.52	4	1444.8	41.35	0.0	-868.0	2022-10-03 14:05:55.885464
973.08	6	1241.0	42.74	0.0	-864.0	2022-10-03 14:05:56.888825
947.91	6	1241.0	42.81	0.0	-842.0	2022-10-03 14:05:57.889512
931.14	6	1241.0	43.03	0.0	-827.0	2022-10-03 14:05:58.889720
939.52	5	1334.4	42.5	0.0	-851.0	2022-10-03 14:05:59.886865
939.52	5	1334.4	42.5	0.0	-851.0	2022-10-03 14:06:00.888582
939.52	5	1334.4	42.45	0.0	-851.0	2022-10-03 14:06:01.890891
939.52	5	1334.4	42.26	0.0	-851.0	2022-10-03 14:06:02.892366
905.97	3	1725.7	41.63	0.0	-854.0	2022-10-03 14:06:03.894551
939.52	3	1725.7	41.67	0.0	-885.0	2022-10-03 14:06:04.893981
947.91	3	1725.7	41.43	0.0	-893.0	2022-10-03 14:06:05.897886
931.14	2	1996.5	41.8	0.0	-895.0	2022-10-03 14:06:06.898363
939.52	2	1996.5	41.64	0.0	-903.0	2022-10-03 14:06:07.896203
939.52	2	1996.5	41.66	0.0	-903.0	2022-10-03 14:06:08.899509
945.18	2	1996.5	41.96	0.0	-908.0	2022-10-03 14:06:09.898740
939.52	2	1996.5	41.48	0.0	-903.0	2022-10-03 14:06:10.901181
939.52	2	1996.5	41.68	0.0	-903.0	2022-10-03 14:06:11.903567
947.91	2	1996.5	41.62	0.0	-911.0	2022-10-03 14:06:12.902925
936.79	2	2433.5	41.7	0.0	-900.0	2022-10-03 14:06:13.904113
947.91	2	2433.5	41.63	0.0	-911.0	2022-10-03 14:06:14.905624
939.52	2	2433.5	41.5	0.0	-903.0	2022-10-03 14:06:15.905360
947.91	2	2433.5	41.66	0.0	-911.0	2022-10-03 14:06:16.904026
939.52	2	2433.5	41.81	0.0	-903.0	2022-10-03 14:06:17.909954
