curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	20	10.0	38.54	0.0	-0.0	2022-10-03 20:47:47.621911
671.09	20	195.8	40.92	7.062770371678291e-05	-451.0	2022-10-03 20:47:48.617671
1023.41	20	232.8	41.89	0.0	-689.0	2022-10-03 20:47:49.617093
905.97	20	227.0	41.79	0.00013497098123903362	-608.0	2022-10-03 20:47:50.622119
939.52	32	166.5	42.48	0.00013510857816645378	-497.0	2022-10-03 20:47:51.624569
981.47	32	160.6	42.47	0.00017222502429603022	-519.0	2022-10-03 20:47:52.624145
914.36	32	157.4	42.5	0.00014749262536873156	-484.0	2022-10-03 20:47:53.624709
931.14	14	241.5	39.71	0.0	-706.0	2022-10-03 20:47:54.627513
956.3	14	289.8	41.2	0.0	-725.0	2022-10-03 20:47:55.627880
939.52	14	284.7	41.1	0.00017180232914871946	-710.0	2022-10-03 20:47:56.630600
956.3	14	280.9	40.87	9.813181556125266e-05	-724.0	2022-10-03 20:47:57.633740
922.75	14	284.0	41.09	0.0	-699.0	2022-10-03 20:47:58.635565
956.3	14	282.0	41.09	7.368020335736126e-05	-724.0	2022-10-03 20:47:59.636818
931.14	14	283.2	40.9	6.150591071802e-05	-705.0	2022-10-03 20:48:00.636052
956.3	14	256.2	40.89	0.0005191402049367762	-720.0	2022-10-03 20:48:01.629733
956.3	14	264.5	40.92	2.452483139178418e-05	-725.0	2022-10-03 20:48:02.636754
931.14	14	269.9	41.1	0.0	-706.0	2022-10-03 20:48:03.636837
947.91	14	274.3	41.28	0.0	-718.0	2022-10-03 20:48:04.639346
931.14	14	267.6	41.1	0.00019657710122492105	-704.0	2022-10-03 20:48:05.641821
956.3	14	264.6	41.17	0.00024630845207453296	-722.0	2022-10-03 20:48:06.641291
931.14	14	267.9	41.06	0.00011061946902654867	-705.0	2022-10-03 20:48:07.641364
956.3	13	269.1	41.0	8.601727718453163e-05	-738.0	2022-10-03 20:48:08.644417
939.52	13	280.5	40.84	0.0	-726.0	2022-10-03 20:48:09.644307
931.14	13	281.8	41.04	0.0	-720.0	2022-10-03 20:48:10.644176
956.3	13	285.8	41.17	0.00046708294409754657	-735.0	2022-10-03 20:48:11.645140
947.91	12	305.1	40.75	0.0	-747.0	2022-10-03 20:48:12.648974
931.14	12	300.8	40.21	0.00029550099731586593	-731.0	2022-10-03 20:48:13.646631
939.52	12	315.9	40.63	0.0	-741.0	2022-10-03 20:48:14.649928
872.42	1	258.7	38.81	0.0	-855.0	2022-10-03 20:48:15.657187
150.99	1	478.0	38.69	0.0	-148.0	2022-10-03 20:48:16.653038
142.61	1	497.0	38.7	0.0	-140.0	2022-10-03 20:48:17.653282
134.22	1	390.0	38.72	0.0013132551216949746	-130.0	2022-10-03 20:48:18.663196
310.38	12	197.9	39.18	0.0	-245.0	2022-10-03 20:48:19.651689
981.47	12	356.2	41.44	0.0	-774.0	2022-10-03 20:48:20.656472
922.75	12	357.6	41.7	0.0	-728.0	2022-10-03 20:48:21.655885
939.52	12	361.3	41.69	0.0	-741.0	2022-10-03 20:48:22.654670
964.69	15	301.5	41.82	0.00023262932353841444	-715.0	2022-10-03 20:48:23.660050
914.36	15	303.5	41.82	0.0	-679.0	2022-10-03 20:48:24.661753
947.91	15	305.6	41.99	0.0	-704.0	2022-10-03 20:48:25.659327
964.69	15	299.7	41.91	0.00012301636117603641	-716.0	2022-10-03 20:48:26.662299
914.36	15	300.9	41.83	0.0	-679.0	2022-10-03 20:48:27.662350
973.08	15	292.2	41.91	7.367748907117246e-05	-722.0	2022-10-03 20:48:28.662423
922.75	15	294.8	41.93	0.0	-686.0	2022-10-03 20:48:29.661851
973.08	16	280.4	41.88	6.157862975233075e-05	-708.0	2022-10-03 20:48:30.662927
914.36	16	281.6	41.83	0.0	-666.0	2022-10-03 20:48:31.664540
939.52	16	282.6	41.92	0.0	-684.0	2022-10-03 20:48:32.663529
939.52	15	282.6	41.92	0.0	-698.0	2022-10-03 20:48:33.669988
947.91	15	287.4	41.66	0.00011065466063598766	-703.0	2022-10-03 20:48:34.664655
939.52	15	280.6	41.59	7.343761474627305e-05	-697.0	2022-10-03 20:48:35.669598
956.3	15	289.2	41.82	0.0	-711.0	2022-10-03 20:48:36.668861
931.14	15	287.4	41.71	0.0001104497760323986	-691.0	2022-10-03 20:48:37.672901
956.3	15	291.2	41.76	7.36386062666454e-05	-710.0	2022-10-03 20:48:38.672671
931.14	15	286.1	41.61	0.0001231117731788691	-691.0	2022-10-03 20:48:39.673073
939.52	10	279.6	41.19	0.0	-771.0	2022-10-03 20:48:40.674327
931.14	10	365.8	40.86	0.0	-764.0	2022-10-03 20:48:41.676951
956.3	10	399.0	41.34	7.386251723458736e-05	-784.0	2022-10-03 20:48:42.677925
931.14	10	400.0	41.43	6.145828211809823e-05	-763.0	2022-10-03 20:48:43.677489
931.14	9	401.4	40.75	0.0	-779.0	2022-10-03 20:48:44.683421
922.75	9	408.8	41.02	0.0	-772.0	2022-10-03 20:48:45.681461
947.91	9	395.2	40.79	0.00033052185728800693	-790.0	2022-10-03 20:48:46.685354
956.3	9	391.8	40.65	0.00014808964359759109	-799.0	2022-10-03 20:48:47.681528
931.14	9	399.2	40.59	0.0	-779.0	2022-10-03 20:48:48.687549
931.14	9	399.9	40.85	0.00013550803193061988	-778.0	2022-10-03 20:48:49.684887
964.69	9	387.8	40.85	0.0001346488114182192	-806.0	2022-10-03 20:48:50.689561
939.52	9	382.7	40.42	0.00023399879305885686	-784.0	2022-10-03 20:48:51.688821
939.52	9	413.2	39.97	0.0002458845080465705	-784.0	2022-10-03 20:48:52.689392
931.14	9	420.7	40.05	6.146508168709357e-05	-779.0	2022-10-03 20:48:53.692344
947.91	9	436.8	40.38	0.0	-793.0	2022-10-03 20:48:54.695079
956.3	9	446.6	40.46	3.706815598280038e-05	-800.0	2022-10-03 20:48:55.692818
939.52	9	455.2	40.78	0.00011065074935146366	-785.0	2022-10-03 20:48:56.692561
939.52	9	407.9	40.83	0.0006989491238611421	-780.0	2022-10-03 20:48:57.694428
939.52	9	390.2	40.68	0.00023477949262915962	-784.0	2022-10-03 20:48:58.691323
947.91	9	396.3	40.65	0.0002693635673531356	-791.0	2022-10-03 20:48:59.696347
