curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.56	0.0	-0.0	2022-10-03 20:51:12.484140
41.94	1	138.0	38.52	0.0015610365282547611	-40.0	2022-10-03 20:51:13.484349
41.94	1	161.0	38.62	0.0	-41.0	2022-10-03 20:51:14.496370
41.94	1	128.0	38.6	0.0014637002341920376	-41.0	2022-10-03 20:51:15.491561
83.89	3	147.0	38.59	0.000391491582930967	-79.0	2022-10-03 20:51:16.482917
134.22	3	140.0	38.77	0.0006090663882363178	-126.0	2022-10-03 20:51:17.483930
134.22	3	145.7	38.57	0.00027066041140382533	-126.0	2022-10-03 20:51:18.484913
134.22	3	146.3	38.61	0.00025410808063696424	-126.0	2022-10-03 20:51:19.487003
125.83	3	127.3	38.57	0.0007578628268283441	-118.0	2022-10-03 20:51:20.485871
109.05	3	121.3	38.58	0.0004267121826328142	-102.0	2022-10-03 20:51:21.485946
125.83	5	120.0	38.67	0.0002648538889379359	-114.0	2022-10-03 20:51:22.486980
201.33	5	141.8	38.62	0.0005148741418764302	-181.0	2022-10-03 20:51:23.490867
209.72	5	151.4	38.65	0.00016258400173422936	-190.0	2022-10-03 20:51:24.492824
226.49	5	138.0	38.73	0.0007067906268689176	-204.0	2022-10-03 20:51:25.491265
201.33	5	111.6	38.65	0.001088513319965626	-180.0	2022-10-03 20:51:26.492075
167.77	5	114.6	39.04	0.00033400133600534405	-151.0	2022-10-03 20:51:27.493351
176.16	5	117.2	39.07	0.00020807324178110696	-159.0	2022-10-03 20:51:28.495218
251.66	7	144.9	38.81	0.00013782964256179363	-219.0	2022-10-03 20:51:29.494227
318.77	7	191.6	38.66	0.0010634396773010633	-274.0	2022-10-03 20:51:30.495323
360.71	7	158.6	38.69	0.0013070645243560316	-309.0	2022-10-03 20:51:31.500075
436.21	11	155.1	38.82	0.0007024369157616037	-348.0	2022-10-03 20:51:32.494456
637.53	11	225.3	38.93	0.0006598994623760263	-509.0	2022-10-03 20:51:33.500805
872.42	11	329.2	39.58	0.0003224308708212959	-699.0	2022-10-03 20:51:34.498241
947.91	13	290.5	39.67	0.00029461589452750976	-730.0	2022-10-03 20:51:35.502346
973.08	13	319.5	39.82	0.0002822501472609464	-749.0	2022-10-03 20:51:36.503899
931.14	13	345.6	40.57	0.00011072153533862336	-719.0	2022-10-03 20:51:37.501809
964.69	20	217.0	40.33	0.000740228977497039	-642.0	2022-10-03 20:51:38.498625
964.69	20	233.2	41.69	0.0004895181917197997	-644.0	2022-10-03 20:51:39.504160
956.3	20	225.4	41.66	0.0004925259191764967	-639.0	2022-10-03 20:51:40.502144
947.91	22	207.9	41.42	0.00019638648860958367	-611.0	2022-10-03 20:51:41.504943
947.91	22	190.5	41.06	0.0006882566213974068	-607.0	2022-10-03 20:51:42.505990
931.14	22	156.5	40.41	0.0006148548942449582	-597.0	2022-10-03 20:51:43.505992
964.69	22	154.1	40.39	0.0004298909305296256	-620.0	2022-10-03 20:51:44.507911
805.31	19	137.4	38.79	0.0006291946308724832	-548.0	2022-10-03 20:51:45.509797
780.14	19	135.4	38.87	0.0004258037044922291	-532.0	2022-10-03 20:51:46.506919
738.2	19	123.0	38.81	0.0006340852527622338	-502.0	2022-10-03 20:51:47.507941
729.81	21	124.0	38.87	0.000723612272464141	-476.0	2022-10-03 20:51:48.512810
897.58	21	157.1	39.87	0.00040415102211097207	-589.0	2022-10-03 20:51:49.512903
956.3	21	149.8	39.46	0.00070190129051325	-624.0	2022-10-03 20:51:50.512336
830.47	20	129.2	38.93	0.0	-559.0	2022-10-03 20:51:51.515697
713.03	20	118.7	38.9	0.0006232720182826459	-475.0	2022-10-03 20:51:52.515675
713.03	20	118.4	38.86	0.00038641174691710626	-477.0	2022-10-03 20:51:53.515904
763.36	22	168.7	40.55	0.0002817298211015636	-492.0	2022-10-03 20:51:54.515447
922.75	22	159.2	40.44	0.0006150591071802	-591.0	2022-10-03 20:51:55.514641
939.52	22	145.5	39.79	0.0006759164813016922	-601.0	2022-10-03 20:51:56.517141
889.19	20	135.5	39.0	0.00044261612164132473	-594.0	2022-10-03 20:51:57.518818
662.7	20	109.8	38.83	0.0	-446.0	2022-10-03 20:51:58.522506
620.76	20	108.8	38.88	0.00034475875959427335	-416.0	2022-10-03 20:51:59.522730
629.15	20	107.8	38.75	0.00047468643309659867	-420.0	2022-10-03 20:52:00.525614
746.59	22	125.2	39.09	0.0005565803702054576	-479.0	2022-10-03 20:52:01.523348
855.64	22	126.3	38.87	0.000873144567793439	-546.0	2022-10-03 20:52:02.523908
788.53	22	121.7	38.86	0.0004067107269954245	-507.0	2022-10-03 20:52:03.526553
671.09	20	102.0	38.89	0.0	-452.0	2022-10-03 20:52:04.529078
629.15	20	99.2	38.96	0.0006188931190337766	-420.0	2022-10-03 20:52:05.526888
570.43	20	96.0	38.71	0.0006520064015173967	-380.0	2022-10-03 20:52:06.527389
562.04	22	95.5	38.77	0.0003661662394727206	-361.0	2022-10-03 20:52:07.525658
687.87	22	111.5	38.72	0.0002927551705729391	-443.0	2022-10-03 20:52:08.530253
796.92	22	122.0	38.96	0.0007620387467393534	-509.0	2022-10-03 20:52:09.531328
754.97	20	96.6	38.84	0.0006308153288124901	-503.0	2022-10-03 20:52:10.528627
587.2	20	96.6	38.8	0.00011060111707128242	-395.0	2022-10-03 20:52:11.531758
578.81	20	94.4	38.8	0.0005414728060324081	-386.0	2022-10-03 20:52:12.531307
562.04	22	87.5	38.74	0.0005610039893617022	-360.0	2022-10-03 20:52:13.534221
662.7	22	107.2	39.09	0.0005667628982837711	-425.0	2022-10-03 20:52:14.534192
780.14	22	142.6	39.45	0.0005487443862005227	-500.0	2022-10-03 20:52:15.538629
956.3	22	156.3	39.54	0.00027029351418426646	-616.0	2022-10-03 20:52:16.539806
553.65	20	92.8	38.78	0.0	-373.0	2022-10-03 20:52:17.541368
562.04	20	96.8	38.81	0.0003316612080759504	-376.0	2022-10-03 20:52:18.542189
