curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	15	10.0	38.52	0.0	-0.0	2022-10-03 14:45:31.682437
750.0	15	387.5	39.22	0.0	-557.0	2022-10-03 14:45:32.676797
750.0	15	443.5	39.82	0.0	-557.0	2022-10-03 14:45:33.679858
750.0	15	443.5	39.75	0.0	-557.0	2022-10-03 14:45:34.678891
1035.0	23	383.0	43.82	0.0	-656.0	2022-10-03 14:45:35.678819
1010.0	23	383.0	43.88	0.0	-640.0	2022-10-03 14:45:36.679821
975.0	23	383.0	43.78	0.0	-618.0	2022-10-03 14:45:37.680589
950.0	23	383.0	43.91	0.0	-602.0	2022-10-03 14:45:38.683323
950.0	23	383.0	43.79	0.0	-602.0	2022-10-03 14:45:39.682916
960.0	23	383.0	43.78	0.0	-609.0	2022-10-03 14:45:40.683885
955.0	23	383.0	44.21	0.0	-606.0	2022-10-03 14:45:41.702675
955.0	24	378.5	43.89	0.0	-594.0	2022-10-03 14:45:42.685120
940.0	24	378.5	44.39	0.0	-584.0	2022-10-03 14:45:43.686537
965.0	24	378.5	44.31	0.0	-600.0	2022-10-03 14:45:44.687367
940.0	23	378.5	44.19	0.0	-596.0	2022-10-03 14:45:45.687025
925.0	23	383.0	43.88	0.0	-587.0	2022-10-03 14:45:46.689484
930.0	23	383.0	43.9	0.0	-590.0	2022-10-03 14:45:47.690139
960.0	23	383.0	43.95	0.0	-609.0	2022-10-03 14:45:48.690864
920.0	22	387.9	43.93	0.0	-595.0	2022-10-03 14:45:49.691855
930.0	22	387.9	44.31	0.0	-602.0	2022-10-03 14:45:50.693911
935.0	22	387.9	44.23	0.0	-605.0	2022-10-03 14:45:51.695283
935.0	21	387.9	44.34	0.0	-617.0	2022-10-03 14:45:52.697363
930.0	21	394.6	44.02	0.0	-614.0	2022-10-03 14:45:53.698355
925.0	21	394.6	44.0	0.0	-610.0	2022-10-03 14:45:54.699032
940.0	21	394.6	44.1	0.0	-620.0	2022-10-03 14:45:55.700495
988.93	28	326.3	44.71	0.0	-568.0	2022-10-03 14:45:56.701188
966.98	28	326.4	44.48	0.0	-555.0	2022-10-03 14:45:57.702546
954.54	28	326.4	44.76	0.0	-548.0	2022-10-03 14:45:58.705292
679.81	1	314.4	43.12	0.0	-666.0	2022-10-03 14:45:59.712781
50.0	1	904.0	39.83	0.0	-49.0	2022-10-03 14:46:00.710193
50.0	1	904.0	39.82	0.0	-49.0	2022-10-03 14:46:01.712156
50.0	1	904.0	39.89	0.0	-49.0	2022-10-03 14:46:02.710814
620.0	20	277.0	42.14	0.0	-417.0	2022-10-03 14:46:03.707866
945.0	20	284.2	42.23	0.0	-636.0	2022-10-03 14:46:04.708160
940.0	20	285.0	42.11	0.0	-633.0	2022-10-03 14:46:05.708793
955.11	32	186.0	42.01	0.0	-507.0	2022-10-03 14:46:06.709030
1135.5	32	250.7	43.97	0.0	-603.0	2022-10-03 14:46:07.713265
945.67	32	250.7	43.87	0.0	-502.0	2022-10-03 14:46:08.716111
981.47	32	250.7	43.83	0.0	-521.0	2022-10-03 14:46:09.717546
806.49	21	264.4	42.43	0.0	-532.0	2022-10-03 14:46:10.714847
934.81	21	280.5	42.29	0.0	-617.0	2022-10-03 14:46:11.715725
920.02	21	280.5	42.19	0.0	-607.0	2022-10-03 14:46:12.715614
917.61	23	259.8	42.14	0.0	-582.0	2022-10-03 14:46:13.715796
972.8	23	277.0	42.45	0.0	-617.0	2022-10-03 14:46:14.718862
934.81	23	277.0	42.49	0.0	-593.0	2022-10-03 14:46:15.719519
959.81	23	277.0	42.45	0.0	-609.0	2022-10-03 14:46:16.719865
925.92	23	277.0	42.42	0.0	-587.0	2022-10-03 14:46:17.719991
934.53	23	277.0	42.44	0.0	-593.0	2022-10-03 14:46:18.722611
964.81	23	277.0	42.44	0.0	-612.0	2022-10-03 14:46:19.722077
929.81	23	277.0	42.5	0.0	-590.0	2022-10-03 14:46:20.723553
950.12	23	277.0	42.48	0.0	-603.0	2022-10-03 14:46:21.724535
944.81	23	277.0	42.54	0.0	-599.0	2022-10-03 14:46:22.725923
940.33	23	277.0	42.52	0.0	-596.0	2022-10-03 14:46:23.726165
935.12	23	277.0	42.49	0.0	-593.0	2022-10-03 14:46:24.728140
949.81	23	277.0	42.44	0.0	-602.0	2022-10-03 14:46:25.732328
959.81	23	277.0	42.57	0.0	-609.0	2022-10-03 14:46:26.732037
