curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.57	1	10.0	38.56	0.0	-8.0	2022-10-03 15:30:08.807868
49.14	1	404.0	38.81	0.0	-48.0	2022-10-03 15:30:09.810257
50.0	1	449.0	39.33	0.0	-49.0	2022-10-03 15:30:10.807988
50.0	1	449.0	39.3	0.0	-49.0	2022-10-03 15:30:11.807994
130.0	3	377.3	38.85	0.0	-123.0	2022-10-03 15:30:12.807326
150.0	3	442.7	39.37	0.0	-141.0	2022-10-03 15:30:13.814543
150.0	3	442.7	39.16	0.0	-141.0	2022-10-03 15:30:14.812800
150.0	3	442.7	39.21	0.0	-141.0	2022-10-03 15:30:15.811869
150.0	3	442.7	39.41	0.0	-141.0	2022-10-03 15:30:16.812519
150.0	3	442.7	39.45	0.0	-141.0	2022-10-03 15:30:17.813128
190.0	5	371.6	39.15	0.0	-172.0	2022-10-03 15:30:18.818640
250.0	5	440.0	39.4	0.0	-226.0	2022-10-03 15:30:19.814981
250.0	5	440.0	39.54	0.0	-226.0	2022-10-03 15:30:20.817856
250.0	5	440.0	39.41	0.0	-226.0	2022-10-03 15:30:21.816676
250.0	5	440.0	39.45	0.0	-226.0	2022-10-03 15:30:22.819736
250.0	5	440.0	39.37	0.0	-226.0	2022-10-03 15:30:23.820403
255.0	5	440.0	39.21	0.0	-231.0	2022-10-03 15:30:24.825468
340.0	7	410.3	39.37	0.0	-296.0	2022-10-03 15:30:25.822459
350.0	7	441.3	39.46	0.0	-305.0	2022-10-03 15:30:26.822452
350.0	7	441.3	39.46	0.0	-305.0	2022-10-03 15:30:27.820322
500.0	11	409.3	39.7	0.0	-402.0	2022-10-03 15:30:28.821085
550.0	11	441.8	39.6	0.0	-442.0	2022-10-03 15:30:29.821809
550.0	11	441.8	39.6	0.0	-442.0	2022-10-03 15:30:30.824174
605.0	13	419.5	39.82	0.0	-468.0	2022-10-03 15:30:31.823701
650.0	13	440.2	39.74	0.0	-502.0	2022-10-03 15:30:32.823607
650.0	13	441.9	39.58	0.0	-502.0	2022-10-03 15:30:33.825248
680.0	15	417.0	39.93	0.0	-505.0	2022-10-03 15:30:34.828174
750.0	15	442.3	40.08	0.0	-557.0	2022-10-03 15:30:35.826236
750.0	15	442.3	40.32	0.0	-557.0	2022-10-03 15:30:36.826826
754.98	17	395.5	40.27	0.0	-539.0	2022-10-03 15:30:37.828698
860.02	17	436.1	40.46	0.0	-614.0	2022-10-03 15:30:38.829929
855.0	17	442.0	40.31	0.0	-611.0	2022-10-03 15:30:39.830785
850.0	17	442.0	40.38	0.0	-607.0	2022-10-03 15:30:40.830723
1099.76	24	377.7	45.15	0.0	-684.0	2022-10-03 15:30:41.832101
1015.12	24	377.7	44.79	0.0	-631.0	2022-10-03 15:30:42.833152
960.12	24	377.7	44.52	0.0	-597.0	2022-10-03 15:30:43.834587
978.72	26	360.8	44.76	0.0	-585.0	2022-10-03 15:30:44.835205
965.45	26	360.8	44.58	0.0	-577.0	2022-10-03 15:30:45.838930
950.66	26	360.8	44.68	0.0	-568.0	2022-10-03 15:30:46.837285
925.12	22	360.8	44.53	0.0	-598.0	2022-10-03 15:30:47.838397
900.06	22	391.1	45.17	0.0	-582.0	2022-10-03 15:30:48.839662
929.65	22	391.1	44.85	0.0	-601.0	2022-10-03 15:30:49.840459
964.98	24	374.1	44.9	0.0	-600.0	2022-10-03 15:30:50.841393
933.8	24	374.4	44.7	0.0	-581.0	2022-10-03 15:30:51.841958
945.54	24	374.4	44.68	0.0	-588.0	2022-10-03 15:30:52.842904
941.03	20	374.4	44.86	0.0	-633.0	2022-10-03 15:30:53.845564
889.83	20	407.8	43.49	0.0	-599.0	2022-10-03 15:30:54.845586
904.81	20	407.8	43.64	0.0	-609.0	2022-10-03 15:30:55.847096
920.33	20	407.8	43.49	0.0	-619.0	2022-10-03 15:30:56.847884
964.6	22	390.6	44.04	0.0	-624.0	2022-10-03 15:30:57.847674
940.33	22	390.6	44.24	0.0	-608.0	2022-10-03 15:30:58.849907
944.81	22	390.6	44.0	0.0	-611.0	2022-10-03 15:30:59.850661
925.12	21	398.8	43.72	0.0	-610.0	2022-10-03 15:31:00.851689
944.81	21	398.8	43.65	0.0	-623.0	2022-10-03 15:31:01.851677
945.33	21	398.8	43.4	0.0	-624.0	2022-10-03 15:31:02.854529
944.81	23	381.2	44.12	0.0	-599.0	2022-10-03 15:31:03.854984
954.02	23	381.2	44.54	0.0	-605.0	2022-10-03 15:31:04.855701
949.93	23	381.2	44.12	0.0	-602.0	2022-10-03 15:31:05.856546
931.29	20	381.2	44.45	0.0	-627.0	2022-10-03 15:31:06.858344
914.83	20	407.8	42.92	0.0	-616.0	2022-10-03 15:31:07.860016
934.81	20	407.8	42.88	0.0	-629.0	2022-10-03 15:31:08.861265
954.24	22	374.3	43.06	0.0	-617.0	2022-10-03 15:31:09.860729
961.11	22	390.6	43.89	0.0	-622.0	2022-10-03 15:31:10.862332
949.6	22	390.6	43.78	0.0	-614.0	2022-10-03 15:31:11.862961
935.33	22	390.6	43.9	0.0	-605.0	2022-10-03 15:31:12.864184
885.08	18	429.9	41.97	0.0	-620.0	2022-10-03 15:31:13.870855
925.0	18	429.9	42.06	0.0	-648.0	2022-10-03 15:31:14.867410
910.0	18	435.4	41.75	0.0	-637.0	2022-10-03 15:31:15.868455
965.0	20	413.8	42.72	0.0	-649.0	2022-10-03 15:31:16.868370
980.0	20	413.8	42.95	0.0	-660.0	2022-10-03 15:31:17.869980
970.0	20	413.8	42.67	0.0	-653.0	2022-10-03 15:31:18.870879
935.0	19	424.1	42.59	0.0	-642.0	2022-10-03 15:31:19.872136
925.0	19	424.1	42.44	0.0	-635.0	2022-10-03 15:31:20.873944
945.0	19	424.1	42.28	0.0	-649.0	2022-10-03 15:31:21.874642
965.0	21	404.5	42.86	0.0	-637.0	2022-10-03 15:31:22.875160
955.0	21	404.5	43.07	0.0	-630.0	2022-10-03 15:31:23.875618
955.0	21	404.5	43.18	0.0	-630.0	2022-10-03 15:31:24.876950
945.0	18	404.5	43.15	0.0	-662.0	2022-10-03 15:31:25.878100
895.0	18	435.4	42.24	0.0	-627.0	2022-10-03 15:31:26.879897
910.0	18	435.4	42.18	0.0	-637.0	2022-10-03 15:31:27.879091
915.0	18	435.4	42.03	0.0	-641.0	2022-10-03 15:31:28.880798
980.0	20	413.8	42.42	0.0	-660.0	2022-10-03 15:31:29.881273
960.0	20	413.8	42.56	0.0	-646.0	2022-10-03 15:31:30.881719
950.0	20	413.8	42.59	0.0	-639.0	2022-10-03 15:31:31.883105
930.0	19	424.1	42.53	0.0	-638.0	2022-10-03 15:31:32.884227
945.0	19	424.1	42.39	0.0	-649.0	2022-10-03 15:31:33.885376
940.0	19	424.1	42.41	0.0	-645.0	2022-10-03 15:31:34.886394
970.0	21	404.5	42.68	0.0	-640.0	2022-10-03 15:31:35.887541
950.0	21	404.5	42.95	0.0	-627.0	2022-10-03 15:31:36.888596
945.0	21	404.5	43.0	0.0	-623.0	2022-10-03 15:31:37.889961
925.0	18	404.5	43.1	0.0	-648.0	2022-10-03 15:31:38.892000
905.0	18	435.4	42.55	0.0	-634.0	2022-10-03 15:31:39.891325
910.0	18	435.4	42.18	0.0	-637.0	2022-10-03 15:31:40.893439
904.22	20	395.9	42.01	0.0	-609.0	2022-10-03 15:31:41.892883
957.58	20	406.0	42.68	0.0	-644.0	2022-10-03 15:31:42.894139
941.56	20	406.0	42.79	0.0	-634.0	2022-10-03 15:31:43.895511
943.93	20	406.0	42.73	0.0	-635.0	2022-10-03 15:31:44.896515
814.38	16	445.2	39.82	0.0	-593.0	2022-10-03 15:31:45.898320
800.0	16	445.2	39.61	0.0	-583.0	2022-10-03 15:31:46.899415
727.27	16	445.2	40.03	0.0	-530.0	2022-10-03 15:31:47.900170
870.0	18	425.0	40.34	0.0	-609.0	2022-10-03 15:31:48.900699
900.0	18	445.1	40.38	0.0	-630.0	2022-10-03 15:31:49.901373
900.0	18	445.1	40.57	0.0	-630.0	2022-10-03 15:31:50.902924
875.0	17	445.5	40.01	0.0	-625.0	2022-10-03 15:31:51.903269
850.0	17	445.5	40.22	0.0	-607.0	2022-10-03 15:31:52.905961
850.0	17	445.5	40.38	0.0	-607.0	2022-10-03 15:31:53.905872
880.0	19	423.9	41.0	0.0	-604.0	2022-10-03 15:31:54.906781
955.0	19	432.2	41.68	0.0	-656.0	2022-10-03 15:31:55.907545
945.0	19	432.2	42.11	0.0	-649.0	2022-10-03 15:31:56.909429
950.0	19	432.2	42.02	0.0	-652.0	2022-10-03 15:31:57.909225
940.0	19	432.2	42.12	0.0	-645.0	2022-10-03 15:31:58.910475
940.0	19	432.2	41.97	0.0	-645.0	2022-10-03 15:31:59.911341
940.0	19	432.2	42.15	0.0	-645.0	2022-10-03 15:32:00.912771
998.99	21	408.9	44.46	0.0	-659.0	2022-10-03 15:32:01.913984
974.81	21	408.9	44.27	0.0	-643.0	2022-10-03 15:32:02.914474
964.81	21	408.9	44.44	0.0	-637.0	2022-10-03 15:32:03.914862
964.46	22	398.2	44.52	0.0	-624.0	2022-10-03 15:32:04.914985
940.14	22	398.5	44.43	0.0	-608.0	2022-10-03 15:32:05.917323
944.62	22	398.5	44.45	0.0	-611.0	2022-10-03 15:32:06.918908
961.34	24	375.4	44.55	0.0	-598.0	2022-10-03 15:32:07.919262
962.5	24	377.2	44.62	0.0	-598.0	2022-10-03 15:32:08.917953
960.02	24	377.2	44.56	0.0	-597.0	2022-10-03 15:32:09.923788
943.32	21	377.2	44.53	0.0	-622.0	2022-10-03 15:32:10.923103
918.74	21	408.9	44.72	0.0	-606.0	2022-10-03 15:32:11.923440
930.33	21	408.9	44.75	0.0	-614.0	2022-10-03 15:32:12.924106
937.5	23	375.9	44.86	0.0	-595.0	2022-10-03 15:32:13.925600
961.98	23	388.8	44.72	0.0	-610.0	2022-10-03 15:32:14.926873
950.0	23	389.2	44.7	0.0	-602.0	2022-10-03 15:32:15.927429
950.07	23	389.2	44.48	0.0	-602.0	2022-10-03 15:32:16.928682
888.88	19	432.2	44.58	0.0	-610.0	2022-10-03 15:32:17.932655
920.0	19	432.2	44.4	0.0	-632.0	2022-10-03 15:32:18.932231
925.0	19	432.2	43.89	0.0	-635.0	2022-10-03 15:32:19.932078
964.13	21	409.7	44.35	0.0	-636.0	2022-10-03 15:32:20.933261
935.33	21	410.1	44.97	0.0	-617.0	2022-10-03 15:32:21.933508
954.81	21	410.1	44.71	0.0	-630.0	2022-10-03 15:32:22.933992
925.12	20	419.7	44.43	0.0	-623.0	2022-10-03 15:32:23.936408
940.62	20	421.6	44.0	0.0	-633.0	2022-10-03 15:32:24.936382
935.0	20	421.6	43.73	0.0	-629.0	2022-10-03 15:32:25.938055
978.57	22	398.4	44.22	0.0	-633.0	2022-10-03 15:32:26.938542
950.98	22	401.5	44.96	0.0	-615.0	2022-10-03 15:32:27.939859
945.12	22	401.5	45.08	0.0	-611.0	2022-10-03 15:32:28.939853
944.81	19	401.5	45.0	0.0	-649.0	2022-10-03 15:32:29.941081
900.53	19	432.2	43.56	0.0	-618.0	2022-10-03 15:32:30.942984
935.0	19	432.2	42.91	0.0	-642.0	2022-10-03 15:32:31.944329
935.0	19	432.2	43.02	0.0	-642.0	2022-10-03 15:32:32.944590
975.0	21	411.9	44.05	0.0	-643.0	2022-10-03 15:32:33.946076
945.0	21	411.9	44.37	0.0	-623.0	2022-10-03 15:32:34.946638
935.0	21	411.9	44.25	0.0	-617.0	2022-10-03 15:32:35.947062
890.0	17	445.5	42.25	0.0	-636.0	2022-10-03 15:32:36.949442
865.0	17	445.6	40.88	0.0	-618.0	2022-10-03 15:32:37.950548
