curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.6	0.0	-0.0	2022-10-03 15:12:59.801761
50.0	1	633.0	39.51	0.0	-49.0	2022-10-03 15:13:00.799518
50.0	1	633.0	39.59	0.0	-49.0	2022-10-03 15:13:01.801173
50.0	1	633.0	39.6	0.0	-49.0	2022-10-03 15:13:02.798068
90.0	2	633.0	39.62	0.0	-87.0	2022-10-03 15:13:03.799918
100.0	2	633.0	39.59	0.0	-96.0	2022-10-03 15:13:04.798650
100.0	2	633.0	39.62	0.0	-96.0	2022-10-03 15:13:05.803167
160.0	4	633.2	39.5	0.0	-148.0	2022-10-03 15:13:06.799971
200.0	4	633.2	39.35	0.0	-185.0	2022-10-03 15:13:07.799443
200.0	4	633.2	39.54	0.0	-185.0	2022-10-03 15:13:08.804885
280.0	8	629.4	39.94	0.0	-239.0	2022-10-03 15:13:09.806547
400.0	8	629.4	39.85	0.0	-341.0	2022-10-03 15:13:10.806532
400.0	8	629.4	40.01	0.0	-341.0	2022-10-03 15:13:11.805912
429.0	14	399.2	39.7	0.0	-325.0	2022-10-03 15:13:12.803561
706.0	14	591.1	40.01	0.0	-535.0	2022-10-03 15:13:13.804872
700.0	14	591.1	39.97	0.0	-531.0	2022-10-03 15:13:14.804322
700.0	14	591.1	40.03	0.0	-531.0	2022-10-03 15:13:15.806546
1060.0	22	516.4	45.58	0.0	-686.0	2022-10-03 15:13:16.806565
1005.0	22	516.4	45.56	0.0	-650.0	2022-10-03 15:13:17.807091
985.0	22	516.4	45.47	0.0	-637.0	2022-10-03 15:13:18.808457
1019.52	32	375.3	46.64	0.0	-541.0	2022-10-03 15:13:19.809819
946.34	32	375.6	46.37	0.0	-502.0	2022-10-03 15:13:20.814600
942.41	32	375.6	46.47	0.0	-500.0	2022-10-03 15:13:21.815599
966.49	31	385.5	46.7	0.0	-523.0	2022-10-03 15:13:22.816213
934.11	31	387.3	46.44	0.0	-506.0	2022-10-03 15:13:23.818222
957.38	31	393.3	46.51	0.0	-518.0	2022-10-03 15:13:24.817184
953.17	29	393.3	46.3	0.0	-537.0	2022-10-03 15:13:25.819955
939.43	29	415.8	46.68	0.0	-529.0	2022-10-03 15:13:26.817806
945.33	29	415.8	46.26	0.0	-532.0	2022-10-03 15:13:27.819577
943.43	26	415.8	46.26	0.0	-564.0	2022-10-03 15:13:28.818783
914.62	26	447.4	46.02	0.0	-547.0	2022-10-03 15:13:29.820387
972.7	26	467.3	46.47	0.0	-581.0	2022-10-03 15:13:30.820033
945.43	26	467.3	46.24	0.0	-565.0	2022-10-03 15:13:31.820557
888.33	22	516.4	45.68	0.0	-575.0	2022-10-03 15:13:32.823976
940.0	22	516.4	45.74	0.0	-608.0	2022-10-03 15:13:33.825322
935.0	22	516.4	45.97	0.0	-605.0	2022-10-03 15:13:34.824727
835.0	17	544.3	44.73	0.0	-596.0	2022-10-03 15:13:35.825451
860.0	17	558.1	43.86	0.0	-614.0	2022-10-03 15:13:36.827151
865.0	17	567.4	41.77	0.0	-618.0	2022-10-03 15:13:37.827588
675.0	11	606.0	39.79	0.0	-543.0	2022-10-03 15:13:38.832656
555.0	11	606.0	39.78	0.0	-446.0	2022-10-03 15:13:39.832168
550.0	11	606.0	39.76	0.0	-442.0	2022-10-03 15:13:40.833443
570.0	12	598.1	40.01	0.0	-449.0	2022-10-03 15:13:41.834285
600.0	12	598.1	39.79	0.0	-473.0	2022-10-03 15:13:42.834953
600.0	12	598.1	39.77	0.0	-473.0	2022-10-03 15:13:43.835076
590.0	11	606.0	39.74	0.0	-475.0	2022-10-03 15:13:44.838750
550.0	11	606.0	39.84	0.0	-442.0	2022-10-03 15:13:45.838143
550.0	11	606.0	39.87	0.0	-442.0	2022-10-03 15:13:46.838722
550.0	11	606.0	39.78	0.0	-442.0	2022-10-03 15:13:47.840848
600.0	12	598.6	39.8	0.0	-473.0	2022-10-03 15:13:48.839763
600.0	12	598.6	39.81	0.0	-473.0	2022-10-03 15:13:49.843886
600.0	12	598.6	39.65	0.0	-473.0	2022-10-03 15:13:50.842629
675.0	14	586.5	39.84	0.0	-512.0	2022-10-03 15:13:51.842534
700.0	14	586.5	39.84	0.0	-531.0	2022-10-03 15:13:52.843060
700.0	14	586.5	39.86	0.0	-531.0	2022-10-03 15:13:53.843943
780.0	17	567.6	40.39	0.0	-557.0	2022-10-03 15:13:54.844126
850.0	17	567.6	40.27	0.0	-607.0	2022-10-03 15:13:55.844603
855.0	17	567.6	40.47	0.0	-611.0	2022-10-03 15:13:56.850215
910.0	21	539.7	43.47	0.0	-600.0	2022-10-03 15:13:57.848553
1035.0	21	539.7	46.57	0.0	-683.0	2022-10-03 15:13:58.847885
1000.0	21	539.7	46.68	0.0	-660.0	2022-10-03 15:13:59.848716
