curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	22	10.0	38.56	0.0	-0.0	2022-10-04 06:33:18.607630
699.13	22	141.5	39.21	0.00019039962766295035	-451.0	2022-10-04 06:33:19.607028
933.97	22	206.3	40.96	0.00022086160566387318	-602.0	2022-10-04 06:33:20.606125
918.81	22	225.1	41.04	9.810894998896274e-05	-593.0	2022-10-04 06:33:21.609567
462.33	8	336.8	39.23	0.0	-395.0	2022-10-04 06:33:22.612317
368.21	8	359.0	39.22	0.0003761519653940192	-313.0	2022-10-04 06:33:23.616398
374.01	8	363.6	39.15	0.0	-319.0	2022-10-04 06:33:24.614609
640.97	23	203.8	40.92	4.0181620926588175e-05	-406.0	2022-10-04 06:33:25.609306
977.67	23	251.0	42.22	0.00018657876733627713	-618.0	2022-10-04 06:33:26.611644
941.77	23	250.4	42.03	0.00015973066951724478	-596.0	2022-10-04 06:33:27.612448
935.31	23	251.5	42.66	8.416395137728294e-05	-592.0	2022-10-04 06:33:28.634933
1011.24	32	193.0	42.69	0.0002509693691884905	-534.0	2022-10-04 06:33:29.616261
940.76	32	193.0	42.6	0.0	-499.0	2022-10-04 06:33:30.617955
950.96	32	193.0	42.56	0.0	-505.0	2022-10-04 06:33:31.618847
931.96	22	191.0	42.38	0.0	-603.0	2022-10-04 06:33:32.619524
897.93	22	249.6	41.98	0.0	-581.0	2022-10-04 06:33:33.618238
910.17	22	255.7	41.96	4.915031394763034e-05	-588.0	2022-10-04 06:33:34.619365
939.01	22	263.1	42.17	4.9182343538669616e-05	-607.0	2022-10-04 06:33:35.620088
915.8	20	307.5	42.5	0.0	-616.0	2022-10-04 06:33:36.622055
904.26	20	334.2	41.6	0.00029511583296443856	-606.0	2022-10-04 06:33:37.622150
938.92	20	360.8	40.96	0.0	-632.0	2022-10-04 06:33:38.623624
949.37	20	358.0	40.64	0.0001560717930247914	-637.0	2022-10-04 06:33:39.648114
928.0	19	377.2	39.75	0.0	-637.0	2022-10-04 06:33:40.626455
930.75	19	371.9	39.68	0.0002491063310374033	-637.0	2022-10-04 06:33:41.626125
936.01	19	353.0	39.63	0.00023788358728449625	-640.0	2022-10-04 06:33:42.627577
935.39	19	364.4	39.92	0.0	-642.0	2022-10-04 06:33:43.656697
