curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.56	0.0	-8.0	2022-10-04 05:45:09.788298
49.17	1	439.0	39.4	0.0	-48.0	2022-10-04 05:45:10.794903
50.0	1	439.0	39.35	0.0	-49.0	2022-10-04 05:45:11.808066
50.0	1	439.0	39.31	0.0	-49.0	2022-10-04 05:45:12.795805
130.0	3	410.7	39.01	0.0	-123.0	2022-10-04 05:45:13.799463
150.0	3	439.0	39.2	0.0	-141.0	2022-10-04 05:45:14.796553
150.0	3	400.3	39.23	0.0009250693802035153	-140.0	2022-10-04 05:45:15.804587
150.0	3	363.0	39.13	0.0010188886276353945	-140.0	2022-10-04 05:45:16.797746
150.0	3	337.0	39.18	0.0009858193675589596	-140.0	2022-10-04 05:45:17.808360
150.0	3	249.0	39.23	0.0015408320493066256	-139.0	2022-10-04 05:45:18.808960
185.0	5	298.8	39.23	0.0005103017158895197	-167.0	2022-10-04 05:45:19.806369
250.0	5	347.8	39.11	0.0	-226.0	2022-10-04 05:45:20.804069
250.0	5	353.8	39.15	0.0	-226.0	2022-10-04 05:45:21.808228
250.0	5	271.0	39.04	0.0020843202273803886	-221.0	2022-10-04 05:45:22.807463
249.5	5	273.0	39.03	0.00018881283927307056	-226.0	2022-10-04 05:45:23.802877
230.5	5	275.0	38.96	0.0001469363765489543	-208.0	2022-10-04 05:45:24.813600
223.72	5	278.8	39.08	5.2725930612675314e-05	-203.0	2022-10-04 05:45:25.807942
281.28	7	276.4	39.02	8.186320658180181e-05	-245.0	2022-10-04 05:45:26.807838
292.15	7	271.9	39.16	0.00020052939760968958	-254.0	2022-10-04 05:45:27.805151
300.04	7	280.0	39.03	7.778771731943526e-05	-261.0	2022-10-04 05:45:28.808542
323.57	8	272.9	39.17	0.0007474107555966829	-274.0	2022-10-04 05:45:29.808026
344.23	8	288.4	39.76	0.0	-294.0	2022-10-04 05:45:30.806987
350.64	8	284.4	39.0	0.0001999000499750125	-299.0	2022-10-04 05:45:31.810699
378.03	10	284.0	39.18	0.00046000981354268894	-308.0	2022-10-04 05:45:32.811004
421.91	10	283.1	39.22	0.00036261192156425204	-345.0	2022-10-04 05:45:33.810633
424.93	10	266.0	39.39	0.0006522270837296519	-346.0	2022-10-04 05:45:34.813144
440.41	12	270.2	39.27	0.00032384293617595465	-346.0	2022-10-04 05:45:35.811471
519.8	12	267.8	39.41	0.0005419687013074995	-407.0	2022-10-04 05:45:36.811958
520.2	12	237.8	39.09	0.001106494444946256	-404.0	2022-10-04 05:45:37.811888
503.52	14	209.7	39.11	0.000319022878497858	-380.0	2022-10-04 05:45:38.813952
619.71	14	251.6	39.19	0.0006784004824181209	-465.0	2022-10-04 05:45:39.819021
583.46	14	250.6	39.22	0.0003168693310096249	-440.0	2022-10-04 05:45:40.818850
558.56	14	253.4	39.21	0.00020704791088657916	-422.0	2022-10-04 05:45:41.816704
689.45	17	271.7	39.15	0.0005582150650405128	-489.0	2022-10-04 05:45:42.816179
705.62	17	264.1	39.37	0.0003254837502237701	-502.0	2022-10-04 05:45:43.817172
709.57	17	249.3	39.29	0.0005599011939069576	-503.0	2022-10-04 05:45:44.817960
770.15	19	263.8	39.47	0.00024268531298821458	-527.0	2022-10-04 05:45:45.819277
818.37	19	260.4	39.48	0.0004840960218697497	-558.0	2022-10-04 05:45:46.820505
815.58	19	249.4	39.39	0.00047033336658922797	-556.0	2022-10-04 05:45:47.821948
898.37	23	258.0	41.46	0.00021498441363001182	-568.0	2022-10-04 05:45:48.822132
961.31	23	230.2	41.01	0.00070043500700435	-603.0	2022-10-04 05:45:49.822638
957.36	23	216.7	39.59	0.0007279097885360377	-600.0	2022-10-04 05:45:50.823449
919.97	25	222.0	39.86	0.0004209828034903301	-557.0	2022-10-04 05:45:51.824093
922.19	25	214.2	39.81	0.0005314547027561488	-557.0	2022-10-04 05:45:52.825407
967.18	25	200.9	40.67	0.0006517942789679514	-583.0	2022-10-04 05:45:53.826380
920.89	22	193.0	40.78	0.0006506979656480584	-590.0	2022-10-04 05:45:54.827813
804.54	22	174.7	39.25	0.00014009526478005044	-519.0	2022-10-04 05:45:55.828662
776.59	22	154.5	39.19	0.0008268190018039688	-496.0	2022-10-04 05:45:56.832128
749.09	22	146.1	38.99	0.0007608178792201616	-479.0	2022-10-04 05:45:57.830735
813.08	24	153.4	39.29	0.00034594594594594593	-503.0	2022-10-04 05:45:58.833391
800.75	24	145.2	39.15	0.0007697887522020399	-492.0	2022-10-04 05:45:59.833241
770.74	24	151.6	39.17	0.00016875306823760432	-478.0	2022-10-04 05:46:00.833234
691.34	20	141.8	39.0	0.0	-465.0	2022-10-04 05:46:01.838293
651.44	20	147.0	39.08	0.0	-438.0	2022-10-04 05:46:02.839161
690.82	20	150.0	39.19	0.00020207463289775024	-464.0	2022-10-04 05:46:03.838251
682.51	22	137.8	39.13	0.0004926024698068659	-438.0	2022-10-04 05:46:04.838872
755.38	22	153.5	39.24	0.0004013212731145618	-486.0	2022-10-04 05:46:05.840697
741.44	22	169.1	39.29	0.0004427548512191026	-476.0	2022-10-04 05:46:06.840559
737.09	21	135.2	39.07	0.001297756454372063	-477.0	2022-10-04 05:46:07.842443
673.21	21	135.2	39.1	0.00042492436346330353	-441.0	2022-10-04 05:46:08.842622
686.17	21	138.5	39.05	0.0002919256791565065	-451.0	2022-10-04 05:46:09.844633
690.59	23	124.0	39.04	0.0005011191661377075	-434.0	2022-10-04 05:46:10.844022
821.55	23	151.6	39.01	0.0005396500795273801	-517.0	2022-10-04 05:46:11.844856
799.45	23	153.5	39.17	0.00048215303245036014	-503.0	2022-10-04 05:46:12.844676
774.76	23	137.4	39.01	0.0006146281499692685	-487.0	2022-10-04 05:46:13.847504
849.97	25	157.5	39.2	0.0004373078237102836	-514.0	2022-10-04 05:46:14.846572
837.06	25	164.0	39.3	0.0003809471979973062	-507.0	2022-10-04 05:46:15.847844
836.89	25	163.7	39.13	0.0003625765245645595	-507.0	2022-10-04 05:46:16.848899
892.5	27	175.2	40.2	0.0003508179254966672	-520.0	2022-10-04 05:46:17.850654
922.5	27	166.6	39.67	0.0006577449467479572	-534.0	2022-10-04 05:46:18.851541
922.59	27	153.0	39.71	0.0005523613447488011	-535.0	2022-10-04 05:46:19.853032
919.6	28	164.6	40.26	0.00043709568648999677	-524.0	2022-10-04 05:46:20.853480
939.99	28	161.0	39.73	0.0005543715274783487	-535.0	2022-10-04 05:46:21.853973
918.87	28	156.5	39.27	0.0005121223097965251	-523.0	2022-10-04 05:46:22.856751
973.56	30	160.9	40.52	0.00033717125802342716	-534.0	2022-10-04 05:46:23.856342
930.96	30	164.0	40.74	0.00033138186236606647	-511.0	2022-10-04 05:46:24.857865
954.94	30	157.3	40.55	0.0005769915415495292	-522.0	2022-10-04 05:46:25.859099
939.42	27	151.8	40.02	0.0007002801120448179	-544.0	2022-10-04 05:46:26.861330
849.73	27	135.4	39.19	0.0	-498.0	2022-10-04 05:46:27.863549
858.7	27	138.3	39.35	0.00034783539358912614	-500.0	2022-10-04 05:46:28.866377
856.52	27	138.2	39.24	0.0004039316009155783	-498.0	2022-10-04 05:46:29.868007
924.49	29	145.9	39.53	0.000249996875039062	-518.0	2022-10-04 05:46:30.868016
914.29	29	150.6	39.55	0.00032921393841166936	-512.0	2022-10-04 05:46:31.870106
955.88	29	152.8	39.84	0.0002460932693490833	-536.0	2022-10-04 05:46:32.870464
922.16	28	142.0	39.82	0.0008431139006731529	-522.0	2022-10-04 05:46:33.867585
925.39	28	129.1	39.67	0.0005478019446969037	-526.0	2022-10-04 05:46:34.873104
924.21	28	137.0	39.56	0.0004901775951133065	-526.0	2022-10-04 05:46:35.873985
931.7	30	127.2	39.96	0.0005855397148676171	-509.0	2022-10-04 05:46:36.875869
918.13	30	123.6	39.68	0.0005022286395881725	-502.0	2022-10-04 05:46:37.876786
894.57	30	127.6	39.95	0.00026844608068722197	-491.0	2022-10-04 05:46:38.877588
878.54	27	115.8	39.7	0.0011113812384954676	-505.0	2022-10-04 05:46:39.874892
785.15	27	111.8	39.17	0.0006734978592389475	-455.0	2022-10-04 05:46:40.876186
746.69	27	113.1	39.39	0.0003859632871721242	-435.0	2022-10-04 05:46:41.876144
786.74	29	104.0	39.05	0.0006191108963517758	-438.0	2022-10-04 05:46:42.881534
829.07	29	113.2	39.76	0.00042635712222695955	-463.0	2022-10-04 05:46:43.883358
903.11	29	123.2	40.5	0.0004115173415979733	-505.0	2022-10-04 05:46:44.883682
886.83	29	124.6	40.61	0.00039489791888796746	-496.0	2022-10-04 05:46:45.884450
828.01	28	117.6	39.95	0.0005583283986126385	-471.0	2022-10-04 05:46:46.880423
837.26	28	116.0	40.1	0.00047504610741630807	-477.0	2022-10-04 05:46:47.886763
746.65	28	118.5	40.14	0.00030703101013202335	-427.0	2022-10-04 05:46:48.887743
870.1	30	120.9	40.82	0.0005643492515653973	-475.0	2022-10-04 05:46:49.889042
857.47	30	127.4	40.6	0.0004741958428831107	-469.0	2022-10-04 05:46:50.890042
902.23	30	125.7	39.89	0.0004567282597348366	-494.0	2022-10-04 05:46:51.891067
921.84	30	114.5	40.56	0.0004261198558940124	-505.0	2022-10-04 05:46:52.892104
847.97	30	112.1	39.91	0.000528598536188669	-464.0	2022-10-04 05:46:53.893081
834.53	30	111.9	39.72	0.0004664499046521518	-457.0	2022-10-04 05:46:54.895587
856.3	32	111.9	40.33	0.0005618285463714098	-450.0	2022-10-04 05:46:55.894730
915.29	32	120.7	40.83	0.00038728215378849395	-482.0	2022-10-04 05:46:56.896724
930.88	32	122.1	40.62	0.0003995305516018678	-490.0	2022-10-04 05:46:57.897699
926.8	29	118.0	40.89	0.0003477440107303866	-519.0	2022-10-04 05:46:58.898884
860.41	29	110.2	39.27	0.0009138381201044386	-477.0	2022-10-04 05:46:59.899597
836.42	29	108.2	39.07	0.00047224845824768045	-467.0	2022-10-04 05:47:00.900401
790.42	29	103.5	38.86	0.0006622516556291391	-440.0	2022-10-04 05:47:01.901430
929.14	31	123.3	40.19	0.00019173004409791015	-501.0	2022-10-04 05:47:02.902449
918.91	31	128.3	40.35	0.00033178500331785003	-494.0	2022-10-04 05:47:03.902888
931.01	31	128.4	39.96	0.0004679284315777808	-500.0	2022-10-04 05:47:04.903746
937.05	30	123.3	39.81	0.0006464610018642131	-511.0	2022-10-04 05:47:05.904753
922.63	30	121.8	39.74	0.0004474106110883263	-505.0	2022-10-04 05:47:06.905789
919.27	30	116.3	39.44	0.0005467399043840911	-502.0	2022-10-04 05:47:07.906845
889.66	32	119.1	39.89	0.0005315261444422297	-467.0	2022-10-04 05:47:08.907543
924.09	32	122.2	39.69	0.0005236738916633671	-486.0	2022-10-04 05:47:09.909379
874.8	32	123.8	39.69	0.00047972824043460784	-460.0	2022-10-04 05:47:10.910543
908.86	28	108.0	38.99	0.0	-522.0	2022-10-04 05:47:11.911859
798.22	28	104.5	38.87	0.00039984006397441024	-455.0	2022-10-04 05:47:12.912359
845.25	28	107.3	38.8	0.0003720853315693732	-482.0	2022-10-04 05:47:13.913346
847.18	30	103.6	38.89	0.00037450066577896136	-465.0	2022-10-04 05:47:14.914130
893.37	30	110.0	39.17	0.000444973759635645	-489.0	2022-10-04 05:47:15.915303
854.62	30	108.0	39.11	0.0006779931403046981	-466.0	2022-10-04 05:47:16.916181
843.23	30	108.3	39.19	0.0005092210294522433	-461.0	2022-10-04 05:47:17.917334
