curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.62	0.0	-8.0	2022-10-04 05:17:40.785473
21.73	1	72.0	38.52	0.0012033694344163659	-21.0	2022-10-04 05:17:41.792203
25.02	1	86.0	38.51	0.0	-25.0	2022-10-04 05:17:42.795379
19.81	1	71.0	38.58	0.0011695906432748538	-19.0	2022-10-04 05:17:43.789717
42.32	2	91.0	38.61	0.0	-41.0	2022-10-04 05:17:44.788827
77.72	2	208.5	38.63	0.0	-75.0	2022-10-04 05:17:45.791285
82.56	2	273.0	38.79	0.0	-79.0	2022-10-04 05:17:46.790853
128.41	6	131.8	38.78	0.0003960788196851173	-114.0	2022-10-04 05:17:47.793332
155.94	6	129.8	38.76	0.0008361204013377926	-137.0	2022-10-04 05:17:48.790541
156.42	6	135.3	38.73	0.00022060445621001543	-139.0	2022-10-04 05:17:49.791596
199.05	10	106.9	38.73	0.00018232648596086057	-163.0	2022-10-04 05:17:50.795046
327.23	10	148.5	38.81	0.0007740508661997789	-266.0	2022-10-04 05:17:51.792859
367.87	10	206.4	39.09	0.0005413696652530903	-300.0	2022-10-04 05:17:52.795548
392.71	19	132.2	38.88	0.00022020195665167197	-269.0	2022-10-04 05:17:53.795065
641.6	19	184.3	39.05	0.00011556462951905854	-440.0	2022-10-04 05:17:54.795585
799.29	19	262.4	39.79	0.00024782465029188236	-547.0	2022-10-04 05:17:55.795907
806.81	19	276.3	40.0	0.00020218066286374468	-552.0	2022-10-04 05:17:56.794954
938.02	27	197.5	41.33	0.000471403636178318	-545.0	2022-10-04 05:17:57.796060
992.68	27	210.3	42.06	0.0003437945091105545	-578.0	2022-10-04 05:17:58.796903
932.46	27	208.8	42.26	0.00034368057345558544	-543.0	2022-10-04 05:17:59.798619
975.6	32	174.1	42.51	0.00033178500331785003	-514.0	2022-10-04 05:18:00.798746
947.84	32	172.8	42.38	0.00014734954996991614	-502.0	2022-10-04 05:18:01.800837
959.5	32	161.0	42.19	0.00047890367896262097	-505.0	2022-10-04 05:18:02.802861
924.85	31	172.3	42.37	0.00011846781624325391	-499.0	2022-10-04 05:18:03.806512
946.71	31	175.7	42.37	0.00011050266434201802	-511.0	2022-10-04 05:18:04.808377
937.77	31	177.8	42.41	0.00011060587440088484	-507.0	2022-10-04 05:18:05.808613
960.24	32	175.5	42.59	7.37526581687215e-05	-509.0	2022-10-04 05:18:06.808338
932.41	32	170.9	42.38	0.00029509043292225595	-492.0	2022-10-04 05:18:07.807899
940.96	32	174.6	42.51	0.00011048231669142289	-498.0	2022-10-04 05:18:08.811495
939.2	31	173.0	42.52	0.0002828297733672729	-506.0	2022-10-04 05:18:09.808877
939.02	31	185.4	42.72	0.0002868505117673903	-506.0	2022-10-04 05:18:10.809469
944.41	31	187.1	42.49	0.00017193525409574337	-510.0	2022-10-04 05:18:11.810599
939.46	31	186.7	42.54	0.00014717425431711145	-507.0	2022-10-04 05:18:12.817762
926.12	29	196.7	42.41	0.00013198996876237406	-520.0	2022-10-04 05:18:13.811822
947.31	29	189.7	42.4	0.0004052560481395063	-530.0	2022-10-04 05:18:14.812662
956.51	29	189.4	42.35	0.00015980528340852376	-537.0	2022-10-04 05:18:15.813118
925.51	26	189.6	41.94	0.0	-553.0	2022-10-04 05:18:16.814711
942.21	26	204.3	41.81	0.00011052980620440645	-562.0	2022-10-04 05:18:17.815982
937.73	26	203.9	41.95	0.0001474219585007187	-559.0	2022-10-04 05:18:18.817209
913.6	22	208.5	41.49	0.0	-591.0	2022-10-04 05:18:19.817964
