curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
102.17	27	14.8	40.86	0.0	-60.0	2022-10-06 17:40:37.951465
504.79	27	140.4	45.72	0.0	-296.0	2022-10-06 17:40:38.949870
325.47	27	140.4	45.58	0.0	-191.0	2022-10-06 17:40:39.952927
328.04	27	137.5	45.11	0.0002058460271716756	-192.0	2022-10-06 17:40:40.954095
218.68	15	136.1	44.83	0.0	-162.0	2022-10-06 17:40:41.955698
209.47	15	129.7	44.46	0.0004045073678127709	-155.0	2022-10-06 17:40:42.957696
206.25	15	130.4	44.56	0.0	-153.0	2022-10-06 17:40:43.956053
383.52	27	136.4	45.05	0.0	-225.0	2022-10-06 17:40:44.955240
364.45	27	134.9	44.83	0.0001284975424845	-213.0	2022-10-06 17:40:45.956404
375.95	27	133.3	44.66	0.0001225865767698437	-220.0	2022-10-06 17:40:46.957740
381.41	27	131.4	44.46	0.0001520542529574552	-223.0	2022-10-06 17:40:47.957716
381.38	27	131.9	44.61	0.0	-223.0	2022-10-06 17:40:48.960689
366.31	27	131.9	44.77	0.0	-215.0	2022-10-06 17:40:49.962326
355.44	27	128.8	44.77	0.00022413627485511192	-207.0	2022-10-06 17:40:50.963432
363.93	27	128.8	44.4	0.0	-213.0	2022-10-06 17:40:51.966182
380.67	27	127.9	44.28	9.183017539563501e-05	-223.0	2022-10-06 17:40:52.965192
467.45	27	135.9	43.82	0.00014807867913818208	-273.0	2022-10-06 17:40:53.963416
509.25	27	131.9	43.91	0.0003097745794214364	-297.0	2022-10-06 17:40:54.966626
500.29	28	136.6	43.65	0.0	-287.0	2022-10-06 17:40:55.969480
557.29	28	147.5	43.64	0.0	-320.0	2022-10-06 17:40:56.973632
587.97	28	146.3	43.24	1.9711424741780336e-05	-338.0	2022-10-06 17:40:57.971960
640.64	28	146.3	43.2	0.0	-368.0	2022-10-06 17:40:58.972904
621.92	28	143.5	43.1	0.00012715251035384727	-356.0	2022-10-06 17:40:59.975298
562.53	28	142.6	43.52	4.21017177500842e-05	-323.0	2022-10-06 17:41:00.971781
540.88	28	142.6	43.76	0.0	-311.0	2022-10-06 17:41:01.975582
547.39	28	139.2	43.55	0.00014905668412759253	-314.0	2022-10-06 17:41:02.974186
529.0	28	139.3	43.9	0.0	-304.0	2022-10-06 17:41:03.978740
466.01	28	134.8	44.07	0.000240633346969223	-267.0	2022-10-06 17:41:04.978822
495.77	28	132.8	43.99	9.730466089325679e-05	-284.0	2022-10-06 17:41:05.981532
462.02	28	132.8	44.07	0.0	-265.0	2022-10-06 17:41:06.976630
505.32	28	125.8	43.1	0.0003585434173669468	-288.0	2022-10-06 17:41:07.978249
580.01	28	122.4	43.11	0.00018610806675075994	-332.0	2022-10-06 17:41:08.982152
546.34	28	121.3	43.11	0.00014518604554693659	-313.0	2022-10-06 17:41:09.982003
570.28	28	121.5	43.09	0.0	-328.0	2022-10-06 17:41:10.981157
555.97	28	118.8	43.03	0.00016871230334472142	-318.0	2022-10-06 17:41:11.979933
552.81	28	116.1	42.91	0.00018614655939109393	-316.0	2022-10-06 17:41:12.982890
566.38	28	116.7	42.76	0.0	-325.0	2022-10-06 17:41:13.996968
559.24	28	112.0	42.75	0.0002913934852742221	-320.0	2022-10-06 17:41:14.985688
530.0	28	112.9	43.0	0.0	-304.0	2022-10-06 17:41:15.985795
