curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
8.34	1	10.0	38.53	0.0	-8.0	2022-10-06 17:21:05.185483
49.17	1	1283.0	40.04	0.0	-48.0	2022-10-06 17:21:06.180526
50.0	1	1283.0	40.05	0.0	-49.0	2022-10-06 17:21:07.195034
50.0	1	1283.0	40.01	0.0	-49.0	2022-10-06 17:21:08.196115
130.0	3	1293.0	39.93	0.0	-123.0	2022-10-06 17:21:09.183294
150.0	3	1293.0	40.07	0.0	-141.0	2022-10-06 17:21:10.188199
150.0	3	1293.0	40.04	0.0	-141.0	2022-10-06 17:21:11.191980
150.0	3	1293.0	40.06	0.0	-141.0	2022-10-06 17:21:12.186097
150.0	3	1293.0	40.05	0.0	-141.0	2022-10-06 17:21:13.185225
150.0	3	1293.0	40.04	0.0	-141.0	2022-10-06 17:21:14.181632
190.0	5	1293.0	39.88	0.0	-172.0	2022-10-06 17:21:15.181687
250.0	5	1293.0	40.34	0.0	-226.0	2022-10-06 17:21:16.182161
250.0	5	1215.6	40.21	0.002079002079002079	-221.0	2022-10-06 17:21:17.181603
250.0	5	1215.6	40.22	0.0	-226.0	2022-10-06 17:21:18.181817
250.0	5	1215.6	40.23	0.0	-226.0	2022-10-06 17:21:19.184267
250.0	5	1215.6	40.29	0.0	-226.0	2022-10-06 17:21:20.181957
250.0	5	1215.6	40.02	0.0	-226.0	2022-10-06 17:21:21.188086
340.0	7	1223.0	40.09	0.0	-296.0	2022-10-06 17:21:22.187038
350.0	7	1167.7	39.96	0.0014845605700712589	-300.0	2022-10-06 17:21:23.191278
350.0	7	1167.7	40.28	0.0	-305.0	2022-10-06 17:21:24.191687
385.0	8	1185.0	40.27	0.0	-329.0	2022-10-06 17:21:25.189931
405.0	8	1185.0	40.22	0.0	-346.0	2022-10-06 17:21:26.191978
405.0	8	1136.9	40.52	0.0012953367875647669	-340.0	2022-10-06 17:21:27.192955
450.0	10	1166.9	40.34	0.0	-369.0	2022-10-06 17:21:28.192189
500.0	10	1166.9	40.21	0.0	-410.0	2022-10-06 17:21:29.192982
500.0	10	1127.7	40.05	0.0010399334442595673	-405.0	2022-10-06 17:21:30.196199
530.0	12	1123.5	40.79	0.0	-418.0	2022-10-06 17:21:31.193305
600.0	12	1153.3	40.1	0.0	-473.0	2022-10-06 17:21:32.193656
600.0	12	1153.3	40.18	0.0	-473.0	2022-10-06 17:21:33.194507
604.47	14	994.2	39.97	0.0	-458.0	2022-10-06 17:21:34.194341
710.53	14	1146.9	40.02	0.0	-538.0	2022-10-06 17:21:35.195420
700.0	14	1146.9	40.04	0.0	-531.0	2022-10-06 17:21:36.195577
700.0	14	1146.9	40.09	0.0	-531.0	2022-10-06 17:21:37.196781
1005.0	21	926.7	47.24	0.0004237832284576859	-659.0	2022-10-06 17:21:38.198183
995.0	21	926.7	47.39	0.0	-656.0	2022-10-06 17:21:39.199037
960.0	21	926.7	47.77	0.0	-633.0	2022-10-06 17:21:40.199867
961.72	23	850.8	48.24	0.0	-610.0	2022-10-06 17:21:41.200180
940.95	23	850.8	48.76	0.0	-597.0	2022-10-06 17:21:42.201338
966.72	23	838.9	48.78	0.00029472805197037984	-610.0	2022-10-06 17:21:43.201638
913.65	20	847.9	47.75	0.0	-615.0	2022-10-06 17:21:44.203590
910.0	20	903.2	47.6	0.0	-612.0	2022-10-06 17:21:45.204742
925.0	20	903.2	47.63	0.0	-622.0	2022-10-06 17:21:46.206397
934.98	22	838.6	47.68	0.0	-605.0	2022-10-06 17:21:47.206579
960.02	22	851.3	47.98	0.0	-621.0	2022-10-06 17:21:48.207768
942.7	22	838.9	47.97	0.00028249628455973567	-607.0	2022-10-06 17:21:49.208081
940.21	18	812.4	47.41	0.0012658227848101266	-646.0	2022-10-06 17:21:50.210336
862.08	18	875.8	44.79	0.0005635512398127275	-599.0	2022-10-06 17:21:51.210535
900.0	18	873.5	41.85	0.0002704862605274482	-628.0	2022-10-06 17:21:52.212352
900.0	18	877.4	40.28	0.0	-630.0	2022-10-06 17:21:53.214246
963.31	20	809.5	43.43	0.0	-648.0	2022-10-06 17:21:54.213318
960.43	20	805.2	44.0	0.000196470891609465	-644.0	2022-10-06 17:21:55.214871
954.9	20	800.4	43.82	0.00011043351289004503	-642.0	2022-10-06 17:21:56.215915
930.12	19	831.6	42.33	0.0	-638.0	2022-10-06 17:21:57.217485
914.6	19	831.6	42.04	0.0	-628.0	2022-10-06 17:21:58.218874
936.65	19	814.9	41.29	0.0004552333378446547	-639.0	2022-10-06 17:21:59.218337
990.0	21	760.3	44.55	0.0	-653.0	2022-10-06 17:22:00.219476
980.0	21	760.3	45.37	0.0	-647.0	2022-10-06 17:22:01.220272
950.0	21	760.3	45.42	0.0	-627.0	2022-10-06 17:22:02.221979
935.0	21	760.3	45.79	0.0	-617.0	2022-10-06 17:22:03.222643
945.0	21	742.2	45.63	0.00039236362298760374	-620.0	2022-10-06 17:22:04.223495
945.0	21	733.1	45.63	0.00013518828040507325	-622.0	2022-10-06 17:22:05.224833
947.69	23	671.1	45.44	0.0	-601.0	2022-10-06 17:22:06.225285
964.95	23	683.0	46.13	0.0	-612.0	2022-10-06 17:22:07.226868
954.93	23	683.0	46.14	0.0	-606.0	2022-10-06 17:22:08.227178
945.02	23	671.4	46.26	0.0002594290091047228	-597.0	2022-10-06 17:22:09.228620
915.86	20	744.2	45.0	0.0	-616.0	2022-10-06 17:22:10.229301
915.0	20	744.2	45.43	0.0	-616.0	2022-10-06 17:22:11.231063
910.0	20	744.2	45.25	0.0	-612.0	2022-10-06 17:22:12.231415
896.45	22	680.5	44.81	7.610157022906573e-05	-579.0	2022-10-06 17:22:13.234465
900.38	22	681.0	46.07	0.0	-582.0	2022-10-06 17:22:14.233707
906.26	22	681.0	46.24	0.0	-586.0	2022-10-06 17:22:15.234325
885.21	18	681.0	45.76	0.0	-620.0	2022-10-06 17:22:16.235447
840.0	18	801.3	45.03	0.0	-588.0	2022-10-06 17:22:17.237861
865.0	18	801.3	44.23	0.0	-606.0	2022-10-06 17:22:18.237982
869.73	20	730.3	45.15	0.0	-585.0	2022-10-06 17:22:19.240565
867.72	20	730.8	45.06	0.0	-584.0	2022-10-06 17:22:20.239709
864.79	20	730.8	45.43	0.0	-582.0	2022-10-06 17:22:21.240901
