curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	41.31	0.0	-0.0	2022-10-06 17:31:07.056884
20.0	1	84.0	41.7	0.0	-20.0	2022-10-06 17:31:08.056097
19.15	1	84.0	42.11	0.0	-19.0	2022-10-06 17:31:09.058064
18.24	1	84.0	42.68	0.0	-18.0	2022-10-06 17:31:10.060496
36.03	2	87.5	42.37	0.0	-35.0	2022-10-06 17:31:11.060293
34.17	2	87.5	43.08	0.0	-33.0	2022-10-06 17:31:12.060877
30.99	2	87.5	43.29	0.0	-30.0	2022-10-06 17:31:13.063156
51.95	4	75.8	42.81	0.0005073566717402334	-48.0	2022-10-06 17:31:14.063943
60.37	4	70.5	42.37	0.0003690717844620779	-56.0	2022-10-06 17:31:15.064038
66.82	4	74.2	42.6	0.0	-62.0	2022-10-06 17:31:16.065381
97.11	8	77.2	42.87	0.0	-83.0	2022-10-06 17:31:17.065573
114.44	8	77.2	42.93	0.0	-98.0	2022-10-06 17:31:18.066463
106.98	8	77.2	43.28	0.0	-91.0	2022-10-06 17:31:19.068247
136.06	14	74.4	43.2	0.0	-103.0	2022-10-06 17:31:20.068668
177.22	14	76.3	43.74	0.0	-134.0	2022-10-06 17:31:21.071885
175.79	14	76.3	43.79	0.0	-133.0	2022-10-06 17:31:22.069717
187.93	14	76.3	43.32	0.0	-142.0	2022-10-06 17:31:23.071173
237.83	18	76.0	43.72	0.0	-167.0	2022-10-06 17:31:24.070655
212.81	18	75.0	43.74	0.0001056579851022241	-149.0	2022-10-06 17:31:25.073219
216.54	18	73.4	43.95	0.00021641508413136395	-151.0	2022-10-06 17:31:26.075066
306.57	28	73.8	44.58	0.0	-176.0	2022-10-06 17:31:27.073336
296.65	28	72.2	44.58	0.00015691197238349287	-170.0	2022-10-06 17:31:28.075554
306.87	28	72.6	44.11	0.0	-176.0	2022-10-06 17:31:29.074817
338.74	32	72.6	44.22	0.0	-180.0	2022-10-06 17:31:30.076714
338.28	32	71.9	44.35	6.821747731768879e-05	-179.0	2022-10-06 17:31:31.077947
333.0	32	71.3	44.68	7.071385638015769e-05	-176.0	2022-10-06 17:31:32.080181
331.78	32	70.7	44.51	7.051937519833575e-05	-176.0	2022-10-06 17:31:33.082178
327.35	32	69.3	44.31	0.00013915463558879804	-173.0	2022-10-06 17:31:34.081702
339.29	32	67.5	44.21	0.00020274379941880111	-179.0	2022-10-06 17:31:35.084143
350.01	32	67.6	44.15	6.744907594765952e-05	-185.0	2022-10-06 17:31:36.083137
345.96	32	67.2	44.23	6.584362139917696e-05	-183.0	2022-10-06 17:31:37.084791
