curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	23	10.0	0.0	0.0	-0.0	2022-10-06 21:28:34.772709
897.58	23	196.9	41.75	4.154836922650786e-05	-569.0	2022-10-06 21:28:35.773961
922.75	23	201.9	41.81	0.0	-585.0	2022-10-06 21:28:36.770050
964.69	23	201.9	41.74	0.0	-612.0	2022-10-06 21:28:37.776743
947.91	20	213.4	41.57	0.00037420727143813764	-634.0	2022-10-06 21:28:38.774833
939.52	20	214.0	41.5	0.0	-632.0	2022-10-06 21:28:39.776061
939.52	20	211.2	41.45	0.0002458331284723929	-630.0	2022-10-06 21:28:40.777269
939.52	15	258.7	41.33	0.0	-698.0	2022-10-06 21:28:41.780186
973.08	15	266.9	41.3	4.9090596696202844e-05	-723.0	2022-10-06 21:28:42.783525
931.14	15	266.9	41.41	0.0	-692.0	2022-10-06 21:28:43.783891
922.75	15	257.9	41.21	0.00018408070097930933	-684.0	2022-10-06 21:28:44.786885
939.52	15	263.0	41.32	0.0	-698.0	2022-10-06 21:28:45.783999
964.69	15	263.5	41.35	0.00012300425594725578	-716.0	2022-10-06 21:28:46.785655
939.52	15	275.9	41.39	0.0	-698.0	2022-10-06 21:28:47.785935
897.58	6	277.4	40.89	0.0	-797.0	2022-10-06 21:28:48.792083
914.36	6	588.2	40.1	0.0	-812.0	2022-10-06 21:28:49.795417
947.91	6	602.8	40.03	0.0003065942286702395	-839.0	2022-10-06 21:28:50.798656
931.14	6	614.7	39.96	4.957796755122024e-05	-826.0	2022-10-06 21:28:51.788515
402.65	1	717.0	38.71	0.0	-395.0	2022-10-06 21:28:52.798142
218.1	1	733.0	38.7	0.0	-214.0	2022-10-06 21:28:53.796951
209.72	1	741.0	38.97	0.0	-206.0	2022-10-06 21:28:54.811516
260.05	6	264.7	39.03	4.766898655734579e-05	-231.0	2022-10-06 21:28:55.791697
687.87	6	542.2	39.73	5.1873497829958676e-05	-610.0	2022-10-06 21:28:56.797262
947.91	6	660.3	40.82	0.00022123893805309734	-840.0	2022-10-06 21:28:57.798645
939.52	6	670.8	40.88	0.0	-834.0	2022-10-06 21:28:58.802402
989.86	16	374.6	42.97	6.179476721911189e-05	-720.0	2022-10-06 21:28:59.797861
964.69	16	379.6	43.22	4.9135220125786166e-05	-702.0	2022-10-06 21:29:00.799731
947.91	16	372.9	42.77	0.00013502731234272386	-689.0	2022-10-06 21:29:01.802050
914.36	13	378.7	42.62	0.0	-707.0	2022-10-06 21:29:02.802841
956.3	13	420.8	42.46	0.0002969121140142518	-736.0	2022-10-06 21:29:03.803688
939.52	13	424.3	42.45	0.0	-726.0	2022-10-06 21:29:04.803816
947.91	13	424.3	42.21	0.0	-733.0	2022-10-06 21:29:05.804698
905.97	10	494.0	41.84	0.0	-743.0	2022-10-06 21:29:06.808141
931.14	10	500.7	42.0	0.0	-764.0	2022-10-06 21:29:07.805973
956.3	10	505.1	41.93	0.0	-784.0	2022-10-06 21:29:08.806700
931.14	10	496.3	41.91	8.542731965682626e-05	-763.0	2022-10-06 21:29:09.816395
939.52	10	496.3	41.93	0.0	-771.0	2022-10-06 21:29:10.813512
956.3	10	470.5	41.72	0.00025764974357715995	-782.0	2022-10-06 21:29:11.815730
947.91	10	479.6	41.7	0.0	-778.0	2022-10-06 21:29:12.815725
1015.02	32	242.3	44.09	4.9544193420531116e-05	-538.0	2022-10-06 21:29:13.806972
956.3	32	242.4	44.17	0.0	-507.0	2022-10-06 21:29:14.810291
897.58	32	240.9	44.41	4.916481274351946e-05	-476.0	2022-10-06 21:29:15.811423
897.58	10	240.9	44.15	0.0	-736.0	2022-10-06 21:29:16.809987
939.52	10	415.5	41.16	0.0	-771.0	2022-10-06 21:29:17.821622
939.52	10	417.1	41.26	2.4654528420507636e-05	-771.0	2022-10-06 21:29:18.821838
947.91	10	421.4	41.33	0.0	-778.0	2022-10-06 21:29:19.820706
956.3	10	425.1	41.55	0.0	-784.0	2022-10-06 21:29:20.820197
931.14	10	398.6	41.12	0.00020880416625724673	-762.0	2022-10-06 21:29:21.821982
931.14	10	398.5	41.16	0.00017182552345418396	-762.0	2022-10-06 21:29:22.824245
947.91	10	399.7	41.21	0.00012264822037432236	-776.0	2022-10-06 21:29:23.825982
947.91	9	447.0	41.08	0.0	-793.0	2022-10-06 21:29:24.829104
947.91	9	460.9	41.1	0.0	-793.0	2022-10-06 21:29:25.826527
956.3	9	436.8	40.97	0.00017155180864621115	-799.0	2022-10-06 21:29:26.831779
922.75	9	426.9	40.62	0.0001724053002315157	-771.0	2022-10-06 21:29:27.832248
939.52	9	433.7	40.89	0.0	-786.0	2022-10-06 21:29:28.830960
956.3	9	433.7	40.85	0.0	-800.0	2022-10-06 21:29:29.834982
939.52	9	430.8	40.97	8.623769572877012e-05	-785.0	2022-10-06 21:29:30.831909
947.91	10	395.0	40.94	3.693535082427391e-05	-777.0	2022-10-06 21:29:31.830045
956.3	10	394.7	41.23	0.00033154055846165183	-781.0	2022-10-06 21:29:32.834719
931.14	10	373.9	41.03	0.0001229483002397492	-763.0	2022-10-06 21:29:33.835998
956.3	9	374.3	41.09	0.00012245747664123632	-799.0	2022-10-06 21:29:34.840164
922.75	9	403.0	40.99	0.0	-772.0	2022-10-06 21:29:35.836840
947.91	9	403.3	40.75	7.393897569872332e-05	-792.0	2022-10-06 21:29:36.838941
939.52	9	411.6	40.82	0.0	-786.0	2022-10-06 21:29:37.838484
956.3	11	394.0	41.42	6.163252224934053e-05	-769.0	2022-10-06 21:29:38.837570
953.57	11	400.6	41.56	0.00015953660751540143	-765.0	2022-10-06 21:29:39.839785
939.52	11	392.3	41.34	0.00012303603725531207	-754.0	2022-10-06 21:29:40.841176
947.91	11	394.7	41.4	0.0	-762.0	2022-10-06 21:29:41.843012
914.36	9	413.4	40.93	0.0	-765.0	2022-10-06 21:29:42.843581
939.52	9	391.8	40.44	0.00031964986046054166	-783.0	2022-10-06 21:29:43.843478
939.52	9	404.6	40.6	0.0	-786.0	2022-10-06 21:29:44.849162
956.3	9	411.3	40.82	0.0	-800.0	2022-10-06 21:29:45.846296
931.14	9	408.3	40.72	0.00013541128099071818	-778.0	2022-10-06 21:29:46.846951
953.57	9	397.0	40.82	3.688312965649512e-05	-798.0	2022-10-06 21:29:47.847367
931.14	9	409.1	40.85	0.0	-779.0	2022-10-06 21:29:48.848667
947.91	9	403.8	40.67	0.00012269035408436188	-792.0	2022-10-06 21:29:49.849598
939.52	9	405.1	41.03	1.2219561073366244e-05	-786.0	2022-10-06 21:29:50.857651
956.3	9	396.9	40.65	0.00039501296136279474	-796.0	2022-10-06 21:29:51.853748
922.75	9	382.3	40.41	0.0002470874566052654	-770.0	2022-10-06 21:29:52.850928
970.35	11	366.1	41.51	0.0	-780.0	2022-10-06 21:29:53.855366
956.3	11	361.4	41.47	0.00011083470850471664	-768.0	2022-10-06 21:29:54.854866
905.97	11	360.2	41.5	7.367929857307758e-05	-728.0	2022-10-06 21:29:55.855967
956.3	9	361.5	41.45	0.0	-800.0	2022-10-06 21:29:56.861605
928.4	9	412.7	40.82	0.0	-777.0	2022-10-06 21:29:57.863506
780.14	9	412.7	43.48	0.0	-653.0	2022-10-06 21:29:58.856850
503.32	9	412.7	43.4	0.0	-421.0	2022-10-06 21:29:59.858860
536.87	12	363.8	43.54	0.0	-423.0	2022-10-06 21:30:00.857763
570.43	12	353.7	43.85	0.00020693222969477495	-449.0	2022-10-06 21:30:01.860586
721.42	12	356.8	42.14	0.0	-569.0	2022-10-06 21:30:02.860722
771.75	12	361.2	42.19	0.0	-609.0	2022-10-06 21:30:03.893605
721.42	8	378.4	41.86	0.0	-616.0	2022-10-06 21:30:04.867107
578.81	8	378.6	42.25	0.0	-494.0	2022-10-06 21:30:05.872575
587.2	8	378.6	42.17	0.0	-501.0	2022-10-06 21:30:06.867647
612.37	8	378.6	42.28	0.0	-523.0	2022-10-06 21:30:07.876532
578.81	10	338.3	43.73	0.00029253818668115427	-473.0	2022-10-06 21:30:08.871388
427.82	10	338.3	43.84	0.0	-351.0	2022-10-06 21:30:09.868462
461.37	10	338.3	43.65	0.0	-378.0	2022-10-06 21:30:10.871296
436.21	10	338.3	43.72	0.0	-358.0	2022-10-06 21:30:11.880047
461.37	11	323.5	43.82	0.0	-371.0	2022-10-06 21:30:12.876231
452.98	11	323.5	43.74	0.0	-364.0	2022-10-06 21:30:13.871824
436.21	11	293.8	43.81	0.00023759866944745108	-350.0	2022-10-06 21:30:14.873300
411.8	11	289.9	43.62	7.942601466733738e-05	-331.0	2022-10-06 21:30:15.879294
402.65	9	291.3	43.36	0.004899292324442025	-317.0	2022-10-06 21:30:16.882330
377.49	9	291.3	43.04	0.0	-316.0	2022-10-06 21:30:17.884422
419.43	9	291.3	43.01	0.0	-351.0	2022-10-06 21:30:18.880388
394.26	14	184.4	42.69	0.0001447890423652738	-298.0	2022-10-06 21:30:19.875337
503.32	14	259.4	43.38	0.0	-381.0	2022-10-06 21:30:20.882514
511.71	14	259.4	43.36	0.0	-388.0	2022-10-06 21:30:21.884358
511.71	14	259.4	43.13	0.0	-388.0	2022-10-06 21:30:22.878948
520.09	18	225.2	43.65	0.0005315092551937698	-361.0	2022-10-06 21:30:23.881694
562.04	18	236.7	43.67	2.1106397349036494e-05	-393.0	2022-10-06 21:30:24.883346
545.26	18	236.7	43.67	0.0	-382.0	2022-10-06 21:30:25.884351
536.87	18	231.2	43.82	0.00017189514396218306	-375.0	2022-10-06 21:30:26.884744
536.87	25	195.3	44.39	0.0002188375350140056	-326.0	2022-10-06 21:30:27.883885
545.26	25	193.1	44.34	8.407953924412494e-05	-332.0	2022-10-06 21:30:28.889722
562.04	25	190.1	44.38	0.00012778191885848153	-342.0	2022-10-06 21:30:29.886267
562.04	25	192.7	43.91	0.0	-343.0	2022-10-06 21:30:30.896424
335.54	1	138.3	39.86	0.0	-329.0	2022-10-06 21:30:31.892996
50.33	1	180.0	40.0	0.0	-49.0	2022-10-06 21:30:32.892685
50.33	1	189.0	42.28	0.0	-49.0	2022-10-06 21:30:33.898022
25.17	1	189.0	42.79	0.0	-25.0	2022-10-06 21:30:34.909090
83.89	7	113.6	42.59	0.0002559836170485089	-73.0	2022-10-06 21:30:35.896752
109.05	7	114.6	41.89	0.0	-95.0	2022-10-06 21:30:36.901654
125.83	7	118.7	42.34	0.0	-110.0	2022-10-06 21:30:37.899615
117.44	29	36.2	42.11	0.0	-66.0	2022-10-06 21:30:38.895870
293.6	29	96.2	44.17	8.014104824491104e-05	-165.0	2022-10-06 21:30:39.897992
327.16	29	92.0	44.16	0.00027025983552758583	-183.0	2022-10-06 21:30:40.897920
276.82	29	92.5	43.72	7.540340823405218e-05	-156.0	2022-10-06 21:30:41.898916
301.99	21	92.8	43.46	7.160759040458288e-05	-199.0	2022-10-06 21:30:42.897164
301.99	21	94.5	42.9	0.0	-199.0	2022-10-06 21:30:43.902521
310.38	21	95.0	42.97	8.228420966016621e-05	-205.0	2022-10-06 21:30:44.901512
301.99	21	96.7	42.93	0.0	-199.0	2022-10-06 21:30:45.903831
276.82	10	97.2	42.6	0.0	-227.0	2022-10-06 21:30:46.909004
192.94	10	103.8	42.27	0.0	-158.0	2022-10-06 21:30:47.912857
176.16	10	107.9	41.99	0.0	-145.0	2022-10-06 21:30:48.909639
218.1	10	96.6	41.98	0.0002902420618796076	-178.0	2022-10-06 21:30:49.926893
192.94	9	117.4	41.89	0.000744047619047619	-160.0	2022-10-06 21:30:50.907988
226.49	9	126.8	41.86	0.00010362157401170923	-189.0	2022-10-06 21:30:51.912117
218.1	9	120.9	42.32	0.00021916607309188538	-182.0	2022-10-06 21:30:52.913586
209.72	9	123.9	42.39	0.0	-175.0	2022-10-06 21:30:53.929020
209.72	10	98.1	42.11	0.0005672149744753262	-171.0	2022-10-06 21:30:54.918717
192.94	10	100.3	42.13	0.00011657049600746052	-158.0	2022-10-06 21:30:55.917017
192.94	10	99.5	42.5	0.00012075836251660427	-158.0	2022-10-06 21:30:56.920829
176.16	9	99.5	42.69	0.00013332444503699753	-147.0	2022-10-06 21:30:57.921778
167.77	9	104.7	42.31	0.0	-140.0	2022-10-06 21:30:58.923314
150.99	9	105.1	43.37	0.0	-126.0	2022-10-06 21:30:59.921197
150.99	9	105.1	43.44	0.0	-126.0	2022-10-06 21:31:00.924346
125.83	9	105.1	43.41	0.0	-105.0	2022-10-06 21:31:01.927067
134.22	9	105.1	43.24	0.0	-112.0	2022-10-06 21:31:02.923083
125.83	9	102.8	43.47	0.00016909029421711193	-105.0	2022-10-06 21:31:03.929080
150.99	9	103.2	43.65	0.0	-126.0	2022-10-06 21:31:04.929196
134.22	11	91.7	43.46	0.00023596035865974517	-108.0	2022-10-06 21:31:05.927939
176.16	11	90.4	42.51	0.00013829345871940258	-141.0	2022-10-06 21:31:06.928659
411.04	11	213.8	41.43	9.153318077803204e-05	-330.0	2022-10-06 21:31:07.930196
478.15	11	229.6	41.7	9.569835877314705e-05	-384.0	2022-10-06 21:31:08.926694
494.93	11	228.8	41.52	7.174973691763131e-05	-398.0	2022-10-06 21:31:09.927062
394.26	11	229.0	43.6	0.0	-317.0	2022-10-06 21:31:10.930234
310.38	11	229.0	43.48	0.0	-250.0	2022-10-06 21:31:11.932472
335.54	10	229.0	43.36	0.0	-275.0	2022-10-06 21:31:12.933728
268.44	10	211.0	43.53	0.0	-220.0	2022-10-06 21:31:13.943862
251.66	10	211.0	44.42	0.0	-206.0	2022-10-06 21:31:14.934697
260.05	10	211.0	44.22	0.0	-213.0	2022-10-06 21:31:15.936031
251.66	12	198.3	44.01	0.0	-198.0	2022-10-06 21:31:16.938905
285.21	12	196.1	44.43	8.526239502067613e-05	-225.0	2022-10-06 21:31:17.942611
260.05	12	196.1	44.39	0.0	-205.0	2022-10-06 21:31:18.942414
251.66	12	196.1	44.54	0.0	-198.0	2022-10-06 21:31:19.938377
243.27	9	208.1	44.21	0.0	-204.0	2022-10-06 21:31:20.946729
260.05	9	214.1	43.76	0.0009782821365681863	-215.0	2022-10-06 21:31:21.941965
243.27	9	214.1	43.72	0.0	-204.0	2022-10-06 21:31:22.941312
251.66	9	196.9	43.64	0.0001387989266216341	-210.0	2022-10-06 21:31:23.967441
260.05	14	143.1	44.76	0.0	-197.0	2022-10-06 21:31:24.947912
243.27	14	143.1	45.06	0.0	-184.0	2022-10-06 21:31:25.948273
234.88	14	138.9	44.76	0.00024094063222821898	-177.0	2022-10-06 21:31:26.947978
226.49	11	136.7	44.96	0.00029012136743871184	-182.0	2022-10-06 21:31:27.953441
251.66	11	164.2	44.35	0.0	-202.0	2022-10-06 21:31:28.950627
260.05	11	161.6	43.47	0.00018859917959356876	-209.0	2022-10-06 21:31:29.951740
243.27	11	161.9	43.96	0.0	-196.0	2022-10-06 21:31:30.951107
268.44	11	161.9	43.62	0.0	-216.0	2022-10-06 21:31:31.956302
251.66	11	164.0	44.1	0.0	-202.0	2022-10-06 21:31:32.957189
218.1	11	161.6	44.33	9.935913358835511e-05	-175.0	2022-10-06 21:31:33.961202
234.88	11	142.4	43.78	0.0009294160169360252	-187.0	2022-10-06 21:31:34.961892
184.55	8	120.5	43.76	0.0	-158.0	2022-10-06 21:31:35.962262
125.83	8	120.5	43.39	0.0	-107.0	2022-10-06 21:31:36.963335
159.38	8	120.5	43.81	0.0	-136.0	2022-10-06 21:31:37.962988
125.83	8	117.8	43.23	8.151952392598027e-05	-107.0	2022-10-06 21:31:38.968749
167.77	12	95.0	43.67	0.0	-132.0	2022-10-06 21:31:39.963818
176.16	12	88.9	43.67	0.0004394776494224008	-138.0	2022-10-06 21:31:40.971067
201.33	12	90.7	43.81	0.0	-159.0	2022-10-06 21:31:41.969967
176.16	8	90.2	43.43	0.00012646221941195067	-150.0	2022-10-06 21:31:42.969158
226.49	8	115.9	41.65	0.0017205781142463868	-189.0	2022-10-06 21:31:43.968735
310.38	8	169.8	42.04	7.952602489164579e-05	-265.0	2022-10-06 21:31:44.967077
293.6	8	174.9	41.96	0.0	-251.0	2022-10-06 21:31:45.967670
