curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	38.93	0.0	-0.0	2022-10-06 21:16:26.850730
50.0	1	610.0	41.08	0.0	-49.0	2022-10-06 21:16:27.856471
50.0	1	610.0	41.18	0.0	-49.0	2022-10-06 21:16:28.854015
50.0	1	610.0	42.44	0.0	-49.0	2022-10-06 21:16:29.857621
130.0	3	588.0	42.12	0.0	-123.0	2022-10-06 21:16:30.847950
150.0	3	588.0	41.49	0.0	-141.0	2022-10-06 21:16:31.852898
150.0	3	588.0	40.35	0.0	-141.0	2022-10-06 21:16:32.853790
150.0	3	588.0	40.39	0.0	-141.0	2022-10-06 21:16:33.855657
150.0	3	588.0	40.28	0.0	-141.0	2022-10-06 21:16:34.854236
150.0	3	536.3	41.21	0.0012282183158056344	-140.0	2022-10-06 21:16:35.858524
190.0	5	504.2	41.65	0.00100363818843307	-170.0	2022-10-06 21:16:36.860149
250.0	5	505.0	41.0	0.0	-226.0	2022-10-06 21:16:37.857003
250.0	5	489.0	39.38	0.0005489980785067252	-225.0	2022-10-06 21:16:38.857299
250.0	5	491.6	39.47	0.0	-226.0	2022-10-06 21:16:39.859052
250.0	5	465.8	39.49	0.0006874742197167606	-225.0	2022-10-06 21:16:40.862010
250.0	5	472.2	39.65	0.0	-226.0	2022-10-06 21:16:41.860719
250.0	5	477.6	40.63	0.0	-226.0	2022-10-06 21:16:42.860743
340.0	7	482.9	40.55	0.00017010852924165617	-295.0	2022-10-06 21:16:43.860176
350.0	7	484.9	40.32	0.0	-305.0	2022-10-06 21:16:44.862005
350.0	7	486.0	40.0	0.0	-305.0	2022-10-06 21:16:45.863464
490.0	11	473.9	40.78	0.00014231499051233396	-393.0	2022-10-06 21:16:46.862093
550.0	11	457.5	40.79	0.00048247362127918443	-440.0	2022-10-06 21:16:47.865641
550.0	11	461.5	42.18	0.0	-442.0	2022-10-06 21:16:48.864793
605.0	13	444.8	43.2	0.0003440390180721672	-466.0	2022-10-06 21:16:49.865388
625.0	13	437.2	42.92	0.00015030248374854393	-482.0	2022-10-06 21:16:50.867035
625.0	13	420.5	41.0	7.297938332421091e-05	-483.0	2022-10-06 21:16:51.866748
690.0	15	449.4	41.8	0.0	-513.0	2022-10-06 21:16:52.867867
750.0	15	444.2	41.01	0.00022775238760419672	-556.0	2022-10-06 21:16:53.867835
750.0	15	451.3	41.57	0.0	-557.0	2022-10-06 21:16:54.869001
747.69	17	401.8	43.59	0.0	-534.0	2022-10-06 21:16:55.872406
777.31	17	420.8	43.9	0.00025080335449486637	-553.0	2022-10-06 21:16:56.872305
736.82	17	420.8	43.61	0.0	-526.0	2022-10-06 21:16:57.872387
783.18	17	423.9	43.22	4.424582983053847e-05	-559.0	2022-10-06 21:16:58.873971
885.0	20	439.4	45.15	0.0	-596.0	2022-10-06 21:16:59.876381
860.0	20	436.4	44.67	6.860404489448698e-05	-578.0	2022-10-06 21:17:00.876240
830.0	20	415.6	45.39	0.0001836080392073782	-557.0	2022-10-06 21:17:01.876747
858.31	22	415.2	45.62	0.0	-555.0	2022-10-06 21:17:02.876416
881.69	22	413.5	45.19	9.673719268666824e-05	-569.0	2022-10-06 21:17:03.875377
860.0	22	413.5	45.23	0.0	-556.0	2022-10-06 21:17:04.878167
815.0	19	412.8	44.53	0.0	-559.0	2022-10-06 21:17:05.879129
815.0	19	395.7	43.3	0.0004499910001799964	-556.0	2022-10-06 21:17:06.880017
815.0	19	391.3	44.35	9.675323777799278e-05	-559.0	2022-10-06 21:17:07.882473
783.96	21	377.3	44.88	0.0	-517.0	2022-10-06 21:17:08.882829
816.04	21	372.4	44.89	4.507617874207411e-05	-538.0	2022-10-06 21:17:09.885406
780.0	21	371.0	44.9	4.513721714010592e-05	-514.0	2022-10-06 21:17:10.885177
755.0	17	357.4	44.55	0.00018132366273798732	-538.0	2022-10-06 21:17:11.886960
650.0	17	331.8	42.98	0.0	-464.0	2022-10-06 21:17:12.887984
680.0	17	330.8	42.89	3.3824922202678934e-05	-485.0	2022-10-06 21:17:13.889770
640.0	17	330.9	43.27	0.0	-457.0	2022-10-06 21:17:14.889556
700.0	19	322.8	43.74	0.0	-481.0	2022-10-06 21:17:15.890394
665.0	19	301.5	43.3	0.0006139596891609802	-452.0	2022-10-06 21:17:16.892385
665.0	19	281.2	43.33	0.000266728310542881	-455.0	2022-10-06 21:17:17.892156
575.0	14	249.6	42.76	0.0	-436.0	2022-10-06 21:17:18.896335
560.0	14	260.3	42.36	0.0	-424.0	2022-10-06 21:17:19.895272
550.0	14	260.9	42.85	0.0	-417.0	2022-10-06 21:17:20.895752
558.69	16	243.8	43.15	0.0	-407.0	2022-10-06 21:17:21.898537
554.26	16	236.5	42.91	0.00021482738619519215	-403.0	2022-10-06 21:17:22.900114
524.9	16	215.6	43.43	0.0002722570106180234	-381.0	2022-10-06 21:17:23.899099
445.66	10	187.6	42.78	0.0	-366.0	2022-10-06 21:17:24.902747
370.0	10	228.0	42.76	0.0	-304.0	2022-10-06 21:17:25.903715
370.0	10	258.7	42.28	0.0	-304.0	2022-10-06 21:17:26.903514
362.69	12	211.8	42.33	9.655927129936593e-05	-286.0	2022-10-06 21:17:27.903846
406.34	12	238.2	42.55	0.0	-320.0	2022-10-06 21:17:28.904852
403.68	12	238.2	42.82	0.0	-318.0	2022-10-06 21:17:29.907258
402.29	12	226.1	42.59	0.00020418283114079865	-316.0	2022-10-06 21:17:30.907461
230.0	5	233.7	42.35	0.0	-208.0	2022-10-06 21:17:31.911602
210.0	5	304.3	42.68	0.0	-190.0	2022-10-06 21:17:32.911302
225.0	5	304.3	42.16	0.0	-204.0	2022-10-06 21:17:33.912618
249.92	7	274.7	42.12	0.0	-218.0	2022-10-06 21:17:34.912562
252.72	7	274.7	42.29	0.0	-220.0	2022-10-06 21:17:35.917554
242.13	7	274.7	42.08	0.0	-211.0	2022-10-06 21:17:36.914164
250.19	6	304.3	41.96	0.0	-222.0	2022-10-06 21:17:37.915755
230.04	6	304.3	42.06	0.0	-204.0	2022-10-06 21:17:38.915112
242.28	6	304.3	42.17	0.0	-215.0	2022-10-06 21:17:39.917182
255.19	8	252.5	42.1	0.0	-218.0	2022-10-06 21:17:40.922688
269.92	8	232.1	42.33	0.0005953393434257526	-229.0	2022-10-06 21:17:41.920411
274.64	8	232.9	42.61	0.0	-234.0	2022-10-06 21:17:42.921135
278.12	8	217.8	42.36	0.0004652146331148234	-236.0	2022-10-06 21:17:43.922933
252.22	8	215.8	41.86	8.92936869363336e-05	-215.0	2022-10-06 21:17:44.927959
257.91	8	216.8	42.51	0.0	-220.0	2022-10-06 21:17:45.923168
242.23	8	213.4	43.01	9.48676596148373e-05	-207.0	2022-10-06 21:17:46.925842
281.03	10	195.5	43.03	0.0	-231.0	2022-10-06 21:17:47.928316
265.47	10	186.9	43.07	0.00035536602700781805	-217.0	2022-10-06 21:17:48.925506
261.1	10	192.3	42.73	0.0	-214.0	2022-10-06 21:17:49.928722
287.68	11	178.9	42.52	0.0002039484418339044	-231.0	2022-10-06 21:17:50.929131
290.42	11	178.9	42.67	0.0	-234.0	2022-10-06 21:17:51.930218
271.83	11	175.3	42.87	0.00012695188523549576	-218.0	2022-10-06 21:17:52.931874
279.01	13	159.2	43.22	4.2351346772827374e-05	-216.0	2022-10-06 21:17:53.931463
288.09	13	158.7	43.01	8.064190960041933e-05	-222.0	2022-10-06 21:17:54.930884
279.72	13	152.1	43.04	0.00012355339565915736	-216.0	2022-10-06 21:17:55.933207
297.26	10	144.3	42.54	3.861003861003861e-05	-244.0	2022-10-06 21:17:56.937159
267.82	10	165.8	41.98	0.0	-220.0	2022-10-06 21:17:57.935261
272.62	10	162.8	42.32	8.773469029654326e-05	-223.0	2022-10-06 21:17:58.936064
253.64	12	135.5	42.6	9.292384890582167e-05	-200.0	2022-10-06 21:17:59.938894
283.99	12	142.1	42.32	0.00017071401135248176	-223.0	2022-10-06 21:18:00.938984
270.71	12	140.3	42.78	8.625894936599672e-05	-213.0	2022-10-06 21:18:01.938085
291.17	12	147.2	41.71	7.829014327096219e-05	-229.0	2022-10-06 21:18:02.942799
280.96	8	175.0	41.68	0.0	-240.0	2022-10-06 21:18:03.941473
266.05	8	171.9	42.48	0.0003461704889658157	-226.0	2022-10-06 21:18:04.947681
222.32	8	177.0	42.15	0.0	-190.0	2022-10-06 21:18:05.945598
263.81	10	169.1	42.41	0.0	-216.0	2022-10-06 21:18:06.947786
253.62	10	169.3	42.49	0.0	-208.0	2022-10-06 21:18:07.948937
264.42	10	166.1	42.66	8.777319406653208e-05	-217.0	2022-10-06 21:18:08.950042
232.53	5	162.4	42.23	0.0	-211.0	2022-10-06 21:18:09.956191
150.0	5	162.8	42.0	0.0	-136.0	2022-10-06 21:18:10.959718
130.0	5	166.2	41.82	0.0	-118.0	2022-10-06 21:18:11.953882
148.85	7	141.7	41.74	0.0	-130.0	2022-10-06 21:18:12.955352
188.04	7	152.0	41.8	0.00018551728402696184	-163.0	2022-10-06 21:18:13.956463
184.95	7	152.0	41.83	0.0	-161.0	2022-10-06 21:18:14.956860
179.95	7	149.9	41.85	0.00012989543417548874	-156.0	2022-10-06 21:18:15.959079
160.14	6	153.3	41.97	0.0	-142.0	2022-10-06 21:18:16.961297
160.45	6	161.5	41.39	0.0	-142.0	2022-10-06 21:18:17.959699
171.22	6	177.3	41.66	0.00012703252032520327	-152.0	2022-10-06 21:18:18.958008
201.75	8	156.0	41.82	0.0	-172.0	2022-10-06 21:18:19.959580
210.76	8	160.1	41.87	0.00011399908800729594	-180.0	2022-10-06 21:18:20.958679
199.19	8	151.2	42.16	0.0005122659229324379	-169.0	2022-10-06 21:18:21.959926
210.23	8	137.8	42.08	0.000776483638380477	-178.0	2022-10-06 21:18:22.958869
210.56	8	139.0	42.05	0.0	-180.0	2022-10-06 21:18:23.961692
207.0	8	131.1	42.02	0.00016566348224639682	-176.0	2022-10-06 21:18:24.960155
228.73	10	124.7	42.17	0.0	-188.0	2022-10-06 21:18:25.963098
234.95	10	125.5	42.16	0.0	-193.0	2022-10-06 21:18:26.964257
222.86	10	125.6	42.31	0.0	-183.0	2022-10-06 21:18:27.965001
238.13	11	115.2	42.46	9.889240506329114e-05	-191.0	2022-10-06 21:18:28.965691
242.25	11	119.4	42.71	0.0	-195.0	2022-10-06 21:18:29.965439
254.61	11	125.9	42.12	9.166743056192135e-05	-205.0	2022-10-06 21:18:30.967750
261.24	11	130.5	42.24	0.0	-210.0	2022-10-06 21:18:31.969459
302.93	13	120.2	42.73	8.034387177118065e-05	-234.0	2022-10-06 21:18:32.969657
283.35	13	117.0	42.94	0.00020347535913400888	-218.0	2022-10-06 21:18:33.970766
283.01	13	115.6	42.59	8.217602103706138e-05	-219.0	2022-10-06 21:18:34.970880
302.34	15	107.3	42.73	7.874945859747215e-05	-224.0	2022-10-06 21:18:35.972678
294.21	15	107.5	42.53	0.0	-219.0	2022-10-06 21:18:36.972333
332.29	15	110.8	42.42	0.000140548137737175	-246.0	2022-10-06 21:18:37.975009
336.55	17	106.3	42.56	6.945650286508075e-05	-240.0	2022-10-06 21:18:38.974633
359.72	17	104.5	42.59	0.000130607980147587	-256.0	2022-10-06 21:18:39.975060
351.21	17	105.0	42.55	0.0	-251.0	2022-10-06 21:18:40.977031
355.5	20	99.8	42.91	0.0	-239.0	2022-10-06 21:18:41.977002
360.97	20	99.8	42.85	0.0	-243.0	2022-10-06 21:18:42.979080
392.24	20	102.2	42.15	5.847782228589807e-05	-264.0	2022-10-06 21:18:43.978551
429.34	22	91.6	41.95	0.00022184631596461552	-277.0	2022-10-06 21:18:44.980050
442.59	22	94.2	42.16	0.0002685789487819945	-285.0	2022-10-06 21:18:45.984029
438.95	22	94.5	42.51	0.0	-284.0	2022-10-06 21:18:46.982040
408.97	22	92.7	42.64	0.0001142334932602239	-264.0	2022-10-06 21:18:47.982354
