curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
0.0	1	10.0	48.74	0.0	-0.0	2022-10-06 21:24:42.487300
50.0	1	486.0	51.56	0.0	-49.0	2022-10-06 21:24:43.492736
50.0	1	486.0	44.87	0.0	-49.0	2022-10-06 21:24:44.490525
50.0	1	486.0	44.6	0.0	-49.0	2022-10-06 21:24:45.493283
75.0	2	331.5	44.69	0.001313813813813814	-71.0	2022-10-06 21:24:46.496388
65.0	2	331.5	44.49	0.0	-62.0	2022-10-06 21:24:47.492359
65.0	2	331.5	44.92	0.0	-62.0	2022-10-06 21:24:48.497156
95.0	3	339.7	44.55	0.0	-90.0	2022-10-06 21:24:49.491712
105.0	3	339.7	44.36	0.0	-99.0	2022-10-06 21:24:50.491168
105.0	3	339.7	44.66	0.0	-99.0	2022-10-06 21:24:51.496537
137.07	7	232.6	45.45	0.0	-119.0	2022-10-06 21:24:52.496212
232.93	7	303.6	45.34	0.0	-203.0	2022-10-06 21:24:53.496707
200.0	7	303.6	44.7	0.0	-174.0	2022-10-06 21:24:54.496119
224.18	13	183.5	46.23	0.0	-173.0	2022-10-06 21:24:55.497691
245.52	13	191.6	46.77	0.0	-190.0	2022-10-06 21:24:56.498784
229.4	13	190.4	46.47	0.00010090817356205853	-177.0	2022-10-06 21:24:57.499661
234.35	13	190.4	46.77	0.0	-181.0	2022-10-06 21:24:58.497786
242.5	17	159.6	47.73	0.0	-173.0	2022-10-06 21:24:59.502247
236.97	17	159.6	47.39	0.0	-169.0	2022-10-06 21:25:00.503064
256.05	17	159.6	46.8	0.0	-183.0	2022-10-06 21:25:01.503334
237.55	16	159.7	47.2	0.0	-173.0	2022-10-06 21:25:02.504509
239.15	16	154.5	47.34	0.0003232410300614158	-173.0	2022-10-06 21:25:03.503398
237.41	16	160.9	46.88	0.0	-173.0	2022-10-06 21:25:04.504460
250.82	17	155.4	47.01	0.0	-179.0	2022-10-06 21:25:05.508099
242.25	17	155.5	46.85	0.0	-173.0	2022-10-06 21:25:06.506493
259.02	17	156.1	46.22	0.0	-185.0	2022-10-06 21:25:07.506464
266.3	19	145.3	46.39	8.879023307436182e-05	-183.0	2022-10-06 21:25:08.507951
259.67	19	145.4	46.39	0.0	-178.0	2022-10-06 21:25:09.513861
272.21	19	141.3	46.36	0.0001302818430538064	-186.0	2022-10-06 21:25:10.510098
266.57	22	121.7	46.44	0.000390303135435188	-171.0	2022-10-06 21:25:11.512773
284.96	22	124.9	46.57	8.4292156614827e-05	-184.0	2022-10-06 21:25:12.512924
274.46	22	121.9	46.18	0.00024927295388450354	-177.0	2022-10-06 21:25:13.512727
276.68	22	122.7	46.23	0.0	-179.0	2022-10-06 21:25:14.512374
270.39	21	125.7	45.88	0.0	-178.0	2022-10-06 21:25:15.518086
277.94	21	125.8	45.96	0.0	-183.0	2022-10-06 21:25:16.515882
286.87	21	125.6	46.43	8.173273395995096e-05	-189.0	2022-10-06 21:25:17.516013
297.05	19	139.8	46.09	0.0	-204.0	2022-10-06 21:25:18.516970
283.82	19	145.4	45.91	0.0	-195.0	2022-10-06 21:25:19.521821
347.25	19	165.1	45.8	0.0001434257234034924	-238.0	2022-10-06 21:25:20.519421
295.35	13	165.1	45.78	0.0	-228.0	2022-10-06 21:25:21.523617
269.35	13	181.5	45.12	0.0	-208.0	2022-10-06 21:25:22.520835
242.3	13	181.5	45.37	0.0	-187.0	2022-10-06 21:25:23.523954
268.05	14	191.2	45.06	0.0	-203.0	2022-10-06 21:25:24.523221
311.18	14	192.8	45.29	0.0	-236.0	2022-10-06 21:25:25.529911
265.97	14	192.8	45.65	0.0	-202.0	2022-10-06 21:25:26.529779
271.26	16	172.1	45.53	0.0	-198.0	2022-10-06 21:25:27.528096
317.76	16	192.1	45.95	0.0	-231.0	2022-10-06 21:25:28.527731
295.04	16	192.1	45.79	0.0	-215.0	2022-10-06 21:25:29.530551
313.93	16	192.1	45.56	0.0	-229.0	2022-10-06 21:25:30.529660
340.73	19	182.0	45.99	0.00010550378055213646	-234.0	2022-10-06 21:25:31.530947
323.54	19	177.1	46.0	0.0002795150414031655	-221.0	2022-10-06 21:25:32.533693
330.77	19	177.1	46.07	0.0	-227.0	2022-10-06 21:25:33.532697
353.61	23	156.4	46.48	6.844626967830253e-05	-224.0	2022-10-06 21:25:34.532989
346.12	23	146.5	46.49	0.00016825386142611972	-219.0	2022-10-06 21:25:35.533270
340.84	23	152.7	46.23	0.0	-216.0	2022-10-06 21:25:36.534770
332.5	22	152.0	46.17	6.792094002580996e-05	-215.0	2022-10-06 21:25:37.538095
332.53	22	153.2	46.06	0.00014965019267462306	-215.0	2022-10-06 21:25:38.538581
352.06	22	153.3	45.81	0.0	-228.0	2022-10-06 21:25:39.539080
338.21	23	145.7	45.88	0.00023955374559392218	-214.0	2022-10-06 21:25:40.539612
333.38	23	147.1	45.79	0.0	-211.0	2022-10-06 21:25:41.540138
365.93	23	155.4	45.76	0.00016126431220770844	-231.0	2022-10-06 21:25:42.542769
385.07	22	154.3	45.93	6.17017338187203e-05	-249.0	2022-10-06 21:25:43.541885
367.58	22	155.1	46.07	3.395009336275675e-05	-238.0	2022-10-06 21:25:44.547701
368.42	22	156.1	45.63	0.0	-238.0	2022-10-06 21:25:45.543760
360.18	22	154.3	45.54	9.346959122632104e-05	-233.0	2022-10-06 21:25:46.545428
344.87	18	163.1	45.24	0.0012653651482284888	-237.0	2022-10-06 21:25:47.546414
329.95	18	164.3	44.86	0.0	-231.0	2022-10-06 21:25:48.547653
376.92	18	176.6	44.77	0.0	-264.0	2022-10-06 21:25:49.550077
320.66	15	170.6	44.86	0.0	-238.0	2022-10-06 21:25:50.550038
296.18	15	167.3	44.99	0.0	-220.0	2022-10-06 21:25:51.552066
295.14	15	165.5	45.21	7.888923950773115e-05	-219.0	2022-10-06 21:25:52.552278
306.22	16	161.0	44.64	0.0	-223.0	2022-10-06 21:25:53.552897
305.49	16	162.2	45.05	0.0	-223.0	2022-10-06 21:25:54.555293
303.4	16	153.1	44.8	0.0004810776138550353	-220.0	2022-10-06 21:25:55.556054
287.6	15	153.1	45.01	0.0	-214.0	2022-10-06 21:25:56.557194
283.27	15	155.7	44.65	0.0	-210.0	2022-10-06 21:25:57.558262
278.97	15	151.1	44.91	0.00025031289111389235	-207.0	2022-10-06 21:25:58.559864
276.91	16	142.1	45.05	8.491847826086956e-05	-201.0	2022-10-06 21:25:59.562546
284.84	16	145.4	44.99	0.0	-207.0	2022-10-06 21:26:00.561368
284.31	16	145.5	44.75	0.0	-207.0	2022-10-06 21:26:01.567522
284.31	16	147.4	45.0	8.150623522699487e-05	-207.0	2022-10-06 21:26:02.563588
275.72	15	144.5	44.68	0.0003287310979618672	-204.0	2022-10-06 21:26:03.568383
264.83	15	140.4	44.23	0.00021373001624348123	-196.0	2022-10-06 21:26:04.567925
261.7	15	134.9	44.76	0.00030674846625766873	-194.0	2022-10-06 21:26:05.568325
270.8	16	124.2	44.43	0.0004889540827665911	-196.0	2022-10-06 21:26:06.571130
255.56	16	120.4	44.18	0.00022684996143550656	-186.0	2022-10-06 21:26:07.568444
256.38	16	116.9	44.38	0.00022601934725612513	-186.0	2022-10-06 21:26:08.569569
242.93	15	112.9	44.17	0.00027744381762693056	-180.0	2022-10-06 21:26:09.568439
258.35	15	115.5	43.77	0.00010944511327569225	-192.0	2022-10-06 21:26:10.570156
242.77	15	115.7	44.12	9.11369332421964e-05	-180.0	2022-10-06 21:26:11.573077
255.32	16	111.0	43.75	0.00013444474321054048	-186.0	2022-10-06 21:26:12.571709
272.48	16	111.1	43.82	0.0	-198.0	2022-10-06 21:26:13.571593
278.09	16	114.0	43.57	0.0	-203.0	2022-10-06 21:26:14.572067
323.19	20	99.7	42.33	0.0	-217.0	2022-10-06 21:26:15.575635
501.35	20	137.8	42.39	0.0	-337.0	2022-10-06 21:26:16.576853
476.48	20	138.6	42.35	0.0	-321.0	2022-10-06 21:26:17.576525
497.15	20	138.8	42.23	0.0	-335.0	2022-10-06 21:26:18.575884
601.01	30	128.3	43.12	6.291682395872656e-05	-331.0	2022-10-06 21:26:19.577577
556.36	30	126.5	43.61	0.00010783763964974335	-307.0	2022-10-06 21:26:20.582616
518.75	30	124.4	43.65	0.00010899420150847975	-286.0	2022-10-06 21:26:21.584309
532.91	29	119.2	43.46	0.00021966435286881645	-299.0	2022-10-06 21:26:22.584816
460.88	29	119.0	43.16	0.0001470227885322225	-259.0	2022-10-06 21:26:23.586091
524.58	29	116.5	43.06	0.00013477997169620594	-295.0	2022-10-06 21:26:24.587358
515.38	30	111.9	43.39	0.00020347719924939523	-283.0	2022-10-06 21:26:25.587929
514.74	30	112.1	43.18	0.0	-284.0	2022-10-06 21:26:26.585406
542.37	30	107.0	42.7	0.0002585928240491326	-298.0	2022-10-06 21:26:27.586125
538.32	30	105.7	42.68	8.637629834373448e-05	-297.0	2022-10-06 21:26:28.589329
538.65	30	105.8	42.6	4.3230157357772786e-05	-297.0	2022-10-06 21:26:29.588612
539.18	30	105.5	43.0	4.22761477974127e-05	-297.0	2022-10-06 21:26:30.588585
553.19	29	105.3	42.61	4.158695832986775e-05	-311.0	2022-10-06 21:26:31.590711
572.71	29	104.0	42.61	0.00016855691203737148	-322.0	2022-10-06 21:26:32.590954
569.64	29	104.0	42.12	7.847599615467619e-05	-320.0	2022-10-06 21:26:33.594167
610.04	29	105.0	42.14	0.00011338725527250737	-343.0	2022-10-06 21:26:34.595657
556.11	21	118.0	41.59	0.0	-367.0	2022-10-06 21:26:35.593996
537.81	21	116.5	41.62	0.00010619769763391529	-354.0	2022-10-06 21:26:36.594681
538.18	21	115.1	41.7	0.0001282051282051282	-354.0	2022-10-06 21:26:37.596805
501.85	18	119.6	41.27	0.0	-351.0	2022-10-06 21:26:38.598978
466.82	18	115.6	41.82	0.0002541231480775584	-326.0	2022-10-06 21:26:39.597956
423.55	18	113.4	41.92	0.0001332693640385948	-296.0	2022-10-06 21:26:40.602194
457.8	19	104.8	41.78	0.00034760287708227494	-313.0	2022-10-06 21:26:41.602036
414.83	19	106.5	41.96	5.470758794244762e-05	-285.0	2022-10-06 21:26:42.604126
418.77	19	102.7	42.09	0.00025850926324859976	-286.0	2022-10-06 21:26:43.604117
379.09	17	104.1	41.91	0.0	-271.0	2022-10-06 21:26:44.607143
385.87	17	107.1	41.69	0.0	-276.0	2022-10-06 21:26:45.609115
409.5	17	109.4	41.76	8.588114050154586e-05	-292.0	2022-10-06 21:26:46.608852
414.88	18	105.3	41.69	0.0	-290.0	2022-10-06 21:26:47.606488
393.74	18	105.2	41.79	0.0002263275525504286	-275.0	2022-10-06 21:26:48.605296
440.51	18	106.0	41.82	0.0001088464992244687	-308.0	2022-10-06 21:26:49.612380
421.34	18	107.7	41.83	0.000134091396695988	-294.0	2022-10-06 21:26:50.610033
439.25	20	97.8	41.89	0.00023316062176165803	-295.0	2022-10-06 21:26:51.610889
456.4	20	99.2	42.12	8.00298778210532e-05	-307.0	2022-10-06 21:26:52.610900
414.39	20	99.8	42.0	0.0	-279.0	2022-10-06 21:26:53.614546
465.58	23	94.4	42.11	7.839857837244551e-05	-295.0	2022-10-06 21:26:54.610427
462.0	23	95.4	41.98	4.994381321013859e-05	-293.0	2022-10-06 21:26:55.612058
463.8	23	93.0	42.04	0.00019771148950893408	-293.0	2022-10-06 21:26:56.613853
467.69	23	93.6	42.1	9.888262632255513e-05	-296.0	2022-10-06 21:26:57.615569
475.79	23	93.7	42.26	5.0372758412250656e-05	-301.0	2022-10-06 21:26:58.617392
430.35	23	92.0	42.09	0.0001551229349259288	-272.0	2022-10-06 21:26:59.615042
479.46	28	85.1	42.33	0.0	-275.0	2022-10-06 21:27:00.620313
512.37	28	86.1	42.3	0.00014110342881332017	-294.0	2022-10-06 21:27:01.617315
