curr_thrpt	cc_level	cwnd	rtt	packet_loss_rate	score	date_time
503.32	1	242.0	2.13	0.0	-493.0	2022-11-11 16:55:55.697023
939.52	1	79.0	0.8	0.0003213486756726693	-918.0	2022-11-11 16:55:56.697416
939.52	1	155.0	1.64	0.0002958506940164197	-918.0	2022-11-11 16:55:57.698191
939.52	1	78.0	0.83	0.00034569181574626223	-918.0	2022-11-11 16:55:58.699433
939.52	1	155.0	1.56	0.00032049701691238105	-918.0	2022-11-11 16:55:59.700345
931.14	1	78.0	0.89	0.00032049701691238105	-910.0	2022-11-11 16:56:00.703123
939.52	1	73.0	0.74	0.00035841407949377104	-918.0	2022-11-11 16:56:01.702483
939.52	1	80.0	0.9	0.0003208886146251157	-918.0	2022-11-11 16:56:02.702909
939.52	1	101.0	1.54	0.00030810184614626213	-918.0	2022-11-11 16:56:03.704589
936.79	1	159.0	1.68	0.0003085238982611593	-916.0	2022-11-11 16:56:04.704976
939.52	1	79.0	0.88	0.00034550839091806513	-918.0	2022-11-11 16:56:05.706260
939.52	1	173.0	1.81	0.0003326434062684802	-918.0	2022-11-11 16:56:06.707487
939.52	1	113.0	0.97	0.00032101935993678385	-918.0	2022-11-11 16:56:07.708511
939.52	1	80.0	0.88	0.0003208846543084936	-918.0	2022-11-11 16:56:08.709415
939.52	1	77.0	1.24	0.0003454060988848317	-918.0	2022-11-11 16:56:09.710789
939.52	1	77.0	0.85	0.00032070258535622656	-918.0	2022-11-11 16:56:10.711617
939.52	1	161.0	1.68	0.00030833744449926	-918.0	2022-11-11 16:56:11.712294
936.79	1	79.0	1.15	0.00034569181574626223	-915.0	2022-11-11 16:56:12.713384
939.52	1	88.0	0.88	0.00032049701691238105	-918.0	2022-11-11 16:56:13.714749
939.52	1	147.0	1.37	0.00033317291674379005	-918.0	2022-11-11 16:56:14.715044
939.52	1	144.0	1.54	0.0002960075975283366	-918.0	2022-11-11 16:56:15.716284
939.52	1	78.0	0.88	0.0003455723542116631	-918.0	2022-11-11 16:56:16.717423
931.14	1	154.0	1.58	0.00032060767485449346	-910.0	2022-11-11 16:56:17.718485
939.52	1	156.0	1.64	0.000320666987333654	-918.0	2022-11-11 16:56:18.719468
914.36	1	79.0	0.82	0.0003304188694591297	-893.0	2022-11-11 16:56:19.720098
939.52	1	78.0	0.88	0.000320666987333654	-918.0	2022-11-11 16:56:20.721448
936.79	1	76.0	0.87	0.00037005513821559413	-915.0	2022-11-11 16:56:21.722565
939.52	1	180.0	1.84	0.00032043381809218635	-918.0	2022-11-11 16:56:22.723394
939.52	1	160.0	1.71	0.000320666987333654	-918.0	2022-11-11 16:56:23.725048
939.52	1	80.0	0.9	0.00034611913915225535	-918.0	2022-11-11 16:56:24.724873
939.52	1	75.0	0.81	0.0003206748973223646	-918.0	2022-11-11 16:56:25.726226
939.52	1	79.0	0.89	0.00032077380511757596	-918.0	2022-11-11 16:56:26.727376
939.52	1	76.0	0.85	0.0003453251606378649	-918.0	2022-11-11 16:56:27.728270
931.14	1	76.0	0.81	0.00030850105507360836	-910.0	2022-11-11 16:56:28.728898
939.52	1	127.0	1.61	0.0003326638985744736	-918.0	2022-11-11 16:56:29.730533
945.18	1	81.0	0.9	0.00030864959628632807	-924.0	2022-11-11 16:56:30.731998
931.14	1	72.0	0.76	0.00032090445686920675	-910.0	2022-11-11 16:56:31.732643
939.52	1	147.0	1.57	0.00032076984763432237	-918.0	2022-11-11 16:56:32.732965
939.52	1	159.0	1.66	0.00033281972265023115	-918.0	2022-11-11 16:56:33.734145
939.52	1	158.0	1.63	0.0003453251606378649	-918.0	2022-11-11 16:56:34.735717
939.52	1	145.0	1.54	0.0003333497950516075	-918.0	2022-11-11 16:56:35.736049
939.52	1	159.0	1.66	0.000320666987333654	-918.0	2022-11-11 16:56:36.737199
939.52	1	144.0	1.56	0.00032083713813272784	-918.0	2022-11-11 16:56:37.738259
936.79	1	87.0	0.85	0.00032106296538694264	-915.0	2022-11-11 16:56:38.738758
939.52	1	146.0	1.67	0.00032044566597236773	-918.0	2022-11-11 16:56:39.740174
939.52	1	78.0	0.86	0.0003457643862682144	-918.0	2022-11-11 16:56:40.740897
939.52	1	79.0	0.88	0.00032076984763432237	-918.0	2022-11-11 16:56:41.741833
939.52	1	159.0	1.65	0.00032049701691238105	-918.0	2022-11-11 16:56:42.743207
939.52	1	73.0	0.77	0.00034550839091806513	-918.0	2022-11-11 16:56:43.744539
931.14	1	78.0	0.83	0.0003210074695968887	-910.0	2022-11-11 16:56:44.744885
939.52	1	79.0	0.84	0.000320666987333654	-918.0	2022-11-11 16:56:45.746181
939.52	1	161.0	1.73	0.0003203272265822317	-918.0	2022-11-11 16:56:46.747930
710.3	1	36.0	1.4	0.0005910650664127276	-692.0	2022-11-11 16:56:47.750299
436.21	1	32.0	0.92	0.0011954731417034164	-422.0	2022-11-11 16:56:48.749601
469.76	1	43.0	0.94	0.0011346258201371418	-455.0	2022-11-11 16:56:49.750762
436.21	1	35.0	0.99	0.0010894114521057526	-423.0	2022-11-11 16:56:50.751929
469.76	1	52.0	1.32	0.00112009350345768	-455.0	2022-11-11 16:56:51.752443
503.32	1	153.0	2.99	0.0008503792231670881	-489.0	2022-11-11 16:56:52.754513
494.93	1	136.0	3.01	0.0011262846684499507	-480.0	2022-11-11 16:56:53.755652
461.37	1	43.0	0.85	0.0010502888294280927	-447.0	2022-11-11 16:56:54.756003
486.54	1	55.0	1.69	0.0010246878276618054	-472.0	2022-11-11 16:56:55.757646
553.65	1	57.0	0.97	0.000861290254815873	-538.0	2022-11-11 16:56:56.757494
461.37	1	152.0	2.26	0.0010413309200902486	-448.0	2022-11-11 16:56:57.758548
528.48	1	50.0	0.9	0.0009861500701262272	-513.0	2022-11-11 16:56:58.759328
486.54	1	41.0	0.94	0.0010143702451394759	-472.0	2022-11-11 16:56:59.760589
478.15	1	78.0	1.86	0.0008882060638068032	-465.0	2022-11-11 16:57:00.761535
461.37	1	75.0	1.33	0.0012151572264656285	-447.0	2022-11-11 16:57:01.763562
452.98	1	82.0	1.59	0.00106418875074623	-439.0	2022-11-11 16:57:02.764507
